"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE"
"ZNF565",0.73351937025416,0.863251113654096,0.766376127409772
"ZNF34",0.988788546840268,0.996754420186784,0.756648593038692
"ZNF140",0.809101513700784,0.881378168811037,0.914221612061822
"ZNF658",0.498394384995733,0.393405632290112,0.757124599536958
"ZNF765",0.780459507284348,0.939459177794268,0.554793230673259
"ZNF124",0.469372408119549,0.672435183903912,0.606920668466679
"ZNF569",0.815981676114814,0.543981931722253,0.275104831566647
"ZNF777",0.99819027318176,0.936070811352848,0.381149560515394
"ZNF605",0.71817863064999,0.71419920116583,0.99415789493198
"ZNF799",0.999935902075632,0.999726953470809,0.999157743514494
"ZNF782",0.800657572129444,0.875716048420588,0.910635069653061
"ZNF846",0.970696813236635,0.901512804247438,0.0779408653170023
"ZNF136",0.568693215044348,0.295940294128407,0.209575939967702
"ZKSCAN5",0.953428818479231,0.999698725346613,0.565539700888315
"ZNF33B",0.775387767170301,0.925351915822899,0.617544631362493
"ZNF431",0.646347782408401,0.817764705074021,0.668791111986923
"ZNF418",0.858367474079398,0.662938382824645,0.469508665803447
"ZNF700",0.958718872824296,0.569423629019778,0.038861677536816
"ZFP28",0.968529387542545,0.930157214735492,0.904113957658968
"ZNF585A",0.763567248962211,0.733205679156858,0.968154830376349
"ZNF138",0.989265755372217,0.919873262868761,0.6787263944363
"ZNF429",0.9862154868875,0.983494576973454,0.99756042852131
"ZNF470",0.925269352816684,0.970182981273906,0.904237388371181
"ZNF100",0.452843147773496,0.594022428114986,0.803054168766267
"ZNF398",0.868639853323401,0.947576067231436,0.023749099333326
"ZNF498",0.881368081767874,0.944425654786473,0.886213628648611
"ZNF441",0.865401694107504,0.605100457545879,0.282141299024998
"ZNF420",0.722669173261603,0.813138714280073,0.90135616244912
"ZNF763",0.937908614636735,0.707640458590075,0.278691924280756
"ZNF679",0.989048141963691,0.631616073314613,0.0294062209238752
"ZNF682",0.6273525846893,0.50542035217002,0.739623470535265
"ZNF772",0.999620396826612,0.998799082838424,0.997271486000984
"ZNF257",0.970623817635367,0.976067566677544,0.323702779140156
"ZNF785",0.822229110181911,0.714578257718177,0.777252142826101
"ZNF98",0.855715419117074,0.994849721534208,0.351672208965661
"ZNF786",0.991297340683307,0.949475222138166,0.334055827305735
"ZNF517",0.101635896751535,0.0711079835435366,0.738352071726825
"ZNF675",0.412448939867354,0.558609570710892,0.782157303768271
"ZNF860",0.579718254818298,0.43413862537299,0.64540414138818
"ZNF695",0.908909648518491,0.872311259599955,0.947088493385753
"ZNF665",0.562902790614963,0.702591769723248,0.804877081406904
"ZNF624",0.865817644064314,0.995329561389018,0.378580087359837
"ZNF841",0.545620405177058,0.350929759963192,0.44559516467574
