"gene","p-adj-Mixed serous and endometrioid-Endometrioid endometrial adenocarcinoma","p-adj-Serous endometrial adenocarcinoma-Endometrioid endometrial adenocarcinoma","p-adj-Serous endometrial adenocarcinoma-Mixed serous and endometrioid","mean-Endometrioid endometrial adenocarcinoma","mean-Mixed serous and endometrioid","mean-Serous endometrial adenocarcinoma","SEM-Endometrioid endometrial adenocarcinoma","SEM-Mixed serous and endometrioid","SEM-Serous endometrial adenocarcinoma","Q1-Endometrioid endometrial adenocarcinoma","Q1-Mixed serous and endometrioid","Q1-Serous endometrial adenocarcinoma","Q3-Endometrioid endometrial adenocarcinoma","Q3-Mixed serous and endometrioid","Q3-Serous endometrial adenocarcinoma","count-Endometrioid endometrial adenocarcinoma","count-Mixed serous and endometrioid","count-Serous endometrial adenocarcinoma"
"ZNF91",0.948997239453433,0.21373522125451,0.475370342452809,295.710444761905,280.61695,340.019220689655,14.1272352205279,30.4566778774886,25.4427500298911,201.1396,240.983975,193.096275,372.8632,317.479325,431.9783,105,12,58
"ZNF226",0.550114825085821,0.890961750898524,0.723684487099653,319.766082857143,280.043075,310.414186206897,11.0329184480997,26.703006696614,19.5030549314317,242.5491,215.8751,211.242725,387.3665,340.20705,361.267625,105,12,58
"ZNF229",0.990955889821776,3.1149015700116e-08,0.00918639068256133,16.7541276190476,21.0346416666667,124.473129310345,4.24854089598728,18.5620703608006,23.4424703523864,1.5398,0.8143,4.994875,9.243,5.07555,150.04505,105,12,58
"ZNF180",0.884239968458371,0.022312669868066,0.161848797308746,172.415891428571,161.433391666667,205.765256896552,6.7604302695135,21.8577533076781,11.5086384478186,126.1279,110.69905,144.816175,207.1653,209.87185,264.054275,105,12,58
"ZNF641",0.760757984345808,0.791368962600344,0.937894461091212,91.04164,77.7254416666667,84.429475862069,6.71536585799129,15.7179386408345,6.40064661299767,30.9107,43.94375,46.680725,137.273,105.24615,126.1396,105,12,58
"ZNF610",0.94834762242752,0.0828351428863501,0.3392151955341,135.379903809524,127.708983333333,163.932077586207,7.64311083881624,16.5883402702102,11.7735596891311,84.1683,102.671125,91.4131,171.3038,157.341375,223.59595,105,12,58
"ZNF528",0.408552453562773,0.760048598913867,0.66292691791442,288.219963809524,213.01065,265.931381034483,20.990927566563,35.543991360224,20.7221349765583,130.4747,142.819975,117.327525,376.8737,252.0206,370.348225,105,12,58
"ZNF701",0.991063974851637,0.00866010010011042,0.219561765805372,100.453679047619,98.4839833333333,125.318013793103,4.6474641158066,14.6097676516631,7.3237365388467,65.8725,65.250425,80.8395,129.7626,116.46315,157.579525,105,12,58
"ZNF283",0.994506565200162,0.591647402582402,0.819936771281234,54.055419047619,53.2341416666667,58.3701206896552,2.34173137115281,6.41224290485217,4.25048176358156,38.314,44.664,37.37315,67.0182,65.865975,70.670075,105,12,58
"ZNF558",0.959406989930885,0.20185394045137,0.485324735499156,408.876857142857,389.052441666667,475.509939655172,20.9391150274463,46.5309843437754,37.3324819923576,273.2887,308.3768,281.68055,497.1963,513.104275,600.19495,105,12,58
"ZNF597",0.63602834787849,0.0592963825429922,0.948080783523194,37.9459914285714,31.7757583333333,29.5758034482759,1.85801346220145,4.83295974185934,3.67973047705106,26.9345,23.123025,3.973675,49.8221,45.940975,42.74955,105,12,58
"ZNF30",0.936140754953959,0.384050020906264,0.934642315921489,96.6856371428571,102.016958333333,107.632393103448,3.83089263997865,11.1810629461526,8.91620093089551,67.075,85.1159,60.669925,120.2973,134.7553,127.22805,105,12,58
"ZNF354A",0.927766278720189,0.00619363976239196,0.425917403910569,322.940196190476,338.438383333333,393.062893103448,13.1458253073812,53.8633026463664,17.3849468110729,229.5644,238.47205,299.49005,391.9649,407.20275,461.719075,105,12,58
"ZNF764",0.147206124644628,0.64701803713901,0.370586742433015,233.601142857143,190.336575,222.605889655172,6.763831775575,11.2398928750161,11.839569745944,189.1063,165.377675,152.1479,261.944,214.321625,275.871325,105,12,58
"ZNF747",0.798174624782021,0.735113275294819,0.577189459217541,252.450651428571,232.565408333333,264.929151724138,7.25651757100802,30.6227002334089,18.1464139703634,207.925,174.830525,166.023775,298.5495,269.880875,328.896525,105,12,58
"ZNF778",0.999186494550903,0.45533199499788,0.789505627677042,59.5884123809524,59.2322333333333,65.5564603448276,2.58030994466303,6.76910373352352,4.93263323729667,39.6322,36.55595,41.23225,73.2973,69.3957,74.92365,105,12,58
"ZNF212",0.860206931788899,0.833964799091336,0.704245178512746,506.581066666667,475.853675,524.698481034483,16.1200453675085,39.7839037087563,31.8200997576186,386.0087,362.55035,358.406925,595.9218,552.4917,633.506675,105,12,58
"ZNF282",0.357424202179915,0.000851838087051804,0.826655602442542,1307.77316190476,1119.45196666667,1035.48392931034,41.1854998673303,76.891352750852,68.5898510390981,1025.2849,990.56,769.518675,1531.3131,1309.371775,1200.5081,105,12,58
"ZNF160",0.944543973064708,0.998026449723139,0.958213634317562,640.62876952381,617.023216666667,638.271143103448,24.1800643464009,67.3468391732541,30.0495067094167,476.0366,497.9614,458.944475,755.1402,811.5645,797.3422,105,12,58
"ZNF415",0.437671392736546,0.195694713322848,0.955706289505401,203.108366666667,165.806633333333,174.862720689655,9.72826231805108,38.5877840967471,12.0000326298376,128.3829,75.968,100.549925,263.5336,223.516925,227.813375,105,12,58
"ZNF439",0.998181941005227,0.00196246976623426,0.197143403401873,142.504976190476,145.17335,228.775168965517,10.578409006631,30.3618558800485,28.323622205239,82.4656,64.74975,91.972725,180.5897,223.63695,282.079875,105,12,58
"ZNF440",0.765161059889406,0.603072169514303,0.475317008237293,392.704382857143,321.19015,445.539537931034,25.6075045852322,44.2538960869078,60.3547076175243,202.2801,209.26865,169.648425,519.2412,439.55925,466.4906,105,12,58
"ZNF562",0.225188203632289,0.0535600118259683,0.921118152021948,467.716266666667,365.784291666667,390.522034482759,19.1751924730949,49.5298216510204,28.4593297611403,325.6558,288.242575,243.31615,576.8826,437.382625,487.244975,105,12,58
