"gene","p-adj-MSI-L-MSI-H","p-adj-MSS-MSI-H","p-adj-MSS-MSI-L","mean-MSI-H","mean-MSI-L","mean-MSS","SEM-MSI-H","SEM-MSI-L","SEM-MSS","Q1-MSI-H","Q1-MSI-L","Q1-MSS","Q3-MSI-H","Q3-MSI-L","Q3-MSS","count-MSI-H","count-MSI-L","count-MSS"
"ZNF530",0.948239003307607,0.309732255364806,0.798928803958674,89.8901285714286,80.20625,60.86866,17.1775832038752,47.99035,8.89858432239146,58.54385,56.211075,34.362875,116.33345,104.201425,77.768075,7,2,10
"ZFP1",0.999157497409101,0.385417025658038,0.694371229488576,211.078757142857,214.0914,275.37917,29.0796134134491,62.5894,34.0588956142185,153.3397,182.7967,198.8762,237.3358,245.3861,342.509625,7,2,10
"KRBA2",0.646951437432419,0.819045581234483,0.848906527080124,38.8923428571429,19.2194,30.77027,9.23544485598973,10.5124,9.45239605997748,29.408,13.9632,9.69275,49.54005,24.4756,36.762475,7,2,10
"ZNF93",0.882127821067735,0.712463416750971,0.587196692296501,170.729914285714,222.1046,118.44104,49.0920720221146,136.7759,40.5138508011223,102.55755,153.71665,61.5685,201.0765,290.49255,125.49315,7,2,10
"ZFP90",0.968598278364048,0.639021942411144,0.941006810193115,520.3888,567.0883,629.43131,42.5292892980154,19.8528,97.7066155009094,469.3828,557.1619,371.94865,599.4964,577.0147,859.026625,7,2,10
"ZNF479",0.726296356824341,0.441034813820496,1,0.345285714285714,0,0,0.345285714285714,0,0,0,0,0,0,0,0,7,2,10
"ZNF445",0.746322502837592,0.970771612795386,0.642455338002142,513.374214285714,406.35675,534.13447,70.9566439889728,38.92095,58.8968520592835,396.53625,386.896275,422.683275,554.4978,425.817225,622.286975,7,2,10
"ZNF74",0.00597084151532101,0.385657780156639,0.000775965963050296,626.6989,1100.82445,517.85446,84.0098941259614,131.21735,32.1118371565073,448.58405,1035.215775,446.72745,734.8279,1166.433125,588.9241,7,2,10
"ZNF829",0.929776879096346,0.959418618955095,0.977692483460542,9.79002857142857,6.99195,8.49413,2.63575169035273,5.25055,3.52991321401186,5.8263,4.366675,2.58095,12.8411,9.617225,10.743375,7,2,10
"ZNF267",0.97444466238475,0.428732820998749,0.829073623153329,228.2009,211.5371,167.98275,43.9032474109723,71.7896,24.8711520153157,163.0315,175.6423,108.0282,279.48425,247.4319,229.198925,7,2,10
