"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE"
"ZNF7",0.599714166490649,381.71467287234,376.001621449275,9.16981292935251,6.28765292962222,299.0309,292.3217,442.979575,445.9191
"ZNF214",0.0129063286469303,67.1641037234043,73.7303939130435,1.94004381344667,1.62997820978831,49.22915,51.4559,82.87315,91.8861
"ZNF215",0.0965297112009716,38.4706180851064,43.3467028985507,2.46051587827691,1.69616762049166,16.53605,21.0189,52.793375,61.082
"ZNF547",0.35313233762745,53.2973404255319,55.7569231884058,1.88537558262488,1.66151331203577,36.420575,37.2891,61.7,65.213
"ZNF773",0.0834856315651596,116.325167553191,108.576122898551,3.21998655815791,2.79304947909382,86.606075,71.6929,142.56635,138.8082
"ZNF776",0.169691716523459,465.395429255319,448.353755072464,9.38846155873643,7.58397264487504,390.335325,339.6578,543.478175,549.7234
"ZNF256",0.140906090769925,110.617909042553,105.128185217391,2.52686871709203,2.37789247662265,88.6368,76.9615,131.3716,129.1419
"ZNF599",0.255846562645326,101.576527659574,104.826401449275,2.01472808206206,1.80052681234253,83.358925,81.7889,118.5734,123.9219
"ZNF18",0.841544251172006,196.215230851064,194.819927246377,6.05318838919539,3.95493498859088,145.232275,147.5224,217.6139,218.6918
"ZKSCAN2",0.401032059317422,172.796200531915,168.297110144928,4.25963321307658,3.19803542979136,132.794275,124.8031,198.25655,197.1855
"ZNF689",0.0541388064856477,147.817381382979,138.629186376812,3.95808985205498,2.77472310509019,115.454925,100.9867,187.43655,177.2191
"ZNF19",0.0294253085696572,92.1608265957447,98.9019156521739,2.43536529041303,1.85252266056671,68.4949,76.1118,112.844675,118.0367
"ZNF230",0.0301655676528212,130.347356914894,138.38260173913,2.72309559939714,2.2897605104844,105.02555,110.839,150.385375,162.773
"ZNF222",0.925630892132038,65.5458143617021,65.7297249275362,1.52159967287822,1.19403223451789,52.46875,50.063,81.612575,79.4003
"ZNF221",0.596873730043117,18.729520212766,18.140092173913,0.873841312036821,0.670219144092258,10.3572,9.3104,24.778475,23.3628
"ZNF233",0.455229870823816,25.766529787234,27.4817046376812,1.62317287700413,1.44493768525663,12.51105,11.3584,30.0291,32.3979
"ZNF235",0.678865203753992,87.617364893617,86.4805026086957,2.00024335280656,1.70753974258245,67.014925,64.6063,108.54895,104.7417
"ZNF208",0.274583586107629,129.702581914894,110.704275072464,11.8642052777618,11.0720425330512,19.406225,15.8014,193.433625,126.6465
"ZNF714",0.400533024213748,100.931406382979,94.1184304347826,8.50436474894123,3.77857908918015,57.7828,51.4837,114.1662,114.2385
