"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF573",0.42443571693535,0.513785061417921,0.999994318731697,9.4132,27.0046838709677,26.9781333333333,NA,2.49718734165769,5.60263333333333,9.4132,15.43215,21.3755,9.4132,38.06635,29.77945,31.3302777777778,30.4529928705441,29.72315,26.7052,21.306825,40.465375,17.34,40.2562,1.4076412349262,0.73729642675801,0.971998814901797,0.898464664747848,-0.0409735400443138,-0.154466329043607,"KIRC"
"ZNF527",0.0759538107172525,0.077025577666247,0.868847945309013,59.6172,128.494161290323,137.6646,NA,5.55260292002174,2.9062,59.6172,110.1881,134.7584,59.6172,149.465,139.1177,127.538459722222,125.761342776735,128.41135,123.9633,110.946425,138.407025,102.5265,148.7331,2.94458968151539,1.63229029452766,0.986066030988948,0.965360927986506,-0.0202438363261186,-0.0508596585552607,"KIRC"
"ZNF33A",0.736959612358105,0.112926959451745,0.0294771233743896,844.054,1072.04030322581,1559.96836666667,NA,55.5245267226931,45.0502333333334,844.054,858.38265,1537.44325,844.054,1144.2249,1605.0186,1285.99330138889,1141.51243996248,1285.91465,1111.8553,1164.9519,1418.46975,896.2749,1346.4093,25.2890396284197,15.9009986093628,0.887650377906035,0.864641599658266,-0.171936545995159,-0.209825846003853,"KIRC"
"ZKSCAN3",0.240345249962036,0.357999680512168,0.992548736046619,19.454,66.6045161290323,64.6223333333333,NA,5.0983113850623,13.9717333333333,19.454,48.5843,50.6506,19.454,78.72705,71.6082,82.9723541666667,68.4329360225141,84.25695,65.284,73.94375,93.63095,47.1394,83.426,1.72064392419043,1.24332266721181,0.824767920710707,0.774820356065583,-0.277939874610544,-0.368066237991765,"KIRC"
"ZNF676",0.833277937943203,0.991759048274173,0.744363854726002,0,16.3470967741935,3.9452,NA,5.17232270617013,0.237,0,2.03095,3.8267,0,14.42905,4.1822,44.5253055555556,15.0104765478424,41.2917,2.6861,28.83415,56.587325,0.9149,9.6103,2.59133716699303,1.47188550814381,0.337122370313964,0.0650518142871328,-1.56865573196686,-3.94226689568256,"KIRC"
"ZNF699",0.379951296776628,0.312381636070087,0.838336964675924,3.1377,31.4177322580645,38.5023666666667,NA,3.62963315385112,15.2681666666667,3.1377,17.1996,23.2342,3.1377,45.96975,46.13645,45.2985097222222,40.6301547842401,44.1861,39.0335,36.379025,54.634925,22.2841,53.9971,1.56551341194944,1.00728180044901,0.896942416723879,0.883388667476876,-0.156912727104622,-0.178879769957541,"KIRC"
"ZNF250",0.530652070748846,0.426341249668003,0.82693733761408,158.9645,234.766674193548,259.2781,NA,12.7565008995801,6.0393,158.9645,185.221,253.2388,158.9645,269.73365,262.29775,305.001840277778,230.541737148218,286.13705,221.2263,251.8051,338.2099,181.6855,262.4786,14.7690515577995,3.84706719152808,0.75586998733599,0.773148042170701,-0.403789988425104,-0.371183407443428,"KIRC"
"ZNF79",0.279442348824846,0.875651528591583,0.230612337211017,64.6376,110.055438709677,80.9637333333333,NA,5.18528198693534,15.4433333333333,64.6376,90.19395,65.5204,64.6376,126.5572,88.6854,92.0951819444444,107.238062851782,87.675,105.1571,78.62505,105.7251,86.5562,125.5278,2.40931782625622,1.36108167254395,1.16442641827314,1.19939663530083,0.219619476520487,0.262308830691372,"KIRC"
"ZNF681",0.599730129318534,0.302186337810797,0.438466917600455,32.005,55.5640096774194,73.4667666666667,NA,4.41610598022605,3.76416666666666,32.005,38.29425,69.7026,32.005,70.94285,75.34885,71.5911694444444,73.9396196998124,64.49085,66.364,52.676975,78.980625,50.5221,91.3575,4.38307916928187,1.53417553756996,1.03280363030234,1.0290452056377,0.0465659768363453,0.0413063607710511,"KIRC"
"ZNF766",0.351433314530323,0.333312460141031,0.919259898572134,217.7596,339.277387096774,359.451166666667,NA,15.8054094693528,6.75596666666667,217.7596,272.8971,352.6952,217.7596,359.4202,362.82915,352.881470833333,375.108222326454,351.0234,359.25,313.95905,397.099925,317.041,425.7757,6.97514268072649,3.98434092017465,1.06298645106141,1.02343604443464,0.0881232082414613,0.0334209496892298,"KIRC"
