"gene","Recurred/Progressed-DiseaseFree"
"ZNF90",0.399298448475664
"ZNF788",0.000800017898437977
"ZNF880",0.079644432272144
"ZNF630",0.214505654676426
"ZNF844",7.59988579845938e-07
"ZNF717",0.0014365052467884
"ZNF492",0.417605873002157
"ZNF688",0.027343927117253
"ZNF879",0.0258048968702813
"ZNF737",0.00634057772212382
"ZNF709",3.13290106481734e-05
"ZNF585B",0.00049014254554669
"ZNF324B",0.346685906041942
"ZNF564",0.000382217301979293
"ZNF674",0.026497119382613
"ZNF432",0.599217212058372
"ZNF10",0.336131079145033
"ZNF486",0.411168409097869
"ZNF225",0.0005311259634877
"ZNF350",0.831659873396176
"ZNF253",0.00675078010228025
"ZNF878",0.312280107637164
"ZNF727",0.0246239048121879
"ZNF578",0.210788381460357
"TRIM28",0.000763976639948538
