"gene","WITH TUMOR-TUMOR FREE"
"ZNF551",4.24213884020475e-07
"ZNF805",0.001238192758651
"ZNF468",0.0454212815993676
"ZNF616",0.00864704012141726
"ZFP57",0.283128239452657
"ZNF155",0.0496680886031206
"ZNF425",0.189802049865574
"ZNF611",1.10572104381479e-05
"ZNF254",0.273383735114759
"ZNF625",7.70309982173201e-05
"ZNF845",7.55619797654372e-05
"ZNF90",0.00643982144513378
"ZNF788",0.0164983858576057
"ZNF880",0.0279351048754096
"ZNF630",0.45501614145688
"ZNF844",1.99794494282202e-08
"ZNF717",0.00450305485720437
"ZNF492",0.506258503466146
"ZNF688",0.0602346701652049
"ZNF879",0.0035690558620548
"ZNF737",0.000445131827822576
"ZNF709",6.88665823744827e-06
"ZNF585B",8.5333849297875e-06
"ZNF324B",0.260015272304393
"ZNF564",0.000405064480275441
"ZNF674",0.0411915746662802
"ZNF432",0.283611813051216
"ZNF10",0.154133635204704
"ZNF486",0.875956404645458
"ZNF225",0.000139901106941065
"ZNF350",0.879123245925731
"ZNF253",0.000559968771094987
"ZNF878",0.288347044240005
"ZNF727",0.000557537543835918
"ZNF578",0.57962684546218
"TRIM28",0.000115977342928231
