"gene","p-adj-N1-N0","p-adj-NX-N0","p-adj-NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF264",0.296768749033829,0.983513362027281,0.265976075837867,793.482225941423,714.78706875,796.616292805755,14.3832430016873,35.244945492888,11.463867459976,655.36535,607.7863,670.473125,923.4352,794.846875,921.30885,719.435759722222,792.542993996248,710.1654,783.4717,622.007275,815.1909,662.8995,920.1751,17.6650682166002,8.87379779970121,1.10161745963566,1.10322426296747,0.139623330172093,0.141726091186728,"KIRC"
"ZNF213",0.283856302570825,0.934342896673099,0.340069972400586,371.966124267782,425.57756875,376.204724100719,8.56276394689123,46.503014326963,8.24968051708498,290.85855,304.72655,291.322675,427.8283,609.19785,430.089875,322.547036111111,375.824990806754,305.2907,345.6627,271.96715,362.198525,290.8598,431.4056,9.3392152474179,5.93022260448513,1.1651788692217,1.13224117210252,0.220551443232253,0.179181290976843,"KIRC"
"ZNF343",0.88723854773839,0.701073968567986,0.737550806224094,287.781235146444,277.14965,294.042506115108,5.83196231967519,21.927637972661,5.20581917703575,224.8769,202.128175,245.2457,345.04625,341.33095,332.57095,206.942165277778,290.631236397749,210.0788,283.7435,189.072575,229.22565,236.4103,337.415,4.11184750565747,3.8223853573475,1.40440801905999,1.35065270746025,0.489962139030714,0.433656763016653,"KIRC"
"ZNF302",0.768016318042448,0.784719997635309,0.886405860401702,691.244191631799,643.3749,675.573842086331,19.3576060164709,44.0404524149919,14.5063741924495,519.50075,507.252975,542.562775,805.84365,765.5539,766.1113,565.4379125,681.551884427767,562.19975,643.2881,507.87425,624.84355,533.7443,790.2346,11.3641734084485,11.5828409840658,1.2053522930827,1.14423405560034,0.269454870274134,0.194382188756072,"KIRC"
"ZNF268",0.867138677421618,0.763152972993404,0.960462120082555,409.439983263598,391.72498125,401.104335611511,9.14861312200008,40.9857303117807,7.62263375854714,321.0752,251.99995,311.7013,481.6895,513.848775,469.76445,561.688352777778,404.382567354597,564.2045,399.0062,503.214725,632.3368,312.8599,474.7762,12.4358181479528,5.84145644367472,0.719941165514222,0.707201378223676,-0.474049082344954,-0.499807008570737,"KIRC"
"ZNF184",0.215123208665222,0.868188314865257,0.152119697945336,244.909874895397,203.7722625,249.155315107914,6.05711492099854,17.6042741327683,5.83664299959071,186.65,170.83305,185.6072,285.60595,231.621225,288.599325,240.787611111111,246.141260037523,234.3426,231.5737,207.8527,271.982125,185.3329,287.123,6.26332979879992,4.13163592456063,1.0222339052317,0.988184393277193,0.0317253482394788,-0.0171478238817361,"KIRC"
"ZNF500",0.16959335594268,0.92313249131562,0.213746973610586,208.844333054393,180.71070625,206.813577697842,4.15235339416715,12.8074091749414,3.44747587791357,170.01655,149.53095,168.28845,249.01,216.339525,243.5142,165.963759722222,206.856717260788,170.7349,202.8526,142.29415,185.1037,168.2584,244.6071,4.61829863265024,2.62076456628351,1.24639690982543,1.18811443940284,0.317763561662851,0.24867380348499,"KIRC"
"ZNF419",0.49325126722644,0.991202042355151,0.463872238271356,167.600242677824,147.92156875,168.350427697842,4.81570379494647,18.410607837713,3.58719739107378,117.98635,90.288775,129.40185,203.2609,193.1472,202.0938,127.826711111111,167.491139962477,127.1539,160.0207,111.6401,144.7519,123.5011,202.9931,2.6902000128877,2.90768423524664,1.31029843846086,1.25848047130289,0.389895442794243,0.331682829392752,"KIRC"
"ZNF175",0.0899223048063931,0.9778482689513,0.0750683107974882,224.926491631799,186.542425,226.182575179856,4.54811582073292,14.5833448029207,4.28953177000838,175.3778,143.217175,176.5728,268.3225,236.538375,270.405775,202.699227777778,224.301093433396,208.9795,218.8665,174.039225,233.85805,175.514,268.0847,5.20087593470836,3.07419877644193,1.10657103084428,1.04731086063466,0.146096060770884,0.0666897235785769,"KIRC"
"ZNF14",0.0104852822678851,0.0682001285882163,0.000732610825062596,205.505183263598,156.28844375,218.347731294964,4.32789455101473,9.44014468242749,3.92388605453961,159.57965,122.32635,170.35405,247.30205,185.2712,251.954175,247.8439125,210.733736022514,251.06095,205.552,217.535025,269.79315,166.3714,248.1209,5.96473042993886,2.87402578655536,0.850267952506254,0.818733458946921,-0.234010532656608,-0.28853424014235,"KIRC"
"ZNF85",0.796220864359191,0.442523065573665,0.971756734778042,109.24599748954,101.20505,104.041981654676,3.16395373304865,6.80893754136184,2.93008850990834,78.967,82.57325,77.82265,121.9584,122.018025,119.313125,89.7698291666667,106.259677673546,85.8533,97.1193,73.45055,102.2335,78.2184,120.4474,2.73114551507828,2.0966673106728,1.18369031845058,1.13122384346321,0.243291686985338,0.177884434103307,"KIRC"
"ZKSCAN1",0.817207526025153,0.685842903687082,0.943766614766836,779.124044769874,720.198,751.59815971223,24.3485008488555,119.936374483539,22.2470351929756,529.62065,387.1672,465.509975,995.9792,939.42355,968.04875,1020.25372916667,761.821287804878,962.2442,723.5622,797.145675,1286.581625,490.4068,984.5608,36.3146915483115,16.3404958820322,0.746697871349244,0.751952778722906,-0.42140347660776,-0.411286028784097,"KIRC"
"ZNF862",0.94179455817307,0.987213764750465,0.922055198830981,560.495974058577,583.76474375,556.814392446043,18.5914505485359,82.8397778043208,15.3911477173226,382.00485,402.1494,372.657675,679.09745,627.3531,676.714475,428.048395833333,559.148190243902,416.34045,494.5353,353.01295,512.640775,377.7317,678.392,13.0828817034818,11.8141783219415,1.30627329920333,1.1878146838723,0.385456769898079,0.248309772575606,"KIRC"
"ZNF684",0.036325600045082,0.724515142259147,0.0682721931338631,92.1238594142259,58.27079375,88.5477658273381,3.94832110879642,4.91727845193583,2.77960208055605,59.0036,47.20455,62.764925,99.1645,69.7687,100.39985,148.497748611111,89.06125684803,146.04015,77.474,121.914825,167.8539,59.8703,99.252,4.92858273272685,2.30131494844683,0.599748196056934,0.530497948680551,-0.737571181749443,-0.914580922322473,"KIRC"
"ZNF430",0.715834384395026,0.40625741070697,0.937145421371872,106.14170125523,97.76673125,101.43816618705,2.79541274030468,10.1405821334573,2.41316287264026,81.7438,76.73675,71.499275,134.145,128.250625,123.695,109.793877777778,103.286257973734,104.4777,101.5094,93.86705,119.488725,74.7023,129.6863,3.29945311508132,1.80592912866758,0.940728755229726,0.971589152517714,-0.0881492910574557,-0.0415817120525931,"KIRC"
"ZFP30",0.228037524874004,0.78474567845743,0.145708627265889,191.574843514644,159.49273125,195.997268345324,5.27811149423626,15.2201422960653,4.24172406622124,139.2629,127.3163,155.17035,236.07685,196.8868,230.8892,178.219615277778,192.951744090056,182.9183,184.29,145.307275,207.390825,147.005,233.2362,5.89416528603523,3.2766145496602,1.08266277979176,1.00749897631894,0.114583952382084,0.0107783728868954,"KIRC"
"ZNF549",0.107322321504341,0.785469923726364,0.0623486079447891,166.981280334728,124.4590875,171.732733093525,5.48188908358317,14.0426878674807,4.76630635132485,96.95235,96.994525,105.6508,223.7981,175.998575,230.94505,193.113343055556,168.457666979362,192.75245,164.7748,167.814175,214.544875,101.6713,225.5723,4.4170894426641,3.52945230021568,0.872325362473268,0.854851909794143,-0.197061758879525,-0.2262535784096,"KIRC"
"ZNF211",0.0652536341587788,0.754660636646719,0.0342162552652486,233.130874895397,171.53815625,239.842176258993,7.4023371594779,21.7392545281053,5.99649333103328,158.06835,104.648275,173.310075,286.04815,245.89585,288.4963,210.214988888889,234.882638836773,215.58485,217.1211,191.217675,239.542625,164.8737,286.8069,4.21435348774328,4.62622336753621,1.11734486716798,1.00712596455642,0.160074540667085,0.0102441372431157,"KIRC"
"ZNF205",0.566854407157282,0.263947162856756,0.878209628762079,348.559832217573,393.0868125,371.909247482014,11.5492860920229,69.9280870844201,9.1836092577665,236.2632,200.4693,270.331725,414.3769,482.8067,429.75595,167.2866,362.583171294559,169.46275,328.5967,135.0494,196.184075,253.291,426.1957,5.4371981079355,7.3813170757474,2.16743702899431,1.93904973216828,1.11599007913231,0.955349805730652,"KIRC"
"ZNF45",0.12525133579803,0.982980179300829,0.108011697169734,287.056633472803,246.559975,288.306928776978,5.48022208230645,23.5325109500975,4.52696915926823,225.16725,182.148675,230.513325,343.16045,323.874025,349.086475,308.432170833333,286.531307879925,314.77175,281.0559,288.4259,335.40735,226.3158,345.346,5.15855579959896,3.48443842534749,0.928992935807455,0.892887941818159,-0.106260468693105,-0.163448967611866,"KIRC"
"ZNF133",0.887633721498542,0.787853210324311,0.767693457026404,285.178239330544,270.62185,292.213431654676,7.82700977410932,28.4319230455838,7.30161579610906,206.1058,185.06605,217.684675,324.9959,359.675075,329.536175,201.707533333333,288.863538836773,199.83745,263.1259,180.390675,221.55705,212.877,328.2708,4.48418324357776,5.2451425556992,1.43209097877078,1.31669964763862,0.518123147945835,0.396926289952451,"KIRC"
"ZNF436",0.924522654630204,0.996434904099629,0.912903470532886,543.666584518828,517.83688125,545.548452158273,17.862512178148,51.73596223601,15.476309869694,384.4509,344.922075,390.95575,627.74785,592.79695,658.194325,471.502351388889,543.445108255159,468.5085,508.6162,406.00305,528.492475,387.5439,642.5712,12.000166854413,11.475793711678,1.15258196837057,1.08560719816183,0.204869354695085,0.118502191748128,"KIRC"
"ZNF484",0.00416467011647448,0.415733784938944,0.0155454672237295,101.211147698745,73.5882,97.4803561151079,2.23736402245163,7.96245601667601,1.94927810235409,78.30095,53.613525,73.5659,123.35345,92.3876,119.346325,106.948336111111,98.4090632270169,108.04775,96.3423,87.157075,120.76305,74.4175,121.1001,2.7959493526422,1.46191579524365,0.92015515907398,0.891664102214067,-0.120050942030045,-0.165427758435448,"KIRC"
"ZNF780B",0.108682197568569,0.476440816263637,0.234307083092499,297.126615899582,224.43718125,282.833222302158,9.7995149733422,23.7941625918526,7.81748617292714,189.7312,145.61865,194.284125,372.66165,307.133525,351.317625,368.963311111111,287.606412195122,360.92215,255.7663,311.496225,425.58505,191.8584,363.628,10.7723982491022,6.05233838310513,0.779498675163697,0.708646726170727,-0.359381523967367,-0.496861499044074,"KIRC"
"ZNF557",0.124392496095961,0.999810730007723,0.120501520514153,161.722044769874,134.8609125,161.808979496403,3.53087937846181,10.0034463207681,3.15429247922801,124.25525,105.659475,129.096,195.07795,157.40215,192.385975,157.793394444444,161.000924577861,165.03665,155.5246,124.87105,195.2633,127.367,192.8,6.36991103259415,2.30669452794645,1.02032740435498,0.942364014296218,0.0290321608711018,-0.0856436463255593,"KIRC"
"ZNF337",0.114424371914908,0.981624665551793,0.128331008186987,639.406843514644,826.7194625,645.289796043165,22.2201745288866,153.832164855106,21.7130650123105,383.605,350.130775,397.186975,812.28295,1130.2882,795.074125,265.517784722222,648.028076547842,262.8306,561.5259,216.09105,309.17835,393.9853,810.5478,7.70158810022217,15.7800640265226,2.44062022898313,2.13645557252466,1.28724782302246,1.09521931656746,"KIRC"
"ZNF317",0.294066504736289,0.96803629483573,0.332078403425247,707.12880292887,653.84966875,704.173685251799,9.65905767209342,38.9861758402767,7.57714909790656,635.8087,552.4982,628.987175,778.33415,757.462825,764.845025,669.001022222222,703.482014258912,667.3357,706.7702,615.853575,717.6333,630.1115,767.1933,8.2016786440992,5.98999530434435,1.05154101547133,1.05909244777404,0.0725051236436799,0.0828285271242947,"KIRC"
"ZNF426",0.534147719865965,0.997986570588901,0.544170991949175,113.218956066946,95.23584375,112.871315827338,4.22233854476941,16.993881269781,3.89512986379944,65.6642,36.097925,60.92575,154.1123,162.029125,157.54425,166.699693055556,112.56741369606,161.65825,100.6244,137.4038,191.9173,61.4912,156.5082,4.75722121048562,2.81822875519917,0.675270671665514,0.622451375045814,-0.566462195098927,-0.683966954445985,"KIRC"
"ZNF331",0.344020466128391,0.862994450755104,0.439412879938548,550.175885774059,372.86469375,527.726779856115,34.7864782514825,36.6764927274718,27.7207795696898,345.38895,288.02065,367.3398,597.7091,430.5728,561.050175,1202.57134583333,531.631476547842,1082.8576,449.5589,547.3184,1770.679075,351.4454,575.9036,85.5320961108331,21.275558737506,0.442078948903812,0.415159758771606,-1.17762405780225,-1.26826148412561,"KIRC"
"ZNF227",0.0492574148824141,0.795502362408091,0.0267786604205489,294.486869037657,250.01895,298.642373381295,5.0488949187677,17.2403838651217,4.12355713787761,234.25125,207.674575,254.490075,347.90575,293.20305,340.102425,254.728323611111,295.246597748593,258.9301,290.3386,233.1317,283.043275,244.7726,341.9572,5.32541285140934,3.1809894095978,1.15906465980336,1.12130107700881,0.212961051051559,0.165173703645299,"KIRC"
"ZNF141",0.877864850604724,0.485675492324532,0.995046553419817,99.1556715481172,93.61725,94.6934503597122,2.91040438796924,11.0189500760886,2.59890993236849,68.6794,54.33205,66.473525,122.5481,119.093075,114.686275,95.4724555555556,96.6306362101313,93.4646,88.711,73.466575,113.94625,66.4433,117.9915,3.47027888647603,1.91019095596908,1.01213104499969,0.949140102241918,0.0173960941148182,-0.0753070362067182,"KIRC"
"ZNF304",0.0148562806231882,0.460470271460126,0.00395021309173171,356.739216317992,267.62676875,369.685798561151,8.5005080932375,23.319091774359,7.06161856335333,259.15405,197.473525,286.38635,443.23225,316.44845,441.186675,376.091180555556,360.811190994371,378.51605,355.6306,342.0341,400.7035,270.3681,441.3543,7.03595632023542,5.39261529912738,0.95937158234178,0.939539023510364,-0.0598383889541578,-0.0899750100321527,"KIRC"
"ZNF132",0.102311655310126,0.999997438831603,0.100122134267927,92.9290138075314,66.630375,92.9384755395683,3.53134128891589,8.71526096694519,2.75636802031265,55.2263,45.790425,58.850475,115.5048,96.7803,118.80375,188.234520833333,92.1716476547842,186.3974,84.4057,152.068375,226.387825,55.8691,117.0909,6.62647486425415,2.15959857774471,0.489663889741005,0.452826595220749,-1.03013628645033,-1.14296940247213,"KIRC"
"ZNF20",0.987116366188964,0.315842547928222,0.936988652667241,115.492329288703,116.75514375,119.572205755396,2.12861673464194,14.6843149336942,1.72581042804518,96.9461,92.1759,99.269325,126.8192,117.1563,137.759,153.452440277778,117.660003001876,143.2158,114.2857,122.89935,186.665425,98.4579,132.0842,5.08754037940613,1.38117102200658,0.766752244466686,0.797996450112348,-0.383167610276427,-0.325545766255158,"KIRC"
"ZNF670",0.285083336359951,0.464143546869891,0.132224467713218,51.6435656903766,43.67383125,53.7697697841727,1.36065178845307,5.86191325100516,1.17687603252722,39.00025,28.7992,40.108525,60.84265,50.80225,65.594275,73.9555722222222,52.4426562851782,73.12795,50.2939,63.3286,82.2838,39.0275,62.6649,2.13320490449069,0.884392710950113,0.709110276742883,0.687752083847558,-0.495918090358231,-0.540039489059824,"KIRC"
"ZFP37",0.0554715630607827,0.0744311802916054,0.00637928770625529,88.6335041841004,59.915,97.92435,3.21462798649357,8.7876797661129,2.84571081997992,57.10175,32.034775,65.277325,119.55335,74.610075,121.542175,106.389369444444,92.733674108818,98.127,90.7229,85.858725,126.731875,59.5099,120.1135,3.2136511745059,2.10248922138718,0.871644174536091,0.924545741742843,-0.198188781442708,-0.113183396401127,"KIRC"
"ZNF189",0.0330234179806285,0.634265508225791,0.0705034686702922,1310.61594142259,635.99465,1227.0907205036,74.8286982317538,63.3930444758538,57.484827902953,649.3862,484.0484,634.6145,1559.3495,750.797275,1511.1797,617.528972222222,1248.41975290807,595.08745,943.9589,531.0391,725.547375,635.8404,1511.8983,16.5909619437879,45.2494498738826,2.02163754101373,1.5862524071042,1.01552435992335,0.665622353327,"KIRC"
"ZNF434",0.849634883028885,0.875823767048519,0.754940437934726,279.080763598326,269.4468,282.049084532374,4.70270374491119,12.1265745021626,3.94803611581932,234.79635,244.85265,244.8885,309.89335,290.062925,307.334,289.345340277778,280.335780300188,289.7488,270.4342,264.198375,311.39635,241.3434,307.5346,4.08809211488195,2.9673745104655,0.968862259993747,0.933340189847206,-0.0456365179454032,-0.0995250751699566,"KIRC"
"ZNF287",0.30169297775697,0.172566992014295,0.659272282140976,131.414391213389,112.41275,123.542785251799,3.73013006663864,10.6367553649127,2.52964859853418,98.5315,83.2941,99.678325,149.6562,148.495075,144.650175,201.553956944444,126.812877673546,193.38255,122.9248,166.4717,246.1514,99.1879,147.3443,5.985700125277,2.15639514162366,0.629175827634583,0.635656112715444,-0.6684648501058,-0.65368161028416,"KIRC"
"ZIM3",0.999924778321978,0.866331043393009,0.985392614123826,0.064634309623431,0.06668125,0.0951852517985611,0.0177328934760924,0.0455570422828623,0.0541364179341498,0,0,0,0,0,0,0.117763888888889,0.0806303939962476,0,0,0,0,0,0,0.0362224264731009,0.0293459188754766,0.684678425254137,NA,-0.546501542175815,NA,"KIRC"
"ZFP14",0.0246057005569488,0.989153164280476,0.020800825107286,241.611248117155,187.77731875,242.599017985612,5.49099258926511,13.3600254370929,4.5603157409364,181.3049,165.133,193.14055,287.2353,219.903825,290.2669,229.4937,240.46899249531,225.4109,231.2925,201.6345,261.574525,186.9266,286.7327,6.05666491193347,3.46737029629641,1.04782393806588,1.02609279320565,0.0673963265913049,0.0371612048671576,"KIRC"
"ZNF473",0.0658326778526505,0.245600195461585,0.014722013391516,223.85750460251,189.35933125,232.293122302158,3.87664033517749,10.2919338949924,3.61795076289576,181.52685,159.006975,189.71555,253.99325,217.5936,264.00425,170.878654166667,227.185705440901,171.6274,222.9622,149.414875,187.70305,185.8073,258.2829,3.43310947172033,2.60390044984353,1.32951483348713,1.29910608679034,0.410899873531751,0.377519248058297,"KIRC"
"ZNF614",0.218730106252176,0.761476920268202,0.135061766097521,321.043783263598,247.0862125,331.703560431655,10.8443866707713,45.2684708334039,10.4776941415829,199.8437,163.17885,234.929375,394.82685,293.050525,394.962075,284.952331944444,324.361082926829,283.90005,307.1994,248.4575,325.099225,216.3751,392.9571,6.56891210026208,7.45294476338659,1.13829945069573,1.08206884782162,0.186880135152265,0.113792295145211,"KIRC"
"POGK",0.000362323477209436,0.739261451557436,0.000902468172952697,1230.6181539749,1578.88663125,1253.40451582734,19.3525668321932,236.777444411192,19.629082195897,1047.89845,1097.985275,1057.426375,1429.3855,1592.482825,1399.053975,1477.42712638889,1251.13906829268,1486.0515,1215.0039,1325.7904,1625.08175,1049.2162,1406.9686,32.214418197595,15.2581825972556,0.846836399539179,0.817605513671632,-0.239844812898902,-0.290523169502362,"KIRC"
"ZNF514",0.737118565942625,0.916511084099454,0.814031250725329,276.935151046025,248.726875,271.786706115108,9.99888386628048,32.2784599247528,8.43178932531473,165.24245,152.03325,168.51635,367.43285,322.3513,334.885075,158.915756944444,273.224677673546,149.3343,233.7283,131.028,190.270825,165.5194,355.8454,5.31806015978367,6.35081596149701,1.71930513957192,1.56513473461891,0.781825614786776,0.646286856902078,"KIRC"
"ZNF300",0.989435212789053,0.28839795944339,0.788759686698973,149.952148953975,154.0512,134.749066546763,8.24164456675823,38.7338812907737,5.9300211085941,68.8364,73.654275,69.82215,178.96255,188.2163,176.881075,107.914779166667,142.047629268293,100.07095,114.5565,75.3394,136.726925,69.6584,177.2018,4.4111255408749,4.95493770988007,1.31629449057122,1.1447527978899,0.396482294967385,0.195036091106194,"KIRC"
"RBAK",0.94895475321441,0.981395352860492,0.967098582028266,535.26430041841,520.19543125,532.182839208633,13.1538086875636,48.1455980004825,10.5597941450633,418.13975,425.235475,422.13075,619.65415,583.571725,608.57025,423.679398611111,532.885747467167,433.6373,498.4408,365.50775,478.807425,419.2112,611.6197,11.4779570836723,8.19165848867248,1.25775704274046,1.14944171084914,0.330853267936504,0.200933307638452,"KIRC"
"ZNF92",0.877024890589027,0.635471441073673,0.702097757496327,178.78770083682,190.79024375,171.15954676259,6.26643628975224,21.8457200445666,5.65080836842233,129.36695,133.64315,124.846125,202.8985,224.988,187.763025,181.505359722222,175.035465290807,178.37495,156.6273,147.86395,201.2942,126.8279,198.2201,6.29315751467742,4.12673443871049,0.964354251349288,0.878079012776177,-0.052364883305101,-0.187577330284446,"KIRC"
"ZNF157",0.754610014478697,0.863182303551129,0.643268255545203,2.60181422594142,2.16443125,2.70977769784173,0.15505824498598,0.441136382985159,0.142249761224747,0.8581,0.79575,0.9924,3.59925,3.47965,3.667,6.51038888888889,2.64970337711069,6.279,2.0137,2.7845,9.177125,0.9175,3.6199,0.448802206437263,0.102357896876966,0.406996175241217,0.320703933747412,-1.29691285810212,-1.64068604493357,"KIRC"
"ZNF182",0.904167962910886,0.889140108991661,0.960319675130985,226.695852301255,216.97733125,223.110331294964,5.82338135661204,17.9891457499856,5.22124936135677,163.7853,166.0656,165.8981,273.60685,284.915875,264.772675,153.924902777778,224.377876360225,155.26175,211.0574,139.54375,171.970525,165.6678,268.3693,2.75506974918521,3.8071804737768,1.45771004113714,1.35936507220871,0.543703776032607,0.442932959515804,"KIRC"
"ZNF673",0.182613495773171,0.954930121265242,0.147963687410483,272.994683682008,232.9470375,275.237194604317,6.38358913996468,15.5006522173259,4.72364768154028,217.0285,183.025175,227.911175,309.58185,267.705,301.386125,183.2125625,272.900437711069,180.72255,261.1784,167.065975,198.71315,220.6304,304.0724,3.21322690680176,3.81209138680164,1.4895290693348,1.44518987807554,0.574856279193976,0.531259055467435,"KIRC"
