"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IV-Stage I","Stage IV-Stage II","Stage IV-Stage III"
"ZNF426",0.440022979456602,2.18175855393188e-06,0.144415224290808,4.47208378440145e-07,0.035563988815041,0.820810257793773
"ZNF331",0.431517958269689,0.620265900964547,0.124795516653229,0.257350915492911,0.0443285185776994,0.899175704440232
"ZNF227",0.99990689599284,0.209664073716884,0.5866198178621,0.44465500228605,0.731302633509553,0.997968850477013
"ZNF141",0.105975234699423,0.653310547803204,0.573270388996917,0.999932498850516,0.233873409266562,0.835491695676177
"ZNF304",0.193469319477618,2.04746494425478e-06,0.328933358890072,4.02194610948925e-10,0.00535194010557583,0.150378842242839
"ZNF132",0.0835092162527679,2.78936795883311e-09,0.136284134715294,5.15827081049025e-08,0.112297122166002,0.992067440613677
"ZNF20",0.999999411768858,0.000570827147252762,0.0386201345191738,0.605096150573814,0.799729695409661,0.219590789090192
"ZNF670",0.827200116905013,0.000399317877309069,0.211626623299059,6.43811513401094e-06,0.0223044777451823,0.574743367960245
"ZFP37",0.0279605663666619,0.0210542609486728,0.937175663444775,9.37603212746163e-05,0.852986239674119,0.359546467867571
"ZNF189",0.0628475534447754,0.00163284515540096,0.99674944099837,0.000551042389260292,0.876588153518403,0.906988864308508
"ZNF434",0.997291783474095,0.962554701457989,0.957113754987288,0.99962795290137,0.995062382979567,0.992116853928885
"ZNF287",0.75732449812549,0.0134272454813901,0.651885686573118,0.00147871570457137,0.255223479970183,0.793441341425136
"ZIM3",0.0412233158251151,0.961128057013106,0.160335967111103,0.887141006878784,0.312245944057287,0.99353856848063
"ZFP14",0.934902260254169,0.0755440676949383,0.689401948507238,0.0669043324304756,0.567651738732283,0.988213561945221
"ZNF473",0.41277566932241,0.0113299550843275,0.900732887432243,0.00146817464624471,0.518942048967477,0.81448500159997
"ZNF614",0.254627291427034,0.200935434769014,0.986141982050426,0.00232038750096852,0.735163022602872,0.361334741888718
"POGK",0.556441419827742,0.998551398558507,0.561360006698091,0.66740325940058,0.991811106847574,0.672449817447555
"ZNF514",0.726099211912867,0.75442242070255,0.992735187417076,0.99933285436706,0.857120248373107,0.914478453910979
"ZNF300",0.636361571067931,0.16112815857709,0.0623303393343045,0.0883120310034895,0.0339896948467391,0.963253972680463
"RBAK",0.99969348409861,0.999739225402956,0.998854119444089,0.966058671645138,0.974783273602868,0.985889673416967
"ZNF92",0.0454828792442827,0.79891666320463,0.292324533730118,0.262420508121528,0.809681527998326,0.79680858906761
"ZNF157",0.999270058547443,0.475691747863589,0.694529643231607,0.362278602861128,0.565891629384328,0.98680218847832
"ZNF182",0.98332613450907,0.0403592684224103,0.456059604570545,0.375396788530897,0.825103508135073,0.925599150459129
"ZNF673",0.999832777935895,0.121020479403729,0.39522848963522,0.964588419180325,0.976403922579467,0.575731810809044
"ZNF41",0.909796539165488,0.686837472298991,0.527109527470124,0.138983856330279,0.14415672064837,0.718128960977978
"ZNF7",0.594407027519576,0.100825165663699,0.975733821822056,0.0213851123261786,0.728339854763158,0.860332800943929
"ZNF214",0.935005517468082,0.172186982064953,0.8297503993097,0.2407212313183,0.823691154692035,0.999783944535087
"ZNF215",0.99951809822462,0.928910083551,0.989335899999744,0.99999934267176,0.999611313136399,0.963586168637136
"ZNF547",0.997648385870039,0.447885456899047,0.640790887657182,0.999881360822312,0.996723030838711,0.702287409065093
"ZNF773",0.801739998023428,0.00985825557117104,0.563038422232329,0.000782950427531959,0.178046205337712,0.753343046200539
"ZNF776",0.650210097294615,0.00122399919112226,0.456881893400955,0.000330376793664988,0.20126791600706,0.886399309163136
"ZNF256",0.999943207505237,0.0163266488882909,0.165694000997698,0.00354566269208689,0.0536788160244254,0.873590252160811
"ZNF599",0.914349516390202,0.928608781780919,0.743559747646283,0.990365477881944,0.86535930512066,0.997093282991856
"ZNF18",0.958742834035153,1.17355625772753e-07,0.00383745517719014,1.32604884172105e-05,0.0124232380521551,0.998788384922673
"ZKSCAN2",0.0995153954891564,0.0630271965314528,0.977150446030936,0.011827532668541,0.991773312021471,0.849937747141091
"ZNF689",0.439922176498878,0.00219677181949829,0.714950720887867,0.000344384140392839,0.336599313791558,0.836072420181107
"ZNF19",0.81235146116106,0.0213911142710219,0.659677126904668,0.000698751564121802,0.164685089016638,0.619458753254568
"ZNF230",0.286758473800178,0.00265947870978334,0.868079165742392,0.00178694858090778,0.668566297448148,0.957751639403675
"ZNF222",0.154346535386526,0.000386874618490407,0.847807918255343,9.36444150112514e-07,0.158158515611184,0.371384097505031
"ZNF221",0.481871385754151,0.00594116333528416,0.789726152508772,0.00244742444078927,0.521709001765837,0.92986885949026
"ZNF233",0.996562483941934,0.182818260238668,0.643141046297159,0.178652468254447,0.565233425481818,0.99483978893749
"ZNF235",0.491166146527948,0.0255939612816984,0.923987252027378,0.00563621647918522,0.624308159874546,0.874656440459504
"ZNF208",0.588689075159387,0.874949304221914,0.920017396797878,0.425572492142804,0.999981623669207,0.869546804247258
"ZNF714",0.992414692932335,0.845075007928395,0.849400184937796,0.464611030596781,0.842951320247661,0.22119903185919
"ZNF394",0.927139213264411,0.995176024509975,0.887742096983515,0.895609747483933,0.728411874241905,0.971726625056663
"ZNF333",0.978909705675739,0.574741583586673,0.956926533742618,0.980999633136562,0.999928797551738,0.916490683841293
"ZNF382",0.999585518866457,0.00143282606640971,0.0474423253444276,3.47749002967968e-05,0.00369845516203293,0.615942418135867
"ZNF577",0.287436794853333,0.0268783682444163,0.991830150559168,0.000330646845760119,0.468650699913047,0.476785385208847
"ZNF75A",0.997763206859782,0.928914655559963,0.937397192876008,0.351542829274918,0.525577506872257,0.754492601793149
"ZNF496",0.908006844664965,0.174623174814237,0.866616969303836,0.00118318253779226,0.138226444015487,0.304970478937437
"ZNF2",0.86197610815249,0.302261840204082,0.965786867336485,0.0629152447248919,0.660443521771816,0.824549108479029
"ZNF589",0.500821233750593,0.181249178406357,0.999668549504981,0.235208365046329,0.99772653947887,0.999453226747222
"PRDM9",0.994648813364413,0.949536008660131,0.934635614478187,0.10913760426067,0.248205584616449,0.388149689622269
"ZNF12",0.998897269201229,0.963283510821848,0.967806834008648,0.980823386210697,0.97782570270965,0.999989819767974
"ZNF202",0.996748587774934,0.015280823369941,0.255543653864336,0.283347153448451,0.677266506201032,0.887528328711328
"ZNF3",0.814614956968784,0.502915980350034,0.298898754246454,0.992939244690169,0.946366106456006,0.554882020902603
