"gene","T1-T0","T2-T0","T2-T1","T2a-T0","T2a-T1","T2a-T2","T2b-T0","T2b-T1","T2b-T2","T2b-T2a","T3-T0","T3-T1","T3-T2","T3-T2a","T3-T2b","T3a-T0","T3a-T1","T3a-T2","T3a-T2a","T3a-T2b","T3a-T3","T3b-T0","T3b-T1","T3b-T2","T3b-T2a","T3b-T2b","T3b-T3","T3b-T3a","T4-T0","T4-T1","T4-T2","T4-T2a","T4-T2b","T4-T3","T4-T3a","T4-T3b","T4a-T0","T4a-T1","T4a-T2","T4a-T2a","T4a-T2b","T4a-T3","T4a-T3a","T4a-T3b","T4a-T4","T4b-T0","T4b-T1","T4b-T2","T4b-T2a","T4b-T2b","T4b-T3","T4b-T3a","T4b-T3b","T4b-T4","T4b-T4a"
"ZNF671",0.99994897646137,1,0.999375756955102,0.999999999587865,0.995665564861676,0.999968473102683,0.999999999607011,0.995046580674881,0.999863377768886,1,0.999999999990996,0.999776350306177,0.999999972454249,0.998815271021337,0.994384740899454,0.999999986070297,0.990926047586886,0.997159735647462,0.999999997364289,0.999999942892055,0.958948518434584,1,0.998857064986948,0.999999999949838,0.999987657878345,0.999902117432114,0.999993372102492,0.995698626290599,0.999918402557055,0.999999999986283,0.98134161837417,0.899765199449224,0.853575294019455,0.992961412261416,0.760681560697,0.956231976886577,0.999999999663639,0.999893469301327,0.999997855903564,0.995934824035966,0.983218632967216,0.999999999773576,0.91733720119789,0.999878735323695,0.997040934754867,0.999699935749322,0.933580276929122,0.965067962728069,0.996446511380568,0.99441718520049,0.926208184147964,0.997802585468247,0.9682500483288,0.680353441259348,0.900218610438551
"ZNF416",0.979428587853041,0.999695201915166,0.997306712749833,0.999997930832724,0.978305225527052,0.999310182780352,0.9998455930014,0.994998929642704,0.99999999896235,0.999789064644752,0.999733841591318,0.996754346411016,1,0.999346914243132,0.999999999884801,0.999648377741212,0.996930894393895,1,0.997935596055671,0.99999999273278,1,0.997880993737298,0.99942782894388,0.999972664207712,0.939708673852343,0.998130359546275,0.999876712335152,0.999803219273462,0.999999999843514,0.951553833096882,0.994794292497252,0.999996214507477,0.997160139317765,0.995071616819309,0.991882305726562,0.944932341890621,0.999997870482704,0.975577652535126,0.998092684770365,1,0.999219502135823,0.997993394639855,0.992808643148496,0.85416196802022,0.999995121197175,0.998638347330857,0.999956886859661,0.9999989592912,0.99902143828188,0.999989769289465,0.999997925484587,0.999998514596028,0.999999999932586,0.993584915299749,0.998652486854847
"ZNF586",0.991500604546558,0.9999999853303,0.807594308635614,0.999999999984372,0.877682247957153,0.999999768093704,0.998419103762274,0.999929348959752,0.0136772651883,0.10563778112207,0.999988099448706,0.996175202932325,0.408388012598941,0.772333477819585,0.976616402545209,0.999993727179396,0.994374253714497,0.339820748133806,0.750235118863566,0.896857872178622,0.999999999974391,0.99965515395859,0.999518804393813,0.040505832200123,0.23475163589056,0.999974280891081,0.999425568183146,0.992891140141184,0.999999999995117,0.921501837324075,0.999999991335341,1,0.702543136372359,0.982107083140163,0.985358097182701,0.849843062707968,0.999999999906409,0.960500432155316,0.978316533207375,0.99939852923848,0.355641173982639,0.988584147591469,0.989296980017121,0.630714077316208,0.999986449188141,0.999998863093742,0.998244732195448,0.991170860764054,0.998468714356157,0.999910394874517,1,1,0.999998270780851,0.99961184276959,0.999994980731938
"ZNF446",0.999999351440607,0.883618065026279,0.565529709998228,0.994700011526526,0.903835368102403,0.917737583510325,0.999997764965463,0.996824543054345,0.00944054696049623,0.784040394674175,0.999992031422622,0.994873542686953,0.0367465030684658,0.910445336487116,0.999999997102595,0.99999836084812,0.997134094792463,0.00472163477174892,0.721218261554235,1,0.999999964795584,0.999999936175782,0.999075901459596,0.000957287341759927,0.467480493040612,0.999987715314443,0.999784483712471,0.999993405365844,0.999999899027365,0.999360607820902,0.432507216150529,0.977620446551869,0.999999999818475,0.999999965286691,0.999999999969019,1,0.999975014954265,0.991785571679575,0.0769042042491209,0.96420675330797,0.999997864113321,0.999999998670933,0.999990984289937,0.9979345115224,0.999998948090791,1,0.999993126856513,0.396306133783547,0.925104099434699,0.99994273088389,0.999800194118684,0.999956947320629,0.999998742009691,0.99999917905874,0.999378053457319
"ZNF8",0.999999444033576,1,0.999995321078333,0.99998866012383,0.994761533383961,0.913952567084703,1,0.999966407764136,0.999999859720369,0.954806229152927,0.999999999957438,0.999880455800577,0.999967946982441,0.993307074714335,0.999999932350701,0.999999540506229,0.998340241268119,0.956365872799846,0.999994570045117,0.982087764073021,0.999424489036869,1,0.999993849445567,1,0.831265924355617,0.999999458220636,0.999882386868497,0.850333483685142,0.999999782666343,0.999222086476168,0.999557979268817,0.99999998086382,0.99994832772527,0.999998117161192,1,0.999357421399992,0.99999989205437,0.999056281435766,0.992057641548591,0.999974432634341,0.998529657917561,0.999979670987523,0.999999999859245,0.975769338162111,0.999999999999006,0.999981879933384,0.996054285893923,0.995396890052578,0.999999999936286,0.998517952591677,0.99970278509552,0.999998877736097,0.994198540886816,0.999999884073395,0.999995753351149
"ZNF264",0.998990762445588,1,0.984385085542975,0.999999726243463,0.921978362973251,0.998598351643564,0.999982177435884,0.999926332660908,0.781132229828412,0.245578131747097,0.999999999996492,0.993723706418474,0.999998405124879,0.967770283218572,0.934585367293007,0.99999874052394,0.999571838058746,0.940305889827237,0.437473473109929,0.999989563156367,0.993894587393285,0.999923593945563,0.999981591138394,0.534255666954647,0.107045661762478,0.999999765022598,0.760313524477403,0.998138727583922,1,0.987407889820259,0.999999999995463,0.999995151400441,0.982836314693695,0.999999420290216,0.997015036701151,0.95231885330302,0.999999997945038,0.954878488634551,0.99997832281905,0.999999206399183,0.306868766916776,0.994951790346712,0.543553291577834,0.121536375443093,0.999999995796461,0.998536708981524,0.999999999987762,0.896002356785121,0.637609230272948,0.999674639977602,0.953647685605703,0.997157299164828,0.999945168239718,0.947203211558428,0.74146992937981
"ZNF213",0.991042477928597,1,0.943259365859366,1,0.920537251946639,0.999999991958963,0.999999993964931,0.970997425126738,0.99999387495956,0.999768930505682,0.999999999966015,0.954551951511146,0.999999999792676,0.999998637655636,0.999999866194776,0.999997862057343,0.99112066492434,0.988217315172757,0.965739461978589,0.999647540059643,0.994772933686991,0.999517024359676,0.999611860784937,0.464137629541831,0.407486779306713,0.603829929530754,0.481532320784656,0.950102206252904,0.999999999898253,0.904038969231996,0.999995384631993,0.999999952670657,0.999498629703339,0.999963295954711,0.986423404966618,0.772683236609812,1,0.906443708766453,0.99999982401906,1,0.998490406713316,0.999985021988785,0.887670928993676,0.175491187716757,0.999999981527997,0.999999986200107,0.993482466863551,0.999999884072011,0.999996918324558,0.999999999999402,0.999999993394083,0.999999998662657,0.999704869893263,0.999954711615932,0.999992180112971
"ZNF343",0.999384196688913,0.998916947818263,0.693000883201262,0.99972212243529,0.776387629711666,0.99999991807184,0.999742099744901,0.766129213772576,0.999997525179775,1,0.968372365333568,0.372925527829538,0.959560843343753,0.892564086432064,0.649364363069812,0.988000173684279,0.475185806143628,0.998018120871925,0.984045175298819,0.88199318067696,0.99993808342714,0.999875928671871,0.796602284224478,0.999901073112924,0.999999992831498,0.999999996205919,0.437291184520784,0.694602364151044,0.999551260209239,0.79643337524974,1,0.999999999702868,0.999999995715357,0.998675479432244,0.999972548031604,0.999999762454913,0.999966072711878,0.84946754980772,0.999253828061733,0.999997610172424,0.999996130226238,0.46189965472635,0.710152171354524,0.999999971949014,0.999994427256663,0.928421577607945,0.357304933362517,0.973133211028769,0.943807030840121,0.912432306717351,0.999946564247283,0.99836235377408,0.871219999199985,0.991047428686675,0.835087999105762
"ZNF302",0.999999996851558,0.999999992707191,1,0.999999999996293,0.999998566039506,0.997086749074021,0.999999904769416,0.99993314317931,0.796356670353292,0.99996528620622,1,0.999999804563423,0.999128837319226,0.999999995062681,0.996943686685025,1,0.999999994073046,0.999971280147656,0.999972773345273,0.923065941680806,0.999999541103619,0.999996851701652,0.999592075674469,0.447427020744129,0.99557095226583,0.9999873405209,0.92562272414052,0.559164097117836,0.999978742538083,0.999099254761705,0.905572977852816,0.998768605256781,0.999978910948922,0.993098484544214,0.968969940977625,0.999999941662747,0.999999999996791,0.999999999159024,0.999999210901535,0.999932981500853,0.944368910508538,0.999996945235668,0.999999999971884,0.689863718399196,0.9653329641293,0.999985281705674,0.999391464297132,0.971264257734084,0.999708066673347,0.999995915219128,0.998471032185961,0.992908006594378,0.999999986287476,1,0.991092150778251
"ZNF268",0.884649060095048,0.999999999997824,0.443578980778834,0.999832074902188,0.92646019027269,0.54531256917018,0.999999483004111,0.756912495053856,0.909776706788154,0.996898859017554,0.997681370214341,0.973234043605205,0.071723638804242,0.999908578565923,0.713581650070417,0.999964055551578,0.865329775551589,0.462284734440639,0.999999530865834,0.999372151671913,0.975308515615729,0.99999872844139,0.773947783747516,0.833584549207713,0.998399922098247,0.999999999978043,0.737076341391532,0.999795562497464,0.999999995862055,0.476693540500928,0.999999986156801,0.845167108594528,0.984129586590134,0.509573208774491,0.884531342644518,0.974003289091837,0.998390179356532,0.967630875146126,0.112348193287518,0.99998496082099,0.815760152786336,0.999999999994341,0.991192551192411,0.839177414371885,0.570429227367067,0.995140645783314,0.998370125685687,0.701853252813549,0.99980457518939,0.977488519192251,0.999999494096453,0.997630210767266,0.982594752948674,0.77670868956035,0.999998068032234
