"gene","p-adj-Low Grade-High Grade","mean-High Grade","mean-Low Grade","SEM-High Grade","SEM-Low Grade","Q1-High Grade","Q1-Low Grade","Q3-High Grade","Q3-Low Grade","count-High Grade","count-Low Grade"
"ZNF434",0.00106889065867344,260.655321987952,326.89872,4.78331216558393,19.6829063781517,203.443925,287.014825,307.6982,385.90855,332,20
"ZNF287",0.05337766806878,105.340147891566,133.30703,3.46664775007486,11.8867843637092,63.940975,82.58835,131.366425,184.6587,332,20
"ZIM3",0.605824843397885,0.0532081325301205,0,0.0252501205641767,0,0,0,0,0,332,20
"ZFP14",0.22156710216328,183.876796686747,219.383075,7.04080358847328,16.4669082249185,100.403575,172.542025,233.36105,255.705625,332,20
"ZNF473",0.108256231906597,301.304263253012,242.021205,8.98447706053108,14.4073677827307,203.06125,180.230475,357.515075,276.692875,332,20
"ZNF614",0.00374039904175194,273.786540060241,456.834755,12.397400116646,154.541736881378,154.117075,131.42175,319.1476,412.5653,332,20
"POGK",0.574329196933293,2679.64936054217,2407.325995,117.677261977894,267.76624381373,1412.87125,1648.371125,3173.783175,2856.47665,332,20
"ZNF514",0.512678359913572,266.970833433735,291.33359,8.82626320993902,38.5128098627019,150.045775,151.37355,347.413075,352.9232,332,20
"ZNF300",0.0653493208096844,206.482604819277,319.812705,14.4147671405145,72.1538163652494,42.9158,128.68735,265.321525,401.2254,332,20
"RBAK",0.278503721953434,471.658802108434,425.65788,10.2032675336821,33.2090486960871,341.2952,300.48205,563.100775,499.495575,332,20
"ZNF92",0.218833205170143,246.04791686747,200.508225,9.01970106734991,14.7724275169974,140.920075,154.050075,301.962875,239.850425,332,20
"ZNF157",0.673201834726085,1.53882228915663,1.82453,0.162778434576839,0.545067686530765,0,0.1911,1.889025,2.175275,332,20
"ZNF182",0.00314203969780502,179.780615662651,243.81834,4.74182801418285,39.4018693116866,121.561225,156.682875,220.97625,250.40795,332,20
"ZNF673",0.716573825075722,212.070004819277,219.513555,4.90356966512572,18.4005924893087,157.39825,172.322075,245.5303,247.602675,332,20
"ZNF41",0.00936165324349258,221.586939156626,289.23698,5.75449587509679,45.4891740976747,144.43865,155.143175,275.6484,344.070075,332,20
"ZNF7",0.251865819949848,494.090048493976,540.451015,9.62000535265338,39.8268060269775,385.110275,437.404625,576.929175,597.7232,332,20
