"gene","2-1","3-1","3-2","4-1","4-2","4-3","mean-1","mean-2","mean-3","mean-4","SEM-1","SEM-2","SEM-3","SEM-4","Q1-1","Q1-2","Q1-3","Q1-4","Q3-1","Q3-2","Q3-3","Q3-4"
"ZNF671",0.998378976731127,0.724452796205931,0.806711269746864,0.366219699419476,0.300078101653614,0.0931156615691275,55.8039024390244,53.8054785714286,42.0200866666667,82.83906,11.3967540993368,5.9793971810726,5.40113184188455,18.9138865645546,10.214,27.276,13.84375,26.6094,79.5349,65.722175,66.786825,119.73405
"ZNF416",0.37756290867786,0.273979857962258,0.986310873066824,0.77874933369182,0.996087170933694,0.965622851907948,147.128241463415,123.639283333333,118.21989,128.09344,13.3470194726448,7.26572685624325,8.69960059161438,21.7812859112736,99.6509,85.707825,94.916075,83.12805,175.8178,144.50945,147.352125,135.80255
"ZNF586",0.0141821516760099,0.000177340314428176,0.417199999611766,0.0060692989953397,0.681880730390763,0.999588929528011,251.732614634146,189.834680952381,155.944833333333,158.98908,19.8467067178198,11.6585530764988,11.8251976462142,15.4094041209417,171.4023,135.211475,103.3323,127.0741,308.0128,229.22765,189.05525,169.4909
"ZNF446",0.00458396233794489,1.05090932622787e-07,0.0217639732253173,0.00411945937473301,0.76744683678505,0.576679330070726,459.621117073171,319.674083333333,190.02765,265.43512,44.6180988534371,18.480450546727,14.2527633570482,35.6362503477397,283.4592,221.041375,139.318475,186.55575,532.7297,373.82605,223.19275,264.5712
"ZNF8",0.459932818401768,0.337838328796715,0.986206493051516,0.413371612654533,0.963481071057826,0.99724420622593,140.212380487805,115.232580952381,108.90046,104.05162,17.8507498916819,7.0383520350031,10.481902428162,14.0551289141356,93.4109,81.37625,73.0277,73.63625,154.386,141.013475,112.817325,110.8902
"ZNF264",0.125192333214976,0.000113576856192843,0.0763874582424641,0.0702851767553495,0.825947647121697,0.737244968601017,852.061397560976,709.164142857143,538.238406666667,633.20708,63.7738587935488,35.596660319552,36.1379613209341,59.0233933795553,630.105,568.38035,396.538975,440.60225,1009.933,840.868,631.71795,777.25365
"ZNF213",0.903989747524762,0.0643878678452837,0.0111705804344356,0.159722605284212,0.0503733921943835,0.999643277579609,555.642575609756,587.4875,427.643266666667,420.932173333333,34.3930981045619,40.0811062318459,27.7184021013226,34.0768307611791,393.1624,409.68305,338.216975,361.6011,664.7276,674.152575,471.53705,445.60645
"ZNF343",0.925370895987342,0.665492965903903,0.319934207904983,0.912711431048246,0.996856407814414,0.444406162796438,306.645375609756,290.472335714286,339.1686,283.086813333333,19.0148635999632,14.6434510154665,26.232797434689,29.8550720503614,223.6398,237.88485,238.912825,216.32585,370.341,329.32085,381.608675,305.3452
"ZNF302",0.0120098605466176,8.61590267633439e-05,0.343136049097457,0.00808494746052624,0.760141185151885,0.98757079050912,627.727341463415,415.156873809524,291.05496,323.443486666667,67.7953931149554,33.945773735672,49.752645641919,36.9593030543505,365.6087,242.894375,188.205875,224.87,753.5121,552.2538,282.903475,422.5342
"ZNF268",0.827518405809279,0.242553914837262,0.688845839249658,0.60052471451692,0.924570715580668,0.995070474368206,385.590765853659,355.458714285714,313.198916666667,325.40818,29.5214287876369,24.2345257429791,22.3329117394203,38.7533552151125,280.0948,256.60435,236.005875,190.58495,452.1576,398.731725,391.40095,416.8876
"ZNF184",0.879678109291696,0.790584628851881,0.374891069965006,0.665017711488436,0.335161923765814,0.98057701119198,243.667275609756,266.095338095238,213.03389,196.302653333333,13.4944351560446,31.8763550788761,17.667386273767,11.3872569366976,168.4558,167.7403,135.892125,168.74195,283.5052,285.1116,255.736725,233.05685
"ZNF500",0.959392766920991,0.886391592098531,0.992879211774772,0.952639805161088,0.809437176342329,0.71809593117027,195.064024390244,187.950707142857,183.709473333333,205.39254,10.3088321274141,9.71720904303216,13.360133846018,12.4958957196384,151.1848,144.25035,140.8421,178.39075,231.2139,218.802725,216.023825,236.2774
"ZNF419",0.0425552322293011,0.000904427262918395,0.460673214753814,0.0843355388571863,0.969326760036707,0.90460263711062,240.620251219512,176.496811904762,138.097586666667,161.6405,22.1081362859521,15.2248906167881,13.7423141340635,24.1311443987916,147.9271,122.08405,88.44745,106.5258,325.4797,194.319925,164.18795,181.33255
"ZNF175",0.762426115629639,0.00147181678531283,0.0238682171679861,0.353703965462653,0.781416493081683,0.577222531586467,262.717251219512,220.620971428571,85.5545866666667,164.95548,45.5527657851823,25.8226961084973,7.42141238618741,28.5045325082073,112.4372,121.721475,64.9495,96.45315,290.064,271.7361,115.949025,244.85265
"ZNF14",0.415136077877071,9.07021158180754e-08,4.47735846402786e-05,9.51068760797202e-05,0.00537997550012381,0.988428428550865,232.480897560976,203.639545238095,108.54498,117.20806,17.0330712524344,13.1984468378045,10.6450531270227,10.7844580787477,165.1688,144.664475,73.963525,88.83595,279.6171,242.507525,124.48895,138.34765
"ZNF85",0.606920635612503,0.000507299041726084,0.0200973732964455,0.0234844579394451,0.195182210238994,0.988040126512394,196.12302195122,164.929461904762,83.9216766666667,95.7769866666667,26.8825061281713,13.6770388395492,10.2322117229154,14.9924055461483,111.2051,107.121775,35.90285,53.38965,207.9475,210.2155,108.27645,129.27075
"ZKSCAN1",0.154761878002259,0.0473204342579551,0.897381081646759,0.0801610704683617,0.816659028975225,0.989994348875097,741.583453658537,597.671695238095,545.846196666667,515.80594,59.6532651135865,46.1313312614592,39.9357490209175,70.6761062652535,447.8673,372.367325,397.77075,360.7837,991.5408,750.338825,689.33335,567.4183
"ZNF862",0.00810885729860134,2.51653331651003e-06,0.0845871230368338,0.0601901518215099,0.998262166425946,0.357741170868619,671.466956097561,416.442469047619,212.090126666667,398.204026666667,83.9626914103557,35.5937676705355,27.19455972846,84.4304756548411,318.0095,253.766725,120.763825,250.14135,893.8148,558.92035,250.3592,437.64425
"ZNF684",0.697778236704345,0.142343380669465,0.649839574832469,0.946913082924222,0.537095239574204,0.14065270039551,60.3351780487805,50.9187071428571,39.93359,66.8574933333333,5.88310659838365,2.93292869114161,5.242447482037,21.5336761980292,36.5239,36.740675,26.97755,36.25125,64.7663,61.982975,43.2826,53.12445
"ZNF430",0.637473085121339,0.060426513458079,0.468931376536735,0.0049386428749304,0.0576514526773444,0.54900104306757,162.54696097561,145.422726190476,122.55689,94.9812866666667,11.766627023618,9.54937531362837,12.1207904368631,10.9902995518423,108.6449,102.233275,76.859325,61.4168,205.0143,181.528225,153.632625,117.5436
"ZFP30",0.973466298875431,0.0308390170930577,0.00946116294121147,0.401627550830902,0.240137872863013,0.924345571335569,217.664953658537,230.461904761905,126.577956666667,153.392766666667,19.3085623697333,23.7132265439945,26.3610707392988,22.7525369476182,146.7607,132.613175,62.976875,113.78725,246.5045,258.72795,146.126325,160.5565
"ZNF549",0.127419033289062,0.00114125693098843,0.266395444598078,0.0649812999279762,0.806247777020292,0.952565615459798,218.758102439024,169.001071428571,124.16186,141.26584,22.3674830947346,10.2954203503392,14.3599277510058,24.5902142298242,144.8985,128.931675,79.908675,80.03165,273.5978,204.859125,162.369075,163.8984
"ZNF211",0.0909964407298912,0.000126150999351204,0.10982784409645,0.00575563534965462,0.357707762746908,0.998679261395007,573.932985365854,404.232326190476,225.991,242.014546666667,80.2748564167518,32.7452238677514,26.2548669074267,39.1271332248569,323.424,288.1297,136.365925,151.41895,601.6327,479.95695,249.614925,265.9302
"ZNF205",0.490700233779785,0.00356344702049571,0.124394019845511,0.0936972164774883,0.55395311409784,0.974454834870355,392.750787804878,340.182269047619,250.69299,273.283226666667,39.4111510917525,20.1249173343029,15.1933358930084,20.8325327891703,237.0425,264.450475,192.294225,208.24175,489.1099,413.1829,287.55825,328.86015
"ZNF45",0.930624192076626,0.204325119507597,0.4850594552075,0.896139528831346,0.993574827964791,0.841006268689918,279.593517073171,262.227476190476,217.55817,251.854726666667,22.3006386902425,23.7559663105246,14.3664117242437,27.5671062279122,192.0169,182.71915,176.383075,189.57485,329.0422,284.335625,252.440175,287.545
"ZNF133",0.612105190261515,0.167903562565953,0.773606234295841,0.0918270867133472,0.460900709917671,0.90791499574491,501.004365853659,437.683783333333,383.790123333333,333.852146666667,51.1356950148345,32.6146318249414,25.0994053771425,31.138034510389,326.2456,317.26545,312.4053,263.1636,593.6581,503.270025,461.591925,360.19895
