"gene","N1-N0","N2-N0","N2-N1","N3-N0","N3-N1","N3-N2","NX-N0","NX-N1","NX-N2","NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF284",0.794406766087252,0.974480370381495,0.98146336722517,0.999851628366839,0.965317801715931,0.995503444696878,0.820717066859851,0.462848501687051,0.672050796609717,0.994546895164364,41.778641314554,35.5232052631579,39.0888166666667,43.6041,48.7080740740741,2.27674543007042,3.7472820174617,3.65662724327475,10.4556272119713,6.53613279160794,22.0241,19.44485,18.01445,28.0572,25.2615,52.4564,43.084725,46.0767,71.128075,67.95925,22.2975421052632,41.1075323529412,23.3035,34.07245,14.65425,28.707,21.776925,52.4632,2.38642847531541,1.52446436982057,1.84359030062054,1.46211727852039,0.882518082592221,0.548059036566562,"BLCA"
"ZNF749",0.977438918070152,0.951076588964199,0.999999999910832,0.847792891933339,0.961363123668625,0.955159890563628,0.70029509389685,0.969270858767719,0.955580730335549,0.999039047611802,73.4171093896714,77.7178394736842,77.6799393939394,88.732325,84.4064666666667,2.74902718098128,6.73360909103018,5.1841958784227,23.0050778971711,9.06199056096601,48.9297,54.913525,49.73705,41.489225,49.97115,87.2683,97.72105,95.6934,111.893275,109.5805,45.3182842105263,75.4967149509804,33.2149,69.7321,30.11375,54.0155,49.25225,89.832175,4.89164270674824,2.03981868163351,1.66592174143796,2.09942224724446,0.736320630060483,1.06999235850301,"BLCA"
"ZNF17",0.999984747128284,0.870772665121491,0.945497302695118,0.0049117366368544,0.010254181039584,0.0244107331957016,0.242734204253694,0.416619422809966,0.726817751123641,0.230887590492013,116.260288732394,115.439692105263,123.255321212121,180.9587875,137.856425925926,3.20378099129238,7.71475365273085,5.94302711091455,36.9153488536584,14.3311836734866,82.5243,81.580325,92.729275,130.164975,97.7399,140.0724,138.08685,142.628375,191.45825,183.8785,141.080226315789,120.748936764706,146.1039,111.6533,116.5076,156.71235,86.655625,141.773775,8.52115036687553,2.57516592298164,0.85588845381085,0.764204788510094,-0.224505309499389,-0.387968797231035,"BLCA"
"ZNF555",0.999664415620391,0.618063082667043,0.927747385225266,0.998793436879285,0.997082332172432,0.932129963411222,0.158036249687404,0.433629727411583,0.777031456076838,0.631824328022497,58.3652507042254,59.2605473684211,63.5170272727273,55.83355,70.3321407407407,1.45943164597688,7.28243539334323,2.8386579076493,4.76211826310369,5.96892522993928,43.9415,44.666375,47.201275,44.783375,50.6935,71.9472,67.625125,77.095225,63.696,90.24505,51.6483526315789,60.6868676470588,55.8214,58.23865,38.27985,65.51905,45.470525,73.395475,4.79699063967167,1.2598397177956,1.17500103207461,1.04330328512004,0.232662023997315,0.0611586059262938,"BLCA"
"ZNF75D",0.988017334207597,0.570393564231251,0.97440715543134,0.409928710748331,0.354943539916817,0.169136122592501,0.759262869326111,0.686733415122975,0.278436438233481,0.874491850182727,275.100318779343,263.836513157895,247.867193939394,356.5266,306.56522962963,9.55642307202954,14.9463300926737,12.0301734359617,66.2809615392362,27.8501986957966,193.8852,202.06315,177.89355,267.3055,207.07215,321.1822,306.3522,293.204025,372.847525,389.6464,283.758742105263,272.584767647059,259.0449,254.4512,209.5794,346.88355,193.67795,322.5818,20.0255068128714,6.27682682230269,0.960621567549594,0.982266780778159,-0.0579598950487171,-0.0258131853837152,"BLCA"
"ZNF197",0.16076168979273,0.328033126669232,0.0107831388155017,0.850243334996052,0.999987059036032,0.44680580530852,0.99985584696914,0.594591441668231,0.688997366561754,0.923187336342491,356.724901877934,309.726168421053,388.070345454545,313.718425,352.886651851852,8.12921142374056,16.724463734166,16.0562064305346,35.0868717867358,20.2923812928596,274.9575,248.97195,307.019925,266.4506,285.4711,428.9783,377.656525,468.92195,361.132,408.46495,318.429378947368,359.287655882353,287.7637,343.4725,251.38285,384.05705,275.4069,429.6148,20.7939929431915,6.1294061023676,1.12831189468148,1.19359217302252,0.174165921205662,0.255309980267935,"BLCA"
"ZNF732",0.877387623617192,0.848729543168097,0.548602595358593,0.202094208778889,0.112698524683573,0.444409395983172,0.955279486918711,0.730196615391523,0.999999999862829,0.521251788274474,8.98720985915493,6.69806842105263,10.9444515151515,19.5863875,10.9599518518519,0.776668300022328,1.40890293406314,2.48814272744665,8.10784931652297,2.62463816595817,1.3922,1.043675,2.067475,3.4653,1.83585,13.0484,9.33655,15.88115,24.065825,13.237,3.34800526315789,9.22398382352941,3.1937,4.89965,1.7343,5.19845,1.559225,12.555825,0.475925869729723,0.647304619660141,2.75506849557016,1.53416100447757,1.46208818703273,0.617449896251823,"BLCA"
"ZNF546",0.160723868988532,0.67892000985101,0.0353645017448158,0.641500860431561,0.999082119043915,0.361705883210174,0.98591015031828,0.268950069372677,0.996621617278644,0.566540813746891,42.4704502347418,29.2894078947368,48.6305621212121,26.0184625,45.9507703703704,2.41861461907092,2.36125976159478,4.62594485672374,4.42629701491703,4.75478277781554,21.3084,16.20595,24.592175,20.930675,26.3604,52.4503,37.0967,60.2741,29.91865,59.1385,58.1821789473684,41.8863514705882,55.3425,34.75855,34.69315,82.68365,21.3618,52.615175,7.75850878220439,1.60980411961271,0.719917201940454,0.628062519763292,-0.474097103914049,-0.67101991719875,"BLCA"
"ZNF286A",0.961568029974513,0.646640514772356,0.996232645983783,0.996048599651462,0.967079865780555,0.907493232526308,0.433485506403364,0.343955070946973,0.126571474380822,0.983744244859325,280.344744131455,260.392413157895,247.955736363636,302.6116125,338.678503703704,12.5641546714879,25.7418977038627,11.2725881968154,76.4296693078149,34.282956768812,166.2178,150.964075,180.29325,176.2958,218.4134,320.1058,306.599575,294.38235,283.733175,422.07345,179.019047368421,274.974444852941,170.2509,237.3501,140.4965,211.15775,170.656625,313.545125,10.4964163686747,8.13827373639826,1.53600663669628,1.39411950245197,0.619184449593009,0.479354232802754,"BLCA"
"ZKSCAN4",0.999251093398887,0.921081909050175,0.935449788636697,0.995607539035633,0.999243553485763,0.961295820408739,0.356723822648932,0.679992091871688,0.201386384244784,0.976408093524085,110.276838497653,112.132797368421,105.162734848485,116.24295,126.639240740741,2.89433640437298,7.33930340686952,5.30397164164487,14.2287712748928,10.4834325675589,80.8143,80.861,77.62585,86.293975,90.2575,129.1565,126.45675,127.2766,144.8161,155.34645,62.8870578947368,112.104106617647,60.274,105.93575,33.29805,92.3816,81.16245,133.865175,8.07647054335851,2.16072403891367,1.78262603420392,1.757569598832,0.834004080872835,0.813581820394063,"BLCA"
