"gene","p-adj-WITH TUMOR-TUMOR FREE","mean-TUMOR FREE","mean-WITH TUMOR","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-TUMOR FREE","Q3-WITH TUMOR","count-TUMOR FREE","count-WITH TUMOR"
"ZNF133",0.151779009535725,477.965941361257,441.852859854015,17.7053610878448,16.4752013180825,328.91155,311.8089,549.49865,553.4109,191,137
"ZNF436",0.574671156094555,1054.80914240838,1006.07944087591,55.2410761738259,67.5273122638514,517.41805,466.2095,1305.84145,1275.8732,191,137
"ZNF484",0.573223127213764,71.1123183246073,73.4857591240876,2.25743136885677,3.84762463660747,51.10755,51.7749,89.2684,82.9675,191,137
"ZNF780B",0.346483643349631,305.521033507853,272.252508029197,28.2548112563794,13.5331753903322,168.69225,153.5206,350.63345,359.913,191,137
"ZNF557",0.251180416773433,160.84097486911,170.767231386861,4.8084689982143,7.6841637695064,114.9182,111.4269,198.23565,210.0776,191,137
"ZNF337",0.0559569075004419,699.596540837696,608.07181459854,34.3243066576985,29.7157480967443,412.53285,385.5732,841.0613,729.9661,191,137
"ZNF317",0.73274870049333,713.239740314136,723.33939270073,16.2840156757337,26.5048814608579,554.9588,546.6744,825.30185,847.2149,191,137
"ZNF426",0.365623324269523,84.0105884816754,89.7921656934307,4.33774052009666,4.49429189569983,44.47675,51.3022,103.1723,119.1535,191,137
"ZNF331",0.101314401558518,676.593754973822,547.7087,61.6576275869672,34.3986332399041,288.3757,254.9697,666.5215,741.9244,191,137
"ZNF227",0.378976523134946,261.519092146597,272.613137956204,6.48671417679425,11.8066483972269,201.3739,183.2135,303.9682,320.2735,191,137
"ZNF141",0.314458276558352,77.3453047120419,71.3070357664234,4.26318532010506,3.83962475190897,40.94835,41.4866,90.9144,87.9752,191,137
"ZNF304",0.187312907676553,255.715661256545,273.638875912409,8.0679933818944,11.4036317451363,180.27665,182.7489,316.61975,328.8854,191,137
"ZNF132",0.245438623864065,71.3243916230366,80.3815379562044,5.4711691835813,5.12517604822441,31.5935,41.3885,90.4954,106.5198,191,137
"ZNF20",0.429822178416393,128.06409947644,122.999272992701,3.96121582299693,5.1712571389073,84.9188,79.2579,168.3445,153.196,191,137
"ZNF670",0.717211525228605,80.7404094240838,82.5235635036496,3.04101526430773,3.97023863370174,51.3549,50.9512,104.7015,105.3895,191,137
"ZFP37",0.416894576533505,45.296642408377,41.286895620438,3.40051923088769,3.3828350859465,11.81265,9.4073,60.72695,59.0591,191,137
"ZNF189",0.975815788632947,294.202823036649,293.767903649635,8.95568440590446,11.4300337314732,209.4427,218.6601,361.7942,330.8888,191,137
"ZNF434",0.956805009486316,266.931417801047,266.383109489051,6.55079246689914,7.69700992429642,204.7996,209.6486,317.8623,311.4303,191,137
"ZNF287",0.35830284188784,110.810267015707,104.241470072993,4.64428043854293,5.40031166912788,69.47315,66.4438,139.05575,128.5654,191,137
"ZIM3",0.292137028745603,0.0766910994764398,0.0220226277372263,0.0431738504382719,0.0107917437189448,0,0,0,0,191,137
"ZFP14",0.0766433544042735,198.656909424084,173.496645985401,9.63474758992152,9.96485176080021,121.90035,85.2713,246.88065,227.3612,191,137
"ZNF473",0.694920261725516,299.077413612565,306.231132846715,12.4437885008605,12.7280574834988,207.75605,199.7769,351.9785,379.7314,191,137
"ZNF614",0.0395774474990936,314.701894240838,249.678998540146,24.7988229991125,13.5740659617711,150.78515,155.9585,336.44595,289.6668,191,137
"POGK",0.915826638156748,2742.93048376963,2717.42936058394,146.166345909913,198.798284063298,1463.54415,1467.5774,3297.2658,3025.6233,191,137
"ZNF514",0.94920359159798,273.095970157068,271.925066423358,11.6537327756789,14.3625485518086,167.2145,143.9236,357.85235,349.8988,191,137
"ZNF300",0.162932352884347,234.541457591623,191.903070072993,22.0298344442822,18.7718296823325,51.08435,37.1767,294.72725,252.4784,191,137
"RBAK",0.570788484574567,468.453327225131,480.350333576642,13.4809117274877,16.1108234456201,332.2487,356.4848,554.072,587.2954,191,137
"ZNF92",0.924037286329476,248.167937696335,246.430935766423,12.5406652302226,12.4981887533941,144.9719,141.5355,302.41485,296.5287,191,137
"ZNF157",0.0858394315510195,1.37205445026178,1.94187080291971,0.169801334336013,0.310659184482183,0,0,1.91545,2.2124,191,137
"ZNF182",0.150368429182294,191.03865078534,175.646024817518,7.14529744287995,7.72600884963554,128.634,113.9197,227.504,212.2018,191,137
"ZNF673",0.613581277191744,210.367836649215,215.442898540146,5.38084404452373,9.18297087363772,165.94955,154.4608,244.6308,244.2862,191,137
"ZNF41",0.981845563296778,227.073316230366,227.362397810219,8.24110260573113,9.62555476350877,153.30215,142.0548,274.44595,290.6235,191,137
"ZNF7",0.339350775513671,491.903602094241,511.24070729927,11.6880237952174,17.4354673791556,391.52165,388.3764,576.91445,617.4446,191,137
"ZNF214",0.293656132339909,34.6483120418848,31.2856204379562,2.17869324984822,2.2408313139789,14.1426,13.6054,47.0624,42.6243,191,137
"ZNF215",0.150512113813944,55.0229769633508,64.7197226277372,3.5353600526944,6.23316623132578,16.66,23.0246,81.85905,84.2914,191,137
"ZNF547",0.547491762808917,58.5900607329843,55.4649642335766,3.47170927440877,3.75786450213908,30.18245,27.8721,71.9506,69.675,191,137
"ZNF773",0.168500917078081,110.152409424084,119.576996350365,4.0964773856636,5.69288304987234,77.3619,76.6836,136.62355,140.4609,191,137
"ZNF776",0.989139662889585,353.875303141361,354.144670072993,12.0502011612277,16.2162946307985,244.18725,225.3669,434.31265,436.2479,191,137
"ZNF256",0.240377145068812,123.651726701571,132.239511678832,4.30648489814748,6.18791709453831,84.5866,84.3155,158.5136,172.4157,191,137
"ZNF599",0.823169073019278,86.001267539267,84.7132562043796,3.93695544711475,4.01326148564583,53.261,54.8411,104.7552,106.8265,191,137
"ZNF18",0.0181653129738153,198.308371204188,176.140824087591,6.67216613805357,5.9140684852029,138.15125,136.6878,236.4401,204.2864,191,137
"ZKSCAN2",0.156625157340888,145.384257068063,164.193926277372,8.54343913936404,10.1404177683245,92.31135,103.8422,164.8284,181.1708,191,137
"ZNF689",0.0219773400590778,97.0288759162304,113.735779562044,4.15815050509907,6.31344011389505,61.5768,70.3947,119.9067,131.7418,191,137
"ZNF19",0.489901047166378,51.5212502617801,49.2691934306569,2.15936205964882,2.3945690454606,32.5844,30.1546,63.28285,60.1956,191,137
"ZNF230",0.418434842117223,113.776158638743,108.575862773723,3.98491273794208,5.15569708797106,75.70965,73.2579,133.9208,128.7129,191,137
"ZNF222",0.160287406671719,97.3160596858639,86.5507934306569,5.03457577417597,5.68413580293087,51.45545,45.2485,120.28175,106.2138,191,137
"ZNF221",0.413720957259832,15.0740942408377,16.2866452554745,0.771568509695047,1.38005035362914,8.0811,8.3806,18.56265,18.4255,191,137
"ZNF233",0.999050743068095,30.4464361256545,30.4429605839416,1.72503866014642,2.46943023089237,13.19685,12.7315,39.8311,37.0394,191,137
"ZNF235",0.754905696170301,69.7201984293194,71.0032912408759,2.46584109430135,3.42021367247828,46.613,46.6701,86.447,85.2006,191,137
"ZNF208",0.972909923367838,88.5196931937173,87.6467868613139,17.9970622969844,17.0298410299055,2.7351,3.1379,34.032,55.5266,191,137
"ZNF714",0.621872619879395,187.284114136126,196.314346715328,11.853623197007,13.906117554953,88.25465,90.9982,234.2033,272.2435,191,137
"ZNF394",0.240827041883151,532.598382722513,506.639618248175,12.7517825994667,19.0918595793991,419.86595,396.1801,608.14665,572.8863,191,137
"ZNF333",0.0862086369974282,184.025679581152,162.122748905109,9.45264212493937,7.2158793904156,107.3507,100.824,219.00605,207.9022,191,137
"ZNF382",0.27086287820145,25.2046387434555,29.0500671532847,2.2465371161392,2.67159785202117,6.09715,7.2267,30.73125,40.0758,191,137
"ZNF577",0.0220774640360053,221.208353403141,164.065335036496,17.7543289483035,15.7361083393449,83.29895,59.9491,273.98015,179.7753,191,137
"ZNF75A",0.263378332207173,245.442002617801,264.047562773723,10.6002923477159,12.8873760993131,142.7803,166.8359,323.95985,327.2669,191,137
"ZNF496",0.116842885298151,260.11217539267,284.368648175182,9.55879950234167,12.419260115391,182.06965,200.3626,308.1945,336.8303,191,137
