"gene","Locoregional (Urothelial tumor event)-Distant Metastasis","Metastatic-Distant Metastasis","Metastatic-Locoregional (Urothelial tumor event)","New Primary Tumor-Distant Metastasis","New Primary Tumor-Locoregional (Urothelial tumor event)","New Primary Tumor-Metastatic","mean-Distant Metastasis","mean-Locoregional (Urothelial tumor event)","mean-Metastatic","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Locoregional (Urothelial tumor event)","SEM-Metastatic","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Locoregional (Urothelial tumor event)","Q1-Metastatic","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Locoregional (Urothelial tumor event)","Q3-Metastatic","Q3-New Primary Tumor"
"ZNF205",0.987605086787969,0.588816456147004,0.761494406328241,0.945319575014149,0.97443349092781,0.998942851703132,385.124462790698,369.504280952381,293.258642857143,313.732,29.4538469850789,35.1436753008951,49.69896849353,51.8254,263.0017,255.9869,210.7109,287.8193,415.04335,423.4969,327.90745,339.6447
"ZNF45",0.958944221207731,0.999679405462402,0.996460662045007,0.642457984920695,0.765656754640267,0.741665799438489,282.621704651163,260.160433333333,276.0074,138.61025,25.9100431053278,41.4629883146376,28.8998273669255,6.22805,182.9657,173.8623,214.41075,135.496225,290.4494,254.8273,319.2652,141.724275
"ZNF133",0.827396112005327,0.153270793795196,0.461630071891243,0.99777285025668,0.999240594443392,0.795390862952096,471.44333255814,425.77619047619,297.280542857143,444.7855,34.1864779219004,34.006581376582,59.6725066691276,113.9404,317.4012,337.4454,191.9346,387.8153,600.19775,509.602,359.38165,501.7557
"ZNF436",0.158044164140976,0.800274673548694,0.150913767713887,0.832739056083753,0.999902555129277,0.613706371859048,1274.13756511628,764.467542857143,1609.10787142857,721.2696,137.464359900967,104.77810573315,648.393827052959,160.386,527.95675,440.6109,662.25475,641.0766,1643.177,955.7399,1742.37635,801.4626
"ZNF484",0.999992628774215,0.948325321144035,0.961135600905208,0.99719875334909,0.996968925769715,0.968471145980613,78.3403488372093,78.5785333333333,85.5873428571429,73.62895,4.90933691131922,7.45986881388653,13.1798977103635,1.02265,54.92255,53.0228,62.55975,73.117625,88.08445,101.5466,92.69895,74.140275
"ZNF780B",0.318231417591896,0.868430252506701,0.98689205672846,0.541446759651494,0.901276529992151,0.845907128974568,328.344439534884,244.450152380952,271.1724,151.47535,31.1021549234295,31.4322436588939,56.8992571721995,31.33815,185.58,140.6931,175.5112,135.806275,411.43055,312.7148,336.0779,167.144425
"ZNF557",0.462868857464872,0.984886207156742,0.941844750297738,0.795207681563108,0.982584123427827,0.915419334235243,192.456534883721,152.755452380952,177.863457142857,124.93135,17.6821879090051,16.494717377041,28.4579597833939,9.80195000000001,111.6636,95.8216,133.1713,120.030375,233.11315,210.0134,189.4157,129.832325
"ZNF337",0.679459752974224,0.15323888051533,0.560533770498953,0.753077177144148,0.940768000645188,0.997670959581693,676.78738372093,577.713414285714,387.655814285714,437.44995,59.3674082910246,51.8544343206328,56.5450989906263,70.20435,396.7616,420.7463,281.50355,402.347775,891.8674,639.493,456.0438,472.552125
"ZNF317",0.603911597267901,0.993717360044728,0.749879559782585,0.995020666519281,0.996681508156608,0.985127744681443,785.58591627907,662.4836,825.251285714286,720.5204,67.7197468782257,47.8557481817224,83.9142908080434,169.0937,541.7122,530.9151,663.96995,635.97355,869.91205,797.8822,998.31845,805.06725
"ZNF426",0.946130497151759,0.999993821191656,0.989410062731764,0.975848925791882,0.930788129874504,0.98017023574575,98.3224674418605,90.3495523809524,97.7520142857143,114.62755,9.15529746681363,9.67781665745509,16.009105851811,37.32165,51.8572,51.9367,78.76525,95.966725,130.95995,113.6597,129.5113,133.288375
"ZNF331",0.911591537554384,0.999525622841614,0.990491949982937,0.849944441176846,0.945320505250407,0.906460295153354,517.656490697674,458.844757142857,502.723842857143,321.8132,52.2311418368738,71.2784034124013,123.794907144166,102.8716,332.0906,203.3599,261.2097,270.3774,574.23655,741.9244,730.3625,373.249
"ZNF227",0.625799309600407,0.967108024573042,0.990167958521224,0.632591797594513,0.883173235921075,0.833887792666382,313.12851627907,262.227914285714,283.274071428571,176.07055,24.959017115907,34.4415031157934,51.8511789096619,21.53835,197.161,176.7252,188.3116,165.301375,362.72835,266.5979,414.8948,186.839725
"ZNF141",0.353394136206156,0.930421469402595,0.969897674332363,0.857064850841966,0.997936827689227,0.976726585794053,90.3585581395349,65.7834333333333,76.6534571428571,58.4025,10.2221682397759,6.61997932380721,12.5123011377729,5.632,49.20465,43.5224,59.80455,55.5865,113.304,89.1585,94.36225,61.2185
"ZNF304",0.183751606024223,0.695651522077056,0.995978821107963,0.675808628588515,0.983176572044122,0.967556439146031,317.642674418605,244.76160952381,257.906328571429,208.45975,21.0948323344202,30.9155172919838,29.1264361751421,35.93155,230.0856,159.3452,196.06225,190.493975,362.82125,303.2121,304.95125,226.425525
"ZNF132",0.516466683855181,0.876178224522773,0.998998901920954,0.98753094684283,0.998110842047085,0.99978509675493,97.9500511627907,71.870119047619,76.2278857142857,81.0135,12.1492566872334,12.1360084455342,19.7802994565472,39.8722,41.04995,42.652,41.10465,61.0774,129.13365,78.9149,92.89315,100.9496
"ZNF20",0.07399687193269,0.801384917027105,0.91194093397926,0.39215292827462,0.910174043911373,0.765864611377712,138.823597674419,94.4408380952381,113.870685714286,61.25005,12.0293632227926,9.46712127564827,18.182514414907,30.18655,81.09085,61.633,84.89895,46.156775,169.30515,142.0922,116.8204,76.343325
"ZNF670",0.758231666782483,0.900457901941187,0.999969928186126,0.920024376284569,0.993263451216085,0.99605706172379,94.2789627906977,81.2325285714286,80.2861285714286,71.39825,7.09502097972562,11.8969006958098,21.9728596460087,4.11225,60.08675,45.6088,34.01645,69.342125,115.77595,77.5742,100.25225,73.454375
"ZFP37",0.582009285840236,0.9067276514422,0.998821189018703,0.941049250142895,0.999666617060989,0.998216004199213,50.7254395348837,36.622880952381,39.3163285714286,33.63005,7.20502453523783,6.94820487668995,10.8660966412729,9.40975,9.5744,14.3855,16.67065,28.925175,68.2478,51.4491,61.5527,38.334925
"ZNF189",0.776918819823691,0.752486903550896,0.436986266839348,0.972432260126422,0.99980279968714,0.80616584579486,324.684304651163,291.302185714286,378.126628571429,283.342,22.0139957206481,21.3116986808534,51.2306716486823,102.5192,229.039,218.6601,287.6545,232.0824,383.77295,333.6979,457.88735,334.6016
"ZNF434",0.963691433819063,0.988679772335861,0.934948787005958,0.75978603289194,0.859424590774788,0.721551144113991,282.198176744186,271.959847619048,292.654942857143,225.01855,13.8061899002542,13.4487827488032,24.3016864135751,27.60645,207.82115,229.596,268.5811,211.215325,332.87015,309.8042,306.368,238.821775
"ZNF287",0.805247991713157,0.977383420841762,0.998224351061631,0.248186110849045,0.437455932124105,0.451435972392347,109.929625581395,95.8884095238095,100.250028571429,30.37035,7.58771170984491,14.1358782987221,34.0017420855567,21.38815,76.6114,52.5088,59.9499,19.676275,137.08605,118.0798,96.43255,41.064425
"ZIM3",0.804314059903362,0.912561485483782,0.999903231613417,0.982501451752917,0.999980128249869,1,0.148527906976744,0.0155761904761905,0,0,0.108078951153561,0.0155761904761905,0,0,0,0,0,0,0,0,0,0
"ZFP14",0.146507381596872,0.967948366805879,0.811619615672061,0.512978509527419,0.938136864864636,0.74010980973065,217.638546511628,142.71730952381,193.283242857143,86.7729,22.088548926574,22.3564523969596,45.1893739138805,16.4122,115.29395,71.2877,111.9987,78.5668,266.5326,186.5757,278.9131,94.979
"ZNF473",0.810371891651638,0.987509984236643,0.83001692548443,0.887091515940473,0.980000572697491,0.844308830145506,336.75973255814,296.354233333333,359.702042857143,247.3583,24.4242041720279,37.6780232975653,89.3907563427052,10.132,242.0719,175.4991,202.375,242.2923,381.29355,351.1954,481.64405,252.4243
"ZNF614",0.0726245808468601,0.944704834399765,0.754533068497021,0.804005592830656,0.999999669815212,0.951257392024332,308.691939534884,204.789466666667,273.004957142857,205.9193,27.3338618296031,26.8978517510603,37.8737476623751,0.450999999999993,189.53775,125.7707,209.8226,205.6938,388.92825,247.5459,303.32535,206.1448
"POGK",0.539580902537062,0.797074352752059,0.345687850930292,0.995709762373084,0.993876001211712,0.90735744956364,3313.31923488372,2153.73251904762,4523.12202857143,2774.9791,531.699812616038,265.360958509823,2071.26322043856,1773.4615,1577.91655,1403.1298,1596.22065,1888.24835,3066.32805,2636.4259,4420.3832,3661.70985
"ZNF514",0.889085442503067,0.112275804604858,0.335603691969061,0.890850548428417,0.971298769259071,0.955248354202483,305.91206744186,273.592819047619,148.949628571429,218.63295,27.8857734469336,35.2850309572822,27.3229424824347,58.07575,153.50145,142.4698,129.97415,189.595075,388.77625,337.4473,184.7618,247.670825
"ZNF300",0.892523233478683,0.56419602906477,0.861789961216624,0.972729627129245,0.998332390954888,0.992872096617698,231.09163255814,182.055476190476,93.4600142857143,150.05965,45.3215928368583,45.5464739356632,35.611363574717,12.36885,32.09575,56.8838,22.6627,143.875225,308.06115,252.4784,118.9329,156.244075
"RBAK",0.96967248142821,0.999987305069815,0.990140065314367,0.563180570560996,0.682290159028084,0.632913860873485,538.528976744186,515.717028571429,541.074742857143,358.2924,32.4881562789764,34.6856612439033,47.1664080326639,77.2705,394.49955,421.9867,445.8078,319.65715,623.53065,570.2046,647.3959,396.92765
"ZNF92",0.82719660213476,0.988952533762317,0.995840868620321,0.689030545380811,0.867721447593778,0.838032385307646,275.707753488372,240.026442857143,255.530228571429,150.8398,19.8035200614423,44.6103633492849,59.0257422856725,9.7441,187.8487,119.9505,204.9134,145.96775,323.92885,251.5596,247.14055,155.71185
"ZNF157",0.971481381720094,0.954973328156829,0.996499011595103,0.99581583772595,0.999903502320162,0.999932213254379,2.31963720930233,1.85015238095238,1.47481428571429,1.65895,0.696574229003547,0.711213777607022,0.669779344769807,1.65895,0,0,0.4426,0.829475,2.4571,1.5169,1.7271,2.488425
"ZNF182",0.603818366481461,0.46392675253425,0.9279935053693,0.587835257826393,0.858367057577249,0.978648434481279,199.024558139535,166.841728571429,140.810871428571,109.7882,17.2725749574184,15.6831536030835,16.146082925054,36.8077,113.8364,128.422,102.98455,91.38435,253.87585,207.8458,176.76035,128.19205
"ZNF673",0.96485160952411,0.162600197765349,0.344625764962781,0.622538277272875,0.742421979883655,0.999995481314096,235.129706976744,221.65989047619,143.397057142857,141.40765,16.7993490894418,25.2260760789504,17.049517936948,29.12985,174.79055,154.4608,122.1345,126.842725,265.0232,256.6984,165.48305,155.972575
"ZNF41",0.708164683684834,0.986842818586291,0.986383932752623,0.9382405217012,0.99790787770076,0.985019634516939,252.631130232558,224.010723809524,238.894485714286,210.6384,16.3195054765272,20.0566143791054,32.2476466292646,27.2514,158.99115,170.749,193.8291,197.0127,317.7408,264.0212,291.2398,224.2641
"ZNF7",0.558253754733313,0.704633945628985,0.996915630463777,0.668980831743565,0.919400052363956,0.963913129063382,563.6695,490.525019047619,471.780185714286,391.71425,35.538236186131,35.3310426944612,65.1100979389139,142.42095,403.66625,408.1522,400.44245,320.503775,674.484,557.2964,492.63475,462.924725
"ZNF214",0.975848507659144,0.998573549891102,0.999583069884606,0.840349801356542,0.772600227294377,0.840658435402126,34.8928,38.6613,37.0974428571429,14.3942,4.8568831239365,8.62812830472298,12.337115402523,12.1486,11.41965,18.2025,18.24845,8.3199,49.03915,46.7783,48.50305,20.4685
"ZNF215",0.809179678019638,0.786072607246229,0.987558102390187,0.909843908169398,0.987570159116832,0.999301489867294,74.9033930232558,53.3971190476191,40.3719428571429,31.3192,17.169415932756,7.02933043378013,16.7869699993755,26.0796,17.765,25.4661,10.8283,18.2794,87.5369,81.381,53.33345,44.359
"ZNF547",0.137254465041527,0.410775459465649,0.999395624945173,0.783411737636971,0.999163413062362,0.999930871625175,68.864611627907,40.6909571428571,38.1827,35.94905,8.62029328132967,6.90302223172186,13.1135457201069,10.53765,33.37965,21.0459,16.37465,30.680225,75.56615,40.8261,44.56015,41.217875
"ZNF773",0.276501176359932,0.0279010559207005,0.404158616309784,0.95002726846427,0.999239455555539,0.766204431405657,131.991120930233,100.7538,56.4764571428571,106.898,10.0227950634444,15.6407143873914,11.0366585544301,2.3857,90.5279,49.477,35.1386,105.70515,146.9397,132.4738,69.6505,108.09085
