"gene","p-adj-YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF671",0.689639452290954,64.9379897196262,68.2130083333333,4.60256121216999,6.66084425124994,19.118325,19.249075,85.935075,94.218025,142.577421052632,64.3430375,121.6325,43.51745,61.36365,227.1472,19.0593,83.836425,20.9542352375718,3.26453688860284,0.451284902090129,0.357778143177194,-1.14788958144676,-1.48286283967481,"BLCA"
"ZNF416",0.121257946522352,119.77251588785,130.356840625,3.21946950958526,7.21436219508167,88.00925,85.241975,142.871275,153.27645,110.647978947368,120.485047303922,105.7534,110.63525,95.7965,114.82855,86.2511,143.827775,9.43278194013883,2.64413413431517,1.08890418469579,1.04616258200682,0.122877013425126,0.0651070753210648,"BLCA"
"ZNF586",0.399443636809683,200.672068224299,191.649070833333,5.85974032230853,9.18214668805816,138.88435,130.5015,248.24245,232.915625,188.543873684211,197.051504411765,184.1373,185.59315,147.0414,209.78475,135.78015,240.242225,12.5349620219367,4.38077703656061,1.04512281709987,1.00790632859285,0.0636724898750161,0.0113615658675224,"BLCA"
"ZNF446",0.0558976064528652,379.09294953271,330.614173958333,14.9563163389534,17.6125693475492,241.65085,219.07195,438.31425,406.093025,241.585821052632,359.275996568627,217.8941,316.6376,180.387,275.1931,228.033275,416.86055,19.4034237199732,10.1065919984678,1.48715680002742,1.45317197666206,0.572556767562457,0.53920544983624,"BLCA"
"ZNF8",0.0694894261782198,111.080775700935,124.937419791667,3.24480159494269,8.76849513526662,74.7913,77.228275,136.899,143.93385,71.8580052631579,112.815483823529,73.5745,103.3683,61.19525,82.0502,75.6062,137.4853,2.82861889280431,2.92518477231593,1.56997795040897,1.404947366275,0.650744297295871,0.490516083587559,"BLCA"
"ZNF264",0.107845292620657,634.230820560748,688.573388541667,18.0489290502454,30.2203396461331,466.5858,470.35655,764.231775,846.91205,610.238368421053,655.77506495098,605.1374,636.5961,549.9303,717.75945,466.7988,795.973675,34.1634252129499,13.8807777690554,1.07462116262494,1.05198604482222,0.103828154579061,0.0731155666080487,"BLCA"
"ZNF213",0.889659029197695,519.374077570094,522.873857291667,13.9887913018367,21.0676031736087,373.1958,381.737425,612.174625,636.38415,385.560842105263,522.960234803922,399.8877,490.68685,277.7412,468.37825,381.33475,621.78165,26.7702888513202,10.2074252232488,1.35636241467993,1.22706162255053,0.439742712399783,0.295207702395843,"BLCA"
"ZNF343",0.293507933326375,285.25,298.278329166667,6.65804944854045,11.0243063750716,220.171075,225.20055,334.155625,359.223325,253.057147368421,291.108851715686,232.2681,268.9226,200.68735,302.5105,222.192725,345.5864,16.2422256526968,5.14912061174555,1.15036802849858,1.15781116735359,0.202095485473037,0.21139997687026,"BLCA"
"ZNF302",0.699525830197141,424.99535,440.0386375,22.2180126212801,30.4373988663248,236.5953,260.317125,516.568775,527.644775,407.487036842105,419.416249264706,373.6045,349.1543,298.0026,535.7289,243.51035,507.95565,39.7205758520556,14.9842879906489,1.02927507219628,0.934555927458047,0.0416285918145674,-0.09764709185643,"BLCA"
"ZNF268",0.031895686867638,273.041490186916,311.765548958333,9.53794415827018,16.3600198164575,179.210375,193.13095,344.6465,402.2356,317.605626315789,282.48321004902,340.4527,261.82585,260.7634,377.39685,182.12525,356.45275,24.3095170999796,7.21837091142712,0.889415006043223,0.769052059214099,-0.169071349112366,-0.378846833465011,"BLCA"
"ZNF184",0.711826310344226,239.730750934579,233.231875,10.5122038106671,11.7948742434653,157.15565,160.463125,282.135975,280.00775,168.196194736842,234.78442377451,164.3176,209.40245,128.8156,216.6274,157.66875,278.592725,13.8620390406889,6.76785780549277,1.39589616841125,1.27437626888416,0.481191632887633,0.349791306720126,"BLCA"
"ZNF500",0.278350915916714,203.441828504673,212.785592708333,4.80635576097726,7.08755241475687,149.7813,165.6331,244.654125,249.771475,212.394589473684,202.189845098039,216.913,194.05205,153.57015,266.1627,151.4457,247.26385,17.966978941048,3.40226763670547,0.951953840251146,0.894607745962667,-0.0710364751937442,-0.160672844913343,"BLCA"
