"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IV-Stage I","Stage IV-Stage II","Stage IV-Stage III"
"ZNF141",0.973960862217178,0.768314220507645,0.0779435288190451,0.84069553363096,0.285838343146211,0.927142303500486
"ZNF304",0.0542090972902415,0.01904770474006,0.342434254459247,0.0280219526782713,0.706453578516391,0.935483562034236
"ZNF132",0.968258827134139,0.995539963372614,0.750804784343237,0.97083060278942,0.999924684407298,0.782194616252298
"ZNF20",0.525085795311309,0.122539040857326,0.00106914727969298,0.204534522437165,0.0412085288091011,0.686839757939215
"ZNF670",0.680979478440442,0.39947260734117,0.187222262223217,0.650251494400439,0.996410211078121,0.276493461941593
"ZFP37",0.998680964172683,0.998070725289256,0.999709237427197,0.999990065023471,0.946655944081708,0.91542706250507
"ZNF189",0.997468100554814,0.963730014188663,0.580204279983782,0.985712936823764,0.905103261517658,0.934464611690688
"ZNF434",0.849875904095463,0.585577889636801,0.180365214340704,0.617791628268252,0.280671245608136,0.996045900644827
"ZNF287",0.928872964265099,0.99090852256253,0.502545288874288,0.987447476947312,0.607341328193819,0.998666422458405
"ZIM3",0.999271067947376,0.977278000480821,0.59892637606431,0.99997532716568,0.98141680267988,0.360775150997138
"ZFP14",0.985668035063203,0.999999998592826,0.408344879474442,0.997505253446035,0.902702343637555,0.823548750367464
"ZNF473",0.765129997903914,0.772600023984732,0.999914418216249,0.82280160201153,0.964475265816525,0.97516713594176
"ZNF614",0.301953046023981,0.14209738204979,0.294864722195071,0.102341860209352,0.0783134780397159,0.90935281515984
"POGK",0.995594119486268,0.950452865509641,0.532955017876259,0.999970838435319,0.838465784426637,0.125665169321443
"ZNF514",0.915557347207396,0.820747785587451,0.764095104721529,0.917317042138675,0.999995629049372,0.748259233969212
"ZNF300",0.00311162586691893,0.00525309440766131,0.902286315721392,0.00401504804713937,0.987966680935256,0.984175079709665
"RBAK",0.905610733654716,0.888059338058932,0.997211184821353,0.937234217171805,0.975259876199404,0.924372387630036
"ZNF92",0.532698882619871,0.481319319767744,0.984007234621965,0.602476737261048,0.962448761653989,0.829091211220423
"ZNF157",0.97510017173236,0.999694442466777,0.470920167032234,0.999778816739162,0.452189697990689,0.999971009501279
"ZNF182",0.955907219675025,0.882245057109995,0.753467432565077,0.865730287779203,0.655412828250593,0.998164466284271
"ZNF673",0.93697233767689,0.934476689622769,0.999984179492192,0.916790804996819,0.992634142327865,0.994869724988963
"ZNF41",0.923959449003354,0.747668457786125,0.335567634624208,0.888367870761764,0.973978341878608,0.59139936632046
"ZNF7",0.686450835890442,0.47595855011921,0.450149511614063,0.373756041236245,0.116947101712881,0.866907632002159
"ZNF214",0.629619349981833,0.812132768541354,0.510096366959544,0.733155529703167,0.879091600013388,0.920133967809132
"ZNF215",0.728932078162713,0.697870858853718,0.995880193884701,0.830570167068246,0.845083949457894,0.715111995108687
"ZNF547",0.968828230159496,0.747474791427579,0.0708595768365003,0.750160958973207,0.0779599625129468,0.999997587146199
"ZNF773",0.836366291071045,0.766136586294563,0.935285655002345,0.898560920159256,0.923317936984411,0.610007913555397
"ZNF776",0.768191617040337,0.581969110387183,0.531863393636453,0.740150406063667,0.996496213873703,0.666072428349382
"ZNF256",0.706826892840234,0.513863798741738,0.525578144978591,0.737891187389943,0.995644357574318,0.379994442924175
"ZNF599",0.766120109460677,0.789614750641734,0.997500901236335,0.770149368054418,0.99998755427057,0.998553084107615
"ZNF18",0.993359462398827,0.998184632703901,0.974830726334073,0.991430686277838,0.0679762003598173,0.16508963907586
"ZKSCAN2",0.999598016163668,0.999894267632623,0.99835108016973,0.999946865628563,0.900032066301014,0.950782685685793
"ZNF689",0.995406978944003,0.992839092628109,0.998269893883005,0.972527898764298,0.816081748361996,0.889252032298292
"ZNF19",0.994353944314522,0.998344563806391,0.981143780902842,0.994075948361252,0.999997886361702,0.97814616253065
"ZNF230",0.970219622005819,0.819791523038909,0.23533860672806,0.898942487895591,0.692269039984405,0.860924386597419
"ZNF222",0.634415931708114,0.236752783970383,0.0115109321761062,0.276778223337495,0.0382324879560404,0.980049993955954
"ZNF221",0.999418186742555,0.9999999401551,0.947039908507576,0.98467635168974,0.721865521792172,0.3736839912151
"ZNF233",0.287083957619225,0.189895677230276,0.751640415750576,0.345825236099196,0.958127848430828,0.431892469165653
"ZNF235",0.395130021763053,0.333326340689137,0.961271465155374,0.378483835197034,0.999271445706626,0.983496689723454
"ZNF208",0.924153224924389,0.893658680494038,0.982379982211442,0.878817057997523,0.95162070853434,0.998442317852414
"ZNF714",0.760375377510736,0.824262262861245,0.951442427460241,0.747386794324671,0.999653378472405,0.921087723467884
