"gene","cluster 2-cluster 1","cluster 3-cluster 1","cluster 3-cluster 2","cluster 4-cluster 1","cluster 4-cluster 2","cluster 4-cluster 3"
"ZNF213",0.57865695175952,0.0545342524818545,0.50802120418628,0.172259943455348,0.804398966589707,0.978013453550119
"ZNF343",0.519891513765598,0.491385550393881,0.999999763803236,0.275761054641956,0.952910888604203,0.950904952172496
"ZNF302",0.988221020913869,0.657890504991985,0.801494786783912,0.00473107442093612,0.00518332766584684,0.0474510890636987
"ZNF268",0.99825217000561,0.577336747611471,0.377818967499646,0.230972338911202,0.113365331756348,0.858642336602336
"ZNF184",0.77504730629559,0.0718223618246453,0.364193041995418,0.250059607075599,0.735142656169057,0.957579087486689
"ZNF500",0.920941489093196,0.998578126708541,0.807317208099022,0.999992768216051,0.897632357001727,0.99907713336933
"ZNF419",0.838179797404868,0.00292792957119692,0.0175286354979605,0.0923627519555342,0.33504182441831,0.676509352226039
"ZNF175",0.986888195821143,0.313917079066314,0.423645929250618,0.0777539635084724,0.105297378259514,0.804274777622416
"ZNF14",0.141772025487417,0.00669907290631233,0.622850082837092,0.0294723602336068,0.859219313140989,0.986115565033986
"ZNF85",0.980307216670613,0.107084701476369,0.162819546522267,0.368560965778684,0.522837954408008,0.935092108951353
"ZKSCAN1",0.997651768568835,0.320031112524506,0.336522482382278,0.794129944043267,0.851120247003144,0.86351618139279
"ZNF862",0.939013230687849,0.158004358398918,0.343812892683737,0.0374344438327118,0.0909510490738776,0.839103242565765
"ZNF684",0.715479840913487,0.997296376220845,0.489541879340982,0.999997480594664,0.667449780484617,0.997688288587603
"ZNF430",0.273110318554062,0.185201412252343,0.997951167989986,0.899755688026295,0.656797199354073,0.526137572818349
"ZFP30",0.443591683459725,0.00442536342613831,0.158545239180385,0.0284011189692944,0.440384820347248,0.966780624763834
"ZNF549",0.743133206080439,0.273989020168969,0.829671298450546,0.188167917797092,0.669907385064695,0.984804075239169
"ZNF211",0.450041304352475,0.0783265209058747,0.754745916317799,0.00723016821731459,0.186705549845287,0.670018085665286
"ZNF205",0.565834482173907,0.354649636221761,0.985268336959259,0.00457118604113094,0.0880571101136142,0.155575222797745
"ZNF45",0.995752404349843,0.952744603109838,0.83465024031749,0.599124441584536,0.381700196608994,0.832428305457739
"ZNF133",0.322898999775915,0.206523244127683,0.995636838583718,0.00712309048822191,0.285017044898611,0.371188218892203
"ZNF436",0.75610120995864,0.00638258133713876,0.05729017192632,0.0128303423247048,0.0952869079525616,0.99998895196982
"ZNF484",0.964093378424133,0.978636442120894,0.999615982955411,0.463903870989907,0.694651313919268,0.612718042230377
"ZNF780B",0.989379923160479,0.763418219985491,0.8873359326561,0.17831151962581,0.233397141232469,0.586256510264165
"ZNF557",0.919950329401199,0.035456430883165,0.10304609341566,0.0175531315883145,0.0516167505944966,0.965737147034864
"ZNF337",0.764345683109736,0.152748021428313,0.605004842898284,0.00357576650593283,0.0303173069704518,0.329115013137447
"ZNF317",0.936977658003181,0.393233546190178,0.699032916393777,0.107729720490863,0.243347093061379,0.806820958568832
"ZNF426",0.976450393643969,0.921841780687768,0.650003111398874,0.782653465305526,0.464028986970162,0.979526762668744
"ZNF331",0.999871128974001,0.864705197414112,0.864028160759669,0.622629266636126,0.59987410405936,0.949590084861533
"ZNF227",0.67670330045033,0.204454127829081,0.80214545636136,0.0718514009226172,0.440651518563314,0.904428997170263
"ZNF141",0.707803019981726,0.319513315040649,0.904067427599032,0.0103592045173214,0.0973186425276888,0.303611173243619
"ZNF304",0.967721159994228,0.584515658965215,0.814609538690843,0.263543449730636,0.431436287514723,0.889346685937499
"ZNF132",0.980021277314654,0.62098280303811,0.805905664138992,0.490850809526282,0.66679309583287,0.98923368214859
"ZNF20",0.610486759817297,0.000371692306081362,0.00991277162996973,0.00264713165279395,0.0474196862280863,0.98665748391101
"ZNF670",0.984280318482628,0.00581871435175707,0.00685990420505211,0.0417497660810585,0.058381580133092,0.950026851412017
"ZFP37",0.970807411019052,0.911456386437864,0.60621736460661,0.999594523929726,0.984736442855378,0.846562445649939
