"gene","Cluster 13 (HNSC-LUSC)-BRCA basal-like c8","Cluster 14 (HNSC)-BRCA basal-like c8","Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","Cluster 5-BRCA basal-like c8","Cluster 5-Cluster 13 (HNSC-LUSC)","Cluster 5-Cluster 14 (HNSC)","Cluster 6-BRCA basal-like c8","Cluster 6-Cluster 13 (HNSC-LUSC)","Cluster 6-Cluster 14 (HNSC)","Cluster 6-Cluster 5","Low purity c2-BRCA basal-like c8","Low purity c2-Cluster 13 (HNSC-LUSC)","Low purity c2-Cluster 14 (HNSC)","Low purity c2-Cluster 5","Low purity c2-Cluster 6","mean-BRCA basal-like c8","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-Low purity c2","SEM-BRCA basal-like c8","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-Low purity c2","Q1-BRCA basal-like c8","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-Low purity c2","Q3-BRCA basal-like c8","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-Low purity c2"
"ZNF624",0.967370614617148,0.99999629624847,0.495827366394775,0.99234118960218,0.988396006666928,0.405296529566832,0.992336250936876,0.989706618735899,0.433548163090652,0.999999999959254,0.974691201072749,0.999994033906448,0.435412590629632,0.992136448600652,0.993425323401401,85.9142,126.57522,79.9465125,112.964194285714,113.073602222222,123.0455375,NA,24.9695706727889,6.57118874558905,5.52497012778969,6.6894066676052,24.0353020991664,85.9142,77.9123,66.365975,83.134125,82.8285,77.8356,85.9142,179.4845,94.77265,142.4883,130.2405,143.536025
"ZNF841",0.995346825816116,0.997601362966811,0.99998610481258,0.999657743547066,0.992698001795076,0.997146210500176,0.99996658528777,0.966652887539079,0.974931356391705,0.991261120032471,0.995386663006316,0.999999993984008,0.999991836583874,0.986098749901614,0.936449756166247,502.9362,209.6227,256.0319125,346.138454285714,404.7213,219.456075,NA,47.0280595115512,56.6542433630478,33.8286902739618,120.914489874738,53.9801400406991,502.9362,153.5552,125.347,162.08215,189.3781,128.451625,502.9362,226.5392,383.489325,471.171275,372.0765,256.96235
"ZNF615",0.956904002396766,0.906058456160846,0.999744976321634,0.995244194529745,0.95022028634378,0.646858752251805,0.998944100086697,0.852899497659158,0.436002850317489,0.977122749684748,0.996986726630541,0.974133783589397,0.842506447563341,0.999999871000212,0.999632006077384,415.0913,141.97162,94.5631,261.431027142857,302.561246666667,268.173625,NA,28.910387563701,9.65304696794526,28.107934805142,58.8466619360824,96.4219388542799,415.0913,100.2577,79.539475,127.887425,141.9869,143.0405,415.0913,174.5368,103.775525,289.525125,261.2172,222.26935
"ZNF433",0.99999999965555,0.999837429562166,0.997725372918063,0.996222114501064,0.870200407891148,0.305757803800287,0.993117606613343,0.808935498683037,0.242932284538856,0.999085631614018,0.999999996054794,0.999998979609748,0.989751598674633,0.809827608343644,0.725591022463114,92.028,89.95708,64.468475,142.133558571429,149.202222222222,95.2936125,NA,31.0614752093071,7.71346959026291,11.7629717107159,17.453433609565,19.3250364397128,92.028,46.1338,58.45175,76.7538,82.1393,59.26845,92.028,139.2988,81.423125,176.575475,183.3156,138.2096
"ZNF595",0.99999999854511,0.999994826070553,0.999962855311668,0.999889108584591,0.992089017636279,0.912111188873473,0.999999948991373,0.999999947922615,0.999923572350039,0.641621679115022,0.999999999998892,0.999999989894526,0.999830259213083,0.985438611796557,0.999996678609134,148.0171,143.71944,126.62655,185.685854285714,139.935886666667,147.015275,NA,64.5989409705809,77.9797648343008,21.6843383799097,15.0607715070092,26.1273573149032,148.0171,44.1027,9.017675,98.535775,89.8987,100.963375,148.0171,190.5166,96.32545,210.0829,158.9426,162.7845
"ZNF460",0.999293558402932,0.953129712184677,0.934034549196812,0.999848505485289,0.736098180058746,0.0235043482768346,0.996904382656672,0.447279732203822,0.00484910057230203,0.849461091947616,0.997858800853955,0.669599075868159,0.0673116363564482,0.993230465955503,0.999999990702448,60.4939,73.19568,91.0297875,51.9673557142857,44.5526977777778,45.016225,NA,18.9107032583508,19.0394561516852,4.10852132260157,3.9141241594604,8.81835600755504,60.4939,47.0988,60.781075,28.408925,27.9027,27.9367,60.4939,73.698,116.0101,61.121825,53.8894,61.064825
"ZNF81",0.825817521948921,0.0855904704323692,0.0938109463788597,0.0684479629734724,0.0248381270659707,0.999991175507327,0.0699913129945852,0.0289081407130892,0.999993666833273,0.999999999979396,0.0943768105032674,0.111999280712261,0.999999355401549,0.999999996575844,0.999999998922188,256.7774,185.22026,104.548875,107.424422857143,107.314611111111,106.828075,NA,66.9069394752562,10.3039721506485,5.49759987398874,7.7367025922646,16.2989035891633,256.7774,83.7042,81.256025,70.355725,77.4601,88.22575,256.7774,178.4419,118.647,141.4349,119.0198,123.482075
"ZNF780A",0.999930028024398,0.999219296480367,0.999877429079588,0.99999999997938,0.994364196224139,0.901799646672202,0.999999523697454,0.999421929867801,0.971011875716315,0.996749153822948,0.999965899009054,0.999999786679209,0.999222766258534,0.993007194937864,0.999601486218796,331.4295,250.0733,202.644525,335.106014285714,303.881053333333,263.2986625,NA,27.1537211713791,10.9434234073769,45.3750847135418,50.6962316554313,33.9003698875624,331.4295,195.5371,172.921225,200.603175,193.6685,196.786325,331.4295,304.521,224.40735,372.063625,291.2874,319.87455
"ZNF461",0.999974115028077,0.999999854909909,0.997335777156514,0.961457112468737,0.737535129097826,0.157254041333685,0.923308977115582,0.54220491529972,0.0707765388195303,0.964240692062406,0.985410287191153,0.947417416672768,0.635977038308626,0.999300545516499,0.975690988613474,55.3455,68.32464,50.9038,110.71362,121.034917777778,102.0751625,NA,14.6868107702319,13.2541121115567,7.3392684104499,11.6431349198726,23.9534949201866,55.3455,50.9097,22.234925,69.832675,72.595,61.30385,55.3455,75.729,83.494,137.298475,158.2126,126.902875
"ZNF181",0.930795458385318,0.888836880043936,0.999979212156407,0.986401235797188,0.959932656941773,0.784447508723225,0.997512085455511,0.813209887276199,0.478831178608662,0.901614352655834,0.985085671964774,0.991324655850723,0.952595193289896,0.99999419611861,0.986909980188762,226.5304,119.64166,109.6833125,159.216558571429,179.602713333333,154.17235,NA,24.8234784040956,15.9337292945818,10.6601550443068,19.1951907936999,32.7255577435664,226.5304,72.148,78.180375,96.5854,94.7235,91.7552,226.5304,143.4178,146.213625,210.593975,207.6821,209.855475
