"gene","Papillary-Non-Papillary"
"ZNF534",0.686338716431555
"ZNF525",0.975906147969129
"ZNF814",9.74480662430111e-05
"ZNF551",0.637947184294259
"ZNF805",0.0860316458473352
"ZNF468",0.347437188714579
"ZNF616",0.0334401164370302
"ZFP57",0.17894317212279
"ZNF155",1.88884136598233e-06
"ZNF425",0.686065722387637
"ZNF611",0.0361218394756738
"ZNF254",0.00714889384571971
"ZNF625",0.246358943635967
"ZNF845",0.585310005674977
"ZNF90",0.0136142496835402
"ZNF788",0.00937469832374516
"ZNF880",0.0731275496792243
"ZNF630",0.00239609140402419
"ZNF844",0.857729506959882
"ZNF717",0.222824054977557
"ZNF492",0.274090373445017
"ZNF688",0.0298069576697584
"ZNF879",0.243664875196781
"ZNF737",0.0654019588458388
"ZNF709",0.0619140556081106
"ZNF585B",0.935728217619525
"ZNF324B",0.334595358820162
"ZNF564",9.08309378344629e-06
"ZNF674",0.514569463846357
"ZNF432",6.63011678692094e-05
"ZNF10",0.000185967907862294
"ZNF486",0.0193049159941466
"ZNF225",0.215846737382746
"ZNF350",0.00312612211691377
"ZNF253",0.0109521625697432
"ZNF878",0.360364411920292
"ZNF727",0.771974834619304
"ZNF578",0.0941026991170245
"TRIM28",0.850050354681703
