"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE"
"ZNF879",0.212257130803178,48.4173215053763,55.8674049618321,4.87478570061099,3.10160246635993,17.2256,16.402725,59.5315,76.685575
"ZNF737",0.0479058803342941,596.965917204301,917.899359160305,93.230969058586,90.406183512478,67.762,101.501075,730.4508,1111.021875
"ZNF709",0.550194686725177,67.3028193548387,70.1995335877863,3.71000388103171,2.56717563117618,38.789,40.459875,90.6979,92.719275
"ZNF585B",0.0810948157030947,57.5668677419355,65.6404469465649,3.41580139761868,2.46713909977977,32.4039,41.547525,73.9529,83.158325
"ZNF324B",0.528531774230282,146.768535483871,152.566437022901,6.56960949562429,4.95234020768394,100.2218,107.39095,182.321,177.0962
"ZNF564",0.733626241125144,225.104696774194,229.168916412214,8.51681740455276,6.43279257926686,161.4278,162.8995,283.0939,269.1583
"ZNF674",0.261555939924051,51.669564516129,54.6639080152672,2.06340582014332,1.40694502343889,38.726,40.546525,61.7935,63.742025
"ZNF432",0.299062756817394,189.561991397849,286.068479007634,46.3967514752984,52.7422808263306,62.2108,66.676825,146.6414,200.490225
"ZNF10",0.747768183146423,191.045306451613,199.027414122137,17.2149041408058,13.4488060715923,88.2621,92.958875,248.0034,249.429625
"ZNF486",0.024551291316193,180.871747311828,275.906222137405,30.0653922078707,22.6823499731298,16.1817,26.323025,209.5518,393.180875
"ZNF225",0.57203166996676,64.1670161290323,61.8920339694657,3.35396967183714,2.07965444057008,44.131,40.721425,77.1108,75.357375
"ZNF350",0.151566445607309,252.21077311828,298.502151145038,21.407306215513,17.6147113787028,145.8692,145.6284,287.9136,318.29085
"ZNF253",0.0147787668855315,168.524227956989,211.973689312977,12.5238226394759,9.58278032257433,75.3312,97.295725,228.2609,285.688325
"ZNF878",0.23763747701385,8.58932580645161,9.76241183206107,0.752074314536821,0.526952008544495,4.1131,4.44095,11.7669,12.325025
"ZNF727",0.188090306936395,4.86481505376344,6.52147175572519,0.956668457486778,0.666779263495008,0,0,5.7315,9.22755
"ZNF578",0.0819342229278958,25.2018408602151,37.4826835877863,5.74935742620691,3.66365004000596,5.2235,6.37745,26.0639,41.9884
