"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","mean-1","mean-2","mean-3","SEM-1","SEM-2","SEM-3","Q1-1","Q1-2","Q1-3","Q3-1","Q3-2","Q3-3","count-1","count-2","count-3"
"ZNF473",0.95940290688761,0.348751386779873,0.486306794900184,243.773583870968,238.734938235294,217.564713114754,13.2975295123423,13.9486719899935,11.7252993305701,151.374775,167.419025,160.2381,326.557525,244.6948,249.0329,62,68,61
"ZNF614",0.691440412400783,0.2196311275117,0.646429457414868,115.22565483871,103.373364705882,90.4261131147541,12.6104430397633,9.19655456523081,8.88122432647934,49.096825,50.125925,39.3013,153.001575,145.764625,125.7707,62,68,61
"POGK",0.145078541917576,0.0607229610549763,0.89238410143406,1377.10476451613,1165.00297647059,1113.69427704918,92.3998744901994,78.0749643629386,67.9894026245375,922.310675,789.76575,765.064,1768.433125,1341.710275,1382.227,62,68,61
"ZNF514",0.0143521928185347,0.293461218864014,0.407456557687337,145.28615,92.5010191176471,116.529537704918,19.6884251042707,7.21925285186117,10.742143754522,68.199875,46.732425,58.2677,178.717825,124.191725,163.1041,62,68,61
"ZNF300",0.989373936394625,0.0132717068220382,0.00719683368734492,47.3277241935484,45.3192117647059,89.6142,7.0017079754355,9.08566818594,13.9057319556888,11.55755,10.563275,29.8522,58.759075,36.901,110.5334,62,68,61
"RBAK",0.0835124016439522,0.328463589052719,0.777648497057665,358.298177419355,304.518483823529,321.536809836066,21.812622419357,15.5153631672083,15.9690261721131,249.839925,213.595,231.1758,459.368475,370.1395,395.3133,62,68,61
"ZNF92",0.0582123658958285,0.382321751958397,0.619514492708137,146.85239516129,116.196204411765,128.697232786885,11.2327433831342,7.72205406895077,9.55495087283889,85.2448,73.89985,80.9793,182.4752,144.765725,156.2029,62,68,61
"ZNF157",0.980469231869872,0.910873987952467,0.970615145234211,0.348709677419355,0.319557352941176,0.283554098360656,0.107397338573539,0.13233656908335,0.0764629652693392,0,0,0,0.417975,0,0.4314,62,68,61
"ZNF182",0.687589067616957,0.989210309988745,0.776184891116958,136.171038709677,128.588889705882,134.848045901639,7.61907755857748,5.69337091529115,6.33595808626872,92.582575,95.180325,107.3295,160.97625,155.1593,165.0173,62,68,61
"ZNF673",0.508024098568332,0.995659101806977,0.455928128978911,222.775141935484,235.530923529412,221.728404918033,7.36886518108448,8.9929264929047,7.90685307614512,182.0081,188.0693,173.5959,247.72535,287.52335,259.1442,62,68,61
"ZNF41",0.0490495270804425,0.181256166177985,0.848505649472389,142.334714516129,116.820522058824,122.726167213115,9.05874110886378,6.69870105855574,7.23745855246991,88.28665,79.078675,77.9253,183.818375,172.833375,143.0643,62,68,61
"ZNF7",0.11676192809321,0.886505515685297,0.0388440936197185,437.077141935484,525.617816176471,415.736424590164,24.5320975204987,40.0863270090223,25.809007212897,268.137075,305.97775,280.9946,530.9614,627.750125,489.032,62,68,61
"ZNF214",0.096170980656398,1.13942033190817e-05,0.015715046479348,18.8475290322581,25.0233441176471,33.3480639344262,1.82017131416684,1.98390482038895,2.51492769034882,6.830125,13.675475,21.0773,27.8232,33.40785,41.708,62,68,61
"ZNF215",0.392982868530574,0.224272291239841,0.918114557160271,13.6497322580645,21.2508926470588,23.5507344262295,2.90817225549752,4.77911255070041,4.3775133721559,2.370225,1.468225,1.7615,14.285975,20.004675,31.2221,62,68,61
"ZNF547",0.46872821413161,0.0352499231242343,0.350588558281164,37.9066758064516,33.0061544117647,27.2102836065574,3.66760611084581,2.46802298687561,2.7249579660198,15.928975,20.2419,12.3954,51.030575,39.54075,35.3147,62,68,61
"ZNF773",0.191805427600558,0.150549297913323,0.983217950777737,81.4336870967742,65.2950823529412,63.6663278688525,7.09244719708134,5.86764344053433,6.91926338153846,34.3644,23.610125,22.6393,133.80325,102.66255,74.2605,62,68,61
"ZNF776",0.183869440410539,0.58040503035368,0.739885311605985,250.909229032258,217.313114705882,231.454419672131,13.8348309965542,12.8479285342454,14.1258385108877,190.414575,146.0836,152.3173,317.57585,283.4451,297.3407,62,68,61
"ZNF256",0.00313013066211398,0.0214371219981776,0.843553457754657,82.2294564516129,52.2966514705882,57.3361934426229,7.52554412551966,4.91988769138088,6.86081217086704,29.908425,21.531475,28.4519,122.0272,77.94235,59.2629,62,68,61
"ZNF599",0.999190355411155,0.154785674210496,0.131667123976767,56.2950112903226,56.0527720588235,68.335962295082,3.55774999113246,5.29097163361979,4.31385956285289,33.96565,27.477675,46.5882,73.98105,72.323,86.2069,62,68,61
"ZNF18",0.725933854492789,0.908128021677258,0.46190595592799,170.542782258065,180.351708823529,165.022754098361,8.77413458328108,9.62136680459664,8.96083549578724,115.8343,128.520775,111.8681,222.00105,211.2648,203.8997,62,68,61
"ZKSCAN2",0.880763449327073,0.0100685277356889,0.0321401411392639,132.877898387097,137.787504411765,163.823514754098,6.61996397211391,7.53357382595692,7.63050250604533,103.98355,91.5089,113.1963,157.328575,177.5575,197.9477,62,68,61
"ZNF689",0.656437724583015,0.539930429022196,0.126144526074207,130.995432258065,119.985460294118,144.689760655738,9.67871451350778,8.07015659585219,9.25210780485137,69.4357,81.685975,92.4784,181.27405,161.92575,184.2629,62,68,61
"ZNF19",0.885778978541951,0.107585605637805,0.0313907533654419,40.8004306451613,39.2369382352941,47.750268852459,2.59311817903505,1.87692248613632,2.67512110566116,27.697275,27.686,36.0214,48.020175,47.374,55.1594,62,68,61
"ZNF230",0.889790756941997,0.998836766484408,0.868758162135077,75.3700306451613,71.1041808823529,75.8071918032787,4.44054370003942,6.47613640711609,8.39002216200962,48.15515,46.242325,38.1827,97.1003,78.890175,82.2152,62,68,61
"ZNF222",0.928044632283315,0.851972045221569,0.629459676611559,56.110835483871,59.5322617647059,50.9621967213115,3.82726262603739,8.18221871001212,6.73793760702393,34.635925,34.07985,24.6253,78.075575,65.778175,60.451,62,68,61
"ZNF221",0.67438669986057,0.701324993163447,0.999743842755849,14.6469435483871,12.4866073529412,12.5418344262295,1.8339640223576,1.57425674550412,2.06897823100725,4.840125,5.4574,4.7603,18.8753,13.75835,14.4801,62,68,61
"ZNF233",0.0284736364879296,0.00222099272439868,0.624946086064683,38.1532274193548,24.1701264705882,19.1355098360656,4.98184564242729,3.38154892722739,3.00160611652461,7.755775,6.777375,6.734,51.789825,33.6314,19.3581,62,68,61
"ZNF235",0.977691388868994,0.793608888928932,0.663431401614152,62.1713580645161,63.6037558823529,57.4580163934426,3.16182885272873,6.73006378669068,4.09803598654894,45.177475,41.326625,36.8698,78.84255,67.6869,68.5008,62,68,61
"ZNF208",0.76174728712236,0.264917192510073,0.0586046440152508,49.3333032258065,25.9548455882353,102.632601639344,36.8561262461996,6.73198707827233,19.4898730339555,3.16105,2.323675,7.7061,11.3409,16.4201,144.3817,62,68,61
"ZNF714",0.11853613507147,0.200027394501943,0.974303112487057,50.8816435483871,34.1801602941176,36.0158557377049,7.14581363334463,5.63421578873147,5.05618260938374,8.734625,4.00545,8.8069,83.40995,49.512775,48.0888,62,68,61
"ZNF394",0.48404540188954,0.975317938723662,0.362015555203938,409.705969354839,445.817064705882,402.845103278688,15.1346292651175,30.328794457029,16.0620851891759,334.286075,339.22605,299.1755,452.576,482.5608,469.1358,62,68,61
"ZNF333",0.426470724622673,0.960509173022573,0.599063499410305,113.612824193548,100.637814705882,110.726103278689,7.99388105735979,6.2613489094689,8.07417371984833,74.7709,65.018875,73.501,135.343175,123.74995,131.5981,62,68,61
"ZNF382",0.351629304840727,0.330936530902085,0.996646295069201,29.7476161290323,23.8656838235294,23.5323754098361,3.76046611267337,2.60163443798333,2.65999214991205,12.051575,7.674075,7.7277,34.988125,33.164025,35.7807,62,68,61
"ZNF577",0.657567393618838,0.574605229320443,0.986362260584197,98.0311048387097,82.6884764705882,79.9049639344262,15.0607368875212,10.58163788428,11.8311235546207,37.43045,20.4468,26.5957,109.50865,107.165625,104.8292,62,68,61
"ZNF75A",0.538953792475726,0.968432312991573,0.394709564390436,276.327924193548,251.822841176471,282.045606557377,16.0506887062641,12.9095334765345,20.3357573132032,189.4092,177.435225,189.0459,339.5544,327.86255,331.0373,62,68,61
"ZNF496",0.00254866626443229,0.0677888720595443,0.529913097273087,223.459827419355,126.454657352941,157.500263934426,19.6835695808347,13.9586126039846,27.0404252756689,114.2772,42.644375,38.9105,263.04965,166.613775,184.4643,62,68,61
"ZNF2",0.909163829075937,0.900696622867737,0.999449726010575,84.6204870967742,86.9064220588235,87.0808803278689,3.8051004536582,4.4134338692948,3.33825764654726,63.241525,62.560875,69.0661,102.286975,102.055425,105.3197,62,68,61
"ZNF589",0.283122253975631,0.972244553810725,0.40595769619748,118.171987096774,135.612711764706,120.832196721311,8.55913159275098,8.95344734963884,6.58601732145355,72.5755,85.726675,88.2917,151.289375,171.36215,143.7326,62,68,61
"PRDM9",0.10480101562646,0.000115894925690418,0.0622075735411349,0.260285483870968,2.17869558823529,4.3213737704918,0.0941224583158684,0.682584876272699,0.937665587270523,0,0,0,0,1.801925,5.298,62,68,61
"ZNF12",0.485131358909113,0.924481443631412,0.729014638429002,458.34225,418.810405882353,445.005001639344,27.7130702413039,22.8285698567077,22.9969245643286,321.246275,330.436075,310.7221,533.3529,482.9961,546.5739,62,68,61
"ZNF202",0.999995626337474,0.424694972873457,0.406913008675129,166.085720967742,166.121658823529,149.690019672131,8.45368166509012,10.5904068625347,7.59918877412454,119.841975,115.6111,112.2884,199.89275,183.6717,167.5294,62,68,61
"ZNF3",0.810185758660403,0.864814735339003,0.9954818505267,683.367862903226,709.033454411765,705.256434426229,28.5637719985536,31.4420446441353,28.1942743894909,500.92405,573.6706,565.7371,816.945275,787.24505,843.058,62,68,61
"ZNF606",0.0372040036154614,0.447632260899069,0.437257886901799,209.495070967742,159.169417647059,184.232995081967,17.5121328573036,10.0580325924268,15.6037883065451,112.3554,97.400725,107.221,265.29935,211.150875,226.9911,62,68,61
"ZNF91",0.00774615484159824,0.0183403769189255,0.974365098716333,324.362843548387,243.258066176471,249.086929508197,23.6292409148973,17.5183653843591,15.2350728474838,188.25255,141.851225,177.9807,399.97405,324.361375,298.6348,62,68,61
"ZNF226",0.999634179961079,0.252948130308612,0.248522136927101,255.744053225806,254.940458823529,204.843085245902,16.4222332700563,28.0940667018828,18.9677165675809,170.461075,170.7549,120.8207,307.539925,273.370675,238.9078,62,68,61
"ZNF229",0.88730097773311,0.78514614084619,0.97504235013501,63.0966483870968,74.3682485294118,79.5703508196721,15.8228896870564,21.2870935399474,12.3293187272609,5.5967,8.017775,16.3214,56.483375,94.883875,115.0704,62,68,61
"ZNF180",0.273246148572616,0.135440100115324,0.903818134837825,147.414480645161,127.779179411765,122.303549180328,8.20222970414478,11.0374236599845,6.96887386284929,106.162925,82.6576,85.6409,181.634525,144.839375,143.0308,62,68,61
"ZNF641",0.190571028337911,0.985652945191842,0.259404841112284,81.2208080645161,66.2301941176471,79.7940459016394,7.05050559144175,5.54176757680039,5.74887478796003,32.718125,32.4676,45.6825,123.05385,87.040975,112.372,62,68,61
"ZNF610",0.00209177318695553,0.0304712818567742,0.69878718722703,36.2288112903226,10.4281602941176,16.5187754098361,8.48843592794326,1.79839961040033,3.93183340855674,4.2983,2.266475,3.8272,30.6749,10.143,13.4876,62,68,61
"ZNF528",0.0650447598828463,0.713237678164498,0.321400864503543,113.714656451613,68.1381,97.4293967213115,18.7339446633812,7.62125997213352,15.6936215210865,23.05485,20.791425,29.279,131.737775,96.67525,107.7441,62,68,61
"ZNF701",0.000278261775814914,0.0583352154159018,0.239172260540142,59.8792419354839,29.2755632352941,41.7655950819672,7.21796188805151,3.35771959083869,5.49096946080459,17.231475,9.2033,14.5968,89.8489,42.35925,53.3377,62,68,61
"ZNF283",0.514687253514995,0.182902371490925,0.756303448303419,32.6020612903226,27.9356720588235,24.9019868852459,2.90229129590745,3.36332459703575,2.67254648293444,14.66475,14.693425,12.9408,42.79105,33.620375,28.5278,62,68,61
"ZNF558",0.978817846492609,0.0734066941042728,0.102022477699201,235.811535483871,240.843355882353,293.554462295082,19.3411468692152,16.3901995896506,19.1041651447301,125.615225,143.116425,180.6443,309.084875,334.079325,383.2079,62,68,61
"ZNF597",0.961909279437595,0.648328041322651,0.470912230360151,26.1772322580645,26.8955970588235,23.7082901639344,2.4456978060998,1.76127043546515,1.46886268664652,12.892025,16.0675,15.0659,35.734125,35.31695,29.3325,62,68,61
"ZNF30",0.297932573288391,0.408421684397707,0.983216366545023,83.8908758064516,93.5474176470588,92.4070491803279,4.7629629141484,4.94817300802689,4.00400529085771,55.222825,64.98435,69.4935,105.99835,114.59665,119.9352,62,68,61
"ZNF354A",0.0667073057421598,0.265522195788076,0.799366987545889,159.77489516129,120.827986764706,131.952654098361,15.1996429086256,9.96949179635213,11.8224296955689,88.7256,55.94275,82.3777,208.2723,158.2407,169.641,62,68,61
"ZNF764",0.999629201493071,0.492435944549996,0.492494921279436,219.058430645161,219.548358823529,241.119896721311,13.6934060777674,14.8431073795802,11.2428445621002,153.88945,154.3465,186.7788,239.166925,242.0833,259.4568,62,68,61
"ZNF747",0.967539575346188,0.00043600760303808,0.000777529239650354,291.174858064516,297.133622058824,388.010083606557,14.6552219282087,16.452052949082,20.7137845480998,209.9299,204.022825,295.4867,347.368275,343.607775,431.9745,62,68,61
"ZNF778",0.682289572133546,0.645983368371197,0.99633383073712,46.9424596774194,43.9815485294118,43.6905918032787,2.97341990621402,2.38559820499927,2.18349629343747,30.201725,29.732975,30.7731,58.198325,54.611275,50.6506,62,68,61
"ZNF212",0.434197904490158,0.000451904118245028,0.0194546474202641,308.992161290323,334.510480882353,390.965872131148,12.9532557565439,13.0004055179482,18.1020699001804,248.848575,263.9536,296.9347,359.4144,408.096075,466.9195,62,68,61
"ZNF282",0.26581021461214,0.531100284219796,0.892601974693372,776.881567741935,868.849314705882,841.951509836066,44.3169652046116,41.7089363627067,39.9719479345244,573.72775,674.295625,604.6635,865.321325,950.944625,988.3946,62,68,61
"ZNF160",0.00476262545126582,0.0503985858989104,0.727016088845499,268.953512903226,177.288167647059,199.280613114754,24.8344793269518,14.7187033264654,21.6910129146561,115.772475,65.1132,98.9786,384.9157,270.0312,237.2449,62,68,61
"ZNF415",0.0151573157582755,0.442591439948322,0.27103051454418,50.9544387096774,21.0045661764706,37.5857770491803,9.86067138401243,4.32804861481296,8.10674144201916,10.054,5.30205,8.9366,48.775,18.731775,30.2045,62,68,61
"ZNF439",0.0405978956148076,0.0441110951639283,0.999426446661226,39.2389661290323,23.9342058823529,23.7314475409836,5.72523534928024,3.08590814086876,4.41892465069899,11.767925,8.832675,7.6985,50.660725,27.136825,25.1213,62,68,61
"ZNF440",0.0494304400937362,0.274152513547353,0.715140500889517,116.676729032258,96.1387794117647,102.944370491803,8.14852803452608,5.33804571321491,4.61815469085172,75.105375,70.0013,77.8488,148.9185,122.144775,129.5312,62,68,61
"ZNF562",0.00511689987753394,0.0107202355956396,0.986055637451307,329.579508064516,252.007804411765,255.93593442623,25.0610696361261,14.1153096894316,10.171924069212,203.002475,175.58565,188.487,397.2808,293.0464,301.8615,62,68,61
"ZNF561",0.00128979296054943,0.00879799067842835,0.871234476377169,519.662719354839,403.844711764706,420.124209836066,32.8829598518093,17.9134540653852,15.2243013298598,356.3489,293.123525,340.9091,630.875375,475.4397,499.8335,62,68,61
"ZNF584",0.2567880064847,0.089776773867583,0.826597040191097,176.142875806452,195.826660294118,203.18616557377,8.99689739696796,8.19430351195063,9.55558209577996,132.448425,149.5755,148.9583,201.4791,238.4085,246.5354,62,68,61
"ZNF274",0.980054714538213,0.928318837235079,0.838282129828049,498.912479032258,491.955164705882,512.644818032787,28.6314120026552,20.9270687310776,28.5295833643806,344.4555,387.23555,383.2976,609.822575,580.519725,618.6281,62,68,61
"ZIK1",0.210003827149661,0.643271192009966,0.721545615483999,33.0648709677419,19.9900382352941,25.9613196721311,5.89615815754601,4.03228703031281,6.55961698776532,6.5547,4.89715,5.3581,28.590925,18.779925,18.3529,62,68,61
"ZNF540",0.644064228222103,0.929205440103886,0.416985547668605,30.8821209677419,27.7633867647059,32.1884081967213,2.9329559657879,2.06855994694263,2.45099845131111,14.37255,14.739875,19.1443,39.717125,36.920675,41.329,62,68,61
"ZNF570",0.486793394713045,0.522367789890992,0.999553982495711,33.226964516129,28.9615308823529,29.0678163934426,3.42309054825382,2.37151693307002,1.98736259709554,11.392175,15.5115,18.1951,41.3861,40.50645,38.8409,62,68,61
"ZNF57",0.876743865849492,0.301327605561011,0.114195411650579,104.099009677419,94.9344941176471,132.659581967213,10.178852612265,12.2333507121516,17.0983111017404,48.32365,47.4197,54.8589,136.49625,100.483175,130.6391,62,68,61
"ZNF556",0.822458062577449,0.982136436187234,0.912178003946755,1.63357580645161,2.49718823529412,1.90269672131148,1.2224998278979,1.09102175210728,0.687163581056919,0,0,0,0,0.757675,0.8627,62,68,61
"ZNF554",0.510979378581437,0.999282271047435,0.491257150437188,129.396714516129,115.985588235294,129.845732786885,8.51504755090863,10.0731968647678,6.57923220493154,77.41395,67.36255,86.5571,156.0746,134.181725,160.0642,62,68,61
