"gene","p-adj-stage II-stage I","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","count-stage I","count-stage II","count-stage III","count-stage IV"
"ZNF479",0.998913155212666,0.458716550005095,0.631179419006259,0.999583587093771,0.999999815165236,0.831147335921677,0.106774257425743,0.0493307692307692,0.577895652173913,0.04396,0.0375560289988875,0.0493307692307692,0.523042821507011,0.04396,0,0,0,0,0,0,0,0,101,26,46,10
"ZNF445",0.932608401057575,0.999906977694516,0.961314678529288,0.997497985369527,0.953198457300493,0.996501156090007,590.013220792079,563.656976923077,587.742256521739,602.74705,20.4836741707504,27.3692239575905,32.5278887146938,55.6446330247666,440.2252,457.962525,413.775775,454.955375,718.5062,661.732925,752.03,720.220675,101,26,46,10
"ZNF74",0.939942467407864,0.238618075608854,0.829411059182025,0.24865367067944,0.551918986231817,0.850703853478806,515.215438613861,542.7107,588.299265217391,649.7697,17.1340467789496,38.4882073753055,39.1443032849592,125.35017379307,405.3651,420.338775,404.274075,369.388675,635.3821,672.695875,743.1129,726.150725,101,26,46,10
"ZNF829",0.526725207894098,0.999841287341784,0.650984888265554,0.880944147835151,0.462573389101418,0.880137176044152,9.58692871287129,12.9127038461538,9.73759347826087,6.85836,0.876393309473421,3.95550613067787,1.39133749437724,1.60064142859459,2.812,2.75975,2.503875,3.604075,12.809,14.13,13.8718,10.13085,101,26,46,10
"ZNF267",0.999147950538165,0.957873915273783,0.962227694037777,0.947933404910259,0.977293984685701,0.8658460688947,265.017598019802,261.456630769231,275.908167391304,243.12244,11.1129564737064,22.175854355322,22.0013611536211,26.8792318519013,189.3574,179.7663,191.060525,204.929875,325.5922,297.427825,330.608975,285.897175,101,26,46,10
"ZNF566",0.998958285680167,0.980922350057203,0.977453551523113,0.0605887554914271,0.0956757900004153,0.127950286653005,170.11473960396,167.0609,176.729756521739,251.28946,8.06762947091808,15.2005998703563,11.831016157385,81.3677914952323,121.5881,111.8645,130.106825,119.135525,196.47,187.75765,210.3939,236.079425,101,26,46,10
"ZNF224",0.458529274733583,0.84541114086825,0.887939252172672,0.189031468574216,0.79391723159216,0.445712882065293,195.083543564356,163.222573076923,180.713052173913,129.43595,10.5221708083024,13.8939045184222,15.2213271514239,14.253647002974,116.324,117.354275,109.77235,98.325575,242.9859,216.780725,227.709975,172.298175,101,26,46,10
"ZNF529",0.929014570377474,0.953124247220336,0.998366956292575,0.99591343566228,0.943284376614705,0.962981484106897,345.655374257426,372.548853846154,364.373765217391,330.61445,17.0377502876008,60.2544646390082,29.7918604223732,30.0275226154394,231.0129,192.6112,260.102725,287.70985,422.4344,376.8194,417.322075,391.171925,101,26,46,10
"ZNF284",0.703774532543504,0.91454384747067,0.960664007514422,0.940691241381363,0.999242857449331,0.996736323789146,37.1709742574257,30.09075,33.7023630434783,31.51751,3.50643551520831,4.14686549164825,3.28907581804581,4.82481545564065,16.7661,15.126,14.095775,24.534725,46.9035,38.45655,47.211225,37.212675,101,26,46,10
"ZNF749",0.951508295189921,0.917979791538446,0.999999662961996,0.991162765441617,0.999949163330065,0.999958519148275,63.4223683168317,59.3144192307692,59.398847826087,59.99623,3.33742567640785,8.23784735548351,4.90698169758973,13.0343427980006,40.9281,39.14935,42.67835,29.019825,84.8464,65.105275,70.34125,83.22775,101,26,46,10
"ZNF17",0.994969674172115,0.988401250139675,0.969370977439103,0.999114840830063,0.99355330151463,0.999983452631181,99.869702970297,97.3690961538462,102.556995652174,101.97124,4.12124976922673,9.27694957000162,8.19588834577233,17.3183886761968,76.2365,77.437975,63.149125,59.46905,115.9281,104.795,134.893275,129.508675,101,26,46,10
"ZNF555",0.98756834388331,0.825781586558759,0.987871285226397,0.487310446330255,0.707104175133349,0.797919015833644,73.1309099009901,71.2300307692308,69.1270782608696,60.78148,2.89319321029106,3.74158019954864,3.22340360532322,9.24531256441519,52.9486,55.5902,53.712725,36.090975,92.8601,83.068225,80.60195,80.2426,101,26,46,10
"ZNF75D",0.586828384783968,0.999731270503518,0.709789822519815,0.687823614578345,0.311025595351468,0.693186766540025,357.017399009901,423.390061538462,360.870856521739,269.68647,19.1093275897935,80.5629822154027,32.1576261245648,41.1849226922616,232.3429,273.89065,229.4414,208.0055,433.7096,365.384775,416.71355,312.00175,101,26,46,10
"ZNF197",0.995448188442104,0.999889807789196,0.993891917918094,0.930367537711745,0.978198833374286,0.929045497396439,375.00224950495,381.594673076923,373.469554347826,400.6486,12.5547738168612,16.3204198224778,21.682447602317,45.7210265883677,294.6304,325.974225,274.01755,337.22735,466.6667,438.7997,491.48755,370.97365,101,26,46,10
"ZNF732",0.23041876786787,0.90733151959231,0.616169718411975,0.0667864414025607,0.700184930871848,0.187437052721257,3.40570594059406,5.6376,4.04372173913043,7.78727,0.50354161481563,1.14758384516876,0.632179270490426,3.06680756158402,0.5522,1.59025,0.947225,2.45785,3.7718,7.923175,5.92335,6.5986,101,26,46,10
"ZNF546",0.64432843281654,0.725761412784691,0.27374904561704,0.59038632510608,0.973639951124197,0.312996250764376,55.2377267326733,46.0250846153846,61.8459239130435,40.34178,3.35782321618784,5.61740777629872,6.44447957823379,9.27486475846054,34.5463,31.6382,35.20915,25.550725,66.8593,55.77775,71.1618,37.218325,101,26,46,10
"ZNF286A",0.949509610049755,0.741813323115336,0.994362892173175,0.880489226527723,0.986234941092581,0.997666642220172,357.467437623762,381.377211538462,393.863432608696,407.04866,20.7904720598742,40.2132139707153,27.8871536708642,54.8415619486701,211.1448,273.911125,241.8877,294.648475,445.1074,414.064975,478.5715,439.488,101,26,46,10
"ZKSCAN4",0.715461436429476,0.786847721184592,0.367160367517281,0.773550145360869,0.45260775162163,0.972538758565339,128.652113861386,114.885538461538,138.477913043478,147.43821,5.7666446061681,6.23653093548273,10.636843477035,18.6545947704309,90.9665,92.099375,95.38335,89.77715,152.2817,135.111875,167.55845,200.689,101,26,46,10
"ZNF643",0.983321626874183,0.574423763773035,0.930833366915444,0.427983620961783,0.666527853435759,0.859271126167596,46.0694178217822,48.3368576923077,52.5197173913043,60.29798,2.58598417384849,5.19774084437926,4.92809446527749,9.09099329719989,27.8972,31.33705,23.910625,38.0634,61.2472,51.6409,79.1726,79.261725,101,26,46,10
"ZNF642",0.977647934424919,0.0208599005347743,0.30125816778606,0.250547291377069,0.491337963664765,0.992381950044978,83.1842079207921,87.0291769230769,105.610123913043,109.82585,4.15015529528016,6.95990709906457,7.09508857506863,16.8840467626116,59.8196,64.77605,75.705825,77.643925,108.1081,109.68675,143.69135,126.70425,101,26,46,10
"ZNF490",0.408679067861485,0.974983429745425,0.69809579428895,0.733494699266217,0.999999997595183,0.871312768375738,257.247584158416,220.830646153846,249.275510869565,220.90536,10.5900122843121,16.1103875419855,17.5880045746142,32.5552502008242,191.3852,164.268225,175.24715,159.718775,289.9885,247.332975,279.912525,248.58225,101,26,46,10
"ZNF626",0.982442613475256,0.992384535258628,0.999200658481656,0.86711202569746,0.965967341428597,0.934706186081365,208.625191089109,187.788511538462,195.963732608696,143.38166,24.7980840247921,58.1777039088942,37.0901260433833,65.1082112377339,13.6444,11.550375,9.95795,6.74745,339.5872,302.144,301.2663,209.8201,101,26,46,10
"ZNF793",0.999491068671998,0.997430341757748,0.999977835953743,0.884072813302543,0.889571757931573,0.857013771319867,168.973851485149,166.307642307692,165.262536956522,195.16687,11.6908856859128,21.3512096266376,12.662344004873,29.071566113916,101.6118,97.8629,106.1383,132.40095,217.9087,198.16545,208.488175,215.743075,101,26,46,10
"ZNF383",0.999983138763513,0.975549492161085,0.993105540855163,0.0199802927562176,0.050799472745732,0.0531682309174931,69.8244782178218,70.2713538461538,74.0056173913044,124.56621,3.33521748857971,7.30934456517815,4.64700869755198,64.7723207337113,49.6278,42.156525,47.7889,43.8862,80.5458,81.9407,99.309425,80.1557,101,26,46,10
