"gene","p-adj-Cluster 13 (HNSC-LUSC)-BRCA CIMP c7","p-adj-Cluster 5-BRCA CIMP c7","p-adj-Cluster 5-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-BRCA CIMP c7","p-adj-OV-like c1-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-Cluster 5","p-adj-UCEC CIMP c18-BRCA CIMP c7","p-adj-UCEC CIMP c18-Cluster 13 (HNSC-LUSC)","p-adj-UCEC CIMP c18-Cluster 5","p-adj-UCEC CIMP c18-OV-like c1","p-adj-UCEC non-CIMP c3-BRCA CIMP c7","p-adj-UCEC non-CIMP c3-Cluster 13 (HNSC-LUSC)","p-adj-UCEC non-CIMP c3-Cluster 5","p-adj-UCEC non-CIMP c3-OV-like c1","p-adj-UCEC non-CIMP c3-UCEC CIMP c18","p-adj-UCEC Serous c4-BRCA CIMP c7","p-adj-UCEC Serous c4-Cluster 13 (HNSC-LUSC)","p-adj-UCEC Serous c4-Cluster 5","p-adj-UCEC Serous c4-OV-like c1","p-adj-UCEC Serous c4-UCEC CIMP c18","p-adj-UCEC Serous c4-UCEC non-CIMP c3","mean-BRCA CIMP c7","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 5","mean-OV-like c1","mean-UCEC CIMP c18","mean-UCEC non-CIMP c3","mean-UCEC Serous c4","SEM-BRCA CIMP c7","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 5","SEM-OV-like c1","SEM-UCEC CIMP c18","SEM-UCEC non-CIMP c3","SEM-UCEC Serous c4","Q1-BRCA CIMP c7","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 5","Q1-OV-like c1","Q1-UCEC CIMP c18","Q1-UCEC non-CIMP c3","Q1-UCEC Serous c4","Q3-BRCA CIMP c7","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 5","Q3-OV-like c1","Q3-UCEC CIMP c18","Q3-UCEC non-CIMP c3","Q3-UCEC Serous c4","count-BRCA CIMP c7","count-Cluster 13 (HNSC-LUSC)","count-Cluster 5","count-OV-like c1","count-UCEC CIMP c18","count-UCEC non-CIMP c3","count-UCEC Serous c4"
"ZNF226",0.997445730967709,0.988105762651888,0.999999160029791,0.989884642694286,0.999999106508845,0.999882594479782,0.999999999923299,0.996536650538342,0.983673784279977,0.963002060109713,0.999197047523021,0.980283853288863,0.943000657686679,0.77430426709437,0.943885769027367,0.999902890316968,0.987173149122668,0.958357453639926,0.846788412552851,0.98910015438048,0.999936567406437,296.8304,361.3719,382.5296,344.8128,298.335105128205,273.997207894737,281.0194875,33.4452638659347,NA,NA,58.110697018105,13.5718989097874,17.4559985316409,17.8569524042778,220.9183,361.3719,382.5296,286,240.0393,200.190175,204.296625,330.0164,361.3719,382.5296,366.0033,345.3512,326.47835,330.8199,5,1,1,5,39,38,40
"ZNF229",0.897266006586473,0.608542979390261,0.999638191944725,0.0034114281444152,0.943991328724086,0.998620512545801,0.999999999971667,0.862777539626562,0.523318487491758,2.46382171659176e-05,0.99847670288824,0.943679218355377,0.678010513172577,0.00020270259811872,0.944451466359084,0.353385739595271,0.999941695178773,0.9769805030267,0.045484692966576,0.000470049941912465,0.0197564948318605,2.43468,156.8919,225.0929,291.84556,3.90587179487179,31.9375078947368,121.181395,1.22615781137666,NA,NA,152.530239982367,0.57314316796457,13.3816530025177,25.3116054595503,0,156.8919,225.0929,44.116,1.31685,1.419275,5.208025,3.6554,156.8919,225.0929,533.0245,5.98065,20.115925,173.51755,5,1,1,5,39,38,40
"ZNF180",0.352075972143798,0.986937456360858,0.94459151783736,0.990256242920701,0.62449046253616,0.999843934136801,0.99897024761627,0.385445348601067,0.996416343069573,0.998967346893885,0.995685443728253,0.427462153510376,0.998134405610355,0.999862562540423,0.999939901998233,0.888671832910936,0.605255226276237,0.999966201578105,0.999985909799739,0.730537784112656,0.888212170114645,151.7354,334.2318,218.68,188.29426,170.010307692308,175.382621052632,197.0392325,32.7692693994236,NA,NA,49.2102287249267,11.5269511951591,13.5309542776701,12.2617564089077,101.3055,334.2318,218.68,107,117.39335,122.104375,137.312125,218.1635,334.2318,218.68,244.8352,197.66925,223.388275,246.6374,5,1,1,5,39,38,40
"ZNF641",0.999969081729119,0.694532496322455,0.783692965949054,0.90213562523141,0.964213753818877,0.971527527821867,0.89692324562645,0.979366052630541,0.91017904440779,0.999772193488303,0.948950587134678,0.987637579085392,0.880466692926076,0.998088183562237,0.999838401441676,0.67063035711587,0.941746485609591,0.962913950018409,0.99999999830285,0.971764806755898,0.872336391975068,50.62248,33.8321,150.0619,93.29512,83.0597102564103,78.4294447368421,94.70162,12.7512126611707,NA,NA,15.2449903634407,9.41878979984376,10.2972374545693,8.53555537467427,29.765,33.8321,150.0619,69,32.35405,37.1869,48.689225,58.9875,33.8321,150.0619,125.0941,124.39765,121.429875,133.204675,5,1,1,5,39,38,40
"ZNF610",0.999248410609899,0.74580564049751,0.733831023690651,0.295513740577177,0.590648822995932,0.999990441879416,0.86098202675785,0.92747224255176,0.948348356162966,0.636452908093108,0.858835998597769,0.926633784408434,0.949176082187235,0.642502302125331,0.999999999999407,0.401538516484534,0.773096007670475,0.994013522117249,0.968214067832442,0.693948457737359,0.709330147393638,82.27496,40.5242,217.718,197.91398,132.373697435897,132.637639473684,161.768695,23.2167703108464,NA,NA,51.9103814339136,12.6709694121834,13.2350409171643,13.4632181517125,58.4937,40.5242,217.718,118.5897,84.04875,70.326625,91.6353,88.7134,40.5242,217.718,290.989,180.47725,191.35015,207.42305,5,1,1,5,39,38,40
"ZNF528",0.999813867500859,0.969745512749,0.955615328351057,0.945395347635765,0.961695660854039,0.999914335202195,0.653486076737402,0.906238003229916,0.999991001508141,0.999966985891153,0.996840573503679,0.993898340840069,0.991878204940436,0.986710537943454,0.311212514805338,0.996977268388419,0.99402532954069,0.991661983887865,0.985911983769401,0.288960554188137,0.999999999999546,194.61692,120.8291,380.6058,315.99086,339.818561538462,247.267639473684,246.6968175,88.4394678494924,NA,NA,64.4470540822977,39.5856901127919,25.0940248437591,22.1435992099346,67.3722,120.8291,380.6058,236.6453,193.4705,101.434325,119.911975,217.1558,120.8291,380.6058,422.8571,455.31835,343.478625,319.090475,5,1,1,5,39,38,40
"ZNF701",0.99999985719707,0.56197413581215,0.85197472610612,0.990224591673928,0.999917818504015,0.821875705505796,0.996919967209234,0.999998465348791,0.649896822322525,0.999741444513858,0.990025828300814,0.999987631883084,0.693780076664093,0.999984001366164,0.999937409888768,0.899005011332626,0.999447077863447,0.814200022335082,0.999993359219475,0.875445608332438,0.966507020422895,85.99314,91.4583,176.0342,107.37556,98.9759435897436,102.137939473684,111.87867,13.9004573328938,NA,NA,21.8158584802341,6.38647560482802,7.73881062930645,8.05496854603848,68.939,91.4583,176.0342,76.4835,68.6577,65.306175,78.611225,101.7576,91.4583,176.0342,152.2003,121.08355,129.8148,127.14015,5,1,1,5,39,38,40
"ZNF283",0.753693692371238,0.942325962601962,0.999871601263945,0.940243453526542,0.975461331423576,0.999450733670621,0.996690017675036,0.839639808145887,0.979127605411786,0.984445102652622,0.999999816600746,0.712874727522089,0.933714855847726,0.856652562475462,0.949397977901426,0.998797386015382,0.8161072467719,0.972586113337445,0.97152416881467,0.999992296980501,0.983260381637134,47.22132,82.1638,71.8245,61.53486,53.3536974358974,48.3751421052632,52.3324575,4.16150777716443,NA,NA,15.8400740595365,3.10957676947245,3.02156049893103,3.9079568304112,41.259,82.1638,71.8245,38,41.29295,34.9216,30.762375,54.3428,82.1638,71.8245,75.1648,63.95225,59.2028,67.9995,5,1,1,5,39,38,40
"ZNF558",0.596405886239451,0.999999996648934,0.852388010816648,0.958189365760154,0.904784755606609,0.998734977060983,0.837624288653094,0.872776451751691,0.997753366122863,0.999999999958317,0.955761075817793,0.796354218415798,0.999663920051197,0.999925323987548,0.992067198409887,0.999976641279065,0.581250776354421,0.999999997033217,0.941757030438289,0.269071480884373,0.719222142465093,518.48568,76.9588,503.7335,374.74834,371.669894871795,409.088471052632,490.37355,285.469233886542,NA,NA,95.2821949168448,27.3764604889844,27.3813365604361,41.0917287018338,249.0862,76.9588,503.7335,265,236.9195,319.463375,274.19375,350.17,76.9588,503.7335,356.037,452.0642,499.640325,668.19085,5,1,1,5,39,38,40
"ZNF597",0.802743610021345,0.999999989448905,0.915688009647716,0.999471335590037,0.652145738858192,0.999996959650572,0.999528495997369,0.610631212006824,0.999999680104606,0.999998893519434,1,0.737176179091802,0.999999985562132,0.997450532740305,0.975158226677643,0.863455633845872,0.969513607641352,0.99389975898401,0.516893906763162,0.008747299704288,0.114459265868059,37.05138,2.2307,38.7981,43.3012,41.653,37.0959394736842,23.3200375,6.5482616167499,NA,NA,14.7212169908265,3.06780505320448,4.48143531645652,3.18561970850073,27.7113,2.2307,38.7981,33.5282,30.03295,18.541325,3.56275,39.778,2.2307,38.7981,48.6111,49.25115,51.2717,35.624525,5,1,1,5,39,38,40
