"gene","p-adj-N1-N0","p-adj-NX-N0","p-adj-NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX","count-N0","count-N1","count-NX"
"ZFP1",0.0198581528433688,0.966782503956758,0.0149954075387236,268.469884518828,211.40386875,270.260735251799,5.33047868575812,17.7047338299434,4.93177004905546,217.52875,159.8726,209.0271,308.9808,255.698175,316.6567,239,16,278
"KRBA2",0.040629363782158,0.273035717164021,0.13568590997645,84.2328217573222,51.33736875,77.1159615107914,3.82989664668936,5.83971051914333,2.81901767843954,48.0974,39.472775,47.682725,108.161,66.778325,95.2651,239,16,278
"ZNF93",0.777655831148101,0.696852910384432,0.604520190638098,53.1782092050209,58.3514875,51.0596899280576,2.07835950400441,6.95212638978701,1.64495824066962,35.72385,34.607375,35.25515,62.65415,77.41795,60.373975,239,16,278
"ZFP90",0.558478857491846,0.9642539998694,0.611388590041181,707.201941422594,656.79221875,702.904164028777,12.2451989567254,48.8157271346414,11.3673057987744,578.5825,562.7169,586.497475,817.1123,826.887225,799.7851,239,16,278
"ZNF479",0.968045154128075,0.999752912797295,0.965850675618507,0.0494301255230126,0.032875,0.049923381294964,0.0141464475340275,0.032875,0.0181364904265147,0,0,0,0,0,0,239,16,278
"ZNF445",0.46444391324819,0.797279160795205,0.597988487756399,443.822040167364,394.9253875,434.757693165468,10.9448607255379,33.2632178144993,9.20296170122441,333.3675,301.32675,335.20925,521.29855,440.5648,508.32365,239,16,278
"ZNF74",0.997203408513511,0.999760315454073,0.996587515096681,188.38819958159,189.5337375,188.273715107914,4.6767916878572,15.3105645789132,3.12670798469919,151.2374,147.5095,155.56855,216.789,213.224275,210.371475,239,16,278
"ZNF829",0.811105268355999,0.945341806222693,0.746449731568328,16.1896376569038,14.29585,16.5246892086331,0.633875504312277,2.11352084712926,0.814194002362425,8.72285,7.7006,8.8264,21.24145,19.759575,21.3055,239,16,278
"ZNF267",0.862466154593388,0.090699388342581,0.429403001296632,470.622739748954,496.20068125,435.211535971223,12.6120272722588,42.2197827149857,11.3290201106114,349.18795,388.660575,320.423775,547.6584,543.8229,496.33275,239,16,278
"ZNF566",0.110486264410649,0.231822709866329,0.0272824712944805,191.774750627615,158.0172625,201.149356834532,4.5434321133763,12.7594485046568,3.65000361637125,150.9378,133.61095,159.9529,220.48195,179.125375,227.916925,239,16,278
"ZNF224",0.315765432516587,0.887782261473519,0.397113994329432,285.854728451883,239.6599875,280.798850719424,8.657773132081,25.7557744462041,6.87160216751854,197.5742,163.127875,198.581825,366.05145,304.494725,346.503025,239,16,278
"ZNF529",0.971985976968069,0.820245486749531,0.901482108509122,348.922220502092,339.772825,357.179734172662,9.78537063804918,50.7694221362767,9.42631669255161,241.4696,198.71865,251.6587,412.94855,400.45925,419.50145,239,16,278
"ZNF284",0.667229951194957,0.714085360039646,0.4960671722846,42.0565652719665,36.6583625,43.7385028776978,1.67562461530875,4.71063449329347,1.39484350378469,25.79655,22.5274,27.851275,54.24545,48.325,55.89185,239,16,278
"ZNF749",0.091382469156879,0.99560467505391,0.0958692379750502,59.6160866108787,46.69634375,59.4279744604317,1.59129969344145,4.49406086673446,1.40850839065935,42.81985,36.830875,45.938625,73.0291,61.174825,70.75025,239,16,278
"ZNF17",0.00225827168287573,0.953727926039685,0.00149655410858862,138.814934728033,103.748975,139.854567985612,2.96036017259433,6.88990241004,2.12149534703256,113.39605,91.1911,117.556925,161.84055,127.3524,160.495625,239,16,278
"ZNF555",0.0859314377200752,0.858414289844066,0.0546947486253634,81.4533050209205,63.96161875,82.9341079136691,2.1184764645777,4.17455362510192,1.90490854564986,62.58045,50.17215,64.09025,91.7085,76.664275,95.831725,239,16,278
"ZNF75D",0.033429642221269,0.96414121573097,0.0409461666751587,434.914258577406,341.41356875,431.633642446043,9.32126608029218,30.3671983886763,8.75431481887547,325.04595,249.86355,334.2908,527.7761,432.532725,503.62695,239,16,278
"ZNF197",0.777549558248457,0.692166119186272,0.916233579393752,287.162166527197,273.87424375,281.671391726619,5.34424359398302,18.8221498013731,4.20406429818233,235.9671,240.379925,228.17415,328.54755,303.205625,320.769925,239,16,278
"ZNF732",0.708083171505798,0.957294650511038,0.645527882240884,3.94807615062762,3.23936875,4.03408381294964,0.23492397113225,0.66057972851622,0.201262561297609,1.57825,1.564375,1.877375,5.2006,4.10695,5.4136,239,16,278
"ZNF546",0.356983988966287,0.999499271513416,0.359264357241563,118.424892887029,102.32113125,118.303944964029,3.12507375606968,8.49240968312645,2.60849058896154,85.3905,75.7744,87.626125,142.7625,122.05085,142.245425,239,16,278
"ZNF286A",0.996628825529831,0.594423864485515,0.96474991542108,263.531139330544,265.5280375,272.009665467626,6.53570476417695,19.4954853782012,5.86997430801339,204.3678,231.987325,216.348625,321.76205,310.145075,317.88625,239,16,278
"ZKSCAN4",0.999998399086353,0.847932550569131,0.980403403992287,115.89130167364,115.90801875,114.057401798561,2.54670931846861,11.0835248852678,2.18164955602019,88.88695,84.492425,91.947825,146.03635,148.8922,139.672625,239,16,278
