"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF434",0.883255971863469,0.517308094271308,0.77101733036565,279.130123990499,283.11825443038,293.099322580645,3.51995061796935,5.04017861136155,11.9043946052389,236.9009,251.6488,255.87135,305.1875,310.3178,309.20715,421,79,31
"ZNF287",0.0070507301529299,0.240342988959023,0.938380880312204,130.419844655582,111.976881012658,115.541796774194,2.50598986138478,4.07184189422207,9.3891633190558,102.3766,88.7073,69.8342,148.9644,132.94045,155.2186,421,79,31
"ZIM3",0.981577410127958,0.831251511522418,0.812016771879668,0.0829351543942993,0.0982430379746835,0.00964838709677419,0.036237843061698,0.0436012178901522,0.00964838709677419,0,0,0,0,0,0,421,79,31
"ZFP14",0.275897133907926,0.409444607086003,0.970526123868718,244.269317577197,229.278408860759,225.342864516129,4.05163420368319,7.12433026982752,12.2406947640524,188.2854,188.60885,184.12115,295.1988,275.40585,269.3299,421,79,31
"ZNF473",0.00515000434862078,8.02282735437032e-05,0.138457305879272,233.368181472684,210.723327848101,186.9481,2.93153157374619,6.03619432341217,9.74920145030693,193.0651,172.64955,142.84295,264.0728,237.03805,228.4681,421,79,31
"ZNF614",0.0111710289769339,0.1794117665364,0.992819499712623,336.692298574822,276.099507594937,280.243003225806,8.27832221757059,17.9049738006563,38.0523191002046,233.221,187.586,179.23815,408.8444,348.32225,309.3403,421,79,31
"POGK",0.203709395510683,0.0632078220259119,0.00879945720466646,1251.07405629454,1324.54060886076,1103.70882903226,16.6299402936947,47.1303131644954,51.9890741834388,1066.4416,1085.40255,969.82005,1410.1319,1464.93495,1213.21485,421,79,31
"ZNF514",0.988936123774752,0.775818559675121,0.864523350007035,272.005435391924,274.565618987342,290.579470967742,7.1588808250871,17.6839247844427,21.2060691798201,165.5194,150.74175,192.9646,352.2629,361.5193,359.9937,421,79,31
"ZNF300",0.215358117764373,0.109161262025723,0.702395736867959,136.070732066508,159.527079746835,178.910135483871,5.2406288513658,16.298027206909,20.3688496971035,68.799,58.44805,94.54215,170.2655,205.368,209.64415,421,79,31
"RBAK",0.999994853149205,0.230192452405891,0.322419252498898,537.111242280285,537.040493670886,479.507990322581,9.63329053915623,17.6541983629916,23.2261840140586,416.9131,440.47255,407.2632,620.5801,601.15425,543.0904,421,79,31
"ZNF92",0.60639795850169,0.0839673821541623,0.0412276819070527,176.025885273159,187.116359493671,138.360209677419,4.56473333019828,12.0950606827044,13.1946420401709,129.0684,129.7802,91.7328,197.2327,212.3957,143.31905,421,79,31
"ZNF157",0.400194389798318,0.895173650424995,0.933301312133776,2.7178106888361,2.3426253164557,2.52024193548387,0.119137495867224,0.221564933034016,0.399744312494234,0.9175,0.7428,1.0221,3.7538,3.1146,3.5118,421,79,31
"ZNF182",0.437326095735583,0.988142184272747,0.830300738943441,222.702239429929,235.940384810127,225.109716129032,4.2829839687461,10.9351442074873,10.5377022312258,160.5128,172.071,172.92225,268.2038,290.2972,256.9703,421,79,31
"ZNF673",0.914714934220868,0.861438791379697,0.76966688405352,272.997621140143,268.644302531646,281.545970967742,4.39405931982598,9.05105681023277,14.5060270984658,220.6557,217.4904,226.4741,304.0724,298.313,303.57255,421,79,31
"ZNF41",0.0564917929568447,0.000461790503581305,0.110496351357718,290.053885035629,265.278617721519,227.852158064516,4.27074996839338,10.9298126646131,10.8637834284158,234.7204,206.68315,197.0276,336.0665,303.53265,272.0601,421,79,31
"ZNF7",0.108979437099776,0.197667663885076,0.936358525603729,371.238702137767,400.825413924051,409.581193548387,5.82589830113895,14.4694079523428,16.7699338189376,288.4525,307.69595,354.93045,437.7902,479.2267,431.1603,421,79,31
"ZNF214",0.282682978492874,0.155006712667343,0.737230174309712,72.9705057007126,67.5663632911392,62.9902290322581,1.43722790749722,2.83752754624629,5.63747281448028,51.4559,49.2997,44.72445,90.2701,86.92505,75.46925,421,79,31
"ZNF215",0.996510514938053,0.922493761261958,0.954731021678172,41.8353831353919,41.5183037974684,39.5228419354839,1.50197562076591,4.20172182707026,7.27619339874138,18.1242,17.7092,14.5526,59.7857,57.8691,47.537,421,79,31
"ZNF547",0.966318764884268,0.818845434467299,0.921658198958137,54.637074584323,55.5315708860759,57.9177322580645,1.46402568506785,3.09232911456955,3.90754312251162,36.8118,37.5902,40.3621,63.1917,65.7937,73.2721,421,79,31
"ZNF773",0.0312937527584977,0.923344040086046,0.171197427883526,113.426457244656,98.1525962025316,116.911541935484,2.39820772928291,5.65437267410407,8.39181789613988,76.6182,61.9814,88.64995,141.5578,123.6442,147.16465,421,79,31
"ZNF776",0.00707937885936538,0.0210497947402277,0.824728039976665,466.178658907363,415.811520253165,398.851564516129,6.8010715184518,13.1838856288693,21.0866365193869,369.8848,336.7317,347.1672,556.9925,499.18495,469.12425,421,79,31
"ZNF256",0.0344102178025802,0.75037373800172,0.0954450729553575,108.551850831354,96.0240607594937,114.056664516129,1.97704838822354,4.87127418338726,7.19059036098985,83.363,62.55185,96.421,130.9524,122.36935,128.58275,421,79,31
"ZNF599",0.995988079954753,0.085187218612691,0.164247683036556,102.992907125891,103.322426582278,115.457390322581,1.48419791397538,3.88815278013864,6.58680955196335,82.5507,81.3696,92.48205,120.4325,119.6617,126.6235,421,79,31
"ZNF18",0.000942060146879697,0.723794996089335,0.330725926398524,189.838720665083,223.640037974684,200.701670967742,3.65597059022844,9.50489337718983,12.3843315450788,144.8222,162.8161,153.507,212.9032,265.83675,214.1508,421,79,31
"ZKSCAN2",0.0725819377456307,0.220860342359114,0.980622352304773,173.389983847981,157.53404556962,155.183864516129,2.96930379102699,5.29188300423754,10.2452495241323,130.9038,122.11015,112.27355,200.6011,185.0484,188.97875,421,79,31
"ZNF689",0.0512510827796578,0.0098405667852195,0.441851006472611,145.815958194774,130.841870886076,117.35025483871,2.53707455141962,5.97612979008864,9.24068080520445,111.9556,89.6754,87.81155,182.7087,171.274,144.0007,421,79,31
"ZNF19",0.0146982258316375,0.999975180139489,0.240965582011993,98.4699389548694,86.8481860759494,98.4276451612903,1.6730036432135,3.25009294950185,7.01446199232108,75.6467,69.03765,69.6775,118.2194,97.69475,117.44725,421,79,31
"ZNF230",0.039978863821496,0.705655193455722,0.756822569992546,137.858690261283,125.679349367089,131.822987096774,2.02969935981636,3.85034562663452,7.81209924543814,110.839,100.1805,100.31615,161.5871,145.75675,156.31985,421,79,31
"ZNF222",0.00285371941562995,0.267007625457027,0.00317713569588107,66.5523011876485,57.8377962025316,72.7584193548387,1.04378040972254,2.22887440528816,4.64799121545822,51.9778,42.62545,57.37745,81.1103,68.3646,85.7653,421,79,31
"ZNF221",0.0487614109878556,0.978725211966063,0.273559938571111,18.8670532066508,15.3225898734177,19.3172290322581,0.617147744364151,1.0403534752876,2.36157372561837,9.7709,8.5052,8.6141,24.2903,20.99775,29.36705,421,79,31
