"Gene.ID","tumor"
"ZNF852","CHOL"
"ZNF816","CHOL"
"ZNF730","CHOL"
"ZNF724P","CHOL"
"ZNF729","CHOL"
"CTD-2192J16.17.1","CHOL"
"SSX4B","CHOL"
"SSX9","CHOL"
"ZNF783","CHOL"
"AC010487.1","CHOL"
"ZNF726","CHOL"
"ZNF891","CHOL"
"ZNF705B","CHOL"
"ZNF705G","CHOL"
"RP11-1396O13.13.1","CHOL"
"ZNF321P","CHOL"
"ZNF812","CHOL"
"ZNF736","CHOL"
"KRBOX1","CHOL"
"ZNF487P","CHOL"
"RP11-15K19.2","CHOL"
"AC003682.1","CHOL"
"AC005324.8-001.1","CHOL"
"RP4-734P14.4","CHOL"
"CTD-2140B24.4","CHOL"
"CTD-2006C1.10","CHOL"
"ZNF625.1","CHOL"
"ZIM2.1","CHOL"
"AC078899.2","CHOL"
"AC002310.13","CHOL"
"AC002310.11.1","CHOL"
"SSX2B","BRCA"
"ZNF852","BRCA"
"ZNF816","BRCA"
"ZNF730","BRCA"
"ZNF724P","BRCA"
"ZNF729","BRCA"
"CTD-2192J16.17.1","BRCA"
"SSX4B","BRCA"
"SSX9","BRCA"
"ZNF783","BRCA"
"AC010487.1","BRCA"
"ZNF726","BRCA"
"ZNF891","BRCA"
"ZNF705B","BRCA"
"ZNF705G","BRCA"
"RP11-1396O13.13.1","BRCA"
"ZNF321P","BRCA"
"ZNF812","BRCA"
"ZNF736","BRCA"
"KRBOX1","BRCA"
"ZNF487P","BRCA"
"RP11-15K19.2","BRCA"
"AC003682.1","BRCA"
"AC005324.8-001.1","BRCA"
"RP4-734P14.4","BRCA"
"CTD-2140B24.4","BRCA"
"CTD-2006C1.10","BRCA"
"ZNF625.1","BRCA"
"ZIM2.1","BRCA"
"AC078899.2","BRCA"
"AC002310.13","BRCA"
"AC002310.11.1","BRCA"
"SSX2B","BLCA"
"ZNF852","BLCA"
"ZNF816","BLCA"
"ZNF730","BLCA"
"ZNF724P","BLCA"
"ZNF729","BLCA"
"CTD-2192J16.17.1","BLCA"
"SSX4B","BLCA"
"SSX9","BLCA"
"ZNF783","BLCA"
"AC010487.1","BLCA"
"ZNF726","BLCA"
"ZNF891","BLCA"
"ZNF705B","BLCA"
"ZNF705G","BLCA"
"RP11-1396O13.13.1","BLCA"
