"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF714",0.0127904608865262,513.867268292683,422.814586330935,20.0714619557189,26.1814808976221,228.8416,200.36395,673.996,571.1663,369,139
"ZNF394",0.515017434510179,448.755851490515,454.801986330935,5.00128772907977,7.23262885843245,393.2957,402.4384,479.5299,496.32615,369,139
"ZNF333",0.97372411018975,192.47080596206,192.662930215827,2.93615347914439,5.4311658541212,159.0171,150.0436,223.6407,220.6155,369,139
"ZNF382",0.365806244827483,57.0853303523035,59.0461028776978,1.13180096533607,1.85188188825758,42.1209,44.9862,68.781,69.2966,369,139
"ZNF577",0.656400033428962,263.82057100271,269.490676258993,6.72485462826175,10.58159339006,179.2499,189.7913,314.3996,325.58905,369,139
"ZNF75A",0.013817454263172,318.259516802168,350.255976978417,6.86780371890973,10.6217103758605,245.0958,273.7806,368.6467,415.62145,369,139
"ZNF496",0.939298914929956,367.710037398374,366.779105035971,6.24268054670139,11.0342877236445,280.4746,270.9784,443.3448,437.9161,369,139
"ZNF2",0.138325654737777,117.596157723577,121.393592805755,1.34034106986453,2.17091410550942,100.2201,105.0251,134.0309,135.97795,369,139
"ZNF589",0.121379888499454,488.283840108401,517.696086330935,10.0252362171212,15.6695170087744,360.158,394.4377,568.2477,615.2834,369,139
"PRDM9",0.846614243420595,0.0239566395663957,0.0280043165467626,0.0119106642719567,0.0126757847734603,0,0,0,0,369,139
"ZNF12",0.181989680590574,683.191028184282,704.948874820144,8.5089973294255,13.9044756339843,587.9924,611.6219,764.7321,787.8303,369,139
"ZNF202",0.497868756596655,249.252566666667,245.947198561151,2.50636233227275,4.33229310192312,218.7707,216.9578,279.1115,276.12565,369,139
"ZNF3",0.690109306901088,631.978279674797,636.789617266187,6.60730919086287,8.85160002778073,557.6249,572.42845,683.9674,690.2783,369,139
"ZNF606",0.000117722603644288,386.511175880759,422.725350359712,4.45330412247629,9.565103847677,326.8906,356.1051,436.0821,473.8698,369,139
"ZNF91",0.867614141093762,462.192674796748,459.360961870504,8.86240844701329,14.554493054866,351.9305,353.14085,552.8239,546.4222,369,139
"ZNF226",0.0234824445054305,434.892095663957,460.139297122302,5.63992886515262,10.1782561764904,361.2467,390.38225,493.3548,509.298,369,139
"ZNF229",0.987890067057019,263.839804878049,263.712286330935,4.41156859912769,7.07351492419262,206.0268,211.8642,315.2296,303.7319,369,139
"ZNF180",0.221500697674737,173.33798102981,179.247846043165,2.5362095193909,4.06809985931586,141.0353,150.19015,203.3254,210.24125,369,139
"ZNF641",0.0974019788482282,162.854465582656,150.526374100719,4.05081713715327,5.53329867624703,113.1124,109.9366,203.9171,197.4746,369,139
"ZNF610",0.11177519237424,130.052932791328,136.237202158273,2.00609150856436,3.41302784835757,105.0122,112.94435,152.8436,161.3516,369,139
"ZNF528",0.291510691093696,407.367192140921,420.730990647482,6.52844757886454,11.1757419354312,325.3941,322.80725,477.6352,483.4513,369,139
"ZNF701",0.623650188911511,126.678460433604,124.920517266187,1.91548336552544,2.85825106289698,102.5226,101.73465,149.5734,148.40295,369,139
"ZNF283",0.5414615993435,42.6247666666667,43.378535971223,0.641469991404471,1.06784247870531,34.3709,34.9587,49.3539,51.76385,369,139
"ZNF558",0.301949923873686,362.867882384824,374.269955395683,5.62287464278696,10.0236058632059,297.4828,318.57295,418.3491,429.44285,369,139
"ZNF597",0.603669683167754,62.1832428184282,61.1183158273381,1.10834440133934,1.58036254095481,47.803,47.8635,73.0249,71.9892,369,139
"ZNF30",0.00172928072746892,71.8218178861789,79.623373381295,1.24054328174508,2.33296146383133,54.6127,60.69345,84.8321,93.6491,369,139
"ZNF354A",0.0292514883035638,235.084469647696,247.816377697842,2.99533266726052,5.17783932792608,198.556,206.20345,262.8651,281.7145,369,139
"ZNF764",0.248728461138462,148.160545528455,151.402258273381,1.45422897806208,2.45317783268156,129.1486,133.4106,162.287,165.0266,369,139
"ZNF747",0.893192887897983,295.270794308943,294.645384892086,2.5152087846457,3.59793352819218,269.3265,268.6616,316.3649,323.8006,369,139
"ZNF778",0.868684893063225,103.635733875339,102.918063309353,2.35434685264838,3.3009243586258,69.0209,69.5248,128.7586,126.9498,369,139
"ZNF212",0.584616027382768,353.389321138211,349.73338705036,3.52593462171616,5.56447013751356,312.7513,309.1694,388.9863,386.21125,369,139
"ZNF282",0.0878434482033364,646.343648780488,667.305858273381,6.39071241995359,10.5368727933855,577.4382,591.6131,687.175,714.5019,369,139
"ZNF160",0.0446286535089632,681.274672628726,715.284170503597,8.85710443712055,14.3101054939728,579.3804,609.69115,776.7744,810.6696,369,139
"ZNF415",0.193029992144333,285.184568563686,294.634526618705,3.7008720208755,6.56076675567605,241.4442,238.75885,325.7934,337.89295,369,139
"ZNF439",0.0549769734489219,165.685502439024,174.492414388489,2.35174946822541,4.08418088514225,138.5456,143.40425,192.4812,200.03365,369,139
"ZNF440",0.140535620375908,141.973856368564,147.981239568345,2.07431548559141,3.69498337082131,117.1696,117.7319,166.2125,170.59605,369,139
"ZNF562",0.656756798147379,315.163024932249,311.56958057554,4.18750558312961,7.05743034881126,254.2773,255.02225,368,365.956,369,139
"ZNF561",0.10079290107966,627.756620867209,649.603507913669,6.93221223792384,11.4075979218087,539.7946,569.12505,703.0834,719.43475,369,139
"ZNF584",0.246358376390601,204.403429268293,209.300514388489,2.02459910212459,4.28975846218582,180.2856,174.8277,227.7548,230.39715,369,139
"ZNF274",0.166308466186493,837.31631897019,864.032107913669,9.99435411368302,16.7994044668167,719.573,762.80945,967.7463,968.38685,369,139
"ZIK1",0.544865587152739,127.769549051491,130.700410791367,2.48026785627763,4.33293910789263,95.1009,95.8057,159.3669,156.12135,369,139
"ZNF540",0.0362746346986604,263.64299295393,289.948573381295,5.90254769058897,13.0962424179828,186.343,195.2313,321.9492,343.04585,369,139
"ZNF570",0.787605415473731,55.4676989159892,54.8952151079137,1.11389557894734,1.79695241483439,41.321,39.9103,70.0042,67.2139,369,139
"ZNF57",0.249375642885286,79.3941059620596,81.6663489208633,1.01349715569562,1.7518368776976,67.3701,68.33285,90.0777,92.03325,369,139
"ZNF556",0.830149766674736,0.249052574525745,0.238088489208633,0.0250707965667575,0.0500127977374178,0,0,0.3575,0.3257,369,139
"ZNF554",0.0592107379887555,160.718611653117,167.89390647482,1.863910121135,3.70911577360174,139.3016,141.94145,181.8797,183.54845,369,139
"ZNF738",0.378171023260931,134.158650948509,138.679712230216,2.77863728215178,3.91364453274471,100.6679,106.30085,156.4225,166.2452,369,139
"ZNF596",0.0539312538270491,102.85738699187,111.163018705036,2.12809117733174,4.14349622243897,75.1076,76.92165,124.6254,136.97285,369,139
"ZNF621",0.837167992729997,528.66998401084,531.227062589928,6.70444445237468,9.67899512418752,449.6555,468.3597,613.1521,608.13835,369,139
"ZNF680",0.705542288428352,693.943065311653,684.955316546763,12.5143887656111,19.9143845592774,550.2286,538.3049,807.6646,818.63335,369,139
"ZNF483",0.249234658634583,76.9571075880759,72.1344079136691,2.21319590688228,3.44646641013838,46.22,45.51305,94.4964,92.1602,369,139
"ZNF417",0.410484463724765,141.542350406504,137.327109352518,2.66767860079446,4.40075463477949,107.2782,100.62415,174.5395,165.5389,369,139
"ZNF791",0.672983489884988,253.413852303523,248.75449352518,5.69067640706821,9.7452487643295,178.6637,171.7909,323.7106,310.2981,369,139
"ZNF519",0.0778785690087942,31.461864498645,33.9383223021583,0.629659638197493,1.55771152921838,22.3754,23.10135,39.1077,39.6034,369,139
"ZNF25",0.927509176016136,268.719341463415,268.127461151079,3.42128419401299,5.45432323224805,226.5223,228.3288,308.4455,311.5803,369,139
"ZNF77",0.623421508732244,75.0692449864499,76.2150014388489,1.24994821872745,1.85054163809485,60.2669,64.7634,81.6575,80.9213,369,139
"ZNF169",0.168752414579496,51.9963436314363,55.0172525179856,1.12121637911945,1.97409508258898,36.8794,40.31125,65.6172,66.18975,369,139
"ZNF613",0.0785687013272757,155.497043631436,162.904842446043,1.83262046384901,4.82367919795887,133.1836,134.23285,168.7403,177.17875,369,139
"ZNF404",0.2329291764491,103.693068292683,111.622989928058,3.40125672149296,5.96070391495845,64.633,69.96275,121.4545,131.5904,369,139
"ZNF135",0.0984404508204786,222.312660433604,230.764625899281,2.55569857799771,4.81475629285063,192.4917,197.306,253.7724,255.34125,369,139
"ZNF620",0.955337569543598,69.3483455284553,69.4539438848921,0.978319954797049,1.63822942853888,56.5871,56.02745,80.5116,79.7943,369,139
"ZNF619",0.0250631754729054,61.5550680216802,55.8928323741007,1.34154624865889,2.04206751827613,43.6137,38.36705,77.7848,70.93,369,139
"ZNF354C",0.316278971266198,46.8244769647696,43.9455741007194,1.52462372568205,2.34129242650251,24.0361,21.8046,66.8601,60.56685,369,139
"ZNF114",0.240018368106825,197.834171273713,211.724943165468,5.95669072528661,10.9639851298913,118.9563,124.9554,265.6132,262.5614,369,139
"ZNF454",0.533033282417497,40.6212989159892,39.6145949640288,0.841065406119247,1.38876094235745,30.581,29.9491,48.7622,47.7777,369,139
"ZNF543",0.419852179059619,117.276915718157,119.936922302158,1.70098155047231,2.90353241780543,95.1291,98.7181,138.0753,135.37415,369,139
"ZNF354B",0.127086421600806,102.405270189702,108.45821294964,1.96694942649559,3.79407459637096,79.0939,84.66465,123.6094,129.9602,369,139
"ZNF223",0.722149848192469,110.545251761518,111.566232374101,1.49801800322937,2.45902244031864,91.9772,95.5845,128.1169,130.352,369,139
"ZNF713",0.835548665536806,50.3666260162602,50.8967877697842,1.18592350730928,2.7198040957484,34.0992,31.5342,64.0177,61.84795,369,139
"ZNF552",0.279845589004891,80.2845604336043,82.7236086330935,1.13331118986365,2.1085052483292,66.1369,67.90825,92.7088,93.5966,369,139
"ZNF154",0.519030323321726,176.125884281843,171.602797841727,3.67543486186826,5.93501614060637,130.863,126.96075,212.7275,201.38065,369,139
"ZNF571",0.0164903482610277,121.276432520325,128.506109352518,1.53567056620465,2.71209672317132,101.2615,109.5302,137.4672,143.88415,369,139
"ZNF443",0.0665067653913642,79.0219810298103,83.2534302158273,1.19994611763543,1.9770000963427,65.9882,67.6237,91.3931,94.66655,369,139
"ZNF792",0.0232028300510406,105.032258807588,111.856058273381,1.5801432992212,2.49888051857256,86.1913,94.149,124.4814,130.64085,369,139
"ZFP82",0.546962249457146,121.817698373984,123.632355395683,1.52485117843205,2.77173352881284,103.8667,101.70075,139.1766,146.0202,369,139
"ZNF707",0.44187613797811,221.826697560976,225.958164748201,2.64824226239233,5.20595287444603,187.6833,186.1367,253.3192,259.4356,369,139
"ZNF746",0.316259454045975,473.773372086721,484.778948201439,6.09936624629393,7.56323170240257,420.1337,433.6577,511.635,521.60255,369,139
"ZNF678",0.297773404288626,44.1353745257453,41.6267920863309,1.29512058484578,1.88519076013072,26.1991,25.6291,59.5533,53.10665,369,139
"HKR1",2.94840665768792e-05,885.211739295393,966.902232374101,9.20751712597116,19.9969681106268,764.3939,812.4278,978.4801,1075.03205,369,139
"ZNF101",0.205159325108161,79.4995081300813,83.3143129496403,1.52858895591088,2.74630943961413,62.6174,64.03105,88.3948,91.19755,369,139
"ZNF716",0.440750023109823,0.151445799457995,0.0639848920863309,0.0692523738275652,0.0165772522563804,0,0,0,0,369,139
"ZNF708",0.801028799965375,175.152605691057,176.625477697842,3.04374584983646,5.029184003307,135.3708,134.06785,209.455,207.91025,369,139
