"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-1","count-2","count-3","count-4","count-5"
"ZNF230",0.215266369032637,0.582683610715336,0.0131892241240157,0.790482697518962,0.844734585635018,0.123136698341063,0.00972196797073765,2.21830194520045e-05,0.555886165232914,0.000474474136683112,132.99753358209,142.16671884058,127.013116666667,137.432617894737,120.582378703704,2.97240179229865,2.96448677116281,2.7015333211542,3.35382779539908,2.37420044241604,111.590025,130.2908,108.5309,115.16635,103.982,155.45915,161.053,144.139425,161.79615,133.744425,134,69,84,95,108
"ZNF222",0.0859858552192009,0.987376411567047,0.0505183777511102,0.706866560060697,0.698777167822764,0.494277737632652,0.00296175267284116,7.1427788239653e-07,0.0494272242462169,6.75412444306467e-05,70.1240179104478,76.4002942028986,68.9592654761905,72.987912631579,62.2769444444444,1.84632430154847,1.81925147716558,1.54354119029596,1.64343105142395,1.28421690669835,57.023325,65.7861,60.634025,65.04665,52.522975,82.432175,83.8498,77.718925,81.74485,71.1176,134,69,84,95,108
"ZNF221",0.992345437983037,0.35107428941885,0.764215649040437,0.983344036540857,0.909015032806029,0.184180251718678,0.999723648081121,0.978204022816491,0.303848652506635,0.997098931998499,17.4279813432836,18.0498579710145,19.8832797619048,16.7365589473684,17.1956935185185,0.887239225747893,1.18594289074127,0.953720088376551,1.04250438600241,0.824572835334979,9.838375,11.6239,11.983075,9.50775,11.479475,22.17625,20.9125,25.6895,22.59665,22.12445,134,69,84,95,108
"ZNF233",0.0189632313444958,0.0126611460392794,0.999996944008004,0.992118668606591,0.0106983215724811,0.007245360370146,1.53860679752427e-09,0.0832426586059238,0.0470352014290359,2.9043925042771e-09,74.9795410447761,61.8123101449275,62.096925,76.6916494736842,50.4816203703704,3.78648019955289,3.04338648610579,2.23579931441593,2.16444648330892,1.61271700334865,40.44,45.5807,49.016375,62.6886,40.525075,104.3426,75.4095,75.7805,88.07425,59.457025,134,69,84,95,108
"ZNF235",0.222467902785587,0.00181265169465972,4.16453015406049e-06,0.0111313706015717,3.13708817328839e-05,0.976939306337867,1.5875163406065e-09,7.23148207981694e-11,0.172017902063029,0.0293503431927155,83.7785955223881,90.1838884057971,73.0125345238095,74.8247684210526,66.3422,2.21529615287509,2.67016231849691,1.60249438098683,1.94347178565922,1.69805783313909,65.872325,74.7087,61.900525,61.5985,54.972875,98.6587,103.1969,80.517675,86.29615,76.349425,134,69,84,95,108
"ZNF208",0.867921876131347,0.733083907422534,0.999818470930454,0.933299603180653,0.510646503777416,0.344931171297423,4.91010160723615e-05,0.0283209978487993,0.0294904850724915,8.02773894514885e-06,278.799561940299,258.487237681159,254.621263095238,293.761874736842,194.570478703704,16.74605259028,13.867578309694,14.3575921471836,12.3219382486058,9.12883888570803,137.8824,183.1316,158.45,206.0177,118.92155,395.641775,328.7482,322.771525,361.26245,263.1372,134,69,84,95,108
"ZNF714",2.32919375342533e-07,6.93889390390723e-11,1.26107790876517e-10,6.94333479600573e-11,0.149390274057445,2.35055215735969e-06,8.38594195418096e-07,0.898758287799475,6.9434236138477e-11,0.00375802517597057,233.20838880597,493.280501449275,847.966436904762,605.295528421053,450.655912037037,16.4563353137066,37.2831968271847,49.7044341338958,36.8467123497481,22.072975127612,112.309125,300.8555,523.389425,296.16455,279.085225,297.863275,631.8444,1050.730075,849.48865,578.08345,134,69,84,95,108
"ZNF394",0.941735803351478,0.606006879330157,0.307169537046038,3.48743924786232e-05,0.0102672941611806,5.14284646424557e-07,0.388603764846237,0.941956361249867,0.0273812245801055,0.0377748315981333,435.090613432836,445.138791304348,417.291946428571,491.20012,455.578615740741,9.47621437250578,6.77664385082811,5.69890994574226,10.3065570561123,8.66379208659908,359.3093,404.7594,381.829725,427.5425,406.500775,469.324125,476.2461,454.987325,530.6037,485.234125,134,69,84,95,108
"ZNF333",0.888092781795861,0.143768748138826,0.0399804290463251,0.997756272432638,0.788008125525219,0.340647395660407,6.50111320332769e-09,1.37708874303755e-08,0.00659281219450369,6.3438532638127e-07,206.36608880597,214.006592753623,188.40945,203.975685263158,160.792842592593,6.71947095160866,5.07817970269649,4.02615977912144,6.0072368005995,3.64752859777869,153.587725,191.9004,162.6398,171.1847,137.526025,243.189175,233.5355,210.998575,233.40445,184.5423,134,69,84,95,108
"ZNF382",0.0114085890498317,0.976067767688181,0.106555049674674,5.06491615315241e-09,0.129735667693615,4.07655377787641e-06,4.02181271619284e-07,0.515726103127796,0.000134650598570651,0.887184454635192,66.5056037313433,56.6224420289855,64.8021321428571,48.9371284210526,51.6216712962963,2.36967699110513,1.97136805193633,2.0477622912327,2.0195089430843,1.3954173608416,49.934875,45.1183,50.51985,36.43595,41.7643,77.325225,67.0642,77.038175,60.0686,61.16905,134,69,84,95,108
