"gene","p-adj-Dead-Alive","mean-Alive","mean-Dead","SEM-Alive","SEM-Dead","Q1-Alive","Q1-Dead","Q3-Alive","Q3-Dead","count-Alive","count-Dead"
"ZNF701",0.994171475238604,126.195344105691,126.26215625,1.62880899827971,7.73450008921051,101.44535,106.158625,149.340375,146.06305,492,16
"ZNF283",0.824666368158596,42.8090233739837,43.50724375,0.558696600577289,3.15849896593789,34.426025,36.7916,50.306775,47.487025,492,16
"ZNF558",0.270394539950493,365.009064634146,396.0820375,4.875659751302,44.5376834885255,305.405425,294.701475,420.468875,468.967275,492,16
"ZNF597",0.62719937887739,61.811756097561,64.35490625,0.934132509761695,4.04980508936818,47.778125,53.586225,72.76235,75.6715,492,16
"ZNF30",0.124691739008636,74.2649882113821,64.47034375,1.12788878544632,6.68509634496747,57.51305,45.9765,88.8226,76.694425,492,16
"ZNF354A",0.181520073418047,237.939957520325,257.88666875,2.60831709785569,20.3416931930779,200.0243,209.84395,267.321625,280.667725,492,16
"ZNF764",0.780154065245841,149.110655487805,147.10704375,1.25991314274661,9.16089758069576,130.0822,123.139275,162.818025,170.148275,492,16
"ZNF747",0.974441103060768,295.087670325203,295.4686125,2.10938361801888,11.6429122603478,269.169875,261.709325,317.737975,325.698625,492,16
"ZNF778",0.325384733147936,103.096310162602,113.98825,1.95059252064412,13.0344026496294,68.9163,78.10345,127.944075,149.148875,492,16
"ZNF212",0.919944774680443,352.443022764228,350.72706875,3.0085387876204,20.0930916799484,310.964625,306.0668,387.823575,413.8991,492,16
"ZNF282",0.735977851328903,651.745994308943,662.33071875,5.53385270940758,36.5403501727602,579.95145,594.63755,695.1054,696.724575,492,16
"ZNF160",0.489725816413297,689.638266869919,719.5516625,7.54907786633684,61.8060316972899,583.4934,604.370125,785.773,757.3611,492,16
"ZNF415",0.901577213023291,287.842526829268,285.5488625,3.27015884385546,21.5165729363609,241.0967,224.596675,327.85775,336.5004,492,16
"ZNF439",0.229848492188608,168.538777439024,154.45734375,2.07153921331149,12.7640340827099,140.2183,116.658475,193.872,194.065375,492,16
"ZNF440",0.587080526183318,143.795740650407,138.14005625,1.85384117519522,8.92205844977757,117.959425,113.45615,167.082775,160.25655,492,16
"ZNF562",0.641452421348479,313.877053861789,323.4885875,3.66596753142901,19.3491666096391,254.222275,273.606925,367.750325,378.420975,492,16
"ZNF561",0.403915393055298,632.840195731707,661.231525,5.97992835508222,41.7818240678562,545.975825,549.14515,714.71795,734.200625,492,16
"ZNF584",0.026646511947414,204.99187601626,228.85211875,1.77749474047312,24.1483974495794,178.3786,178.4265,229.118825,219.783,492,16
"ZNF274",0.869208028476811,844.882100813008,836.76194375,8.49780050422659,81.7493842480154,745.524625,647.760475,968.0711,966.400125,492,16
"ZIK1",0.431204322701357,128.26520995935,137.9898375,2.15298279886978,17.6918135190848,95.234875,93.133275,158.0961,169.7424,492,16
"ZNF540",0.925386945835286,270.745984146341,273.75574375,5.52284925565357,54.8584570423171,189.9239,127.452575,330.40335,319.410175,492,16
"ZNF570",0.0185229340262014,54.9098363821138,67.64851875,0.949800660723703,6.46025712721134,40.5714,51.7336,69.10645,75.43255,492,16
"ZNF57",0.414065326278046,80.1454172764228,76.03139375,0.888833839618441,5.6868172795398,68.13515,64.663975,91.122175,89.395275,492,16
"ZNF556",0.458506652249948,0.243007113821138,0.3397,0.0229142683856172,0.162755981712911,0,0,0.346725,0.369875,492,16
"ZNF554",0.9495311899537,162.662542886179,163.2781,1.68124677395154,15.5493294192092,140.670975,121.522275,181.894825,197.283775,492,16
"ZNF738",0.237932779768395,135.882318699187,120.4325875,2.33125493599264,10.7453826144685,103.44825,89.1523,159.376975,141.985475,492,16
"ZNF596",0.932090435343109,105.100414227642,106.039475,1.93757978843829,13.5917226511656,75.9954,65.43385,127.3463,127.3247,492,16
"ZNF621",0.0554089978172028,527.456861382114,588.188125,5.59618324957713,34.0924282153646,449.97475,482.786525,608.6452,636.17645,492,16
"ZNF680",0.779080583042408,690.947356097561,707.98005625,10.7591247286624,61.6849777443328,549.27005,543.1094,812.740775,775.4292,492,16
"ZNF483",0.622608567659918,75.8032132113821,70.54215625,1.89593398371713,10.5199367963602,46.152375,35.6822,93.894,102.358475,492,16
"ZNF417",0.158787089915652,139.809118089431,158.2193375,2.29627596711189,15.8924477369569,103.587625,128.695775,173.9171,162.882725,492,16
"ZNF791",0.37971775487888,251.359545325203,276.1056125,5.02390964491428,21.8592423976505,175.498675,227.870025,318.481775,310.69275,492,16
"ZNF519",0.75875954478495,32.1742093495935,31.0714875,0.638600117580062,3.20607874307898,22.595725,20.015225,39.29985,38.5346,492,16
"ZNF25",0.0986867346547455,267.694894918699,295.0791125,2.96002809781777,11.5372065366357,226.353475,268.28115,308.47795,319.23765,492,16
"ZNF77",0.0931261048505539,75.6973577235772,65.7085375,1.05660998942269,5.29769017597823,62.253525,51.615925,81.565175,76.0112,492,16
"ZNF169",0.729553312633021,52.8839953252033,50.9452,0.988924876607349,6.47859492837117,37.514975,30.70805,65.764,65.9646,492,16
"ZNF613",0.0675684396655558,158.142763414634,138.4964125,1.8795596330942,14.2198392985407,133.69165,113.4226,171.8576,148.52145,492,16
"ZNF404",0.719749853220456,105.67098495935,111.763325,2.9255593631732,28.1836565507676,66.684575,44.66305,125.4876,112.277025,492,16
"ZNF135",0.0543685577056687,223.834567276423,248.940475,2.15366018605209,29.4806894292893,194.075025,189.30705,254.19205,254.221325,492,16
"ZNF620",0.333694919584695,69.2307680894309,73.8812375,0.843814779480994,6.16087205122562,56.4972,56.29555,79.74165,100.478525,492,16
"ZNF619",0.846362707158263,60.0452219512195,58.7921625,1.15430651176684,4.88082548182917,40.8717,45.937625,75.82235,69.54725,492,16
"ZNF354C",0.355585036448983,45.8233670731707,52.5981375,1.30834227700706,5.55535884025412,22.83415,39.0784,65.264725,59.532275,492,16
"ZNF114",0.260646821778585,200.565767276423,234.513675,5.3085479286406,36.4006801055471,118.909575,149.34155,264.917025,271.5116,492,16
"ZNF454",0.516270864389613,40.4301156504065,37.75444375,0.720289492671396,5.66909560967009,30.7007,23.3516,48.5856,51.96555,492,16
