"Gene.Id","tumor.median_BLCA","healthy.median_BLCA","fold.change_BLCA","log2.fold.change_BLCA","tumor.median_BRCA","healthy.median_BRCA","fold.change_BRCA","log2.fold.change_BRCA","tumor.median_CHOL","healthy.median_CHOL","fold.change_CHOL","log2.fold.change_CHOL","tumor.median_ESCA","healthy.median_ESCA","fold.change_ESCA","log2.fold.change_ESCA","tumor.median_HNSC","healthy.median_HNSC","fold.change_HNSC","log2.fold.change_HNSC","tumor.median_KICH","healthy.median_KICH","fold.change_KICH","log2.fold.change_KICH","tumor.median_KIPAN","healthy.median_KIPAN","fold.change_KIPAN","log2.fold.change_KIPAN","tumor.median_KIRC","healthy.median_KIRC","fold.change_KIRC","log2.fold.change_KIRC","tumor.median_KIRP","healthy.median_KIRP","fold.change_KIRP","log2.fold.change_KIRP","tumor.median_LIHC","healthy.median_LIHC","fold.change_LIHC","log2.fold.change_LIHC","tumor.median_LUAD","healthy.median_LUAD","fold.change_LUAD","log2.fold.change_LUAD","tumor.median_LUSC","healthy.median_LUSC","fold.change_LUSC","log2.fold.change_LUSC","tumor.median_PRAD","healthy.median_PRAD","fold.change_PRAD","log2.fold.change_PRAD","tumor.median_STES","healthy.median_STES","fold.change_STES","log2.fold.change_STES","tumor.median_THCA","healthy.median_THCA","fold.change_THCA","log2.fold.change_THCA","tumor.median_UCEC","healthy.median_UCEC","fold.change_UCEC","log2.fold.change_UCEC"
"SSX5",1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,2.6844,1.4908,1.80064394955728,0.848512938051425,1e-04,1e-04,1,0
"SSX6",1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,0.3622,1e-04,3622,11.8225708309502,1e-04,1e-04,1,0,1e-04,1e-04,1,0,0.3621,0.3465,1.04502164502164,0.0635328244516015,1e-04,1e-04,1,0
"TRIM28",8253.36385,5708.5271,1.44579568519522,0.531863690060706,5792.6471,3804.24835,1.52267848128264,0.60661134403942,6046.7586,2683.3031,2.25347580003168,1.17215195710375,7308.83755,4591.0341,1.59198067163126,0.670822820108314,7240.02435,5352.8885,1.35254533136642,0.435676947650294,4420.7799,3479.5359,1.27050848936492,0.34540601531551,3471.9472,3354.1363,1.03512406457662,0.0498036919978102,3324.6689,3037.6726,1.09447901001576,0.130244286691956,3628.3886,3909.3348,0.928134525597552,-0.107594167393718,4371.0167,2929.17,1.49223728906141,0.577476964904368,5121.2282,3629.8482,1.41086566650363,0.49658063039085,7627.1739,3816.6551,1.99839223093541,0.998839773365179,5812.3914,4702.2887,1.23607710432581,0.30576873884018,6875.4147,4591.0341,1.49757430466482,0.582627586527908,5216.3265,4603.7378,1.13306333388491,0.1802285045194,10679.23095,8319.7811,1.28359518377232,0.360190281550042
"ZFP1",186.0542,188.9764,0.984536693470719,-0.0224831188247866,218.656,289.92605,0.754178522419769,-0.407022029053358,148.0451,753.6688,0.196432570911785,-2.34789392899776,231.5953,178.3784,1.29833713050459,0.376665046938418,182.37615,145.8703,1.25026239063058,0.322230902836098,186.6025,222.9658,0.836910862562779,-0.256854122036162,248.0571,235.3141,1.05415315104365,0.0760844819658191,262.2511,257.90225,1.01686239650875,0.0241244645387361,235.2258,204.7262,1.14897751240437,0.200350562074389,144.1071,544.9505,0.264440715257624,-1.91898377289036,183.4442,196.8504,0.931896506179312,-0.101758352789502,190.4548,195.2503,0.975439218275209,-0.0358761166967687,132.4324,192.2614,0.68881429137622,-0.537813019104248,227.053,187.662,1.20990397629781,0.27489255294109,294.8343,335.6044,0.878517385350132,-0.186857258272104,182.44925,228.3034,0.799152575038304,-0.323457124603835
"ZFP14",162.0344,150.5065,1.0765940341447,0.106474335918898,262.6812,301.77475,0.87045453604054,-0.200159147202515,181.258,120.6758,1.50202443240484,0.586908280377229,128.24625,169.5736,0.75628665075224,-0.402994940816391,64.66,93.58875,0.690895006077119,-0.533461611076862,183.8009,186.1421,0.987422512156036,-0.0182605575603922,203.0964,212.0304,0.957864532633056,-0.0621064597170313,231.2925,225.4109,1.02609279320565,0.0371612048671576,146.3237,196.1416,0.746010535245965,-0.422732090358879,111.4551,79.12785,1.40854452635829,0.494205170344689,157.7834,154.6995,1.01993477677691,0.0284768970701834,144.0875,156.1206,0.922924329012315,-0.11571572939335,209.8895,236.11025,0.888947006747907,-0.169830677385488,135.608,163.0631,0.831628982890672,-0.265988056816116,307.8714,352.2551,0.874001256475776,-0.19429274112251,189.28925,312.0229,0.606651787416885,-0.721059434610018
"ZFP28",89.6023,197.0716,0.454668759983681,-1.13711221410587,171.0153,258.42255,0.661766165530059,-0.595606562786341,95.86835,36.6876,2.61309952136417,1.38576207155589,29.0456,166.6667,0.174273565145287,-2.5205743454244,25.5943,98.2935,0.260386495546501,-1.94127346709543,191.79625,188.4909,1.01753585982135,0.0250796385945228,115.5161,192.2148,0.600974014487958,-0.734625483285083,101.7515,201.17805,0.505778339137893,-0.983422842559012,125.3398,180.98815,0.692530422571864,-0.530050645343586,22.9581,31.9428,0.718725346556971,-0.476487529869947,128.2539,194.2724,0.660175609093211,-0.599078257281624,105.5161,187.9281,0.561470583696637,-0.832717655283176,188.397,207.10535,0.909667471168659,-0.136588830201604,33.6811,135.4598,0.248642770770369,-2.00785360915331,192.8541,244.2209,0.789670744805215,-0.340676851537185,128.44445,243.1907,0.528163494738902,-0.920943505194503
"ZFP30",160.9916,138.8235,1.15968549993337,0.213733607762242,292.3826,238.9164,1.22378622815345,0.291351569045463,173.6894,88.0218,1.97325435289894,0.980576931740498,100.0169,170.2541,0.587456631000369,-0.767445746273877,103.85215,118.24825,0.878255280733541,-0.187287748842291,175.40395,170.8196,1.02683737697548,0.0382077162146513,168.7739,175.6803,0.960687680975044,-0.0578606070125576,184.29,182.9183,1.00749897631894,0.0107783728868954,139.063,170.49395,0.815647710666566,-0.2939819277613,80.2882,73.4514,1.09307923334341,0.128397980523601,169.6029,141.3141,1.20018384577335,0.263255416725513,178.6909,138.7521,1.28784285066676,0.364956558983688,195.0391,197.6943,0.98656916259093,-0.0195079014860672,112.0145,168.3068,0.665537577804343,-0.587407968522638,198.1738,266.9377,0.742397196049865,-0.429736833307376,211.15325,280.3904,0.753068756990254,-0.409146502446547
"ZFP37",37.42545,41.9825,0.89145358184958,-0.16576841647499,57.7423,114.7576,0.503167546201733,-0.990889222041656,31.2004,18.4632,1.68986957840461,0.756911905768048,50.65035,42.4605,1.19288161938743,0.254450878241189,47.4626,37.8143,1.25514950693256,0.3278592208004,11.30105,109.6348,0.103079040596599,-3.27817708033205,67.2499,95.8125,0.701890671885192,-0.510681764375185,90.7229,98.127,0.924545741742843,-0.113183396401127,48.1249,78.5052,0.613015443562974,-0.70600467501525,19.8777,17.76905,1.11866982196572,0.16178428430081,40.672,44.5479,0.912994776409213,-0.131321488861963,55.7461,43.7666,1.27371328821521,0.349040564704632,58.6705,77.58855,0.756174719079039,-0.403208477867136,49.8465,42.4605,1.17394990638358,0.231370848521321,112.1281,103.148,1.08706034048164,0.120432023619606,57.1429,94.2408,0.606349903651073,-0.721777531252524
"ZFP57",1.13995,1.0313,1.10535246775914,0.144506480390812,3.0184,4.3817,0.688865052376931,-0.537706706057802,5.6175,1.0482,5.35918717801946,2.42201420531672,2.0935,0.5525,3.78914027149321,1.92187054846151,6.44245,3.01315,2.13811127889418,1.09633694067814,47.2485,3.5232,13.4106777929155,3.74531024963659,3.2811,3.2256,1.01720610119048,0.0246120204348425,2.4494,2.73,0.897216117216117,-0.15647255825841,3.11545,3.53845,0.880456131922169,-0.183676970257294,0.7349,1e-04,7349,12.8433322362176,6.983,1.5432,4.52501296008294,2.1779219242225,3.3664,1.1971,2.81212931250522,1.49166293659416,1.956,5.71185,0.342445967593687,-1.54605172268022,2.2448,0.5525,4.06298642533937,2.02254054445374,0.3642,0.554,0.657400722021661,-0.605155053959712,1.66855,3.2258,0.517251534503069,-0.951062074827821
"ZFP82",68.0431,58.6301,1.16054893305657,0.21480735334999,120.3783,146.20245,0.823367187075182,-0.280392139532989,29.66425,20.858,1.42220011506376,0.50812447810612,21.33595,49.4186,0.431739264163695,-1.21176779143627,16.4879,31.3777,0.525465537627041,-0.92833194597092,63.5398,65.6858,0.967329316229687,-0.0479209724959016,83.5803,73.9303,1.13052834899899,0.176997169398122,101.9198,80.1852,1.27105500765727,0.346026467445242,49.6302,70.8942,0.700060089541881,-0.514449334024865,27.5089,18.213,1.51039916543129,0.594929872653706,77.1558,74.3303,1.03801276195576,0.0538241811689157,59.5238,75,0.793650666666667,-0.333423964556417,95.4141,106.3752,0.896958125578142,-0.156887460278944,24.8024,70.6668,0.350976696270384,-1.51055285151212,120.7495,156.5718,0.771208480709809,-0.374807178419707,83.5166,167.7524,0.497856364499107,-1.0061985214988
"ZFP90",520.2549,545.9318,0.95296683578425,-0.0695020871342331,567.9012,906.7928,0.626274491813345,-0.675132975778342,520.9894,252.6205,2.06234015054202,1.04428230216699,464.92165,417.2379,1.1142843207676,0.156117397691576,439.392,341.87045,1.28525878735644,0.362058875875222,320.6985,674.8485,0.475215548378636,-1.07334605504123,708.6809,688.6228,1.02912784764025,0.041422218091327,690.7731,713.52335,0.968115619481829,-0.0467487398542183,881.96725,601.0212,1.46744782047622,0.55330920488315,246.8427,246.3583,1.00196624185181,0.0028339022123409,480.2139,512.605,0.93681079973859,-0.0941703872810506,433.223,522.9904,0.828357461245943,-0.271674626342554,531.6859,614.98345,0.864553184317399,-0.209973378687969,460.2037,458.2685,1.00422285188705,0.00607946016124247,543.2281,608.2891,0.893042633839732,-0.163199043660746,517.48115,804.5348,0.643205427534023,-0.636648514484665
"ZIK1",74.64045,83.0372,0.898879658755353,-0.153800113005382,42.7998,119.26515,0.358862584753384,-1.47849658021646,43.99075,16.7715,2.62294666547417,1.39118847239961,12.04035,36.7647,0.327497572399612,-1.61044388228314,18.1238,32.43695,0.558739338932914,-0.839752695777716,103.2733,84.3947,1.22369414193071,0.291243006510248,69.2521,99.117,0.698690436554779,-0.517274701618171,77.7236,109.43395,0.710232976146799,-0.493635748582274,50.1658,89.7083,0.559210240301065,-0.838537315189223,10.2758,12.98025,0.791648851139231,-0.337067453798355,61.1811,65.1261,0.939425207405326,-0.0901497892299793,38.9856,67.4732,0.577793850002668,-0.791373246848233,70.8569,106.9472,0.662540954788905,-0.593918457766206,14.4535,40.1359,0.360114012642049,-1.47347435657586,126.3199,185.1852,0.682127405429808,-0.551886868812024,8.82955,120.4188,0.0733236836772996,-3.76957692313485
"ZIM3",1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0
"ZKSCAN1",466.38225,460,1.01387445652174,0.0198790210131138,1368.4211,1536.6868,0.890500979119493,-0.167310897294258,785.6498,1137.5942,0.690623950086947,-0.534027728734674,1657.62635,2132.4324,0.777340632228248,-0.363381165831897,652.7915,930.03735,0.701898154950444,-0.510666383456171,1141.4611,704.8215,1.61950380344527,0.695551856342538,694.6249,880.563,0.788841797804359,-0.342192098080938,723.5622,962.2442,0.751952778722906,-0.411286028784097,554.63285,887.42,0.62499476009105,-0.678084000508391,746.9325,703.32395,1.06200350492828,0.0867885274737987,574.8383,540.3702,1.06378608590925,0.0892080720562956,731.9317,523.5445,1.39803149493501,0.483396862197421,1256.2104,1153.4545,1.08908535187127,0.123117022829989,1697.8435,2096.2493,0.809943502425976,-0.30410681851062,472.9269,662.0225,0.71436680777466,-0.485263046023084,557.1335,899.9218,0.619091014352581,-0.691776575104024
"ZKSCAN2",128.6564,157.563,0.81653941597964,-0.292405565663972,237.8798,231.00395,1.02976507544568,0.0423152469748213,144.3725,151.6226,0.952183249726624,-0.070688844851424,143.6083,196.1027,0.732311691781908,-0.449470265398189,117.5705,116.72995,1.00720080836152,0.0103513460515076,282.7229,155.6886,1.81595120002364,0.860725433669653,192.2438,191.609,1.0033129967799,0.00477174399591686,161.7549,207.8239,0.778326746827482,-0.361552159385192,254.3767,186.7133,1.36239196672117,0.446141833372122,135.8338,146.61995,0.926434635941425,-0.110238903556283,174.006,179.9787,0.966814406371421,-0.0486891242189567,141.251,175.165,0.806388262495362,-0.31045345525957,186.2981,206.8499,0.900643896854676,-0.150971299384822,145.1672,191.1602,0.759400753922626,-0.397066663641851,221.5001,271.8931,0.81465877582035,-0.295732189549763,181.9842,298.1366,0.610405431604171,-0.712160295045298
"ZKSCAN3",60.1617,57.7428,1.04189093705189,0.0592042672427728,83.3333,95.6905,0.870862833823629,-0.1994825913858,89.87205,42.5416,2.11256863869718,1.07899821623474,64.91375,139.2603,0.466132487148168,-1.10118802973794,44.8071,49.45255,0.906062478072415,-0.142317559298581,42.82195,79.3019,0.539986431598738,-0.889004938187451,66.3408,80.9942,0.819080872457534,-0.287922190599485,65.284,84.25695,0.774820356065583,-0.368066237991766,74.3708,74.61185,0.996769279946818,-0.00466848915720126,85.6407,32.51865,2.63358718766,1.39702922221166,69.5489,70.5882,0.985276575971621,-0.0213993360300925,65.9979,73.0887,0.902983634953146,-0.147228253344997,76.1792,89.3101,0.852974075720439,-0.229426200234668,65.7688,118.2171,0.556339142137643,-0.845963482588491,56.9243,100.5599,0.566073554170201,-0.820938569494429,66.51255,79.8046,0.833442558449012,-0.262845323985739
"ZKSCAN4",105.93575,60.274,1.757569598832,0.813581820394063,132.553,120.3783,1.10113699894416,0.138993974262484,113.5034,53.9019,2.10574024292279,1.07432748130183,80.1176,77.2059,1.03771343899883,0.0534081034141779,98.11405,85.4809,1.14778915523819,0.198857648434007,59.4614,95.353,0.623592335846801,-0.681324897935308,103.4623,93.6526,1.10474562372,0.143714216091566,112.3703,96.37275,1.16599661211286,0.22156359669015,96.75215,83.15985,1.16344786576695,0.218406564860476,99.08,51.9028,1.90895288886149,0.932781498842125,124.5339,87.6733,1.42043130576812,0.506329062274329,117.1662,86.5385,1.35391993159114,0.437142423025185,92.9531,101.3974,0.916720744318888,-0.125445774528044,80.0908,91.0853,0.879294463541318,-0.185581710008456,94.0595,107.0621,0.878550859734677,-0.186802287921668,104.64195,103.8798,1.00733684508441,0.010546189275668
"ZKSCAN5",312.26675,318.1435,0.981527989727906,-0.026898686018246,404.9332,394.2378,1.02712931129384,0.0386178223751998,364.63935,198.3471,1.83839012518963,0.878442953761257,366.96355,321.8604,1.14013264757019,0.189201683038168,327.6617,259.7866,1.26127252136946,0.33488003042416,418.7123,348.1781,1.20258080562792,0.266133836999023,375.8841,360.7518,1.04194656824997,0.0592812971008133,358.4279,383.75655,0.933998129803908,-0.0985084337375732,425.7452,331.16585,1.28559511797488,0.362436355526695,305.4415,200.7638,1.52139728377327,0.605396934448481,320.951,299.7925,1.07057714919486,0.0983887646634699,374.2881,299.9326,1.2479073631876,0.319510841547692,324.749,361.62005,0.898039254184053,-0.155149586915447,369.2053,315.6429,1.1696930296864,0.226129963436033,287.5592,420.2288,0.684291985699219,-0.54731604399387,336.1923,340.1095,0.988482532831338,-0.0167126221248413
"ZNF10",157.2078,242.1941,0.649098388441337,-0.623490920579611,186.7794,315.33,0.592329940062791,-0.755527084073651,116.8391,141.5608,0.82536337743217,-0.276898669589619,149.9465,367.1513,0.408405199709221,-1.29192686053513,80.9822,83.6023,0.968659953135261,-0.0459377966616515,313.24225,327.1991,0.957344473135776,-0.0628899640488036,199.1493,304.6734,0.653648464224314,-0.613413140008468,191.358,305.2423,0.626905248715529,-0.673680686210929,202.86535,282.1005,0.719124390066661,-0.475686753415154,128.5571,111.4633,1.15335810082781,0.205840518260315,159.6639,186.0941,0.857974003474586,-0.220994160013927,135.8025,189.4986,0.716641178351713,-0.480677151398741,236.7374,241.16055,0.981658899019761,-0.0267062823428465,149.0704,330.1505,0.451522563194664,-1.14713001195264,455.612,577.2878,0.789228526914998,-0.341484991214387,222.80965,307.0098,0.725741165265734,-0.462472990425908
"ZNF100",178.63665,116.2019,1.53729543148606,0.6203944432218,238.9533,200.5905,1.19124933633447,0.25247541038518,110.1751,71.4485,1.54202117609187,0.624822577466277,180.5861,296.1656,0.609747046922397,-0.713717228992971,71.18215,109.26325,0.651473848709424,-0.61822082721361,320.7992,164.4044,1.95128110926472,0.964421633266174,161.6456,157.7556,1.02465839564491,0.0351430189494615,177.4041,170.75635,1.03893120226568,0.0551001225420863,119.7068,125.14215,0.956566592471042,-0.0640626879641163,59.3269,63.5261,0.93389803561056,-0.0986630519644075,182.2323,172.7358,1.0549770227133,0.0772115775309759,128.1038,168.1957,0.76163540447229,-0.392827551286926,166.1557,172.7164,0.962014608919593,-0.055869292310112,194.55,236.4227,0.82289052616352,-0.281227581453325,265.6748,216.2538,1.22853240035551,0.296935906715802,205.8494,177.5244,1.1595555315213,0.213571912810129
"ZNF101",105.79875,96.2025,1.09975052623373,0.137176291581844,135.0118,125.23,1.07811067635551,0.108505289438433,83.63225,45.0734,1.85546797002223,0.891783096756845,140.2767,103.6822,1.35294872215289,0.436107161045685,104.86945,104.30085,1.00545153754739,0.00784354586504876,97.09485,98.3098,0.987641618638223,-0.0179404628033191,87.1815,88.224,0.988183487486398,-0.0171491462872467,97.3608,88.67485,1.0979528017245,0.134816037784326,72.56225,75.55125,0.960437451398885,-0.0582364336201701,69.0148,42.4862,1.62440510095043,0.699911462727209,103.1646,84.8875,1.21530967456928,0.281323975592425,108.5472,98.8064,1.09858470706351,0.135646113956848,62.124,64.4283,0.964234660855556,-0.0525438043922996,144.4328,115.8764,1.24643844648263,0.317811639229797,73.5257,96.0345,0.765617564521084,-0.385304166896251,100.1918,71.9697,1.39213863612048,0.477302889120687
"ZNF114",17.83545,1.2775,13.9612133072407,3.80335242012231,5.5287,13.3229,0.414977219674395,-1.26889595352378,2.199,1.0908,2.01595159515952,1.01146099882707,22.83375,1.9023,12.0032329285602,3.58535112587372,65.46595,3.7747,17.3433517895462,4.11631083674927,8.602,10.4103,0.826297032746415,-0.275267607869022,5.9932,9.8626,0.607669377243323,-0.71864150402851,8.8764,9.7884,0.90682849086674,-0.141098376298242,2.7741,9.90125,0.280176745360434,-1.83559087768193,1.8273,0.87325,2.09252791296879,1.06524686752261,15.444,12.9081,1.19645803797615,0.258769799747041,24.4791,9.113,2.68617359815648,1.42555254419441,2.3484,5.8168,0.403727135194609,-1.30854753879703,15.3291,1.9421,7.89305391071521,2.98058360307722,175.1269,165.6569,1.05716634803621,0.0802024066207011,18.5642,13.0293,1.42480409538502,0.510763568367977
