"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-T4d-T1","p-adj-T4d-T2","p-adj-T4d-T3","p-adj-T4d-T4","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","p-adj-TX-T4d","mean-T1","mean-T2","mean-T3","mean-T4","mean-T4d","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-T4d","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-T4d","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-T4d","Q3-TX","count-T1","count-T2","count-T3","count-T4","count-T4d","count-TX"
"ZNF615",0.133665604009191,0.168954228967046,0.970098060775993,0.628740458575228,0.993275750231505,0.999998401752135,0.883890686307171,0.960690843140024,0.979613378177306,0.984406292649617,0.872951513498161,0.966436634739074,0.985944561731782,0.990361640767745,0.999993076970385,313.244141538462,280.646720068027,266.574908547009,263.030276470588,175.72095,198.0086,12.2074942004157,7.44906216734672,11.2664522827927,18.1715330000922,55.49465,54.9327519114963,211.06315,183.228375,182.5587,210.42855,147.973625,143.07615,364.149125,345.862575,330.2864,339.5847,203.468275,225.63255,260,588,117,34,2,3
"ZNF433",0.999970717834681,0.986480618171861,0.956321718417924,0.925895444790992,0.887156913808121,0.99462930144009,0.912931593904219,0.90547836973344,0.944499454119609,0.976041363399626,0.999989475185899,0.999977868096363,0.999999998895783,0.999989247038381,0.982624740884904,129.416082307692,130.281292687075,124.808257264957,118.206508823529,83.97815,123.925766666667,3.37447758276497,2.83586777812988,5.08340964316051,8.12860443969832,2.30195000000001,5.27547412540122,95.42385,90.68515,96.612,81.24645,82.827175,119.26685,158.298425,154.885675,149.7472,158.60835,85.129125,128.39855,260,588,117,34,2,3
"ZNF595",0.987247419369449,0.999997034428312,0.999320743854061,0.704489894608199,0.831178023512503,0.796883115847032,0.51540254444984,0.558332328674729,0.532779698910719,0.772402818542687,0.954329624128304,0.969915353898528,0.960277501148219,0.998676006350942,0.969218390440753,238.663658461538,231.927125680272,236.856909401709,202.093214705882,67.76025,168.4312,8.45726831064923,5.88586172993177,13.2727955419445,15.1530426444503,25.12045,53.915141092183,171.0153,149.542675,156.5082,137.3506,55.200025,123.1044,260.66085,274.037375,270.8887,265.5598,80.320475,216.37785,260,588,117,34,2,3
"ZNF460",0.999173877485385,0.604798308103836,0.67577330092974,0.996587552102112,0.999298219101373,0.997628603700399,0.999999918172154,0.999999999689563,0.999964106185231,0.999999809661998,0.892011063400904,0.907892018594089,0.973573445298491,0.949667666679071,0.988070690902124,57.0950242307692,55.9928852040816,49.8801393162393,53.4688205882353,55.457,31.7071333333333,3.00951167770048,1.64916527390667,2.4582070772203,4.66733415103052,17.6217,9.65322982500906,34.5935,33.409475,30.7122,38.928075,46.64615,22.86695,61.03635,66.503825,62.8947,62.4342,64.26785,39.48535,260,588,117,34,2,3
"ZNF81",0.339014731174354,0.237111729418076,0.934273665672565,0.999999999971279,0.960883694625275,0.812908561125681,0.943518186969619,0.981615094387104,0.993283424887346,0.949713177819464,0.425309274642353,0.591091303873493,0.707800637073513,0.470459572362943,0.996957066989839,178.066261538462,165.012978571429,156.646851282051,177.882491176471,121.53555,83.5516666666667,5.41421453052562,3.61921923474263,8.01203061953281,14.5686240886731,37.61285,27.3378553327514,110.4825,99.839575,93.0093,119.06415,102.729125,58.67825,247.74325,222.7214,213.6923,238.71395,140.341975,105.812,260,588,117,34,2,3
"ZNF780A",0.992247751565044,0.261772065675308,0.379238378368417,0.998005673279894,0.982362004189049,0.573688059470086,0.999878486223307,0.999634600362205,0.992314257992186,0.999994765063521,0.905900263293928,0.929132755735268,0.989673462284488,0.868708230986535,0.957963682566263,352.056959615385,344.060649659864,307.827876923077,366.741085294118,384.251,241.020133333333,9.36798570566477,8.65141130084537,10.8259382452642,23.2826832123088,182.4628,55.0480316253098,253.35405,237.5341,228.1389,257.1133,293.0196,201.60675,413.736375,408.304075,380.6018,479.22955,475.4824,294.00825,260,588,117,34,2,3
"ZNF461",0.919980023397009,0.170735034205236,0.423542009446943,0.743843790277341,0.918308485180262,0.999999831955505,0.0200938220759012,0.0140344041992899,0.00610833749696194,0.00830463171954066,0.940100710305,0.96749887525998,0.997179181499395,0.996958804134515,0.0286565945550024,134.753432307692,130.55873452381,119.849995726496,120.572373529412,261.9094,104.311533333333,3.64220125598904,2.43229174365624,3.58264742109774,6.81428863020792,147.803,6.23903604315425,104.494725,98.098325,89.0165,96.184825,188.0079,99.9397,155.4922,151.1614,143.6509,149.29875,335.8109,110.35225,260,588,117,34,2,3
"ZNF181",0.0032149851535338,0.0101571104122244,0.921362101636617,0.350830701727164,0.996339032217698,0.999999829609737,0.999697281829627,0.983680590895707,0.963835440905536,0.969852515240818,0.997818868287658,0.999999997041022,0.999955834829362,0.999978517601202,0.995700499328304,295.270374230769,266.780925340136,256.399251282051,257.724044117647,317.02635,268.53,6.86895050229514,4.25210464244024,8.62579651437306,13.9327849600558,106.83035,94.0944964428313,218.8184,194.34255,194.8608,184.3552,263.611175,214.70615,353.075675,322.93555,310.2845,319.842825,370.441525,362.28185,260,588,117,34,2,3
"ZNF44",0.99946750017348,0.999759400451129,0.999999822570648,0.999999683115058,0.999999856984084,0.999999092337742,0.921526708099899,0.909276217809999,0.908423027227827,0.923270340784798,0.981589081952093,0.985896367710168,0.98756357302562,0.986583064555802,0.829038144702158,286.377203076923,291.437929081633,292.808605128205,289.150523529412,142.66775,369.957266666667,8.61637294831042,8.82589516374212,25.2958550376369,32.1439748905706,20.08405,127.843919694307,193.516825,173.84905,186.1911,207.217375,132.625725,279.3525,336.3037,335.023425,308.1565,296.123625,152.709775,493.3694,260,588,117,34,2,3
"ZNF790",0.303326187622501,0.137939653385566,0.84698354516585,0.937087298793542,0.999999004719601,0.995058110711681,6.80898337712676e-09,1.58645852010864e-09,7.16113168763854e-10,4.11616629669709e-09,0.998817378859127,0.999995586225619,0.999999557196818,0.999998991187502,4.78015111082808e-06,123.497452692308,116.897196088435,111.790858974359,116.192117647059,314.7458,113.778066666667,2.69277919634724,1.70112986628917,3.84329020022684,5.41080357004641,228.8657,18.1614850839474,96.3465,87.729025,84.8585,92.979775,200.31295,98.32525,141.171775,138.584525,132.1612,132.6944,429.17865,129.7681,260,588,117,34,2,3
"ZNF677",0.0151190590431726,0.614221077158523,0.986452306721654,0.0662904738052758,0.681339314982528,0.548539759895789,0.772980506940948,0.923411319463479,0.893435240910954,0.991062845635284,0.995074150801671,0.999997629245839,0.99992332629973,0.999521633623362,0.982833115189961,38.4613080769231,30.9134085034014,32.9869829059829,22.8070352941176,9.19925,28.9063666666667,2.19153901271383,1.23490329073728,2.77935816836915,3.63114495411891,4.01305,15.0556850188817,15.087825,10.59775,10.1789,10.697875,7.192725,14.42155,50.9297,40.367675,47.6895,29.07845,11.205775,39.70515,260,588,117,34,2,3
"ZNF823",0.590914501256116,0.262275971249852,0.846810481657339,0.925071535527417,0.999481127187984,0.999594972300677,0.991946034431666,0.998371155831147,0.999873016983659,0.999505357156594,0.130924451727359,0.0769898961105947,0.0476284177069491,0.0786707860162815,0.323972847020229,239.399370384615,226.053508843537,212.781253846154,219.579073529412,193.1321,399.517066666667,6.72187909883417,4.75193968650298,8.49911331638173,19.0118709931605,9.25660000000001,137.456502082542,161.676275,140.5223,143.5915,146.0562,188.5038,279.79375,299.2897,281.68545,274.5659,284.6264,197.7604,517.86345,260,588,117,34,2,3
"ZNF311",0.383825678893179,0.856263541085455,0.999990695759907,0.43683084468571,0.884295483849273,0.89497231867136,0.29362596728631,0.408383907938366,0.403426573703113,0.614861141373802,0.999998750044762,0.99934299517908,0.999569805097718,0.986790264064249,0.540849523997067,85.6280153846154,77.8222506802721,78.6261034188034,67.358,5.12445,88.7102333333333,3.34595914819213,2.26879183528214,4.67232968222572,9.5239047165559,0.88115,44.7766065292407,47.415225,34.2137,40.153,19.1291,4.683875,55.50815,115.24975,112.15015,112.1166,96.78715,5.565025,131.32905,260,588,117,34,2,3
"ZNF347",0.99933128715932,0.916141167495748,0.957905145835637,0.999830544819383,0.999995776115804,0.999492652163777,0.845912297042177,0.861438258018206,0.911753717678023,0.886866822939797,0.465260231703466,0.490742411413143,0.600401017063494,0.560618705118984,0.999916952755884,179.816818076923,177.394443197279,169.347498290598,175.335261764706,101.409,81.9953333333333,5.09966133391849,4.22369912953652,6.63214870148453,13.9012834184807,52.7636,3.09450779733672,117.2072,109.125525,107.2343,109.383075,75.0272,79.5879,228.32235,226.5356,211.9333,231.3657,127.7908,84.88285,260,588,117,34,2,3
"ZNF273",0.986388080551949,0.999259229949085,0.952598502840499,0.705248601534584,0.49112356576465,0.864238972565528,0.999995144619674,0.99995838619653,0.999999722546039,0.999903198674686,0.944245952203393,0.919091061211164,0.960939414983701,0.997877720132426,0.996896395484046,192.987561923077,197.794295068027,189.105863247863,167.287444117647,184.04225,141.168033333333,5.93555690531219,4.24628707641486,7.98285698361604,11.7404958466767,10.53915,18.0164957023032,132.1693,129.7332,130.6079,113.0639,178.772675,123.4277,228.6556,243.597675,227.5792,201.587,189.311825,152.7596,260,588,117,34,2,3
"ZNF84",0.991259508568932,0.948874841715903,0.716060771580194,0.995846857688398,0.971215369775182,0.999999994957441,0.375505976214134,0.33637780894079,0.468366132996238,0.486054049656204,0.999786701453135,0.999280949126636,0.999998303727581,0.999997603597645,0.764362224021598,823.924788846154,838.324927040816,791.813266666667,793.860758823529,376.69655,772.118766666667,17.1426270912047,14.2310279478624,29.8485938959482,49.9093083540998,107.95535,167.357602553876,652.7863,598.696225,572.7946,591.7458,322.718875,635.80265,980.0526,1016.768925,937.8813,950.430425,430.674225,924.3593,260,588,117,34,2,3
"ZNF667",0.994496059781322,0.833269432372333,0.938628860985247,0.603267058867353,0.715429367385958,0.96729690480264,0.853159550785987,0.876841047982878,0.926880483120804,0.977203712560734,0.999999999273238,0.999999966325163,0.999946517630702,0.997393850407985,0.948392861089799,92.2141511538462,88.6544673469388,80.3203717948718,66.5086058823529,19.01875,91.0831,5.97617398230194,3.59091516705941,7.1609581666625,14.9155253296326,4.40305,42.021221757742,23.0476,20.50305,17.8204,14.593225,16.817225,61.591,130.2986,129.940275,116.362,70.438125,21.220275,131.7521,260,588,117,34,2,3
"ZNF649",0.407244136136786,0.260436859141201,0.925324973386719,0.954713971533314,0.999998915886437,0.998306542907222,0.766239291954684,0.865679282061804,0.92082660922585,0.887724697637971,0.999576566277237,0.999999685261162,0.999998879438168,0.99999997823586,0.960863958880318,365.324239615385,325.528764455782,297.614095726496,320.79615,98.0661,313.406533333333,20.6725810653676,11.2549479410808,18.6014757453743,45.5373509731584,2.828,63.4192955796665,205.8647,174.1281,166.2804,174.8561,96.6521,268.31565,409.743775,406.0662,385.2312,375.255,99.4801,374.5734,260,588,117,34,2,3
