"gene","p-adj-stage II-stage I","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","p-adj-stage Tis-stage I","p-adj-stage Tis-stage II","p-adj-stage Tis-stage III","p-adj-stage Tis-stage IV","p-adj-stage X-stage I","p-adj-stage X-stage II","p-adj-stage X-stage III","p-adj-stage X-stage IV","p-adj-stage X-stage Tis","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","mean-stage Tis","mean-stage X","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","SEM-stage Tis","SEM-stage X","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q1-stage Tis","Q1-stage X","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","Q3-stage Tis","Q3-stage X","count-stage I","count-stage II","count-stage III","count-stage IV","count-stage Tis","count-stage X"
"ZNF610",0.998302016554993,0.999968503285589,0.980704375078234,0.998947762205342,0.994769514342941,0.99959198628048,0.999149032886286,0.998633252024959,0.999341133784044,0.999852967956097,0.97188345557328,0.933224990470037,0.98113224996481,0.999822002503941,0.99998313000568,121.310924260355,124.139115944541,119.850126785714,113.422466666667,93.2032,106.212882352941,5.23015555089575,3.30486685768266,5.15367569048901,17.554594139152,NA,15.3457482295855,75.3599,71.0518,63.529425,74.14945,93.2032,52.56,154.9296,162.2951,158.12445,146.37855,93.2032,151.7445,169,577,224,15,1,17
"ZNF528",0.36343192433775,0.999992634714986,0.170166009293556,0.996393033434485,0.999990007972373,0.993903115245855,0.999999860175682,0.999902524636567,0.999999960697103,0.999965839190711,0.955731401247741,0.99996495963733,0.939699802754427,0.999886473575172,0.999791205181529,334.344379289941,299.299821317158,337.244346428571,307.214026666667,347.2409,289.713670588235,14.0025294152827,7.90164134766763,16.8865966688502,40.2646664356982,NA,45.1419897071621,209.1097,159.0029,164.358125,224.65865,347.2409,163.584,420.7246,412.0203,464.003175,398.86555,347.2409,344.1261,169,577,224,15,1,17
"ZNF701",0.284200195361678,0.943705230560337,0.854747143513099,0.982408257485674,0.9999999999627,0.999261927174271,0.996794628046332,0.999682845529303,0.998843159291518,0.999742022425254,0.97799076060354,0.660657202707392,0.877642510009424,0.8988915724565,0.987030276537497,214.680117159763,195.805486481802,205.173139732143,195.479886666667,165.2086,233.749294117647,10.3837593423596,3.91742960477881,6.39252543529779,24.9296917173304,NA,21.1019896299504,147.343,133.0527,145.813125,119.75085,165.2086,174.1533,245.638,238.3328,256.22115,249.96275,165.2086,266.9366,169,577,224,15,1,17
"ZNF283",0.999999999965103,0.64133911269413,0.358074281310096,0.999530791593932,0.999488766289323,0.999839505382069,0.99801424880982,0.998017292811872,0.999768884781167,0.999412063871797,0.147648507436608,0.120785481324198,0.0260619083081922,0.348871964155576,0.909611268008177,79.1283763313609,79.0870313691508,72.964046875,75.6951733333333,61.9112,103.468064705882,2.31255410896834,1.85188158698252,1.97493779814561,8.65219987318098,NA,12.9600091473561,58.0053,54.4563,51.28585,52.7057,61.9112,73.6554,97.1678,94.2449,89.923875,95.6207,61.9112,125.8989,169,577,224,15,1,17
"ZNF558",0.952732209317922,0.204016368707098,0.355942848948387,0.589175516909531,0.744590100885623,0.97393916387116,0.999701161783169,0.999930757416124,0.999999854516755,0.999993827778876,0.999955258401056,0.999998377369361,0.979576688229605,0.887974226040075,0.999896335904203,429.387212426035,415.988597400347,388.692608482143,353.130273333333,377.5236,420.434176470588,15.3530139360193,7.22282915214878,10.9210306780154,29.7166095302602,NA,41.7499883030747,324.2528,301.6393,277.8675,287.45655,377.5236,314.84,490.8512,494.7031,472.3286,421.76885,377.5236,497.3462,169,577,224,15,1,17
"ZNF597",0.657614364995176,0.916742923773337,0.998984816855028,0.918537071096367,0.995263409708188,0.989194529629612,0.779930062015116,0.699907892581668,0.719556891239057,0.643628764033854,0.947059057831027,0.686670698720862,0.777034524787553,0.724636173057667,0.899157977437642,71.1604153846154,66.4041783362218,67.4784022321429,61.47792,118.4388,79.3841470588235,2.780244074459,1.54868319272527,2.15757307520093,6.79671730678862,NA,11.0775486338994,48.1753,44.3084,48.95855,48.14565,118.4388,61.6221,89.2017,85.2907,83.93615,74.0017,118.4388,109.3117,169,577,224,15,1,17
"ZNF30",0.959203723395093,0.582830400130144,0.853712461163054,0.980794777200368,0.997707107866905,0.999998824345658,0.999932024155405,0.999991065323147,0.999999938791216,0.999999998012607,0.999627561912069,0.999999999645019,0.999350786022443,0.999566526928658,0.999993391077932,158.418572189349,153.223837088388,146.771940625,144.95858,143.0013,152.8934,5.74407161336675,2.97351021141442,4.46513781576919,13.6846565115659,NA,10.3858819202546,112.4681,107.757,105.807275,102.30415,143.0013,129.1346,191.5027,187.5197,173.85495,184.57265,143.0013,170.9256,169,577,224,15,1,17
"ZNF354A",0.963384473809798,0.549918685611047,0.811055346885597,0.965834700468873,0.993558840261015,0.999975013936532,0.888810495730661,0.91406719599862,0.943454559271702,0.960151323523706,0.878131252847944,0.957200711971767,0.997847776665913,0.999973705738447,0.970875092222807,353.846063313609,343.431157192374,329.168596875,322.27946,196.8371,313.0345,11.1905705008075,6.56817293062638,7.24668850218017,34.7344171937079,NA,20.9863095662579,256.4612,253.1175,266.335825,246.15455,196.8371,244.4126,397.7013,390.4135,390.584875,361.86865,196.8371,339.6533,169,577,224,15,1,17
"ZNF764",0.832012610726179,0.997230101719947,0.372802796835101,0.997937683079786,0.999999965530001,0.989422013230602,0.905168048624188,0.862124831493958,0.920896567205646,0.872225493164077,0.859824288389037,0.97405679342296,0.755008670559985,0.996436434500782,0.787357069262639,251.963626627219,241.349509012132,256.736316517857,240.09992,356.3257,222.601894117647,7.23749758772226,3.96856806192097,7.98800163442265,16.0235250929263,NA,15.1890561760193,184.6195,175.4039,183.09335,186.64235,356.3257,194.988,287.4341,287.9657,295.732675,300.7544,356.3257,255.5546,169,577,224,15,1,17
"ZNF747",0.0326442900216641,0.329446262988662,0.979903881916855,0.999567359368085,0.984504063666727,0.99763687174587,0.928984266834123,0.822628920030877,0.850634632612129,0.911422278935776,0.971542396341266,0.999823496260714,0.99999999282892,0.999584656204391,0.868024206700712,338.797031360947,303.606671403813,311.169675892857,327.31488,468.4186,312.342747058824,11.8956368484089,5.25523869656014,9.20498785832425,28.1732862061618,NA,33.3450922461988,240.9719,226.5227,226.37305,261.23885,468.4186,234.1633,395.9002,369.8853,360.606075,356.6818,468.4186,357.4943,169,577,224,15,1,17
"ZNF778",0.999039722645396,0.998422294233666,0.932134520657662,0.99998392275122,0.999999979599102,0.999529435807143,0.999712364224903,0.999512178568085,0.999865763675152,0.999506417994041,0.999995186627371,1,0.999686602714962,0.999999995180157,0.999575014006,85.6752840236686,84.0457100519931,87.7792,83.4878466666667,100.2692,84.0540117647059,4.0456343033372,1.97058031413064,3.65518512034768,11.0622729253848,NA,7.78738391766887,52.3114,55.3879,52.372775,53.40725,100.2692,57.5495,101.6173,98.2497,102.914275,117.9894,100.2692,107.3856,169,577,224,15,1,17
"ZNF212",0.999990723524994,0.994033499636038,0.994068689204546,0.991624768774598,0.986338848658011,0.966233483388222,0.652812515236577,0.642421101290784,0.615428698075048,0.774106700426695,0.999978741370019,0.999995462485184,0.999999964608553,0.992713585228683,0.650012216081532,351.246543786982,349.6296152513,344.165346428571,371.388566666667,543.7416,345.689017647059,9.83433555373608,5.43514432016311,7.59933593577266,19.451950167547,NA,38.9528349473496,270.6559,270.1768,271.9508,324.3609,543.7416,277.6504,402.6591,400.3299,412.4801,406.2606,543.7416,376.9823,169,577,224,15,1,17
"ZNF282",0.997939030151178,0.999977789426904,0.980354908679395,0.992782810451933,0.997849881039689,0.987523391525815,0.99999999996955,0.999999955836755,0.999999999998966,0.999985155150353,0.998946360269224,0.999894118322961,0.997507341281684,0.999984965838911,0.999998146166359,755.138796449704,766.475549740035,749.897207589286,800.67512,751.6824,783.827864705882,22.9135503874923,12.651016542391,18.0350290323553,40.3377604000546,NA,89.8073140673781,578.576,568.9468,543.81035,686.6344,751.6824,645.3441,893.2993,907.5594,862.3518,850.03195,751.6824,866.5959,169,577,224,15,1,17
