"gene","WITH TUMOR-TUMOR FREE","mean-TUMOR FREE","mean-WITH TUMOR","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-TUMOR FREE","Q3-WITH TUMOR"
"ZNF773",0.46834598973725,112.840792976589,118.438588349515,3.99078213422911,6.19668468785014,71.74535,73.7788,146.0136,150.92665
"ZNF776",0.0268469887944713,334.290176923077,372.404058252427,8.23591948796483,16.8217541956906,235.25895,242.5803,408.14035,447.4686
"ZNF256",0.0152696780917834,120.619011036789,140.355867961165,3.87807269537839,7.99118442527867,75.667,88.25375,167.4998,184.8903
"ZNF599",0.922637852333884,98.9611193979933,98.3327854368932,3.35416994690883,5.15154555406539,62.1606,63.60665,118.02605,121.5762
"ZNF18",0.217067668970037,223.036039130435,238.328866990291,6.30632536781707,10.4406496555081,157.8131,162.76585,268.4211,278.0815
"ZKSCAN2",0.091887829910808,165.682360535117,202.227666019417,6.74989311829702,31.2763978671424,98.3424,111.89815,195.32295,215.7714
"ZNF689",0.742929357523997,170.456808361204,166.718469902913,5.52253401061824,10.9435997962283,120.09405,111.83475,199.15595,200.95845
"ZNF19",0.298051327931977,41.8992518394649,44.2895796116505,1.10974944284141,2.21472631375179,29.2735,32.3894,54.1118,50.79445
"ZNF230",0.809744348817744,98.1492364548495,99.3384776699029,2.57804335481628,3.83500514888816,68.3755,72.25085,120.13735,116.1771
"ZNF222",0.321414063844928,63.8420662207358,67.6061873786408,1.94701212677129,3.12715153723629,42.42765,46.41155,78.02005,83.52445
"ZNF221",0.0778818730100292,12.3251404682274,14.2988009708738,0.553549727052671,1.01859669735324,5.74645,6.73155,15.8506,17.85825
"ZNF233",0.781839118124384,23.1206605351171,23.6760126213592,0.991868753140467,1.8360847751562,11.47235,12.2651,30.24075,27.86625
"ZNF235",0.0765352437128404,73.1596648829431,80.5508504854369,2.07382596720031,3.74936278436933,48.5333,55.37825,88.58445,95.3947
"ZNF208",0.232296469719449,22.7756966555184,31.7275223300971,3.23837922237006,8.62481182796191,3.3152,4.2355,17.011,17.8544
"ZNF714",0.252848539740017,182.246418394649,202.086396116505,8.69586967890178,15.305329822184,85.63235,92.4218,236.96655,262.70575
"ZNF394",0.530250532125095,476.431438461538,465.631887378641,8.90306847156529,13.7789122788967,375.6589,387.51675,549.69035,507.4801
"ZNF333",0.952692425081401,186.036747157191,185.247666019417,7.36697647694546,7.42129670732459,119.16875,132.4775,217.79045,229.05935
"ZNF382",0.858678500448524,23.1134163879599,23.6481339805825,1.60642086191877,2.09402397464178,7.6395,8.0673,27.09885,32.36565
"ZNF577",0.0823730481443765,76.582681270903,90.4130359223301,3.8143549976589,7.78312482053568,39.1652,42.8652,95.6353,106.5469
"ZNF75A",0.244065514383935,283.294225083612,300.765025242718,7.64202242091235,12.6040369526264,190.58785,212.53245,361.8772,367.4606
"ZNF496",0.159147303194688,378.099854180602,405.29666407767,9.43949914885037,18.1273543173329,270.87685,279.31785,464.14715,483.5745
"ZNF2",0.734572576846499,118.546478929766,120.08307184466,2.26912957043959,4.01966116164205,89.9543,92.0289,137.81585,142.5209
"ZNF589",0.508885901532201,395.264739130435,374.111361165049,16.7517300915519,24.6112568209815,200.9304,209.0763,511.54765,435.7618
"PRDM9",0.376086967023595,2.9574254180602,1.47533786407767,0.96534536964031,0.506168033954352,0,0,0.7365,0.57815
"ZNF12",0.619552903363032,778.542490301003,763.86253592233,15.2433275938747,23.987475432191,600.8868,608.7526,898.03335,915.263
"ZNF202",0.877353106054099,307.488482943144,305.53522038835,6.41965347189645,10.8228074591112,229.4196,230.2748,371.38625,370.45205
"ZNF3",0.790534944509893,816.974156856187,826.801858252427,18.1090726029646,34.7333186833779,598.64655,577.90975,957.962,1014.52405
"ZNF606",0.514514987355953,227.011769565217,237.341950485437,8.20054782688361,12.6863240505641,143.34305,142.28555,277.1147,287.14805
"ZNF91",0.388256442781975,233.121553177258,212.879466990291,12.5983887367049,15.9968088555688,91.4403,104.6728,296.51875,276.55655
"ZNF226",0.915737283371086,265.345962541806,266.836793203883,7.21505089488227,11.6990383845532,184.2209,187.68865,320.4736,324.35625
"ZNF229",0.934091407426099,132.335285284281,133.966193203884,9.94450791901421,17.154138893657,12.55675,21.8012,192.5943,166.0734
"ZNF180",0.603946255830034,179.553205016722,184.185997087379,4.45320640995267,8.00573893885729,123.65345,131.42755,215.30575,214.5385
"ZNF641",0.879317883890411,188.854311371237,187.29367184466,5.37016247730564,7.94865202880193,130.285,127.14085,229.12065,241.29655
"ZNF610",0.104111722798695,41.4005334448161,50.1524194174757,2.44241878968034,5.79686813835672,10.99395,13.3624,59.45305,69.06605
