"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF689",0.999970139216534,0.997094867176478,0.995658588979652,0.985437410503658,0.988403984568649,0.972791308404456,0.749742598500035,0.743367230430575,0.855980255122355,0.748439221191893,167.162082692308,168.2229171875,161.704717948718,189.2238,120.41355,6.00297525104446,6.0549916420112,11.7308621989793,15.1485968191117,19.3058357706463,116.005375,120.903825,102.5822,173.9496,93.918725,195.7644,209.65375,223.1592,183.2298,121.422025,177.068168627451,166.184033133733,169.3436,154.5747,150.0771,196.27345,115.3846,198.1048,5.3760587272254,4.17610539357918,0.938531382698047,0.912787374308802,-0.0915231080561802,-0.131649258506226,"LUSC"
"ZNF19",0.15719591021197,0.897453079483136,0.990204993749987,0.995733155913639,0.999885653118141,0.999999624646879,0.743809838664388,0.970686891664494,0.932843812468806,0.982450142752778,44.5950262820513,39.90852578125,41.5911205128205,41.2559,34.75185,1.17260201375359,1.6336713288515,2.57657552114619,7.10858000510651,3.31847346056888,31.042075,28.171475,30.7164,30.6313,29.38125,55.804125,49.10995,49.3757,55.8023,36.193775,70.4371352941177,42.7786542914172,71.0191,39.8805,48.3552,83.39055,30.0448,53.4215,3.72729804324776,0.877298442711922,0.607330978365182,0.561546119283404,-0.719445135720809,-0.832523580134847,"LUSC"
"ZNF230",1,0.999831050209524,0.999873573611474,0.961001173614925,0.962523472947689,0.977300482071699,0.873676479587738,0.879013708684547,0.870910865855026,0.775639078755715,98.575142948718,98.5736890625,99.8192487179487,112.10582,81.11045,2.4354714207303,3.93724880683917,8.55450589614568,20.297906679345,12.3354764933436,68.709675,71.538475,69.1785,80.2277,59.847375,121.838025,112.4136,114.23665,120.7419,91.745375,107.692782352941,98.3634640718563,105.3725,90.2071,86.36135,124.98985,68.9546,120.1201,4.29498955198867,1.97684044710953,0.913370997784142,0.856078198771027,-0.130727114255045,-0.224185508744173,"LUSC"
"ZNF222",0.928365164491908,0.999917593178186,0.997285781307901,0.997603250952391,0.986703960423142,0.996509661884759,0.526072135331727,0.670632331140266,0.621825374226039,0.690722199303289,65.8111423076923,63.01300390625,65.0356282051282,70.63956,44.6236,1.95833167831495,2.61107811777323,5.26107463119908,11.4723895715147,8.77462937766225,43.245825,43.57165,43.60875,61.0766,31.8052,81.9977,76.1164,73.1133,68.7379,42.14885,69.9461607843137,64.616999001996,66.6379,59.2535,58.57845,77.14665,42.9429,79.868,2.80705070536023,1.47701178252918,0.923810517652988,0.889186183838326,-0.114331123414171,-0.169442562922353,"LUSC"
"ZNF221",0.998950389423472,0.290599650697342,0.284883720617544,0.979902321875205,0.971865481574892,0.999847033607022,0.988442202196889,0.982198661992297,0.998282511455953,0.999985782840554,13.3059875,13.580209375,10.0068102564103,10.76972,11.30555,0.609930773240689,0.771801222996692,1.13058833149576,1.56711343092962,2.74794548353857,5.83305,7.2267,4.9526,7.2464,8.360525,17.37845,17.563975,11.797,12.869,11.7923,14.5203705882353,13.1050343313373,12.743,10.2274,10.88945,18.43165,6.2215,17.1348,0.856743400294046,0.447351117853915,0.90252753892902,0.802589657066625,-0.147957141092346,-0.317265530589584,"LUSC"
"ZNF233",0.982850916507399,0.999440217883245,0.985418449185447,0.998515040015732,0.994132476488652,0.999694564122494,0.98812576779384,0.996817497748354,0.982056956404701,0.982123791710836,22.7116195512821,23.73018828125,22.0306256410256,20.39622,26.3380666666667,0.928832283506634,1.82493397456327,2.82396885842541,4.01189235765368,13.3589082701062,11.81785,10.70205,10.6474,18.6335,5.424225,28.947675,29.2723,28.4361,22.3316,42.9362,16.4951568627451,22.8866700598802,14.0256,17.9145,11.9191,19.4124,11.4441,29.0771,1.2058960132851,0.791352785925808,1.38747817012705,1.27727156057495,0.472465073014312,0.35306528889637,"LUSC"
"ZNF235",0.698831700407334,0.96562801540923,0.661536730775847,0.993121607256066,0.999945509678807,0.968702288384976,0.990371919559517,0.999924313687821,0.958411694173175,1,75.7215679487179,70.8221125,79.7547512820513,68.76296,68.7731166666667,1.96480245736752,3.27658341028534,7.43194800033258,10.7665646477231,11.2311748915067,51.617325,50.414425,44.991,59.0114,55.255425,92.019575,82.2677,96.2041,78.5243,84.83675,81.5072019607843,74.4326317365269,81.9353,67.8269,70.09765,94.388,50.1284,89.0575,2.59403027347973,1.62030493820086,0.913203127403868,0.827810479732179,-0.130992294586327,-0.272627582291684,"LUSC"
"ZNF208",0.579777896899756,0.484761915317915,0.964905352029295,0.971984066816547,0.998780264489995,0.999999998960828,0.965158017176522,0.998680567421985,0.999999998071948,0.999999992670332,27.7531641025641,18.395515625,11.1065179487179,10.87036,11.3609666666667,3.44250184014433,6.15475488745379,2.26970300946156,3.48391652678419,1.28655731331505,4.2393,3.050775,2.5643,7.1429,11.031925,19.715575,14.3515,14.04645,8.7055,13.28165,27.1510470588235,23.4376528942116,22.1242,8.0602,15.6733,32.39015,3.7031,16.7696,2.5366919039759,2.67838063102765,0.863232008822099,0.36431599786659,-0.212179733637969,-1.45673774670197,"LUSC"
"ZNF714",0.971070624718736,0.954645404511633,0.998259165633362,0.99980983521493,0.997925491515526,0.993770821687188,0.8054396126711,0.885022408972129,0.941393326158435,0.905237757451148,191.725171474359,181.1263671875,172.291702564103,204.15506,118.316483333333,9.64466932575604,12.2623992116112,27.5939499153683,54.3723407229871,18.0052255396115,91.259425,81.297775,52.0305,174.8675,78.56065,245.27245,234.113375,235.5951,191.4563,146.89695,119.573860784314,188.089033732535,109.9481,163.5821,80.4564,152.65585,86.2818,241.4565,6.97752710908783,7.18502826374888,1.57299457004076,1.48781197674175,0.653513690595435,0.573192216390924,"LUSC"
"ZNF394",0.956434866413426,0.937306022594687,0.794463743025714,0.661489398378389,0.767748029497365,0.526188020529916,0.905057857553621,0.958598763482728,0.79295876520791,0.994286065746827,475.161930448718,464.210959375,494.818453846154,384.62464,421.2505,8.39352445304158,12.7498032546616,28.0420218836348,36.1807738424097,58.5990755657004,382.734675,371.344,383.8647,377.4757,322.12005,541.736675,525.967775,555.5474,400,510.238875,453.125196078431,479.145291217565,439.0611,443.2298,391.2865,488.71995,377.2498,541.458,11.007170191834,9.9358339759987,1.05742363338946,1.00949457831723,0.0805534763867658,0.0136331624218905,"LUSC"
"ZNF333",0.999077726305865,0.95912330710166,0.935080148282905,0.788354415002262,0.762852939483889,0.921122710606196,0.999948978817884,0.999997590154041,0.995496887679268,0.88609114949684,181.568534294872,184.46782265625,168.881187179487,126.0272,187.057666666667,5.08244579578355,12.4995504416188,21.1160093764281,23.058917636047,14.5462964479776,119.750375,126.01195,105.51875,96.7909,165.863625,221.006925,213.39755,175.4663,144.2089,209.78885,224.04838627451,180.234678842315,220.8664,158.8949,188.824,261.2362,120.2976,215.9426,7.12033629934298,4.81044927425705,0.804445333614174,0.719416353053248,-0.313933709492885,-0.475101141140115,"LUSC"
"ZNF382",0.865532265110005,0.991980381570962,0.867541471319215,0.996125582612811,0.999918391807354,0.986685668348823,0.996088669396675,0.973729836278472,0.99979418890391,0.98494936850188,23.3911993589744,20.58585703125,25.4510538461538,18.86586,27.5389,1.53373585882749,2.60033136206196,3.80447741498508,7.25872447924565,8.63563332423666,7.68325,7.41075,5.7878,5.176,16.536,29.00605,21.07315,41.01275,22.3316,24.866625,31.6517117647059,23.585819760479,30.4967,14.3513,23.91505,34.83255,7.6642,28.0456,1.92980100674969,1.3520682128914,0.745167273600004,0.470585342020612,-0.424363779775481,-1.0874717112642,"LUSC"
"ZNF577",0.620877074231136,0.993936722231799,0.993053977839197,0.961595545141133,0.997009315671665,0.987918488260587,0.998795913550895,0.999987541897361,0.999980690044664,0.997785307399734,82.5831166666667,72.694934375,77.9094871794872,62.2457,75.0961166666667,3.74185530675538,5.96657868282895,11.7616638521266,25.090897759865,15.3480191275056,43.3156,35.959975,42.399,29.4118,50.612875,102.634325,89.948275,86.6676,61.3172,104.074225,103.598543137255,79.2969670658683,98.8408,64.9459,79.9051,127.12275,39.8517,98.6788,4.68966468050191,2.95949600421093,0.765425503723637,0.657075822939515,-0.385666122960357,-0.60586823565313,"LUSC"
"ZNF75A",0.999443527994251,0.998156749901799,0.999875936493877,0.999868312199372,0.999975196298788,0.999999464201363,0.999233689452878,0.998333421077675,0.996936366668571,0.998634826103325,286.611127564103,289.6987203125,293.3842,295.83158,273.464183333333,7.23264241917152,12.6999152449324,19.0827000212001,64.2552719749236,46.9085924999775,201.2766,189.341625,202.7111,240.7267,244.0304,346.7005,367.87335,358.11795,336.4389,260.5034,221.138654901961,289.995539520958,211.8848,262.2047,187.8155,252.9552,200.3805,356.1781,6.93391181290869,5.94879366085409,1.31137425815276,1.23748706844474,0.391079480621327,0.307413449323057,"LUSC"
"ZNF496",0.600802962484815,0.613340721557374,0.20144666829484,0.970694573301364,0.876192644673596,0.999987382724845,0.495536889161519,0.29501541541695,0.874317801370518,0.971043221029436,377.477968910256,402.33141796875,337.801838461538,331.06452,268.922533333333,8.92963256059469,16.6171628753926,22.770285229834,39.0573488426109,42.0677014809118,271.49205,271.97465,232.2239,267.2218,186.4032,447.1932,491.837675,395.06385,415.0168,318.71975,286.372080392157,380.53946506986,296.6115,354.2969,247.2249,321.3395,267.2218,463.2394,8.6985602610777,7.60890663579623,1.32882878997405,1.19448133332659,0.410155235714882,0.256384308354662,"LUSC"
"ZNF2",0.999997631061443,0.964495236146982,0.977796364271524,0.999982233522407,0.999971279664331,0.997564444570063,0.839097434248284,0.852216238070457,0.952668899782727,0.937889558425906,120.600126923077,120.36646171875,116.201469230769,122.26188,103.891666666667,2.25775004203916,3.48664586320858,5.41704831343819,18.361226297892,7.72268255675736,92.043425,90.6395,91.2927,100.4202,93.14115,140.148975,143.202,141.8829,147.9268,114.6519,96.2036039215686,120.808754491018,92.9091,113.6654,81.1863,114.3551,91.4026,142.215,3.23012942079326,2.06101846385206,1.25576121440844,1.22340438127159,0.328562158863381,0.290901347795687,"LUSC"
"ZNF589",0.996322534156367,0.999990335639417,0.998598130842714,0.971429816262759,0.956640200396164,0.980404274966483,0.999996171264702,0.999872754562575,0.99999984058615,0.99348622573028,386.845650641026,398.569025,382.612848717949,300.2658,378.698766666667,15.2450976828788,25.1603836027073,93.9916120679893,85.7075419601274,46.5834278789404,212.60265,200.296125,123.97335,124.3697,307.525325,496.3516,514.757325,424.37455,419.4994,434.57615,380.017766666667,388.336080439122,382.6177,303.2819,280.16315,447.70845,202.5244,496.5595,22.6209328527446,13.6435199030322,1.02188927598154,0.792649947976792,0.0312388854671425,-0.335244214853745,"LUSC"
"PRDM9",0.984630256535948,0.999437871727996,0.986321978815568,0.996837437434724,0.990334093220427,0.99913257526295,0.994621267845191,0.984633467394123,0.998481773128256,0.999999994173353,2.22515641025641,2.9720359375,1.71041025641026,0.10352,0,0.749549997005838,1.43735459219418,0.562286644819083,0.10352,0,0,0,0,0,0,0.613075,0.554475,1.42215,0,0,0,2.36499161676647,0,0,0,0,0,0.6762,0,0.597178053771208,Inf,NA,Inf,NA,"LUSC"
"ZNF12",0.979855343279967,0.727523112096348,0.92219082608184,0.999528866621328,0.999989886776337,0.999264835228405,0.302721617620413,0.397040411504749,0.670379340749364,0.777433201443659,789.934941666667,774.72453203125,736.008028205128,765.19046,586.341366666667,14.5239698539874,22.1213089413352,41.0731849605585,173.854570839597,89.384636677674,614.0183,605.47245,529.7206,408.4034,437.51615,902.41965,918.0752,837.92645,886.9903,692.625775,539.316466666667,782.790715369262,514.5952,738.2089,475.12475,575.42545,608.4412,906.3959,14.775670726185,11.7793483822792,1.45144968446342,1.43454291839489,0.537494560780781,0.520591131040859,"LUSC"
"ZNF202",0.328135689237875,0.668324468036429,0.999849029310392,0.678003045056824,0.906638623910845,0.937449244751153,0.973408458365625,0.99993676552685,0.999997752389385,0.979598418981587,319.664807692308,295.85930859375,292.311825641026,247.9018,289.34875,6.96633574191766,10.6221561411145,17.4380319357798,35.780273170268,25.8296751308871,246.07085,202.992775,214.919,200.3106,278.30955,381.6196,350.779925,357.139,306.0194,331.955075,203.282482352941,310.290664670659,199.1602,293.5277,171.0667,227.3769,234.077,371.435,6.62826646703504,5.3625553931838,1.52640139513807,1.47382709999287,0.610134395086729,0.559567286567476,"LUSC"
"ZNF3",0.954036458109666,0.997955105551879,0.957092730370422,0.951531839824646,0.981947549641649,0.93173702442929,0.295367043942161,0.410459742786026,0.293474518198887,0.934532210033922,823.399981730769,799.854390625,840.0957,720.75234,570.457166666667,18.7162936141897,24.8184861284092,52.5038601124068,51.8451918796199,77.3032853234827,599.27315,601.135425,567.6265,631.3613,436.001625,976.58545,929.28535,1039.83885,745.9993,733.2838,497.014907843137,812.516657684631,488.6911,755.3226,433.7394,567.41075,592.5955,965.8431,13.3353455110756,14.1179469237208,1.63479333288141,1.54560334739061,0.709108264792144,0.628170123806643,"LUSC"
"ZNF606",0.971167589448057,0.974680758869017,0.999634387764944,0.723302579935797,0.642430445134606,0.628337767330168,0.776997812083816,0.863080083614849,0.913977204804444,0.42570970165352,231.856042628205,223.16008671875,218.276566666667,306.50138,168.684633333333,7.91782411915374,10.7540149364836,15.8188949149147,94.9901487342419,30.8894536849787,145.82065,135.770475,149.031,220.5901,129.408525,280.28325,277.8652,289.2822,288.4621,157.93105,161.799450980392,229.386948303393,157.4208,204.9772,122.36965,191.36845,142.4332,280.6011,7.57732607794367,6.07980409335198,1.41772389778499,1.30209730861487,0.50357659457924,0.38083726832711,"LUSC"
"ZNF91",0.984993454757442,0.932876655974474,0.992527129439427,0.999626380964854,0.999990914156096,0.999984294472736,0.999594528639292,0.9972743157778,0.987264305416146,0.998429209571968,231.965124358974,221.03055625,205.179805128205,213.80952,248.911416666667,10.8701442789294,19.8688442660969,28.5414050113101,71.9089854053539,33.8016718718805,102.865625,77.869675,89.68045,117.7139,178.107325,304.517975,284.362475,268.12505,235.7282,298.540325,296.811131372549,227.180084830339,294.8298,187.4829,257.4084,322.53175,97.2071,300.7271,12.0406770909058,8.81055133490489,0.765402846516525,0.635902137436582,-0.385708828519524,-0.653123336765022,"LUSC"
"ZNF226",0.953510637564778,0.99338017578683,0.999999978290489,0.999983801667536,0.999065760595958,0.999288830243958,0.999999864736479,0.999594080943949,0.999712026727541,0.99999863024837,265.377105448718,256.379065625,256.76561025641,270.36098,266.75335,6.95132741236243,10.0085333915361,18.0177128090792,50.6712859182634,73.5456466406986,184.7368,176.76095,178.0338,232.6214,143.54725,324.501925,300.58655,300.81895,286.5254,338.951825,250.075264705882,262.035370658683,233.4654,239.138,197.13235,297.94875,183.1858,319.6741,10.0944116937123,5.34310621824019,1.04782602536427,1.0242973905341,0.0673992004825464,0.0346346426418794,"LUSC"
"ZNF229",0.997713695657443,0.999958391346384,0.998409594448778,0.979005254782119,0.988056352151248,0.977271456136731,0.716548750444384,0.77323029055546,0.73486229416065,0.99282682036934,140.24326474359,134.32588125,143.723505128205,94.8376,48.96575,9.88950063145301,15.8594104806062,30.2804013987141,54.0629957754932,21.6366798271939,19.6971,10.169325,10.2976,14.7615,14.83315,192.23445,198.73995,161.4197,129.3996,60.191025,53.2396274509804,137.257684830339,50.1008,74.7855,37.60905,64.74855,14.5812,193.314,3.09639442254144,7.80268101924252,2.57811129419937,1.49270071535784,1.36631454458544,0.577924935900123,"LUSC"
"ZNF180",0.999696424943446,0.996943015034647,0.992817561495814,0.999959660770324,0.999994522503272,0.999344978002303,0.87591017108367,0.860582785947783,0.941364424151067,0.948361655169932,182.218324038462,183.87019765625,177.410864102564,186.4897,150.026,4.58848841654456,7.91804158684415,10.4233137304069,24.9289663256421,28.4745387496854,125.28195,129.2607,130.67385,157.078,114.28885,217.007025,210.162825,220.4513,219.8058,160.832,157.288031372549,181.79259760479,151.3823,166.6851,131.4849,180.2181,126.5678,216.7133,5.48392326830838,3.68116990369739,1.15579422044008,1.10108711520435,0.208884560834009,0.138928615770046,"LUSC"
"ZNF641",0.999999807413374,0.883735589254158,0.914829980446348,0.310379565982846,0.318037382691073,0.200192740512928,0.660288876217557,0.67642100093793,0.89428532683249,0.132793186654313,189.736871474359,189.4546515625,175.68281025641,266.26862,140.440683333333,5.18627074094356,7.52799912267253,12.2724585350614,40.1484787550587,27.842416963899,130.9107,133.971725,112.9752,227.2257,85.8124,232.99375,229.609825,240.76945,275.1703,186.560775,190.644866666667,189.434792015968,188.7379,176.729,157.98535,228.14365,130.8216,233.3292,6.09440427670232,4.03358251059634,0.993652728909746,0.936372609846777,-0.00918636162872081,-0.0948453605828456,"LUSC"
"ZNF610",0.999953862396247,0.552385203684178,0.578258775271649,0.99781579750591,0.998541782247417,0.917119103143413,0.994953375265563,0.993612693185885,0.999498406019007,0.987032081769832,43.838255448718,44.41180859375,32.0666025641026,50.36478,36.4347166666667,2.58700090717511,4.44768531538803,4.36525327145484,24.1643300063834,9.23572483682852,11.589525,10.59465,9.7299,18.1681,18.75745,63.476875,55.204425,55.6541,53.5922,47.913575,52.9674431372549,42.86850499002,52.5069,27.3331,37.60385,64.7402,11.3287,61.3405,2.89220323248185,2.02594603916311,0.809336876596714,0.520562059462661,-0.305187763018848,-0.941857928400284,"LUSC"
"ZNF528",0.498581920160929,0.0918653695449401,0.624451573437992,0.988717563606998,0.915400641087256,0.656902056137283,0.989899177211621,0.999996435289069,0.984665276309692,0.960363905680235,220.028603846154,191.6030546875,148.072948717949,257.05342,187.15065,10.1196508150058,13.8813601587159,15.5266072282797,147.087552334171,40.2429919244892,89.610725,75.232075,59.8096,116.9772,111.37895,298.33565,237.966175,233.1097,140.5825,277.5613,239.495741176471,206.367465668663,244.4134,170.4937,183.6455,285.18085,85.6731,274.4425,9.29187726480781,7.538803245731,0.861674886805617,0.697562817750582,-0.214784457205551,-0.519604952817934,"LUSC"
"ZNF701",0.998970318588694,0.999998705739321,0.999674156593451,0.282818637845749,0.264005686837184,0.345528007138118,0.996804464031101,0.998673401151498,0.996877885732106,0.432721490444605,98.8016227564103,96.9296,99.3675743589744,159.3439,88.9840166666667,3.63164025146012,6.3870977415318,12.3990221682576,64.241960909541,10.4360177262982,52.052025,45.039575,37.27925,59.4247,76.697325,134.401975,135.00155,129.0791,241.165,96.908225,115.188974509804,98.7053816367265,107.7107,87.1177,94.6629,128.15095,51.057,134.0087,4.83181919308184,3.02570578646256,0.85689956054193,0.808811937904034,-0.222801982731614,-0.306123803596181,"LUSC"
"ZNF283",0.972955230666695,0.983631079991189,0.914929905460179,0.990020381931481,0.997638851583523,0.968947435409089,0.999969505078816,0.999998811913413,0.998025287228872,0.998721995045974,47.5167871794872,45.97185859375,49.6992,42.43736,46.45115,1.35629207225937,2.04048620591453,4.5002784129783,7.75868464255379,7.90917961378844,31.45455,31.736075,26.45155,36.7495,32.239775,57.85345,57.653225,60.18725,50.8738,60.768575,38.7774137254902,47.1977361277445,37.9175,43.6508,34.7334,42.57745,31.0391,58.2926,1.19272982724511,1.07443129239017,1.21714502317929,1.15120458891013,0.283501075821987,0.203144248046215,"LUSC"
"ZNF558",0.987228112155456,0.836444707283719,0.961037174682991,0.962038866719416,0.981837796743689,0.998878726655283,0.993823542292035,0.998600763546496,0.999999991956982,0.999483418132464,452.1605375,438.88549453125,407.574005128205,375.54888,409.091333333333,13.7768562010089,23.9403093539257,44.8008803811294,43.4345573660352,66.5373853615277,307.72635,294.82435,247.8234,389.0756,308.83625,531.77415,513.69895,488.74625,438.4466,474.822275,256.018631372549,444.238948702595,245.1113,407.923,224.9769,279.97435,301.9171,520.6186,6.51015052853377,11.179818468589,1.73518210889955,1.66423579818637,0.79508708287215,0.734859857020683,"LUSC"
"ZNF597",0.456374870305943,0.724799230806075,0.99963973887082,0.779624272408194,0.549420591072391,0.539094985158568,0.966214661128999,0.999431688132608,0.999934300877127,0.691331320065612,42.0278628205128,36.46424375,35.2975974358974,58.52696,33.47465,1.90332288825207,2.46969165242262,5.12004639376818,8.0623344715163,3.58467536565958,12.68035,11.19305,7.706,59.2437,31.5941,63.306175,55.08265,51.37725,63.6646,35.1207,100.046482352941,40.1280966067864,95.9337,37.3782,80.61715,112.9636,12.1858,59.2306,3.55211694807555,1.42608614099947,0.401094527893781,0.389625334996982,-1.31798581119407,-1.35984060461766,"LUSC"
"ZNF30",0.998169267850654,0.938801437631257,0.982836585821009,0.999409618945825,0.998362365787021,0.988164387184654,0.768903231487244,0.733916667293955,0.629457722656879,0.970719311026669,81.078171474359,82.67656484375,87.6659461538461,75.92948,56.8365166666667,2.84910179416088,4.70661756720581,6.8156301346567,18.0499903764351,11.4602767101095,49.981825,49.870275,52.8358,39.4958,37.194525,96.098525,105.783625,113.92305,102.5738,78.9989,71.731968627451,82.0690147704591,72.3931,70.8512,55.55755,85.79985,49.8871,100.8403,3.53268906346503,2.25789376493735,1.14410654469411,0.9787010087978,0.194221409060728,-0.0310599082011231,"LUSC"
"ZNF354A",0.995745566044679,0.758108820471788,0.679349555218822,0.904638103725999,0.874707447484747,0.994108252634702,0.999983302428926,0.999999999980207,0.982239541288586,0.952501675868366,267.147523076923,272.8430046875,238.018282051282,209.97308,272.65885,8.26912756356611,13.4607446773932,18.1716231061947,21.5685640225167,27.7897377035331,188.7014,163.5329,159.14155,215.1662,229.424325,300.982525,361.7391,299.81385,221.5321,319.202775,193.649054901961,265.827050299401,190.2761,234.4802,168.2682,221.71215,183.7886,318.4345,5.62421221741221,6.40881764739282,1.37272578187372,1.23231556669492,0.457043458957364,0.301371743215769,"LUSC"
"ZNF764",0.999943845294352,0.999425136829539,0.999919690633922,0.990092588572487,0.992573584572616,0.996241573031574,0.797229391058525,0.821266900315188,0.87154975857423,0.993955651102206,200.690227564103,199.35614609375,196.813051282051,179.30708,154.06835,6.39862351934928,7.01588348875616,11.3083450804119,9.62956127278912,11.5039602239041,143.840375,143.903,148.71055,168.0672,134.7876,222.55195,236.973725,238.6777,198.835,177.39505,153.803474509804,199.997315768463,150.3025,178.7905,131.94595,176.7828,144.6968,227.3046,3.8781458061506,4.51988463083347,1.30034328812068,1.18953776550623,0.3788925422458,0.25040107524658,"LUSC"
"ZNF747",0.998089949721289,0.977215600277485,0.952049453383996,0.967745116897353,0.95485264428237,0.994510037079049,0.794468829956556,0.840955315169418,0.702460694243294,0.725800280146891,235.617695512821,232.29748046875,245.8937,265.6127,187.78775,6.35756941280001,8.02971910435547,11.3652633048541,23.8292638119393,16.5210624804773,172.5082,165.756525,202.5887,218.2971,153.227525,275.377875,266.3217,288.85315,278.9359,214.79265,233.51812745098,235.828626147705,224.6319,216.8435,207.8048,260.2904,173.0885,275.6382,5.3833923702993,4.63414573563085,1.00989430123453,0.965328165768085,0.0142043038042084,-0.0509086212703878,"LUSC"
"ZNF778",0.85078671151074,0.930229731316832,0.999836531486381,0.182671350501401,0.297794366149411,0.375795968124252,0.901913883451978,0.79149621733139,0.783382768409893,0.167347478787729,69.0215599358974,65.4961546875,64.4971256410256,36.09188,81.16995,1.85703046058813,3.19284444367549,4.66170622808717,6.26258830479858,10.0829017625136,49.11425,41.945225,47.55785,31.8447,68.42515,81.399725,77.97895,81.27195,47.1014,78.28245,85.0863549019608,67.6480994011976,86.3827,60.1697,72.2605,98.00445,46.0193,81.0617,2.65834507423405,1.51199417507452,0.795052267536245,0.696548035659918,-0.330878387148673,-0.521705246843723,"LUSC"
"ZNF212",0.995762621820473,0.999588491596064,0.994167616233818,0.580062877329047,0.646665507117644,0.580765777679742,0.881083055614834,0.920195105617493,0.871189691626442,0.990982655010997,429.989147435897,423.3514046875,435.916551282051,318.1282,364.744133333333,10.2396827657046,12.6701743068263,24.7330543371368,27.863723568145,38.379231756048,322.727475,326.237625,335.41145,278.4679,317.8702,514.511,511.996125,557.38585,367.3786,422.758825,242.699478431373,427.031861876247,250.7533,408.1341,209.1521,271.60375,324.4679,513.5119,6.917570199964,7.58474343957521,1.75950877453986,1.62763201919975,0.815172708718767,0.70277456687491,"LUSC"
"ZNF282",0.898406537795063,0.836608715183519,0.991390631913477,0.934805524341186,0.862966878074885,0.797467065152738,0.81467832978305,0.69450235064472,0.613854326584163,0.99987574302932,951.980866025641,984.98479453125,1013.98253846154,827.71522,795.1335,20.2900795018329,30.2872526255712,54.9444918241122,115.313221318153,71.2518665329735,724.7648,733.078225,707.4819,750.4669,742.504675,1113.20295,1160.339975,1304.75555,902.7252,888.9556,570.576443137255,962.079151896208,572.8234,929.8309,479.7181,640.26025,724.8445,1145.6483,17.0008750109994,15.6709095515375,1.68615294842233,1.62324182287246,0.753735406933807,0.698877941765481,"LUSC"
"ZNF160",0.624201880693593,0.930565271717302,0.999996194023483,0.999958215347153,0.999579598724439,0.99978798124627,0.93005479636534,0.992364479968679,0.991963480231494,0.99086117435336,537.881804487179,500.2490015625,503.233664102564,524.47688,453.621083333333,14.3374849158769,21.531167871692,43.4586017325289,246.634985316709,39.4495865623491,358.5834,359.100625,369.8903,200.6056,425.6912,691.74345,610.31505,590.96495,700.9709,508.82495,585.555415686275,525.682926946108,586.6742,507.6679,521.78175,643.6872,358.258,647.5491,15.9073316819804,11.4643770249783,0.897750943572103,0.865331899715379,-0.155612830666515,-0.208674507532672,"LUSC"
"ZNF415",0.940413260759189,0.982348989890398,0.878465794316935,0.139565321519994,0.0986087433978498,0.263432052418486,0.999999994433097,0.999608844309548,0.999643677940072,0.422386968572323,85.7511794871795,78.54235390625,94.0803205128205,179.70348,86.2138333333333,4.68743731707119,7.98781818533538,13.9422312745664,147.357009967709,22.3620262133029,19.9297,18.387925,17.1912,29.9029,52.92945,130.97455,109.5951,147.8703,48.8266,128.007175,127.391984313725,85.0702027944112,124.374,48.8266,96.6822,158.68645,19.0822,130.2361,6.14264942137867,3.99434813587466,0.66778301046721,0.392578834804702,-0.582548705629038,-1.34894570034461,"LUSC"
"ZNF439",0.615498374833445,0.999955900836484,0.955378649867608,0.991681718062582,0.999959281464222,0.995450752171824,0.995299176679287,0.999999924265037,0.99781324836945,0.999994347355386,85.3497458333333,74.9323,83.946058974359,71.23934,74.2306333333333,4.00038223647781,5.16087364733338,15.653487118251,23.5470882858285,19.6459809191544,34.162175,30.5131,31.13175,43.4783,47.8704,118.378125,98.377475,95.67655,68.8872,100.550975,142.830315686275,82.7320233532934,134.8752,64.4567,111.3525,162.7871,33.9347,111.4085,7.46149728112043,3.11083587785744,0.579232937740007,0.477898827953545,-0.787784452129456,-1.06522286550696,"LUSC"
"ZNF440",0.724184189709356,0.938302105116521,0.606650431319,0.998515268110477,0.979252576435957,0.999999999940496,0.927241468008181,0.98854371779394,0.826113652625486,0.940312109780612,401.491532051282,367.0077171875,436.099817948718,435.5962,313.38125,15.6806195979031,19.059158905026,50.46678233068,38.6228844441349,67.9040007284242,240.1789,199.75835,222.6478,380.1942,205.364875,479.710675,472.22855,575.38025,467.0704,328.871175,321.300615686275,397.189429341317,296.7005,341.6714,226.94935,378.8403,230.0076,482.0665,20.1651262423188,11.8776326877653,1.23619255597425,1.15157001757665,0.305903482653496,0.203602132311499,"LUSC"
