"gene","Cluster 13 (HNSC-LUSC)-BRCA CIMP c7","Cluster 14 (HNSC)-BRCA CIMP c7","Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","Cluster 5-BRCA CIMP c7","Cluster 5-Cluster 13 (HNSC-LUSC)","Cluster 5-Cluster 14 (HNSC)","Cluster 6-BRCA CIMP c7","Cluster 6-Cluster 13 (HNSC-LUSC)","Cluster 6-Cluster 14 (HNSC)","Cluster 6-Cluster 5","Low purity c2-BRCA CIMP c7","Low purity c2-Cluster 13 (HNSC-LUSC)","Low purity c2-Cluster 14 (HNSC)","Low purity c2-Cluster 5","Low purity c2-Cluster 6","OV-like c1-BRCA CIMP c7","OV-like c1-Cluster 13 (HNSC-LUSC)","OV-like c1-Cluster 14 (HNSC)","OV-like c1-Cluster 5","OV-like c1-Cluster 6","OV-like c1-Low purity c2","mean-BRCA CIMP c7","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-Low purity c2","mean-OV-like c1","SEM-BRCA CIMP c7","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-Low purity c2","SEM-OV-like c1","Q1-BRCA CIMP c7","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-Low purity c2","Q1-OV-like c1","Q3-BRCA CIMP c7","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-Low purity c2","Q3-OV-like c1"
"ZNF184",0.924809769114816,0.919323176689237,0.999757336536902,0.999920629948165,0.00179385070339555,0.418653186858326,0.824733744788498,0.991832753049284,0.999982082452439,0.233316611567167,0.998160834990771,0.98742722910913,0.983927317385699,0.77161420349457,0.929707112905805,0.811061912358001,0.307911368671728,0.319606914551108,0.810024171714584,0.24165804962556,0.531694855554819,282.32125,242.493457664234,230.373746153846,293.583983443709,219.861792307692,260.303937037037,381.986233333333,28.7207405703082,7.82632535033269,25.7819324646594,10.2836320239166,16.7050717382763,17.7329643769207,175.136985568405,225.86135,172.0991,167.9245,193.6213,205.8795,194.80665,207.23985,268.65065,299.4181,295.8026,365.34125,255.0694,308.99055,479.4836
"ZNF500",0.999788576817016,0.9927371442164,0.997092967732246,0.99999999996583,0.925246833041295,0.943256581488823,0.997375778383995,0.999584648904181,0.999999647453002,0.976386904467898,0.999991961189748,0.962999142888658,0.927151566188491,0.999883129262925,0.962944362408306,0.554623061954188,0.282303356560758,0.247499808846529,0.411677680710053,0.286750348952769,0.543589846715741,225.42711,214.331404379562,198.772030769231,226.231351655629,203.286823076923,232.625651851852,332.716166666667,22.4052579321038,7.25793340709959,24.9818229366242,7.83554840470279,35.3311402362035,13.4163694793983,77.3023024371705,195.592925,160.7981,104.8753,162.8815,132.6687,184.673,269.73485,258.627525,247.7982,254.4029,275.184,229.6305,264.81035,403.0237
"ZNF419",0.14130425205469,0.12617250229032,0.973711560420398,0.669466688704847,0.120901487563376,0.437271293119095,0.779849375888137,0.984433019551549,0.871795181468629,0.99997135801163,0.530395789151437,0.987452039176349,0.874740908816002,0.992203014455198,0.999992744410418,0.868726549816811,0.999999999999345,0.999593042071947,0.99859848261189,0.999848861265444,0.999977946915789,211.89054,149.354845985401,130.073669230769,172.462942384106,166.756546153846,161.470125925926,149.974933333333,40.1408371596286,5.80760386039357,16.0979240394108,6.24616149741859,22.5098767481436,14.3594368556544,32.4258739255312,117.202675,104.9921,76.0068,122.36135,105.5841,118.96805,117.58075,278.0477,189.7068,187.31,219.3044,222.6219,200.04025,167.41325
"ZNF175",0.70285852775034,0.409095956449935,0.913326150628425,0.945006652024611,0.755264884401138,0.579057693235672,0.675965074292782,0.997732434861363,0.999508585511141,0.904582018338244,0.999233475672559,0.668763531720908,0.418925658856295,0.985213385195425,0.74731200537849,0.47858251169135,0.86600815875338,0.995556708430085,0.701970646331987,0.972385864277366,0.564459104941243,146.62939,114.673233576642,93.9845076923077,125.554843708609,104.495584615385,135.910440740741,68.6228666666667,30.3743701798607,4.83318239718803,17.2305339781442,5.04473809139261,26.3811626767357,11.3515632973975,22.8445073982298,101.6811,76.8986,44.9795,82.04215,57.6923,92.5243,47.70565,145.37365,148.5187,136.0609,173.27855,108.0576,167.27935,87.03485
"ZNF14",0.990565319572584,0.999927762738794,0.863111720727686,0.978094145598716,0.999855808108269,0.789538806798118,0.995047672876738,0.999999798389357,0.947190622677429,0.999999999969023,0.61775810259067,0.516791688245971,0.272666735411932,0.639934332859835,0.940929266258909,1,0.999615834240794,0.999994339535287,0.999044563631683,0.999524315954306,0.94557930922514,146.0859,171.221610948905,132.411276923077,175.537801986755,174.730153846154,212.032633333333,145.951366666667,17.7485529650792,8.18788873601823,21.0723299261419,7.46325216967517,36.7513850613276,37.531555598239,42.4816005356567,120.913925,110.9225,77.9874,118.7439,84.0081,116.17745,114.2199,177.0664,222.2374,138.9174,218.23685,206.2635,209.88925,186.2783
"ZNF85",0.999078508019736,0.999999999997948,0.998592830752549,0.962891460060718,0.846907345390878,0.940540910644328,0.392408115783539,0.196718211789503,0.315965877057652,0.490576897985343,0.968063510039027,0.975100371398536,0.954839878019932,0.999999073861159,0.730651544940857,0.999416247022431,0.99998732406228,0.999407644972868,0.99999999986315,0.975012660692736,0.999999970172158,55.38109,67.4446700729927,55.9297692307692,79.2904582781457,121.073507692308,81.6715888888889,77.7661333333333,22.7157841897677,5.29869256695975,13.7403143604466,6.97676775227501,25.0904137438152,18.1727436567247,30.5681699681948,8.12745,23.9738,22.5989,29.4758,84.8093,37.85005,47.7805,52.551575,93.9227,74.8428,100.68355,143.4217,105.22865,97.9025
"ZKSCAN1",0.998947897753351,0.94450358962945,0.377993395814499,0.99733983844403,0.9999842551643,0.315865001305491,0.830727385325989,0.161394119269961,0.999902022074289,0.125875582357257,0.999999946163953,0.967902147069418,0.896288869052093,0.936407691767419,0.699731302226295,0.427908031957213,0.442513319313512,0.0964272254829583,0.47301970939277,0.0568734951315292,0.2980115124407,753.26348,818.589668613139,576.041484615385,830.040416556291,524.140176923077,739.393003703704,1282.19793333333,114.918177320556,32.8709387400921,74.0743989596702,35.3030180681921,78.6435846469481,69.7470259787489,610.423803286016,448.52455,586.5012,400.1027,526.49945,353.5425,589.27285,697.5681,916.477475,1016.3887,687.4405,1044.65255,656.6889,785.81375,1726.5618
"ZNF862",0.798361627894215,0.233734977762945,0.557986621755519,0.831319042054634,0.99999622563403,0.501229816562227,0.684036824521659,0.99078228174907,0.986475607084311,0.984071357123586,0.999612107918989,0.767886161492165,0.182460662800623,0.819697906196528,0.722147138088732,0.999982362889616,0.998651697135259,0.861761951831764,0.999124417904312,0.985047930342597,0.999999999999818,368.83548,293.636638686131,208.984146153846,297.262831125828,259.130284615385,343.849351851852,342.608433333333,60.3841349354333,13.6219858468157,36.9885111455477,13.5262214839534,45.4330357571926,29.2800277408363,174.275733623496,250.373675,167.4725,141.1565,161.02645,105.2632,240.2,170.9065,426.959625,365.6587,240.5063,404.866,355.4317,410.32145,454.30235
"ZNF684",0.99667158639716,0.999940178692398,0.92278317308218,0.854238410802879,5.25929520733825e-06,0.947872427218261,0.999999806538008,0.979639484286196,0.999994729347597,0.853623034461551,0.987622897374123,0.250227610551466,0.99918538396074,0.99463051627486,0.992445417525861,0.179879225257293,0.0332373370650237,0.235217459018422,0.388146050758119,0.182660288285033,0.305975315424909,44.70753,38.8194270072993,48.4649076923077,57.2887741721854,46.1404153846154,53.1912518518519,92.7820666666667,3.10821737442505,1.71053021809509,4.95664490848166,2.94612913346229,5.14093209063231,6.47600695616133,54.8264432219932,37.79625,26.3975,39.3956,37.32875,34.413,30.83165,38.2103,51.088025,44.1955,58.3986,65.42115,48.2526,57.2092,124.63915
"ZNF430",0.988763175759977,0.999955207575429,0.866353219760831,0.999996334143156,0.695053964939004,0.995891152505015,0.998252143583727,0.999999986544806,0.974862834925098,0.997551405766014,0.999901220105013,0.996748747966826,0.991679173013767,0.999954604486718,0.999924769601108,0.997161717540587,0.931917561666575,0.999600892540083,0.987834420929884,0.962729921718091,0.981299385100841,131.49373,154.612401459854,120.273346153846,137.204229801325,152.625492307692,142.790740740741,95.4292,19.3036150751445,6.00460346056456,26.7550630820805,8.82260729741822,35.5212958213918,18.7543926486147,10.4387704742145,100.52725,101.8104,31.0702,83.16565,66.6197,80.06235,85.2406,171.70435,189.3375,167.8359,157.5732,173.8795,156.31145,102.4908
