"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF75D",0.0149177833446813,265.10288976378,236.66080661157,12.7848597795112,5.23949218092004,158.98245,166.67,315.45905,287.9479,403.460249019608,244.196187824351,401.4106,230.3968,358.60445,470.4729,166.607,298.1321,13.2617403588694,5.04021579462993,0.60525464012313,0.573967902192917,-0.724385860345978,-0.800958035062868,"LUSC"
"ZNF197",0.981891459520054,263.635114173228,263.443403305785,6.54750171338857,4.43620238652838,216.01325,208.28105,301.1853,302.43045,319.829841176471,263.308002794411,309.0581,255.204,274.9688,350.3679,209.1487,301.3316,8.23245512969494,3.62271170345653,0.82327528233717,0.825747650684451,-0.280553183004617,-0.276227134949028,"LUSC"
"ZNF732",0.984880916500075,4.57647165354331,4.59384380165289,0.684350363109925,0.486106331558674,0.59455,0.63155,4.88325,3.4436,2.63625294117647,4.59725928143713,2.2456,1.5228,1.65425,3.7442,0.6274,3.743,0.187330367236715,0.393910821273096,1.74386122425169,0.678126113288208,0.802285235613678,-0.560374493950262,"LUSC"
"ZNF546",0.691749109116513,54.9806677165354,53.1532011019284,5.33332753020751,1.98751473950109,29.9103,30.3377,65.0617,69.45935,63.7481764705882,53.5368069860279,62.485,43.611,52.71805,76.1279,29.9744,68.6567,3.32612329862434,1.98206006417661,0.839817073210376,0.697943506441546,-0.251852976891183,-0.518817829620168,"LUSC"
"ZNF286A",0.794881996404422,286.999691338583,290.999283746557,14.8508729877162,7.46645044790886,178.6274,194.41575,343.87845,347.05925,155.632005882353,290.029636526946,150.629,247.9564,135.6119,165.41475,191.6625,349.7225,4.59253399381009,6.62615128174836,1.86356035754104,1.64613985354746,0.898061546254834,0.719086910150947,"LUSC"
"ZKSCAN4",0.464705902110559,126.203295275591,122.894732782369,4.12185695375021,2.25277733273709,93.3517,92.72895,151.45545,150.3888,87.3716549019608,123.335873453094,86.5385,117.1662,62.20485,107.02895,93.2543,150.3381,4.97374662998753,1.95579746300197,1.41162341026376,1.35391993159114,0.497355260982168,0.437142423025185,"LUSC"
"ZNF643",0.0235688702970983,77.8837456692913,58.3800134986226,13.5100296132571,1.88121986645035,32.78865,33.4028,76.81985,74.39395,17.5734352941176,63.2804910179641,16.3607,48.9603,12.3901,21.5525,33.3396,74.9097,0.876790634355051,3.70078583385545,3.60091751890684,2.99255533076213,1.84836455414444,1.58137792208212,"LUSC"
"ZNF642",0.14655849052679,117.695808661417,102.907187052342,16.0206043974028,2.21008262308135,68.33885,77.4677,121.17505,122.628,72.9865058823529,107.148748702595,74.8483,96.758,62.66285,82.46585,75.9967,122.771,2.29094622248128,4.36897930065999,1.46806245082218,1.29272141117434,0.553913341188674,0.370411399647774,"LUSC"
"ZNF490",0.102882174784976,182.004354330709,168.97879476584,7.34016571737339,3.95461568740693,128.03435,120.593,221.05205,199.892,169.299874509804,172.195105588822,170.5005,157.9881,133.6876,201.0861,121.4828,206.9459,7.62950941819462,3.44665819736105,1.01710120038424,0.926613704945147,0.0244632328126749,-0.109960074387341,"LUSC"
"ZNF626",0.0268647802253045,118.432928346457,85.7818258953168,16.6094645712716,6.47865413855168,24.1085,19.27035,146.16215,104.919,168.924678431373,93.6900081836327,168.0381,45.5002,126.99985,195.10785,19.6872,118.0199,7.95374355202375,6.34773517461191,0.554625937747132,0.270773116334926,-0.850413007568492,-1.88484358660812,"LUSC"
