"gene","M1-M0","M1a-M0","M1a-M1","M1b-M0","M1b-M1","M1b-M1a","MX-M0","MX-M1","MX-M1a","MX-M1b","mean-M0","mean-M1","mean-M1a","mean-M1b","mean-MX","SEM-M0","SEM-M1","SEM-M1a","SEM-M1b","SEM-MX","Q1-M0","Q1-M1","Q1-M1a","Q1-M1b","Q1-MX","Q3-M0","Q3-M1","Q3-M1a","Q3-M1b","Q3-MX"
"ZNF669",0.988714599433287,0.991909587811736,0.999591265195162,0.999999996673815,0.99971332886242,0.998070592523785,0.327357921288695,0.999999389441043,0.99959377503787,0.999435946847057,113.698304975124,102.60424,91.0834,113.1387,101.653866666667,2.5467801306506,18.8356280577421,NA,NA,5.77029699621433,77.55155,57.5374,91.0834,113.1387,68.77485,137.606575,133.7494,91.0834,113.1387,119.836
"ZNF559",0.999787681386475,0.998343254289309,0.999658872118766,0.999999998680827,0.99999617105103,0.999622806133803,0.999829798939195,0.999514770504269,0.997881177112418,0.999999829834029,246.435891791045,256.92846,285.7143,247.5973,243.661764,6.81392843138357,40.2738733637528,NA,NA,13.0610360908905,162.944675,241.2578,285.7143,247.5973,151.8116,296.7696,329.5776,285.7143,247.5973,313.8003
"ZNF177",0.941456104883104,0.987405514292609,0.939341639066059,0.995298525778261,0.999999424717964,0.970749153553931,0.939466035499317,0.876587938366617,0.99456281723822,0.989171586074923,53.0267109452736,68.01008,31.1601,69.9209,48.798028,2.26045519642303,21.0651504798898,NA,NA,3.88190385458845,22.00175,36.5257,31.1601,69.9209,21.3695,70.1692,100.5907,31.1601,69.9209,70.4042
"ZNF548",0.999998380338069,0.999808660464354,0.999777928560773,0.925398457866889,0.939694461728132,0.990970616719049,0.943899455142991,0.999871906094527,0.998931426467967,0.894377715979266,267.260762437811,269.96476,247.3634,172.1411,278.2622,5.79377695014052,46.7524299650253,NA,NA,13.5792395952363,186.017825,202.8065,247.3634,172.1411,189.45775,329.7477,364.0391,247.3634,172.1411,335.4487
"ZNF563",0.998110538799892,0.998127746264416,0.999876916471364,0.708008174491952,0.837548723844534,0.959538091725692,0.997004952806703,0.9950562791054,0.996925443027739,0.68574905371835,42.3123507462687,46.14262,50.815,77.8589,41.1075386666667,1.45856081814539,10.373149817071,NA,NA,2.22616395972408,25.179025,37.004,50.815,77.8589,29.5098,53.92635,61.8662,50.815,77.8589,52.5716
"ZNF567",0.964389357913112,0.985065650959351,0.999600048379206,0.756279693284755,0.653045759088261,0.743536450615539,0.61900502981071,0.998998896985269,0.997018149285239,0.652448744065633,172.725587313433,142.35858,119.3672,294.4039,154.587717333333,5.33010629144279,32.3780908698521,NA,NA,8.29523225485458,112.299275,97.8136,119.3672,294.4039,113.41925,196.761125,194.8284,119.3672,294.4039,186.8034
"ZNF573",0.99330487088238,0.999548494704224,0.999999962073866,0.869425953460843,0.82760121016999,0.919455090838647,0.999263697861532,0.989371703154428,0.999252552332326,0.88405551695717,21.2425487562189,16.81418,16.2991,43.7956,21.9453746666667,1.13038002371073,4.89790680101204,NA,NA,3.08717662568167,10.057025,9.3625,16.2991,43.7956,11.3287,23.9077,22.1243,16.2991,43.7956,26.2057
"ZNF527",0.976872653651231,0.957266779774098,0.905002472353939,0.907601584480377,0.981395121143137,0.801687382548204,0.433993641975534,0.838569777049139,0.989162551628244,0.817626788408111,111.111034079602,129.0771,63.7584,170.3163,96.5736226666667,3.51970662906491,29.4726234353849,NA,NA,5.94046948873392,69.433975,62.2759,63.7584,170.3163,63.5994,129.03375,177.2199,63.7584,170.3163,121.3758
"ZNF33A",0.995474471791922,0.99996467084118,0.999997959612235,0.997110972835979,0.990151507990489,0.99772459173623,0.834744477534358,0.965389202963388,0.999245399533648,0.999582647246724,625.117168656716,576.5309,593.4803,721.4112,662.228962666667,13.7220459884541,64.3306066868874,NA,NA,37.5569912373204,437.99835,556.3965,593.4803,721.4112,443.75495,780.356475,651.3707,593.4803,721.4112,850.17825
"ZKSCAN3",0.999944349064466,0.99995560891064,0.999997646181257,0.983325671449603,0.992183224729049,0.998297456236227,0.999986194535483,0.999979103695471,0.999970658156695,0.984883176638436,73.7589743781095,75.84282,78.14,93.674,74.1696733333333,1.82959873729395,14.8498046777862,NA,NA,4.45905230997497,45.696775,54.0817,78.14,93.674,45.4434,94.88175,92.6712,78.14,93.674,86.81705
