"gene","YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF154",0.113498957959891,37.7318894117647,46.2695714285714,2.62606081814475,5.35737250416784,14.30435,13.749975,39.5529,50.52745,61.0013588235294,38.3167894211577,58.1604,25.2552,39.3358,76.264,14.1546,41.7904,4.71944715296203,1.98650004181229,0.628130096773814,0.434233602244826,-0.6708646973435,-1.20345672472369,"LUSC"
"ZNF571",0.741958672873166,75.2177180392157,73.2071102040816,3.02844253289432,5.90141507647428,44.53065,47.8917,95.16015,77.967625,80.0288490196078,74.0774183632735,77.3398,64.0547,67.97425,90.89255,43.7214,90.936,3.0155697309267,2.22834644227699,0.925633934146969,0.82822427779746,-0.111486339637991,-0.271906601736873,"LUSC"
"ZNF443",0.539492312180838,72.6894125490196,69.669337755102,2.61243710600543,4.08679044274256,43.5402,42.65155,91.2355,90.416325,58.2336176470588,72.5247469061876,55.5262,64.6651,46.39,67.7999,43.3968,91.3719,2.98405317764043,1.80235351472491,1.24541029454402,1.1645871678595,0.316621109674081,0.219818627468179,"LUSC"
"ZNF792",0.333191279902301,98.8138674509804,92.0663091836735,3.74069115388297,5.60334573220579,52.8662,54.840125,131.1911,111.2069,175.796350980392,100.217064471058,174.4783,88.817,133.33125,219.8903,57.3525,123.7721,8.69666381137105,2.80656200283088,0.570074770677327,0.509043244919282,-0.810776940152253,-0.974139871630732,"LUSC"
"ZFP82",0.917366322818286,76.5988003921569,75.6957581632653,4.4508157737371,7.92256698454651,29.2688,25.184725,101.2198,105.322575,76.9890960784314,76.7082560878244,75,59.5238,57.7561,85.7251,27.0657,104.4776,3.72001446264631,3.20942011923206,0.996352210833584,0.793650666666667,-0.00527226926085845,-0.333423964556417,"LUSC"
"ZNF707",0.903160325422829,306.399663137255,304.297297959184,9.2406719406346,14.0541172126434,214.8604,220.8596,371.211,357.40825,164.801829411765,288.853037125749,163.7903,264.4598,137.07765,190.1805,202.0997,353.3496,6.39959699661997,6.2213737345731,1.75272955498592,1.61462430925397,0.809603406376656,0.691198517718935,"LUSC"
"ZNF746",0.530740445550346,670.871817647059,697.745255102041,21.6642438701275,39.9546596155982,433.18405,464.2484,822.10025,795.64775,447.094762745098,680.489337924152,435.1578,567.0894,402.17595,497.2343,444.1221,813.3345,10.5948116631395,16.3783828165465,1.52202484713989,1.30318105294217,0.605991911110113,0.382037533665237,"LUSC"
"ZNF678",0.969976843266572,41.2191780392157,41.3227040816327,1.48647010179744,2.1664796227274,26.62535,24.06125,48.7936,53.133025,45.7207333333333,42.0501680638723,43.9086,36.0017,35.75625,54.38535,26.4364,52.3581,1.98909716260609,1.03209212193375,0.919717707878823,0.819923659601991,-0.120736977128568,-0.286438503498914,"LUSC"
"HKR1",0.868745279427163,599.103600392157,607.565816326531,24.6620570256025,51.9643464253861,386.476,380.922525,698.03515,665.81765,438.883735294118,583.282707185629,435.7542,505.9594,379.3814,513.9956,364.3171,686.9252,13.4373093203267,18.3734221059137,1.32901417910769,1.16111192961537,0.410356496652633,0.215507052752597,"LUSC"
"ZNF101",0.590315003432169,116.123794901961,119.940073469388,3.8264180982912,5.59820023961079,80.07805,78.50255,135.2035,148.072525,107.578841176471,119.522792215569,98.8064,108.5472,80.41215,118.43225,81.4856,141.7526,6.49376156677461,2.62579841732671,1.11102509479076,1.09858470706351,0.151891403334847,0.135646113956848,"LUSC"
"ZNF716",0.356465342390808,2.5988768627451,1.51035714285714,0.68674703376225,0.647650894305082,0,0,0,0,0.0222156862745098,2.98469600798403,0,0,0,0,0,0,0.0222156862745098,0.5356563311923,134.350835310843,NA,7.06986148094393,NA,"LUSC"
"ZNF708",0.978363417884601,114.089372941176,114.327359183673,4.80865559364956,6.5910221150108,72.8904,72.120925,140.84635,154.4703,149.013403921569,113.994875848303,148.0394,104.285,120.0555,167.5433,71.522,144.1369,7.3073308009294,3.18950155942304,0.76499746229744,0.704440844802127,-0.386473132882035,-0.505449533127235,"LUSC"
"ZNF721",0.880727002577283,357.266857647059,360.053751020408,9.78651399529505,15.743361529849,250.6245,260.03845,434.34165,415.475625,368.065382352941,360.504234730539,364.3397,331.4247,319.98475,400.39175,250.5706,428.0778,11.2539358743082,11.5435964926522,0.979457053053819,0.909658486297266,-0.0299458598775468,-0.13660307990694,"LUSC"
"ZNF662",0.982748886939402,74.3064803921569,74.514806122449,5.15207896184505,7.8381388450658,18.3578,17.879475,101.4212,106.73,146.412662745098,69.5800914171657,136.6281,40.2635,107.3008,185.4332,17.7009,97.292,7.57716747490411,3.3796855510125,0.475232743620703,0.294694136857645,-1.07329385337877,-1.76270973754912,"LUSC"
"ZNF320",0.480824447027608,374.288934117647,402.470365306122,20.066610556131,37.7438204867016,128.92415,131.609775,531.51895,528.0285,322.599103921569,367.349703393214,304.3214,288.2766,278.90925,359.2044,130.0448,518.5185,12.2203480467845,13.8974634347273,1.13871892056627,0.947276793547874,0.187411678609714,-0.0781420532154352,"LUSC"
"ZNF530",0.525000347660072,96.3306090196078,100.055037755102,3.02232233219376,5.22686363528947,66.0404,62.339775,119.11765,124.31995,47.6600098039216,99.2446784431138,44.1176,90.7294,38.7917,55.00625,64.3768,123.9512,2.23216455041282,2.28339311324941,2.08234700016675,2.05653526030428,1.05821049789113,1.04021580776342,"LUSC"
"ZFP1",0.209501075844705,202.369801176471,218.222429591837,5.23991704272023,15.116548888533,144.86875,157.213425,240.173,232.8927,198.837243137255,216.30105489022,195.2503,190.4548,174.74695,223.25635,150.7927,248.3251,7.11691040155535,4.88855209096814,1.08782968158993,0.975439218275209,0.121452695595399,-0.0358761166967687,"LUSC"
"KRBA2",0.177241529539107,41.9072725490196,45.2706673469388,1.32200177534614,2.06611579120363,26.99675,30.582525,54.5332,57.139575,62.4172,43.4434894211577,61.2901,39.2215,44.3038,75.09765,26.8592,55.5616,3.72813566005063,1.01999033354508,0.696017915272676,0.639932060805905,-0.522803653838638,-0.644009347182835,"LUSC"
