"gene","C2-C1","C3-C1","C3-C2","C4-C1","C4-C2","C4-C3","mean-C1","mean-C2","mean-C3","mean-C4","SEM-C1","SEM-C2","SEM-C3","SEM-C4","Q1-C1","Q1-C2","Q1-C3","Q1-C4","Q3-C1","Q3-C2","Q3-C3","Q3-C4"
"ZNF175",0.951458443107611,0.619839523857665,0.793458250907648,0.170580866330489,0.145906471701306,0.571355355776517,84.1039,118.74768,162.612733333333,215.53221,6.3572,14.8133273665777,32.5359360135903,30.0064966884931,80.9253,93.7841,123.1166,170.69425,87.2825,143.1054,226.684125,253.8952
"ZNF14",0.59630648887448,0.92777571162032,0.792927829853391,0.98432752525001,0.105090533186066,0.459893397050642,196.9468,147.04366,173.44165,209.89317,3.705,13.855878857135,10.5510996268241,19.7676110367105,195.0943,149.9455,170.4541,161.495425,198.7993,161.066,186.74715,265.319325
"ZNF85",0.927297701263643,0.976208772727999,0.990993642017438,0.988427870062096,0.52377071160013,0.678958647658081,134.9089,51.85872,80.6377,175.02309,72.9589,13.9802552348804,17.0283049016826,72.8854733121452,98.42945,37.6227,50.52405,75.8949,171.38835,61.7967,100.481325,151.59355
"ZKSCAN1",0.999507104607238,0.300841308284592,0.0777999191176273,0.704974171634616,0.35266427171203,0.612971494412686,1447.3103,1344.12718,3102.54701666667,2386.77049,401.6865,88.5450795441023,531.33356954241,407.857043569894,1246.46705,1293.7428,2223.4157,1639.378475,1648.15355,1486.9838,3473.33605,2300.1976
"ZNF862",0.971892069867677,0.188001036033404,0.0135259459267161,0.998839103573259,0.82022495087988,0.0273352155984551,383.0531,297.9338,785.6603,409.65299,29.6564,66.8511274630802,145.485601564407,59.5099368051242,368.2249,227.3594,503.340525,276.075275,397.8813,290.395,1076.49065,510.16145
"ZNF684",0.945822976032765,0.999807231491095,0.914406050610861,0.798226983352574,0.968164481154207,0.608665343267329,53.0462,65.29326,54.7963166666667,71.91989,1.6558,18.9478110301586,5.99094195050142,7.65236456469429,52.2183,54.0991,45.595225,54.2626,53.8741,64.8899,66.88085,89.031475
"ZNF430",0.996008878477246,0.999847903793472,0.976626074461719,0.963480250227477,0.744456524494423,0.931849994609627,194.68405,162.3141,205.247766666667,258.9642,14.74925,22.0747026619386,20.5038951781959,78.5138427811484,187.309425,124.7756,170.103225,162.1009,202.058675,200.6543,220.81235,214.75415
"ZFP30",0.0212547302054716,0.0762020021642265,0.778391249055482,0.0676774460767743,0.656140924451355,0.99936577389457,496.69065,109.4958,192.107133333333,200.97153,364.34285,41.3561824530021,15.0903404278293,30.7219685838039,314.519225,36.9862,171.2957,154.633,678.862075,115.5943,218.56855,225.2276
"ZNF549",0.964263168804233,0.760206336651364,0.230428172264065,0.464210025990091,0.0487412766668796,0.905232622991695,69.9699,41.79308,127.247816666667,152.1051,22.2511,10.8704031054695,28.9172597667831,27.5207989056519,58.84435,22.0162,65.597175,113.4458,81.09545,62.0265,167.25985,173.713825
"ZNF211",0.999997332915811,0.816334079582,0.62827232101899,0.998836785531433,0.997930964383444,0.39823901503486,216.7002,218.01296,158.338166666667,225.94528,10.9274,56.521811445818,18.6057652318068,23.9279841076408,211.2365,142.4312,125.786,169.6065,222.1639,224.2178,195.792375,270.1468
"ZNF205",0.912082694381461,0.925123250416586,0.999851979546636,0.640521757300088,0.903388557561045,0.850102514265317,335.80305,280.94002,285.390033333333,243.71554,27.98185,43.9689646302753,53.2029384305144,26.7956245122271,321.812125,213.5769,218.203275,210.017325,349.793975,342.1437,330.2845,283.012
