"gene","M1-M0","MX-M0","MX-M1"
"ZNF169",0.972900405222997,0.814801325564845,0.98258134000432
"ZNF613",0.694255190124865,0.0517799536581346,0.0995630525601077
"ZNF404",0.85242471931717,0.640006761325159,0.590544024914845
"ZNF135",0.908317744753004,0.947618354871891,0.855931591721425
"ZNF620",0.93245034133414,0.737105801294176,0.987832350357574
"ZNF619",0.991081068480123,0.974402803923438,0.970125294088639
"ZNF354C",0.455201318716365,0.845689722835728,0.779595701125712
"ZNF114",0.964883398238897,0.931959166377743,0.99999847839014
"ZNF454",0.475799814788198,0.909523311046233,0.44929703503873
"ZNF543",0.792203438865798,0.486955315071268,0.988183697251692
"ZNF354B",0.977006379532564,0.99055740498716,0.995315378077042
"ZNF223",0.815426894439168,0.231347492180403,0.304229342371335
"ZNF713",0.99974480348826,0.916750031013566,0.974019597453698
"ZNF552",0.998188188375551,0.722547287389282,0.868661330085895
"ZNF154",0.99334594305094,0.806650899186068,0.888605672235409
"ZNF571",0.782905845819192,0.576127657496818,0.488039968046993
"ZNF443",0.978950801253657,0.926775869362095,0.922140114209867
"ZNF792",0.964884923398239,0.997285566825117,0.965390206146647
"ZFP82",0.974691378473113,0.545724564164309,0.700474336265602
"ZNF707",0.941578731627248,0.959132306306077,0.900049751417804
"ZNF746",0.997333397033837,0.415297149266287,0.76260214258189
"ZNF678",0.983791903732117,0.253339336684856,0.518774075559212
"HKR1",0.819905874803651,0.388173489582021,0.41026713373785
"ZNF101",0.997318011334336,0.67704365060067,0.896669363538359
"ZNF716",0.903942165223711,0.835720272196038,0.999875225134855
"ZNF708",0.99462788293715,0.962750396730112,0.996969949055087
"ZNF721",0.890746308780499,0.934222379209749,0.826656601707777
"ZNF662",0.999942446053341,0.763448726616595,0.904918910874773
"ZNF320",0.998616722036307,0.299450680982006,0.671224409579819
"ZNF530",0.978887854935427,0.940218624326449,0.930416928580953
"ZFP1",0.940125779503248,0.970828097996825,0.989288883952336
"KRBA2",0.901574583443212,0.996382221960829,0.947933187229374
"ZNF93",0.625833962266591,0.922611396178139,0.583372658708005
"ZFP90",0.780634861301478,0.182844756606986,0.863689584856307
"ZNF479",0.962918933156474,0.929300332847073,1
"ZNF445",0.883800876260554,0.885244706465645,0.780512842838547
"ZNF74",0.918640841859758,0.688009813056827,0.694384027663778
"ZNF829",0.899649539768542,0.838170707746548,0.764512479404351
"ZNF267",0.936100509172823,0.319677470019259,0.485441489860787
"ZNF566",0.976638249008985,0.999999989756745,0.983875100134363
"ZNF224",0.76406734840861,0.0227803609437923,0.0786573645968389
"ZNF529",0.569889240670061,0.50211966314915,0.295847865333057
"ZNF284",0.965012545018919,0.724785041725951,0.967206154454236
"ZNF749",0.836099458353712,0.76276170452306,0.998331434386077
"ZNF17",0.852622206511907,0.965523054060697,0.95266352114218
"ZNF555",0.991610957812112,0.843431583452892,0.901753172546584
"ZNF75D",0.876031566297988,0.103247742412991,0.234973209128169
"ZNF197",0.996992138009213,0.613227824934794,0.87016806481663
"ZNF732",0.998437201543018,0.688973278568728,0.895726404378882
"ZNF546",0.967863942194858,0.965386181537679,0.998541552485309
"ZNF286A",0.387121288387858,0.991865628387758,0.561813329837204
"ZKSCAN4",0.993805159097975,0.847200228950817,0.969027252040922
"ZNF643",0.974561813247895,0.822118478426204,0.983010774501322
"ZNF642",0.525599905006379,0.122902956134067,0.103861567993338
"ZNF490",0.807005691180857,0.967948637883138,0.925912265515736
"ZNF626",0.974181379073803,0.881666484342197,0.994033782428309
"ZNF793",0.956970509869403,0.670570758585782,0.739335820576925
"ZNF383",0.8204118903987,0.637699517487613,0.998981949813361
"ZNF669",0.946696492924118,0.539989178834501,0.926043096332684
"ZNF559",0.74903508496564,0.868672403867101,0.951105300428522
"ZNF177",0.811175294515571,0.8663356909584,0.976365890398273
"ZNF548",0.999748408268631,0.509010530363046,0.794776511093224
"ZNF563",0.711394649689446,0.333448802045744,0.97820367880376
"ZNF567",0.376861392641627,0.0404069442512881,0.0330288863953899
"ZNF573",0.985287691672847,0.958438942042063,0.951348534177134
"ZNF527",0.912765141069696,0.873029294264381,0.802832916155725
"ZNF33A",0.571201317578204,0.975601936967405,0.754987222287937
"ZKSCAN3",0.955963406639437,0.546380694597525,0.665091436200719
"ZNF676",0.982232202361255,0.952529098844164,0.9995906871893
"ZNF699",0.998786104045916,0.887077403337011,0.969066301626279
"ZNF250",0.921734422405995,0.769570361737499,0.747154085839545
"ZNF79",0.952481774726947,0.998660826558633,0.974355619391274
"ZNF681",0.858519471185777,0.991280773423853,0.930414292972813
"ZNF766",0.959506297022778,0.0405495844319638,0.205163293724918
"ZNF471",0.930355198494957,0.889191242781578,0.834180400867027
