"gene","Mucinous-Mixed","Papillary-Mixed","Papillary-Mucinous","Poorly_Cohesive-Mixed","Poorly_Cohesive-Mucinous","Poorly_Cohesive-Papillary","Tubular-Mixed","Tubular-Mucinous","Tubular-Papillary","Tubular-Poorly_Cohesive","mean-Mixed","mean-Mucinous","mean-Papillary","mean-Poorly_Cohesive","mean-Tubular","SEM-Mixed","SEM-Mucinous","SEM-Papillary","SEM-Poorly_Cohesive","SEM-Tubular","Q1-Mixed","Q1-Mucinous","Q1-Papillary","Q1-Poorly_Cohesive","Q1-Tubular","Q3-Mixed","Q3-Mucinous","Q3-Papillary","Q3-Poorly_Cohesive","Q3-Tubular"
"ZNF133",0.946493392837019,0.972310238513721,0.999481581424921,0.985731526825128,0.992376865999423,0.99944964729529,0.954849209856859,0.999613511483213,0.999997405739478,0.996237187894357,161.2108,279.90315,253.982866666667,233.598616666667,259.0638375,NA,28.89395,57.7987945987438,16.547590655549,64.8665563855188,161.2108,265.456175,205.16265,208.051125,157.657425,161.2108,294.350125,305.18785,257.000275,267.27475
"ZNF436",0.975895800186338,0.998892882800357,0.800446048577449,0.789045427236007,0.969163058384379,0.251428899842987,0.991120369896228,0.580401760517076,0.998973286042463,0.0462229609103054,592.2351,788.5816,509.7904,928.75855,462.373,NA,344.0753,103.529410171023,118.127291154945,86.821743453973,592.2351,616.54395,410.0872,836.37995,281.7195,592.2351,960.61925,583.7917,1075.36025,579.54615
"ZNF484",0.871715643509948,0.971115259587426,0.985585986206797,0.939966233847591,0.991971520152905,0.999860866266512,0.755418163924338,0.999938756480601,0.918264039785107,0.915281311641687,213.3052,146.54745,172.9321,166.7369,140.9122375,NA,78.77365,35.0025726257847,13.8758624290048,20.5222407712944,213.3052,107.160625,151.92945,151.153175,98.4178,213.3052,185.934275,207.6832,175.95015,185.5892
"ZNF780B",0.945976019910554,0.973232060803168,0.999379977592287,0.999973945386459,0.867483974549304,0.919299853829812,0.800003984415862,0.996223538059643,0.949709109270184,0.32355228052209,453.0095,349.67565,373.2232,440.468283333333,317.282675,NA,38.11605,96.3010575448335,44.4762590724416,38.3260387883996,453.0095,330.617625,320.7614,371.38555,269.336925,453.0095,368.733675,469.3915,451.04165,326.9916
"ZNF557",0.807711139239699,0.998513833966092,0.797494039829432,0.948187197303351,0.121847336254947,0.543845762508881,0.935885777428511,0.961653377332833,0.946658385905392,0.0642974017354006,260.4717,158.7758,235.985,319.71075,198.538775,NA,14.9226,30.9767373211469,36.6269738700478,26.7969105202297,260.4717,151.3145,212.46435,257.247775,150.6171,260.4717,166.2371,265.2025,388.7038,255.2751
"ZNF337",0.994697686042739,0.999173436353668,0.999456272677475,0.999159543280566,0.998836545661416,0.999999917956036,0.998564524692457,0.999312043654864,0.999999921625722,0.999996544868968,294.1077,424.9487,370.586,365.9505,374.9736625,NA,132.3359,134.93369543314,63.8258389461771,124.910196122607,294.1077,358.78075,236.10245,255.7292,211.072525,294.1077,491.11665,447.36495,456.7955,328.9511
"ZNF317",0.795452173987452,0.999999911179021,0.596909105331753,0.999025033304409,0.66991188790628,0.996679054884106,0.976643842777226,0.869743685281947,0.906610221323108,0.967730635086858,980.6406,709.3966,975.086566666667,926.974383333333,859.4751,NA,49.5801,148.756532758737,47.941664754035,82.7323828624948,980.6406,684.60655,833.31555,858.5101,752.335175,980.6406,734.18665,1084.98635,997.658475,889.563375
"ZNF426",0.912146907434873,0.620766373348015,0.959583532720139,0.796855385898463,0.0940503841906347,0.00817438605991783,0.994525620868183,0.931120617800214,0.397420106499429,0.0593540911266603,171.4185,109.9546,73.5366,242.882583333333,146.8045375,NA,34.9995,17.8017764311131,17.1135835627223,26.6505979686997,171.4185,92.45485,61.01665,228.442025,93.743825,171.4185,127.45435,90.7563,270.622225,180.4425
"ZNF331",0.995168857709158,0.9999790749216,0.968184656322999,0.999999792460887,0.983060479873203,0.99958938090725,0.999930077927064,0.938538316303145,0.999999376733271,0.997676469415713,480.4646,274.663,529.277566666667,466.072483333333,541.153775,NA,144.0526,263.105187472845,31.9005622296475,210.188747776003,480.4646,202.6367,284.0532,401.656775,225.2606,480.4646,346.6893,734.45495,511.221725,580.70365
"ZNF227",0.50893507747938,0.515423576862233,0.999906744967043,0.391203331617004,1,0.999746397343561,0.263861755160606,0.997096472531445,0.976992964582538,0.987517995073841,383.3122,253.9726,262.2207,254.001066666667,236.8742375,NA,56.4861,49.3398731150578,8.84683107836423,26.9119009946007,383.3122,225.72955,213.45435,243.946725,199.64155,383.3122,282.21565,293.1,266.626075,289.014375
"ZNF141",0.999985101993446,0.337656356964871,0.125460470663705,0.659059653716203,0.342726858234494,0.80711807357008,0.994428205462716,0.961595606729572,0.101027116898183,0.333190015839434,47.1665,42.9188,136.267366666667,105.57205,63.6928375,NA,33.0445,8.31754801014765,12.0197645826017,17.26924852836,47.1665,26.39655,128.69465,80.106325,23.642975,47.1665,59.44105,143.0331,131.5168,88.4365
"ZNF304",0.48098578644289,0.140601675151117,0.877973542700123,0.604488751789579,0.976583318911573,0.370554384452087,0.118148777511002,0.884757389344608,0.999677562668278,0.225574295942056,508.9757,270.8185,171.041433333333,325.7113,185.9836375,NA,232.6677,79.9027877671014,15.1678684764208,30.0469313911821,508.9757,154.48465,98.9293,298.931225,143.41265,508.9757,387.15235,236.90055,357.108575,222.983675
"ZNF132",0.998314875188479,0.999988783766248,0.98717190474404,0.351498007717226,0.269694365252506,0.0528993396358678,0.992656413047234,0.845689195891567,0.983665949100201,0.00243902637386895,50.6864,60.0719,48.1871,105.693366666667,38.77995,NA,29.1024,7.24935815572662,14.4648867342648,6.44421050104555,50.6864,45.5207,41.0029,76.992375,28.87935,50.6864,74.6231,52.61905,138.542575,39.409175
"ZNF20",0.240085072425109,0.942218407279772,0.321271541887273,0.999998114489148,0.0313494422151626,0.697516029395174,0.991972246575472,0.085548706272834,0.973953693008119,0.871611311786282,90.9222,200.9466,126.403766666667,88.602,109.8258625,NA,85.5965,30.0529243659877,10.9794261990932,5.72020069693293,90.9222,158.14835,96.8726,65.92825,101.132125,90.9222,243.74485,145.99805,108.190575,117.7344
"ZNF670",0.919084984539728,0.991289224496712,0.980662543632902,0.940132231385191,0.22092995757779,0.372839780967315,0.999998763864755,0.672474583597977,0.918272380281724,0.628879454689517,97.1278,137.3764,117.461733333333,64.6976166666667,95.14555,NA,52.6053,32.4575892790543,3.84244500098715,14.3699599858152,97.1278,111.07375,86.18905,57.3966,64.943425,97.1278,163.67905,140.62375,71.256775,123.08495
"ZFP37",0.963727634650507,0.744569031839536,0.166615582920861,0.937026981129351,0.999999665047122,0.0447544765735258,0.444278877074998,0.0313930199970682,0.964382275474797,0.00144462351961649,65.8219,82.3654,36.7870666666667,82.9377333333333,27.6893125,NA,22.2218,6.32743123822333,10.211056764399,6.11642141742321,65.8219,71.2545,30.656,71.066475,12.2911,65.8219,93.4763,41.20715,93.97815,36.341175
"ZNF189",0.970341507263801,0.999988607278751,0.881191376888487,0.775834318476562,0.972269820154782,0.360009877523283,0.977739147407277,0.999666495779239,0.837738825473122,0.755424263502553,665.6107,507.42825,685.405433333333,403.931816666667,539.0904875,NA,42.84105,218.070015611885,21.8898552017507,79.8544993584413,665.6107,486.007725,471.2683,360.3444,405.257775,665.6107,528.848775,828.17925,435.088275,584.96295
"ZNF434",0.189266077169327,0.979982527609571,0.161440345682398,0.191646088628255,0.992601957328808,0.111453153841668,0.099998159741203,0.999999934076356,0.0336481247872019,0.959463913501889,466.0331,282.47195,425.010366666667,304.687583333333,281.3268375,NA,26.32515,51.1653620887326,30.8486945313241,17.1430950027048,466.0331,269.309375,375.5765,260.532975,237.284175,466.0331,295.634525,461.1571,315.07675,319.350575
"ZNF287",0.996662310247431,0.999906834280267,0.99836629354079,0.337251494766507,0.287398550429455,0.0934450038579043,0.999967562434262,0.958951496430646,0.993872000769838,0.00719299708471,52.0943,66.32445,57.4995,123.14105,48.28485,NA,5.04005,39.5354252688649,13.9224333638377,5.84591576585128,52.0943,63.804425,18.18455,104.64825,36.0153,52.0943,68.844475,80.76785,151.118875,58.84065
