"gene","p-adj-GASTRIC-EBV-CIMP-GASTRIC-CIMP","p-adj-OTHER-GASTRIC-CIMP","p-adj-OTHER-GASTRIC-EBV-CIMP","mean-GASTRIC-CIMP","mean-GASTRIC-EBV-CIMP","mean-OTHER","SEM-GASTRIC-CIMP","SEM-GASTRIC-EBV-CIMP","SEM-OTHER","Q1-GASTRIC-CIMP","Q1-GASTRIC-EBV-CIMP","Q1-OTHER","Q3-GASTRIC-CIMP","Q3-GASTRIC-EBV-CIMP","Q3-OTHER"
"ZNF382",0.146070695026303,0.217963008869055,0.577897755198177,25.54324,80.51055,55.17173125,3.76172979912168,15.39265,9.46974637709796,19.7807,72.814225,28.217,30.9695,88.206875,79.380025
"ZNF577",0.891662600733168,0.43477300664104,0.375318427652676,88.2791,47.9108,156.217575,21.5180821907065,14.3912,29.7770203254869,50.7088,40.7152,77.5657,97.9504,55.1064,212.506975
"ZNF75A",0.890405677827106,0.0986963864985723,0.598872332526899,125.32794,154.5104,210.08416875,38.3810014360048,64.4266,17.9209864997966,58.8877,122.2971,166.39905,214.9479,186.7237,259.201925
"ZNF496",0.373478020019165,0.131146546558154,0.988403503206391,300.3574,459.63965,444.5065625,18.5862593105498,10.61735,39.6597008224668,280.9695,454.330975,307.445275,306.227,464.948325,523.072275
"ZNF2",0.362974770532944,0.00299549596401938,0.555321425381523,79.334,110.20555,131.0463875,3.26628780575135,2.43085,7.5814543781513,73.0643,108.990125,112.345625,82.9361,111.420975,155.422425
"ZNF589",0.995923168324282,0.369536889237719,0.561584708395355,172.86194,161.0764,288.60160625,20.8802480618071,55.3967,46.5749256275971,142.4312,133.37805,162.182175,199.7307,188.77475,314.9003
"PRDM9",0.420710007978748,0.368744823673848,0.878219982251062,0.77004,0,0.2620375,0.562850001865506,0,0.128394145724211,0,0,0,0.9533,0,0.407675
"ZNF12",0.147823345676924,0.274813556822597,0.521918828607291,724.51674,1139.7226,929.9993875,63.6978168291865,197.8007,68.3305846318615,608.7784,1040.82225,751.928975,804.8141,1238.62295,1021.304125
"ZNF202",0.994509751883033,0.804180046427795,0.945088001418448,226.37934,232.81105,251.302975,26.9543888248018,35.34535,20.5442948738766,200.1091,215.138375,198.177475,236.535,250.483725,279.94795
"ZNF3",0.940833670511042,0.840748207467173,0.733184175610614,700.7234,605.53165,799.33269375,91.8508926095931,7.15404999999998,94.952636087274,621.0834,601.954625,585.05815,836.5976,609.108675,853.312
"ZNF606",0.0248602115370483,0.4522178277729,0.070496434353031,79.61324,298.6873,137.02620625,42.5580339842738,144.2553,19.2863633874461,35.3781,226.55965,102.2044,43.0752,370.81495,176.764625
"ZNF91",0.949513717108867,0.484139668063126,0.500564517174654,602.42368,373.81465,1135.942575,98.3017434563976,55.61165,255.335740312115,615.3501,346.008825,665.269725,730.6434,401.620475,990.34595
"ZNF226",0.536846548779478,0.755197774440925,0.758219324420055,189.92476,265.7917,220.84988125,21.0014599345284,72.8215,22.4989436942349,166.7823,229.38095,155.268925,189.8564,302.20245,238.1981
"ZNF229",0.986750858270792,0.275654285971677,0.641601363916494,13.58276,22.30915,67.9619375,4.1621698238539,2.59775,19.3121855231761,8.1788,21.010275,22.3614,12.5673,23.608025,73.978225
"ZNF180",0.831348267578074,0.605171000225907,0.406246899917008,219.77476,254.85225,184.047075,64.3286948918257,26.03475,9.07585707244087,122.6746,241.834875,152.6655,238.277,267.869625,214.62485
"ZNF641",0.391773050241803,0.00143407803767581,0.395075121237122,102.4579,183.49135,255.7889,25.691053799426,6.58255,19.5378699269862,66.8761,180.200075,210.39325,104.1439,186.782625,287.83355
"ZNF610",0.0551305081444597,0.202568431567238,0.288027954410578,15.28238,63.91905,36.6133,2.90686992130711,43.85565,5.3845281020485,10.772,41.991225,19.6214,18.3782,85.846875,51.5964
"ZNF528",1.4854825558519e-07,0.0862279818869386,4.36597650033121e-07,57.47194,671.8359,158.01080625,23.1877513754051,166.2493,18.8777708988011,25.627,588.71125,102.565575,65.9318,754.96055,236.598725
"ZNF701",0.0493403463385796,0.374012070636104,0.16677971737966,101.73614,294.87595,165.6994,34.5019191687303,113.07895,22.010630166579,34.8964,238.336475,116.217525,149.4786,351.415425,193.560475
"ZNF283",0.0117058311344738,0.997663792598714,0.00459467511688194,66.40248,147.8639,65.39010625,12.8300339101422,33.4676,7.32345782025966,44.7969,131.1301,47.21365,75.3098,164.5977,77.3355
"ZNF558",0.944302484830568,0.996093597790912,0.950883232117435,329.39296,303.54175,325.2618125,30.5597348993181,12.79905,26.1497055295607,326.0632,297.142225,264.785675,331.2673,309.941275,388.699675
"ZNF597",0.0511808700854969,0.344551333230694,0.184939570545136,59.29714,123.6718,81.69685625,8.59923000323866,23.8115,8.17886307652725,44.6118,111.76605,67.134475,75.3098,135.57755,104.91935
"ZNF30",0.847529304163534,0.977051543129175,0.734687974948734,98.21296,49.94945,109.2421875,20.8912392225689,16.15855,29.6205393731457,55.5941,41.870175,71.6598,132.7455,58.028725,84.92405
"ZNF354A",0.768974848461426,0.643784441926555,0.363081499433183,329.04192,392.33495,278.61543125,53.5390248647601,162.13435,22.9956446607354,269.7003,311.267775,214.283125,360.8198,473.402125,326.62335
"ZNF764",0.961044145114594,0.426707494946135,0.484797197820434,205.39862,176.98985,287.7352625,43.1336583594923,60.60255,33.8317313851482,129.5664,146.688575,190.663275,265.2603,207.291125,324.289925
"ZNF747",0.995388443822467,0.262803165623474,0.463970750349,189.00032,183.3251,250.27259375,31.1161872445581,69.8498,18.3272906804249,168.905,148.4002,210.45835,211.0278,218.25,294.128425
