"gene","Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed"
"ZKSCAN1",0.133789974865264,2399.78197647059,1823.77548181818,271.965982508456,189.10623430821,1571.2583,1502.024,3245.8867,2044.88205
"ZNF862",0.204256668232196,541.647664705882,412.117609090909,71.2311062511403,55.4246457220472,397.8209,269.9437,556.1993,547.1887
"ZNF684",0.0089976379702178,54.6955647058824,81.2811454545455,4.90534563155296,8.97062480778603,38.6441,55.7697,69.3046,101.45485
"ZNF430",0.0595078682949325,177.428770588235,298.547018181818,9.76597982698916,75.6811070331953,159.8807,149.0473,200.6543,332.7722
"ZFP30",0.493637790332207,215.138694117647,172.088990909091,46.8384449480013,25.3719965581471,111.2399,144.0937,238.6441,233.3073
"ZNF549",0.15797464910541,104.406723529412,154.235181818182,16.279707618234,34.6287779709326,47.7188,44.24535,134.9807,272.8938
"ZNF211",0.888132311375514,221.754782352941,228.261154545455,31.6123671211361,28.99092719418,151.2797,177.4787,224.2178,305.3358
"ZNF205",0.694273796196761,273.364529411765,258.853336363636,23.6688153945939,26.8131917004003,208.0772,209.3475,352.0533,308.884
"ZNF45",0.605134485625246,272.191170588235,247.239390909091,36.5443968379003,16.892930311085,205.5616,219.9152,298.4549,276.32755
"ZNF133",0.185660290056737,239.366529411765,329.736327272727,32.3055851590425,66.2900834005044,158.6365,228.96355,264.1947,301.2405
"ZNF436",0.293007449706797,506.536641176471,611.403472727273,56.7292547106993,84.3348176072914,314.4906,397.7527,709.1968,678.01435
"ZNF484",0.460378672280055,165.566147058824,151.147818181818,11.709641027263,15.664761717474,134.7099,128.76475,201.6838,188.8958
"ZNF780B",0.345985079321827,347.361388235294,390.308254545455,28.163259480647,34.6283072975653,274.6187,332.0859,396.9112,441.27135
"ZNF557",0.225602516823553,226.667841176471,269.920218181818,14.7350271944026,37.1473495327137,174.3014,189.02015,283.0263,300.03145
"ZNF337",0.488507994902983,374.206247058824,438.144109090909,63.3104099196576,56.2050297928518,227.6327,298.8539,377.5246,562.8482
"ZNF317",0.37896171912587,940.583070588235,1025.71070909091,52.3370670800657,86.6347684770638,793.2961,847.03765,1082.5135,1062.1698
"ZNF426",0.443410759961683,152.790811764706,181.140036363636,22.5505577843413,28.9283490882537,94.438,134.6113,210.3441,207.8273
"ZNF331",0.982206726919612,386.697870588235,384.285336363636,67.8213559666696,82.1335321983097,158.6696,190.21865,506.6417,484.7588
"ZNF227",0.423651122884832,268.888670588235,245.187309090909,21.6798691713052,13.4049812494559,223.0116,220.8281,335.2846,266.4524
"ZNF141",0.677411426367246,87.9500647058824,80.3721636363636,12.2153670577448,11.9640338420867,42.2812,66.21135,130.4144,96.07835
"ZNF304",0.512331498814346,230.278552941176,264.4855,30.1041878963453,44.0954711826674,158.5354,166.4088,312.5732,366.8355
"ZNF132",0.379211040134175,48.2658705882353,61.0473818181818,9.16659096256123,10.6987484553935,26.1723,38.33955,42.8169,75.63665
"ZNF20",0.172470003674979,113.509958823529,140.2905,7.12055789536567,21.2096870396739,94.0741,108.7721,118.3206,144.358
"ZNF670",0.925974012707197,97.2206058823529,95.4991818181818,9.84875342149016,17.0769345356979,67.8678,61.26025,120.8307,97.5689
"ZFP37",0.103775439717975,42.1964470588235,63.6703363636364,7.36083855758415,11.0508574355796,25.838,35.3633,55.6535,102.95085
"ZNF189",0.35327595914503,546.038117647059,470.394418181818,55.1761402731831,50.8233714715078,413.3043,409.4245,588.6654,534.79135
"ZNF434",0.983401230321277,335.267441176471,334.613445454545,21.6523399622424,19.2574487440781,262.8646,306.37035,370.6888,371.8836
"ZNF287",0.1812741221663,62.4265764705882,81.5448545454545,8.62433367541043,11.038718479148,37.08,61.48605,77.2653,92.88895
"ZIM3",0.39031676212796,0.860958823529412,1.70434545454545,0.382179536945933,1.05356228511255,0,0,0.9533,1.71615
"ZFP14",0.886674946246814,185.171364705882,188.621863636364,13.3437522935139,21.6128455387753,150.476,139.3246,218.5918,210.7143
"ZNF473",0.821572055177563,324.452911764706,313.315772727273,30.4954596600267,38.38072767614,234.0078,223.98165,370.1695,359.2415
"ZNF614",0.444004787240447,240.195929411765,284.210281818182,29.1846089199046,54.3645404464608,187.8769,152.5422,256.6795,361.89325
"POGK",0.56663125374245,1722.14206470588,1849.68637272727,137.688266617052,171.314718342458,1228.7602,1418.9564,1807.5392,2099.41865
"ZNF514",0.733484439208495,252.363864705882,240.035018181818,26.5382454422358,16.8559082541017,187.4178,208.49015,285.6236,276.4335
"ZNF300",0.277129284390092,65.9291470588235,98.6609818181818,19.0476467184426,21.8020753726329,14.2373,35.45685,86.7954,169.4433
"RBAK",0.716875250229002,698.715823529412,734.685218181818,57.2068136425922,84.2810170267473,541.8936,557.13775,817.6417,835.69325
"ZNF92",0.9454716317182,372.838552941176,367.741881818182,38.4452855772322,70.309193085839,282.4114,225.49585,440.5671,416.50645
"ZNF157",0.0404886508712327,0.626788235294118,2.6811,0.225320601634119,1.14334610977047,0,0.5783,0.5081,2.2428
"ZNF182",0.887788807731997,198.9611,193.207681818182,29.4811823170344,20.6002094769836,123.9861,137.7263,250.0063,245.87355
"ZNF673",0.912807170707444,179.313705882353,183.544645454545,24.1096641628772,29.5641563029145,113.4272,114.1291,248.8191,218.97585
"ZNF41",0.489452945901473,333.446305882353,304.417127272727,28.9757885042415,25.0997640871894,252.0278,257.55415,357.2934,355.8763
"ZNF7",0.90937130121853,497.850323529412,491.255390909091,37.1149427680787,42.3100065055633,363.9249,398.86975,623.1609,618.29425
"ZNF214",0.867203078017579,33.3530882352941,32.1801,4.11940203795229,5.84802529211979,23.0447,14.4878,44.4788,47.3352
"ZNF215",0.0294740486234755,36.0921470588235,84.5174363636364,9.08724492851477,22.207944615959,8.9665,29.143,58.9961,103.9658
"ZNF547",0.236427211665687,36.6013117647059,45.9777454545455,4.43352728357259,6.77353614253648,25.4337,26.1527,52.7277,59.3844
"ZNF773",0.526337813335735,76.9392294117647,64.7223727272727,14.002431713164,9.29358003228906,40.939,47.4489,97.0521,88.7398
"ZNF776",0.888779210837129,420.444847058824,411.925954545455,36.7146302970979,49.0978642424205,317.022,320.0687,542.2903,488.98545
"ZNF256",0.579220565483713,73.1734411764706,88.0333090909091,15.7388639881506,22.1992569380536,18.7242,42.30435,112.2498,118.52245
"ZNF599",0.86691393773548,73.3103058823529,76.7724363636364,8.04550589599318,22.3721242860041,44.711,28.19125,103.4749,98.96575
"ZNF18",0.188333827985262,139.622005882353,161.829681818182,10.7455596156843,11.8750600272459,119.6378,142.49775,169.2664,190.57535
"ZKSCAN2",0.49637813913997,160.097994117647,178.909909090909,15.9404211738436,23.3546068306154,111.5174,124.1744,201.6206,201.0975
"ZNF689",0.148326417120202,260.275329411765,215.697436363636,22.2583195677263,13.7258884882763,208.784,197.89795,323.7896,250.4375
"ZNF19",0.505195027548881,54.5762352941176,61.7468181818182,7.20387488238785,7.03184030580406,32.8581,50.48385,70.6353,61.39835
"ZNF230",0.877111295040733,95.8715705882353,93.8795,8.85082373310764,7.94785447082762,71.0912,79.1761,117.5512,99.30835
"ZNF222",0.642381357203386,36.3570941176471,33.0796454545455,4.24537068170827,5.67843160190564,21.3127,22.9496,48.0881,32.86275
"ZNF221",0.90242577704456,34.8369294117647,33.6495181818182,6.87227425122865,5.33266731675994,12.4549,24.59805,50.0386,47.84435
"ZNF233",0.573844104718267,28.3660352941176,32.0735545454545,4.43918895627957,4.26061298249578,15.3711,20.13805,33.8983,42.40845
"ZNF235",0.335180454364986,87.3838176470588,100.869027272727,7.91936041278529,11.9433126350888,66.7725,66.8077,106.3133,122.66495
"ZNF208",0.200201795087616,44.5067764705882,421.125390909091,17.1957204901854,358.996399960166,5.0778,22.04805,34.7989,124.26355
"ZNF714",0.205461180930924,309.678241176471,505.079918181818,36.7375656240683,180.001794983447,215.6027,211.9368,322.12,425.1372
"ZNF394",0.493848727323757,497.673247058824,536.733790909091,26.9773387085934,56.579868074671,429.4526,397.78075,541.4339,701.27595
"ZNF333",0.110991171051113,190.613417647059,310.641272727273,23.1764164356918,83.8211434746813,127.9046,162.34835,217.5503,347.15105
"ZNF382",0.640008546414086,42.7698764705882,50.5174727272727,10.3943999859176,12.4889712991619,19.3088,24.65605,48.6436,62.2903
"ZNF577",0.979848464393599,122.553211764706,121.478,29.5538263168998,25.4190017043192,40.622,57.9975,164.3313,187.65105
"ZNF75A",0.428941489961667,206.569735294118,164.736527272727,37.8335232634541,27.1840618485709,90.0838,113.0995,246.4412,211.0704
"ZNF496",0.439367675647628,429.047911764706,382.387972727273,42.1323783271389,34.3987878770065,302.5594,314.6982,544.2254,443.5337
"ZNF2",0.290945923466184,112.614182352941,125.590645454545,7.95970162867873,8.49033739117982,82.9361,107.61945,136.2712,129.56845
"ZNF589",0.524969648835077,237.4211,276.758772727273,43.2973871750788,35.3175521900554,151.4165,192.27815,257.3126,336.1012
"PRDM9",0.288940186104945,0.431288235294118,1.50812727272727,0.198230235065922,1.21026967543984,0,0,0.5081,0.3402
"ZNF12",0.354639950280949,880.507976470588,984.285881818182,63.4877621662936,95.781286035638,731.0864,799.15415,983.2864,1138.6482
"ZNF202",0.333857396065237,235.610111764706,260.555363636364,17.2559018563852,16.6374212921587,199.8456,236.82135,268.1564,259.01825
"ZNF3",0.8285056652229,827.547735294118,798.738563636364,87.1554307378836,92.6360555498327,610.0048,603.5457,895.3594,809.3873
"ZNF606",0.474623591176359,133.914241176471,169.521836363636,28.5611248627718,42.2542222313598,37.1378,49.618,154.432,251.7827
"ZNF91",0.338882195246215,758.638364705882,1058.31029090909,61.4228185521334,374.174996484514,618.7623,507.5838,783.5608,917.4776
"ZNF226",0.872315998027667,227.968352941176,222.429318181818,23.6841622130001,21.2447613288026,157.0593,175.70575,276.7502,251.53395
"ZNF229",0.636044851582194,54.5073352941176,71.9423454545455,22.9504127974104,28.1111269398092,9.7712,15.1941,45.2468,91.98155
"ZNF180",0.393433662926418,206.881182352941,182.384781818182,19.9670932060604,16.4912563980146,152.6508,157.93875,233.5766,218.18995
"ZNF641",0.510883656900998,179.074470588235,201.038827272727,22.6622481514343,21.0658273508201,105.9981,170.3815,249.579,249.92985
"ZNF610",0.632596113414224,31.6523352941176,37.2723,6.83982463637722,9.86665352947631,16.3577,19.25895,35.1731,46.9185
"ZNF528",0.810338349064298,127.210664705882,138.687245454545,30.5709011479149,35.0184264672066,25.627,35.59195,151.7371,248.7484
"ZNF701",0.654396443280214,157.730676470588,142.012718181818,18.9295777052943,31.866564977038,104.4131,62.27385,202.7119,187.28315
"ZNF283",0.586760328966223,71.0871470588235,78.6974454545455,9.60014721181981,8.59815617538132,42.2704,59.2031,83.6916,101.4529
"ZNF558",0.0180543333202068,332.820170588235,474.413972727273,27.112189953339,56.132779239927,277.5587,337.40625,432.3583,608.17995
"ZNF597",0.0820340665819068,79.3207058823529,58.4908636363636,7.85273244612828,7.53790023437046,62.5146,54.26495,99.8603,68.6715
"ZNF30",0.198598577525232,85.5458823529412,131.804136363636,7.23223898749873,42.5629714713543,66.108,79.6488,112.978,120.08355
"ZNF354A",0.995280204547435,281.129311764706,281.391627272727,28.3896232363578,32.4357660528007,186.4776,225.5008,360.8198,323.30755
"ZNF764",0.395361840977744,243.262105882353,211.133445454545,24.9743691299383,25.2856053276145,185.4135,166.9127,303.6293,259.4515
"ZNF747",0.927964087705847,222.302447058824,219.356681818182,20.3800567647389,24.8340482780792,191.7979,170.30055,250.1934,286.65075
"ZNF778",0.166027159293735,87.1991764705882,114.8889,8.94013108936547,19.9581655256052,55.8553,67.1664,103.2864,142.932
"ZNF212",0.0631380732000768,284.198917647059,217.340109090909,24.2548712574679,20.4389506462959,217.012,167.66795,325.0909,232.7476
"ZNF282",0.318473501353177,973.7696,872.780136363636,64.3552102470709,72.9489323924013,802.3313,749.5296,1037.6926,979.3972
"ZNF160",0.599572885178519,552.456935294118,616.078554545454,47.9153085907212,130.15437575271,434.024,489.6088,606.0329,584.70565
"ZNF415",0.429930496109066,71.8091411764706,97.8084727272727,19.9443878601097,26.0031248143795,19.6657,36.2824,60.8451,164.38255
"ZNF439",0.391791937695036,80.2868,105.999327272727,12.2877056500982,31.6657408154591,37.7923,38.16005,109.2959,119.15805
"ZNF440",0.213427372340776,367.537205882353,454.601918181818,30.6888048469699,70.8998840933375,277.9661,342.8775,443.5176,495.5015
"ZNF562",0.77834968156839,706.590617647059,686.147636363636,43.3749490101474,59.1913794350745,579.3326,595.49865,826.5669,812.72355
"ZNF561",0.83756092552486,590.334470588235,578.227745454545,43.1610460635128,28.0936315492622,477.4044,501.51165,722.27,635.15695
"ZNF584",0.892865907688164,177.697852941176,173.814772727273,21.6722974717388,11.1982726468788,137.1619,147.7602,175.4864,193.67805
"ZNF274",0.973998506403225,302.662576470588,300.406472727273,46.3534400618518,45.8926137584175,182.6609,205.68185,385.2374,369.54685
"ZIK1",0.0598454718136948,28.3879647058824,72.9277454545454,7.81265750923076,25.6477313926357,9.2867,18.7507,28.0459,90.2905
"ZNF540",0.460024978686354,36.9983588235294,48.5124818181818,8.13695458694494,14.435867316746,15.7746,20.07655,56.7207,55.80765
"ZNF570",0.952777161597846,54.2509941176471,55.5824090909091,15.7990098538654,12.8630494639099,15.8124,18.66935,57.1298,76.4476
"ZNF57",0.458032128724224,175.519570588235,149.652309090909,22.4882643178414,24.7143679262616,120.0714,111.50035,181.0251,135.31715
"ZNF556",0.459329232693339,25.2712058823529,15.4745636363636,9.57911812279584,6.45312797065779,1.4967,0.3488,30.4935,29.15795
"ZNF554",0.264867865672778,119.281317647059,90.9713727272727,18.2836393309727,12.1518091231949,95.0174,59.69155,122.2891,115.223
"ZNF738",0.251267518988723,240.419317647059,329.501381818182,34.1766966994962,78.801381280254,149.9086,159.12975,294.3279,373.3297
"ZNF596",0.905802242936709,57.0913294117647,58.6774727272727,8.10548799107361,10.7553956055984,34.7349,31.2677,59.7183,71.73625
"ZNF621",0.0224017440657683,626.955564705882,852.335054545455,46.3319764200256,91.062912668287,479.7219,605.3204,766.4534,884.7441
"ZNF680",0.939511008048867,274.252217647059,278.787954545455,37.7251660362992,44.860934208372,197.5733,188.339,287.0112,333.3454
"ZNF483",0.831462785749897,40.4545,44.7616727272727,13.4157479385839,13.7341447617117,12.6434,21.69825,26.2911,45.47995
"ZNF417",0.442860053995102,263.890917647059,304.760681818182,24.776428481146,53.1428402042831,197.942,197.69965,301.4932,366.3415
"ZNF791",0.369609637159358,393.700305882353,447.663390909091,21.8459678022669,65.8332546195869,324.28,351.8459,450.8845,440.7483
"ZNF519",0.664453553563313,59.2375705882353,64.2303272727273,7.4105595734019,8.28270176161346,37.1831,43.9124,65.4826,72.0969
"ZNF25",0.717408172685288,265.410752941176,290.171454545455,41.0953425046974,55.2558688370276,151.7961,159.31145,333.3957,320.27055
"ZNF77",0.568038451183863,77.5573705882353,71.4602727272727,7.02851050379581,7.30197504811467,50.0386,53.6768,89.6745,84.0817
"ZNF169",0.834097612843855,109.317441176471,112.977390909091,7.83517292589987,17.9060566269144,85.6024,82.25445,135.9624,111.54345
"ZNF613",0.511340756192648,93.8255058823529,105.174945454545,9.81594342232346,14.8426974352885,74.1549,82.17645,106.957,135.27725
"ZNF404",0.875402859571494,33.3988117647059,31.3987181818182,9.39875212161669,5.77956611235289,11.4504,19.2759,41.9083,36.2596
"ZNF135",0.484639141573514,57.0070176470588,78.7710909090909,20.6650284385261,20.7739522545442,11.1076,22.5643,49.2882,122.218
"ZNF620",0.328785068023323,72.8290058823529,89.2243363636364,10.0058661798286,13.4470590538957,49.2019,59.55985,85.5598,101.24665
"ZNF619",0.415954654680716,109.102958823529,125.1799,8.395962517086,20.5610722601938,80.5674,98.0649,138.2103,125.28965
"ZNF354C",0.548112616367781,30.5306176470588,38.1864,8.03455538222812,9.49847491126865,9.8146,12.9648,30.6829,54.7376
"ZNF114",0.492778789434994,38.2453294117647,12.5935818181818,29.3390738932989,4.18834963917376,1.3559,4.62635,8.9575,13.19815
"ZNF454",0.790189111045445,16.6670941176471,18.5150363636364,4.14321926420563,5.66995297588762,6.1017,7.31495,17.9236,24.8661
"ZNF543",0.036893781418584,146.378717647059,214.130281818182,16.1205075456431,29.2324000667249,103.9004,182.5739,179.2307,227.364
"ZNF354B",0.923102060927145,119.610905882353,118.472090909091,7.86237896511848,7.91467088737979,96.5104,105.46365,148.881,139.34715
"ZNF223",0.348662344082833,86.9278411764706,71.6332727272727,11.6708427661569,8.28087227076615,50.8922,59.61625,116.4542,84.70325
"ZNF713",0.750751608766935,77.6868647058824,72.5306454545454,10.5939305243891,11.3886190925484,52.7606,54.15385,80.135,78.06365
"ZNF552",0.794592946362599,203.235105882353,194.4356,21.9142800801506,24.0645473629645,136.834,124.4926,239.9452,236.6217
"ZNF154",0.483135736921246,92.9783058823529,124.939909090909,28.1555140070138,35.0089234300458,39.3389,48.23685,80.7921,128.62725
"ZNF571",0.54440694084999,87.1021705882353,76.8054363636364,12.092701207549,9.0568947071406,47.6507,69.7264,119.9178,85.8999
"ZNF443",0.237778052712824,91.4030588235294,68.3216,12.6077604582749,13.5239428611092,53.1274,49.2081,116.5448,65.63095
"ZNF792",0.22278334407741,208.153358823529,313.049572727273,23.9303650922671,98.5781110638601,116.5568,171.12315,265.6371,274.77355
"ZFP82",0.977455940036786,72.8190117647059,73.7720272727273,23.4297407098892,20.0944375451973,22.5325,29.4297,95.444,121.83985
"ZNF707",0.467511808324474,228.610594117647,200.742063636364,26.2658091406779,23.4322878068286,154.8715,166.4226,307.5868,221.73585
"ZNF746",0.228030334781844,632.3695,581.8476,24.9041006672877,33.3156356877886,568.3673,568.5756,692.2066,616.611
"ZNF678",0.263533797660817,91.8612588235294,73.8167727272727,11.1993864230271,9.13305820434845,60.933,52.9142,99.5917,100.6501
"HKR1",0.2569191786459,415.640547058824,490.399509090909,41.7927765023491,47.4013230843775,357.0571,376.4766,503.6483,558.33495
"ZNF101",0.1378195480113,172.201582352941,219.9375,11.1842063096551,35.0014714917245,154.1628,130.7902,187.6164,270.2397
"ZNF716",0.382682112805163,10.5383705882353,22.0269454545455,5.69358769678123,13.567036803319,0,0,1.1225,9.7872
"ZNF708",0.357091054120124,255.510935294118,330.297009090909,14.5453813017654,97.5732621609624,213.8013,157.84695,291.2009,330.1765
"ZNF721",0.238005785965741,504.364476470588,431.625,40.7847384940754,40.1575461690056,364.7601,346.57875,610.8086,510.4774
"ZNF662",0.187934882675988,75.0176823529412,127.422681818182,21.8175873235286,34.5499569412857,16.9285,35.9593,99.1773,192.7081
"ZNF320",0.746171487013694,452.886788235294,419.1172,57.0659759464712,93.6323572120654,289.7493,281.79155,583.2864,399.0644
"ZNF530",0.471903082571017,54.7935411764706,67.9317818181818,9.99727254903975,16.2527050733538,25.1643,32.3225,66.8999,104.89295
"ZFP1",0.930253108271561,235.231058823529,238.6217,26.632457683135,23.86595993411,163.0157,201.22095,291.1563,229.101
"KRBA2",0.582714880118416,71.7168294117647,80.8778818181818,9.51443479392112,14.2877852571273,41.2567,46.9865,78.6106,104.2086
"ZNF93",0.487630003097953,125.051358823529,155.736945454545,16.832039816953,47.9339954383001,59.7183,60.55115,159.0271,223.35255
"ZFP90",0.522950370886134,428.819,468.892290909091,38.8763919051384,48.0430713129762,315.3726,353.6255,567.0688,598.0904
"ZNF479",0.679540804373907,3.88938823529412,1.96406363636364,3.56520907391511,1.44778447543905,0,0,0.4766,0.1835
"ZNF445",0.532226845159321,693.4263,759.940563636364,75.1068416297733,58.9726926029501,488.8136,702.4428,739.3675,902.64545
"ZNF74",0.785183155516769,348.2633,362.467690909091,30.6683080538363,43.2842417976323,261.1769,286.13205,390.8895,406.3988
"ZNF829",0.409008748319786,15.7824529411765,21.0422454545455,4.14253576775639,4.42472492668114,4.163,8.1991,21.4726,34.19095
"ZNF267",0.883448474861777,494.0754,500.798118181818,30.5164095969139,30.8598835329824,425.3282,458.71935,558.1221,549.39015
"ZNF566",0.96142844438885,237.128735294118,235.508263636364,17.2725250213499,31.6358450955249,181.2123,173.10905,279.7165,262.9759
"ZNF224",0.427109109056554,227.177952941176,200.287772727273,24.3377154916638,16.9989668390603,161.4522,164.1366,261.0396,239.3433
"ZNF529",0.853089789126808,346.255888235294,358.569572727273,41.5571842131567,50.717142607774,271.8758,244.6163,404.4685,483.16405
"ZNF284",0.383352795194171,40.6963176470588,49.2807090909091,5.89442730991986,7.87601903690684,22.9288,34.534,53.7888,61.92415
"ZNF749",0.537213609842152,124.087070588235,109.439109090909,15.8074945763305,15.7582813822127,93.899,84.5871,126.6447,131.80555
"ZNF17",0.702555026815476,138.873864705882,144.8354,9.68459706066402,12.016477001979,108.2396,122.9977,155.493,170.17025
"ZNF555",0.658693952975678,71.3307941176471,66.8858454545455,5.86690566739471,8.43179208263542,62.5198,52.0637,90.8108,74.00455
"ZNF75D",0.247877187666456,411.046888235294,337.345236363636,44.0121053708104,36.69944852611,288.7583,277.4033,518.619,357.8555
"ZNF197",0.204849254491466,334.714217647059,392.162572727273,31.1229317724478,26.1782763442762,266.4407,326.6995,385.1737,450.2606
"ZNF732",0.157700157335351,5.26062352941176,9.22465454545454,1.27830170500141,2.77128166795745,2.5389,3.9191,5.5598,11.12595
"ZNF546",0.922076129686813,68.6904470588235,70.3014818181818,9.49379187912429,14.0384553023654,37.1467,39.67245,90.892,90.3369
"ZNF286A",0.889024841057112,271.910411764706,277.8896,25.3386569470558,35.4195277744508,199.8269,194.12265,324.7458,318.5664
"ZKSCAN4",0.253490050262121,72.6903647058824,87.2553363636364,7.14127940183474,10.9295449420806,46.1972,66.9089,86.7488,108.56225
"ZNF643",0.480288417083378,53.0561058823529,61.9567909090909,6.80321297512882,11.3753704508105,39.6699,41.5084,64.2412,75.75655
"ZNF642",0.0107884555950765,80.7813764705882,106.616681818182,5.97491712076736,7.16959887571782,67.0665,93.20565,93.9384,119.9455
"ZNF490",0.0459573303684372,275.574111764706,358.238154545455,18.5324554688007,40.0740905854946,232.1258,263.7764,302.3938,457.51255
"ZNF626",0.117554525435075,103.004329411765,352.662990909091,28.9389995630804,188.347834007068,37.2881,36.0835,133.9122,377.5072
"ZNF793",0.899972903923611,142.580376470588,131.792127272727,61.8532263812645,44.0839692860096,11.5875,37.4349,138.8768,158.72255
"ZNF383",0.512224568203905,115.173464705882,126.088681818182,10.1139358724403,13.1528698885682,85.1813,97.8733,135.8279,151.2615
"ZNF669",0.227102449795368,143.371052941176,119.372927272727,13.2754074640721,12.5790931045206,103.1419,102.50915,161.6454,131.12755
"ZNF559",0.182835397077429,192.019382352941,250.558045454545,26.2218067632567,34.4645231102002,137.6271,180.51115,202.1168,286.7118
"ZNF177",0.379733545836985,50.0094235294118,66.1986545454545,6.74762383602297,20.1379331171181,34.2857,29.3257,62.7652,75.57745
"ZNF548",0.720483973924972,255.502882352941,240.139445454545,26.0282070709175,34.2419119662422,190.9164,179.56335,307.9245,320.45855
"ZNF563",0.485958639016609,47.5286705882353,53.9284909090909,4.72769935128696,8.61057403999666,40.5562,36.0587,53.8614,67.7159
"ZNF567",0.444970847459824,189.346364705882,165.8617,17.9419707193262,25.518839300033,138.0383,108.4991,261.2011,215.69555
"ZNF573",0.688674042700775,66.4750529411765,70.8176909090909,7.18989290315455,7.31596641582896,45.7706,57.76385,81.1268,90.0247
"ZNF527",0.605562443002156,108.443464705882,117.956709090909,11.4928279374572,14.0054046069395,84.9562,82.29655,114.0596,158.58755
"ZNF33A",0.756427205648524,1408.4739,1451.26199090909,84.8937808225637,107.663223421209,1108.193,1172.92225,1667.6702,1728.89285
"ZKSCAN3",0.637030916941768,77.7679823529412,83.6531454545455,8.40097067234003,8.08245176882231,53.3842,69.00855,104.71,106.26125
"ZNF676",0.172840406276184,10.2568764705882,151.055,5.98491336351571,125.855895717693,0.5794,5.4631,6.0094,33.0948
"ZNF699",0.233630689461587,50.9315470588235,64.2994181818182,6.27658107320096,9.60682194705993,32.7154,42.1409,72.9654,94.15845
