"gene","p-adj-Stage IB-Stage IA","p-adj-Stage II-Stage IA","p-adj-Stage II-Stage IB","p-adj-Stage IIA-Stage IA","p-adj-Stage IIA-Stage IB","p-adj-Stage IIA-Stage II","p-adj-Stage IIB-Stage IA","p-adj-Stage IIB-Stage IB","p-adj-Stage IIB-Stage II","p-adj-Stage IIB-Stage IIA","p-adj-Stage IIIA-Stage IA","p-adj-Stage IIIA-Stage IB","p-adj-Stage IIIA-Stage II","p-adj-Stage IIIA-Stage IIA","p-adj-Stage IIIA-Stage IIB","p-adj-Stage IIIB-Stage IA","p-adj-Stage IIIB-Stage IB","p-adj-Stage IIIB-Stage II","p-adj-Stage IIIB-Stage IIA","p-adj-Stage IIIB-Stage IIB","p-adj-Stage IIIB-Stage IIIA","p-adj-Stage IIIC-Stage IA","p-adj-Stage IIIC-Stage IB","p-adj-Stage IIIC-Stage II","p-adj-Stage IIIC-Stage IIA","p-adj-Stage IIIC-Stage IIB","p-adj-Stage IIIC-Stage IIIA","p-adj-Stage IIIC-Stage IIIB","p-adj-Stage IV-Stage IA","p-adj-Stage IV-Stage IB","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage IIA","p-adj-Stage IV-Stage IIB","p-adj-Stage IV-Stage IIIA","p-adj-Stage IV-Stage IIIB","p-adj-Stage IV-Stage IIIC","mean-Stage IA","mean-Stage IB","mean-Stage II","mean-Stage IIA","mean-Stage IIB","mean-Stage IIIA","mean-Stage IIIB","mean-Stage IIIC","mean-Stage IV","SEM-Stage IA","SEM-Stage IB","SEM-Stage II","SEM-Stage IIA","SEM-Stage IIB","SEM-Stage IIIA","SEM-Stage IIIB","SEM-Stage IIIC","SEM-Stage IV","Q1-Stage IA","Q1-Stage IB","Q1-Stage II","Q1-Stage IIA","Q1-Stage IIB","Q1-Stage IIIA","Q1-Stage IIIB","Q1-Stage IIIC","Q1-Stage IV","Q3-Stage IA","Q3-Stage IB","Q3-Stage II","Q3-Stage IIA","Q3-Stage IIB","Q3-Stage IIIA","Q3-Stage IIIB","Q3-Stage IIIC","Q3-Stage IV"
"ZNF416",0.928865422585858,0.289287336153516,0.849770709189704,0.883188915054828,1,0.820018660120995,0.996989850414871,0.602603220229029,0.123479073041594,0.512838306374524,0.999880921410086,0.997140108816317,0.529678767545273,0.993795647492623,0.949506057801155,0.995615124090714,0.999833479630771,0.61716268547769,0.999492025918797,0.83907690146869,0.999998088268795,0.999851269071499,0.98190868989364,0.331666604041916,0.955432708258123,0.922191096805088,0.999999999954087,0.999954432874035,0.999999999914419,0.977394831726081,0.441762650994242,0.963191809828777,0.996790098182222,0.999989326958135,0.999250473908862,0.9999923559921,75.6626666666667,112.488625,161.21415,113.331183333333,49.3997,90.6789666666667,98.888025,88.7361857142857,78.44095,7.73513443372368,20.2037581364778,6.35175,24.8586290458855,20.0701,26.9688504192852,10.3852566436251,9.57320039200278,6.06605,68.35765,84.427275,158.038275,86.3225,39.36465,66.6576,92.3893,73.01135,75.407925,81.51785,130.58515,164.390025,133.807775,59.43475,113.3066,107.640625,109.4176,81.473975
"ZNF586",0.891445083682,0.901160563657596,0.999999817227728,0.995298296905099,0.997237313729462,0.995095400112766,0.999999945248386,0.97830917188689,0.972147801846439,0.999850853076502,0.990778199681216,0.999957132933646,0.999679665264321,0.999999674077842,0.999253025674377,0.999878657331741,0.985032990604611,0.981658411196567,0.999995919578966,0.999999508753776,0.999900556312141,0.989862503045989,0.998554554474542,0.996929660716056,0.999999999497834,0.999560407580007,0.999999986698517,0.999966284873578,0.999948402533529,0.996886926709692,0.993909718969215,0.999999771727573,0.999999611014129,0.999985208984285,1,0.999997725386372,163.234366666667,250.887475,265.9981,210.7659,176.9128,224.041333333333,194.040475,215.389128571429,196.11295,27.0478141681439,41.7146044048999,54.0019,46.9669477174747,35.153,26.6879169935468,17.8462262933641,33.8916156737334,62.80145,136.36255,210.247475,238.99715,117.57195,159.3363,197.41795,178.9893,161.2835,164.712225,179.3381,273.64185,292.99905,288.1314,194.4893,238.95935,211.744775,242.9548,227.513675
"ZNF446",0.998437459376693,1,0.99936419721851,0.999760865134303,0.999999584038671,0.999918759192409,0.99994618563099,0.972886180112622,0.99997306586474,0.986845461853139,0.975554137316911,0.999949737392352,0.987688052551561,0.998588459958611,0.894184997566673,0.999999355495065,0.98044735501196,0.999999758911045,0.992169285550921,0.999999437239155,0.896541167340299,0.98752736028807,0.999999898911667,0.995313022749708,0.99987001923105,0.917991831547303,0.999996892889396,0.908139806709512,0.99999995617382,0.995901560273533,0.999999978562734,0.998892301208986,0.999999511893038,0.965324734634893,1,0.980689145033328,156.664933333333,192.599425,156.67675,182.329883333333,129.50205,215.122233333333,143.81905,200.936485714286,145.7378,14.1971737798213,35.2417885164373,94.78315,11.3317507655383,31.10585,38.4509722489273,19.2468647460004,36.9507842171979,8.90519999999999,144.7933,149.25515,109.285175,167.8989,113.949125,191.74435,135.732525,138.6015,141.2852,169.34375,208.298275,204.068325,197.513,145.054975,253.2491,159.466425,222.84915,150.1904
"ZNF8",0.428480114822549,0.999999999897737,0.641627639268326,0.999920504266917,0.0889253397414372,0.999871734473669,0.99997478523933,0.828820374061299,0.99999795283118,0.994024036557451,0.99992525708956,0.726732421564401,0.999994345904094,0.983333077144629,1,0.970522248520592,0.945050613398491,0.992488150828437,0.686017572227881,0.99973631436181,0.999447405095097,0.667520430227098,0.998482742031816,0.855816953447017,0.152688181740228,0.965605798823083,0.927154722880293,0.998610109788,0.781854777026781,0.999999527285968,0.883432999502421,0.426180667399921,0.964769213945871,0.944715598233412,0.997176016724945,0.999998206700256,194.2805,342.5945,200.87645,165.6649,226.05045,227.054466666667,267.194125,304.659885714286,324.5054,41.966418471956,74.666606463443,64.15475,20.6251525396379,74.38375,34.1005804129653,27.0300489265304,34.4972081592494,68.7144,152.31535,273.25105,168.799075,131.881325,188.858575,196.8194,241.16755,242.16125,290.1482,215.54565,431.23295,232.953825,185.5851,263.242325,255.82915,278.720475,347.92865,358.8626
"ZNF264",0.989452427108436,0.999994865498908,0.999906884233517,0.964719687093609,0.999999992514623,0.999361002529355,0.999999999037319,0.998379051554649,0.99999990176434,0.99367977691184,0.995339075067935,0.999999999997569,0.999971254566446,0.999999936292907,0.999313219543298,0.591456647467697,0.967274802130894,0.896149691484833,0.972915487023555,0.795118464039345,0.972168376384356,0.792905361686091,0.999045453130986,0.980652620808528,0.999642569961664,0.934142667997556,0.999065629774964,0.99941574080684,0.902836808133858,0.999298455502661,0.98756953493185,0.999723057459463,0.961612433511168,0.999198384797976,0.999998032426418,0.999999975805672,910.246966666667,1217.975875,1039.3167,1257.86451666667,953.8536,1200.6479,1561.078,1395.37147142857,1452.7965,261.16119705899,272.592051708056,72.7112,247.814937635663,502.2707,112.378006120296,167.35975547739,111.696924180904,64.6537,669.2629,860.485275,1002.9611,745.78795,702.71825,1129.1461,1453.393675,1219.6074,1420.46965,1117.9106,1560.1945,1075.6723,1811.54105,1204.98895,1311.4803,1698.603825,1540.2837,1485.12335
"ZNF213",0.999997824194246,0.999999908765765,0.99999999999778,0.999997105801037,1,0.999999999999485,0.999999967983253,0.99995025074399,0.999993746734146,0.999934999356206,0.992443517016036,0.999060790188405,0.999516854333774,0.998164207227251,0.987002900535874,0.999758203536276,0.991447465407628,0.99868796393656,0.986029370990297,0.999997560986346,0.858551209917493,0.999967059357602,0.999999999523333,0.999999995201227,0.999999996489516,0.99971814788395,0.999266750090583,0.967864433739136,0.999330341461506,0.999976353429153,0.999979931455081,0.999954947340607,0.998027391597048,0.999999972404083,0.96509014527123,0.999991044861144,643.028033333333,682.842875,674.8415,681.260183333333,615.1505,771.615366666667,569.34045,694.127014285714,744.25475,6.35992430099956,72.8207853096602,355.9424,88.8101419212521,30.1877,57.6035903314002,73.5546414592864,48.7847891302169,140.12125,638.19725,605.265125,496.8703,563.170575,600.05665,723.52475,482.695075,649.0458,674.194125,649.0259,693.08125,852.8127,788.261975,630.24435,823.12155,676.116825,768.6472,814.315375
"ZNF343",0.997377378693466,0.999447040584871,1,0.990047888121766,0.999999998458645,0.999999997978487,0.999947602417349,0.965465970876856,0.987459025913104,0.928395877885817,0.920572199199326,0.999033465700601,0.999630608355922,0.999482766925198,0.79429503712012,0.999996178684185,0.999907971702988,0.999988706070001,0.999196407357842,0.997653631068469,0.971361874001055,0.942152945594341,0.99994281673253,0.999983965339337,0.999987180000125,0.819435215038832,0.999995719992053,0.985062792355809,0.999353334392366,1,1,0.999999999284724,0.986429892197163,0.999688858100849,0.999984873629316,0.999988280490343,220.318633333333,297.696425,294.5664,307.8361,166.212,364.822133333333,252.5473,335.276457142857,296.18765,5.71089627534748,44.7103611991929,53.6905,43.3793347192416,4.87740000000001,82.6521379382758,18.7151051867647,85.8217881669691,25.46315,216.74475,244.540875,267.72115,249.0646,163.7733,282.48745,236.948125,223.9696,283.456075,225.9632,339.33205,321.41165,357.7875,168.6507,412.257,279.801775,317.4961,308.919225
"ZNF302",0.999000317794715,0.00397718087812238,0.00876790609372913,0.991637445872786,0.999999868520012,0.0070389260131174,0.999698120704801,1,0.0322407324981943,0.999999986577399,0.99800495324844,0.999999998377202,0.0181438845556396,0.999999999992908,0.999999999790637,0.970927866539068,0.999908412625876,0.0214372627825117,0.999996023287797,0.999983283800461,0.999995356592678,0.999999203470066,0.999824814380836,0.00149369214225969,0.995332422454534,0.99996813950393,0.999477863591798,0.977093683592479,0.999998904067436,0.999997501595074,0.0178026753936663,0.999905060704935,0.999999007836848,0.999983059588919,0.998655890045647,0.999999999894256,206.6176,378.96145,1629.72055,424.300333333333,381.28725,409.8182,494.261425,267.521857142857,290.5267,26.0003096956556,80.4813297429234,1080.37115,76.0764249196498,30.96135,152.636704548163,100.523658227507,28.4635687948636,25.5558,183.93905,285.54985,1089.534975,310.556325,365.806575,265.43905,427.48205,197.72925,277.7488,228.96935,451.9739,2169.906125,520.7057,396.767925,524.8968,629.689175,324.1649,303.3046
"ZNF268",0.999960392872475,1,0.999968997262852,0.999846293983475,0.976181305278675,0.999974386417923,0.999999997880474,0.999858453437127,0.999999999931021,0.999996987611398,0.999838036952624,0.999999997751013,0.999878285273543,0.970362126067623,0.99959518956951,0.999974876182706,1,0.99997951676784,0.979848839938874,0.99989826492186,0.999999990368273,0.995853286566105,0.999986454070272,0.997826887843733,0.7797253020374,0.994862671990349,0.999999889475406,0.999975340834593,0.999999518599144,0.999268916499579,0.999999931929404,0.999999968118669,0.999999999116038,0.998445768987336,0.999432628185159,0.986321207019373,336.285733333333,387.38685,331.27245,279.670366666667,318.80765,402.119266666667,384.43365,423.850242857143,301.65065,44.1896473907005,55.3656870672095,200.83765,82.270828868454,58.75285,114.961426333145,49.2897727573294,61.2297171731484,27.82165,293.8654,297.241125,230.853625,189.650625,289.431225,343.8642,342.32635,325.06625,287.739825,368.21645,461.969525,431.691275,300.7378,348.184075,517.0772,425.1513,439.2592,315.561475
"ZNF184",0.516125102883922,0.999985071558108,0.874214986839682,0.980807041365714,0.910029672272072,0.999918634895262,0.994867883796253,0.986701950022376,0.999965136872567,0.999999999999427,0.999855393077449,0.829347521704683,0.99999999994495,0.99994823709682,0.99998290232096,0.996767221609622,0.886456747762499,0.999997897492573,0.999999885371734,0.999999920669985,0.999999568015048,0.839354012881525,0.993481007719068,0.99212663928896,0.999517555123435,0.999987257000237,0.989401324794758,0.997814660337002,0.499216593736303,0.99997997621454,0.809181655720957,0.860524844371155,0.957540495212398,0.770125028947478,0.831087167133834,0.971247356531029,172.160833333333,296.987025,198.90915,228.7836,231.63465,204.411033333333,218.626775,254.6508,323.34955,19.8409722767756,59.2693774947257,60.54035,18.8464363509038,34.19405,46.0444966097771,33.6388148965441,27.5592520908263,116.21805,158.5469,208.25205,168.638975,213.37755,214.537625,158.73565,172.129825,190.98465,265.240525,191.46755,351.363175,229.179325,252.9448,248.731675,232.2877,261.16195,324.2492,381.458575
"ZNF500",0.954599187016261,0.999002384907481,0.999990431407159,0.999999999993438,0.865540170505893,0.996522683184636,0.998283847941402,0.999997445390193,0.99999999999889,0.994363890333514,0.994782427336419,0.999997722503535,0.999999999818556,0.98086152783553,1,0.960266099917588,1,0.999994533709821,0.879030221948325,0.99999869829326,0.999998957803171,0.929283578534037,1,0.999988887581003,0.765957427063634,0.999997274677741,0.99999729765829,1,0.760953094712649,0.997971891511094,0.989030541650399,0.612949787960006,0.992173979210351,0.989040990486607,0.997445179458316,0.995861927365625,246.273466666667,320.27445,295.2692,242.860816666667,299.17375,301.936766666667,318.533175,318.871642857143,371.6745,10.1112355013838,44.7152440992536,14.0886,23.4443873151396,30.43515,48.636115151923,57.6629222717304,39.4058259160148,20.3989,240.3553,289.88035,288.2249,200.270225,283.956175,257.0515,284.13855,255.81085,361.47505,256.3325,345.6892,302.3135,263.101725,314.391325,340.5994,394.936425,415.1007,381.87395
"ZNF419",0.363464262022422,0.705773265967093,0.999999878669497,0.996999572932832,0.604958228142052,0.919015002924024,0.99999999990779,0.576377777335964,0.829572614067663,0.999624480857705,0.999914416112787,0.661665715153709,0.907621982964394,0.999999716442334,0.999993103929695,0.99210765148542,0.812282551632381,0.971875525813046,0.999999843368878,0.998481373862363,0.999981305297501,0.986934935428404,0.686265002817227,0.952219464447977,0.999999802869794,0.997822271947378,0.999972888269713,1,0.999999609488721,0.675248670040346,0.889130177389989,0.999973513669712,0.99999999375652,0.999999937675304,0.99977293479618,0.999686222587816,54.1551333333333,125.602975,118.6367,75.7530333333333,57.13385,69.4201333333333,81.11575,80.5115571428571,62.6694,19.5400863812773,34.4940794621187,11.4807,17.8929098447712,19.19155,19.4310079666782,11.4401209833711,12.6764635124811,21.1825,38.94475,94.85745,112.89635,40.4221,47.538075,50.43765,63.509725,54.90195,52.07815,72.38315,156.015425,124.37705,113.6674,66.729625,82.5061,93.010775,95.4057,73.26065
"ZNF175",0.0486230175196013,0.407208814621787,0.999145949711561,0.18361748030205,0.97906975829129,0.999999994007597,0.902266886555225,0.807677176738873,0.995251461515554,0.993173639338261,0.282459844638882,0.997423899049547,1,0.999999995103278,0.992480400930425,0.0401681482907296,0.999999999689634,0.998077521851173,0.9631857962965,0.766684557928771,0.994524871876181,0.303338344291009,0.862646528673002,0.999929672558591,0.999931006950616,0.999654092693431,0.999849735725135,0.812796508359803,0.391352237810745,0.999396999007788,1,0.999999968569439,0.994147303283791,0.999999999998843,0.998577567319832,0.999881765489083,43.899,236.418275,195.7056,187.4283,135.53695,194.4171,241.362825,168.819514285714,197.6243,8.61682386787614,37.5541069723045,58.6063,41.3440839064551,57.79025,45.3923934034474,6.89985151257801,28.8968204888113,19.8667,35.28305,213.188,166.40245,140.6454,106.641825,156.5344,237.648925,121.6333,187.69095,48.31325,265.159375,225.00875,205.98195,164.432075,235.0155,249.3562,194.90585,207.55765
"ZNF14",0.999999059590481,0.812952894461825,0.878436979785317,0.915618204323814,0.961909046578223,0.999380436720612,0.99500347199885,0.999150361590516,0.998620134454784,0.999999696866747,0.934068326291367,0.971077030923483,0.99994311843271,0.999999995334497,0.999996763141979,0.999563735792635,0.999991262699001,0.961571514490264,0.997054124171569,0.999989612998387,0.996902741535974,0.997562562493893,0.999862184701567,0.959975399498378,0.997003134919575,0.999997190840584,0.99729299574482,0.999999999218283,1,0.999998766039413,0.860706844774095,0.952217831894704,0.996337755897109,0.956958134165123,0.999699192048523,0.99865031211032,139.232033333333,152.959425,238.1287,203.757766666667,191.048,210.2612,169.869475,174.476485714286,136.8459,19.9054416366759,17.898939048976,45.1741,46.9060637250712,9.60380000000001,17.129851649776,31.8908823841385,23.7849861816374,17.2914,124.9295,138.5267,215.54165,152.725625,186.2461,196.92425,164.18465,130.6534,128.2002,158.3728,173.699825,260.71575,270.19625,195.8499,226.23925,202.328625,187.95495,145.4916
