"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES"
"ZNF20",0.895085119537941,0.0191804061415498,0.00927196465472679,104.683341666667,98.7217090909091,154.12742,7.71332414055977,5.10404398439395,26.9469321087281,89.152075,92.11425,121.8474,119.289225,109.7888,162.9126
"ZNF670",0.895953802098802,0.243860877681798,0.417847330163526,74.551225,81.7010272727273,108.17968,9.09503411517687,9.41741264084868,28.2430581413097,55.1047,63.6281,83.3856,81.264875,93.00575,108.7483
"ZFP37",0.886593603063125,0.738278232993631,0.92583827901792,49.6587916666667,56.5174818181818,63.6014,10.3418677130908,8.89722276626321,19.9064448102869,25.3684,47.3765,36.9702,71.7549,61.2455,110.7108
"ZNF189",0.898061775426982,0.556624781142224,0.772586788511068,456.8532,490.223618181818,557.24104,44.9360063175384,60.0056167074259,87.410211008083,323.68165,406.58105,425.5063,544.39685,510.159,549.4426
"ZNF434",0.863439097705139,0.602958250508106,0.844728286846136,309.77,325.866727272727,348.1741,23.9807197818657,23.1393072003153,13.9290545085803,247.674925,272.80695,338.0282,324.7995,384.56245,342.8465
"ZNF287",0.999897851948648,0.988582486895269,0.99045379310136,84.251575,84.0140272727273,81.03912,13.6822828488885,11.620101658467,14.3740853619074,45.222825,55.08815,71.4385,122.625475,115.7073,87.0191
"ZIM3",0.945016732483575,0.44392650259704,0.323134841697118,0.837408333333333,0.516236363636364,2.4155,0.435912631199351,0.310083696406082,2.32664233736086,0,0,0,0.99575,0.5349,0.3596
"ZFP14",0.919925222399095,0.820285400409559,0.647871878759101,194.0243,204.463363636364,173.46392,13.2603813169269,25.3057076319742,21.5062620275909,162.800475,126.04655,144.4481,222.228975,265.3574,203.0894
"ZNF473",0.890840581189382,0.244754747238787,0.423998685097179,272.323791666667,293.437854545455,368.99646,27.8696375583049,30.1995443713654,70.9522502283374,218.06715,245.847,273.1671,276.641175,313.6089,440.678
"ZNF614",0.656653944060355,0.298674653973253,0.0938551516591857,252.89935,202.207709090909,364.3902,31.8067605493647,39.2299669502061,92.6183248967449,173.232,75.842,227.3174,338.45855,265.4639,557.8573
