"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE"
"ZNF85",0.432910552603843,92.4194533333333,129.499457142857,12.947280082112,38.2414529579938,64.63265,59.7183,117.9404,138.5522
"ZKSCAN1",0.218669216780657,1885.44753333333,2344.10356666667,289.71399905122,230.013769796973,1324.6205,1749.108,2036.42285,3245.8867
"ZNF862",0.768147624460851,447.08008,472.12050952381,44.1309120853973,63.6843877073303,375.084,290.395,538.1558,539.3427
"ZNF684",0.865185777682973,64.6797533333333,66.1475571428571,5.12529509951673,6.24616879845471,54.9516,45.2468,75.04695,90.093
"ZNF430",0.211908189141822,176.807306666667,240.353452380952,10.9676758399505,41.3149682219339,158.657,168.7615,196.3223,223.5755
"ZFP30",0.927172023775749,193.014846666667,188.46679047619,16.9702556369832,39.7985966525615,154.4851,90.5164,233.3874,232.8857
"ZNF549",0.806692344468805,119.651313333333,126.701857142857,19.428516181197,19.754487933501,56.9091,56.1747,161.24925,173.1805
"ZNF211",0.778007227852499,226.847486666667,216.673880952381,22.9923992727221,25.3690863995051,169.9466,151.2797,275.26915,238.5718
"ZNF205",0.750089005604274,257.5984,267.4969,17.5689509769122,22.7756223988061,214.7073,186.0734,280.7618,341.126
"ZNF45",0.307627415880752,239.493233333333,278.878780952381,9.56486586292158,31.2807733648952,207.76175,200.219,259.594,301.0154
"ZNF133",0.149499858934186,215.70008,292.748719047619,10.324385580013,43.3628433667239,188.77235,161.2108,254.53145,308.7971
"ZNF436",0.357842866855744,637.849626666667,551.705628571429,78.7946118716257,54.2719873680968,412.68535,356.6981,806.94705,657.8007
"ZNF484",0.593738840821236,158.781,167.693276190476,11.5718908598214,11.2722161192484,121.0783,138.3753,191.1479,213.3052
"ZNF780B",0.165754120767606,408.430206666667,351.693485714286,37.4720842259312,20.8441323907773,314.94895,306.3136,506.62915,410.7086
"ZNF557",0.264947187059286,264.45598,230.77949047619,20.8577526588493,20.1929330187096,220.88685,166.8465,296.24715,266.0782
