"gene","C2-C1","C3-C1","C3-C2","C4-C1","C4-C2","C4-C3"
"ZNF14",0.507751145752457,0.851444017137354,0.921983570424444,0.686860935638239,0.997310422779214,0.979749904231816
"ZNF85",0.999885569100375,0.642376630110107,0.737014167146298,0.982607949913163,0.977432987256221,0.527519834208724
"ZKSCAN1",0.853296000925934,0.929103316699582,0.556655906741826,0.558838896542794,0.247776193171065,0.868476196312363
"ZNF862",0.507429539556006,0.86371972807814,0.913213420115808,0.997797259368696,0.513344575650742,0.831843251760426
"ZNF684",0.529224714787512,0.986302418455807,0.739733316290885,0.860433772704407,0.965075779980267,0.964518523837199
"ZNF430",0.988004954514198,0.538790203537414,0.785234978054166,0.99942249675578,0.979267380108657,0.583759842910874
"ZFP30",0.97789131151725,0.999998993831452,0.981777157885694,0.999772243100196,0.973053662134189,0.999686817458894
"ZNF549",0.169890163726814,0.565585860524978,0.810697590005512,0.268415428574905,0.999175514065752,0.896462380076162
"ZNF211",0.758132090180992,0.841503146170414,0.997218182927593,0.793018738549057,0.340462004288378,0.399113741112507
"ZNF205",0.999832027040212,0.632680488764027,0.646819943141481,0.970018805265886,0.962249504135272,0.928728019661768
"ZNF45",0.277098178142255,0.976628724945242,0.167425573020413,0.999401047128284,0.334165894425485,0.99517605766161
"ZNF133",0.810583582052993,0.495907947543501,0.167605522528868,0.950768127259992,0.592166972408175,0.887362144534558
"ZNF436",0.213026865472031,0.113162942281219,0.995070733628637,0.0622167597401585,0.87008387355619,0.939992208522036
"ZNF484",0.976925402105275,0.457352181920054,0.758074076628335,0.99284432470911,0.928919588687954,0.426855329972397
"ZNF780B",0.235740862916009,0.400182938334675,0.972724694370471,0.898688250738031,0.710136806085125,0.891044295926411
"ZNF557",0.194048007349428,0.0504811252334885,0.939248163498214,0.245336460905471,0.999999857202899,0.947018972400625
"ZNF337",0.875103340066535,0.842116072473676,0.467096966269669,0.999960940096878,0.895949983662033,0.908857844614015
"ZNF317",0.854818818877748,0.553965748823545,0.225698196352192,0.999994737860913,0.888510477843458,0.678264122595386
"ZNF426",0.283345846335855,0.0318671283331482,0.744377322360111,0.0421739872848174,0.691098845124735,0.997119087586047
"ZNF331",0.401748040331943,0.77839717690069,0.10815022060472,0.903489088181835,0.212528532846419,0.998502925865748
