"gene","No-[Unknown]","Yes-[Unknown]","Yes-No"
"ZNF613",0.806162028695249,0.919674738191753,0.987116602357618
"ZNF404",0.999899081044578,0.982807963525969,0.981397833511543
"ZNF135",0.747339848006678,0.949104953121145,0.999489318454191
"ZNF620",0.710555650770846,0.992280407422198,0.981314103087812
"ZNF619",0.648451090562202,0.905151545270226,0.995850790191328
"ZNF354C",0.342468133126588,0.839532739948853,0.999715200039714
"ZNF114",0.330859028529514,0.873767788542897,0.998240797916359
"ZNF454",0.256674418871492,0.858495332529989,0.995651761472314
"ZNF543",0.974116743996482,0.990961159245343,0.998837485700113
"ZNF354B",0.410696846140144,0.869426165114022,0.99991067581482
"ZNF223",0.99981675749451,0.997653261958415,0.997064352817747
"ZNF713",0.00402583709390014,0.296626179802963,0.985490025041128
"ZNF552",0.317921932078322,0.837217797743928,0.999968538202881
"ZNF154",0.902385263637121,0.963884483809649,0.995022101540418
"ZNF571",0.25825330045903,0.91719115099021,0.973686154765983
"ZNF443",0.539305392428885,0.538851137725382,0.780814405050043
"ZNF792",0.367794606224053,0.953714719150148,0.970580059565672
"ZFP82",0.0659117279241371,0.666208836916793,0.999415316398518
"ZNF707",0.550676301206273,0.474377879645156,0.711959986759332
"ZNF746",0.414430275182203,0.945104043133154,0.983892339851612
"ZNF678",0.368538856534563,0.984903141209443,0.767394421271072
"HKR1",0.767553860069646,0.912619963974415,0.988505469373859
"ZNF101",0.915017741862358,0.930303152397129,0.975527639076787
"ZNF716",0.625373709696492,0.798602104008078,0.954558229477609
"ZNF708",0.769771349261141,0.340516946002482,0.474642727735303
"ZNF721",0.900260195863694,0.99848726934698,0.973419187482082
"ZNF662",0.910145618866947,0.834951276790796,0.907015514496747
"ZNF320",0.999428429318374,0.962126258895633,0.964711160482503
"ZNF530",0.916681836414748,0.929013944031237,0.860813668458744
"ZFP1",0.0798221400548089,0.7784899656139,0.980965450352152
"KRBA2",0.832388069972888,0.911218183100256,0.979581524246035
"ZNF93",0.929777175032428,0.934551230382864,0.974867776266993
"ZFP90",0.269449584739596,0.936941458526912,0.609174143505231
"ZNF479",0.577645986194677,0.998032743942778,0.89541215193476
"ZNF445",0.41541778598843,0.945751515899719,0.98365358549928
"ZNF74",0.578485727504869,0.985899348308438,0.972404388954728
"ZNF829",0.591256361909755,0.709567092453122,0.905921186799983
"ZNF267",0.333864279501531,0.721978514232754,0.971975786913925
"ZNF566",0.0196866230277319,0.504305785745878,0.999741593488172
"ZNF224",0.659365537625267,0.999158270991734,0.924972642175142
"ZNF529",0.285209334898293,0.6667882377034,0.958233775115165
"ZNF284",0.618977453235162,0.930487140528955,0.999992415875107
"ZNF749",0.927167870429854,0.855322373828234,0.916786575548006
"ZNF17",0.523358110055175,0.953702708240464,0.991303327232038
"ZNF555",0.713081930441375,0.977430564953486,0.994777685227944
"ZNF75D",0.693267875952574,0.997817833639117,0.965572306652381
"ZNF197",0.96650752511577,0.78353864063033,0.831570427114804
"ZNF732",0.614294052037659,0.908363997334633,0.713498938997289
"ZNF546",0.971907163890704,0.763763159372074,0.808487188026561
"ZNF286A",0.0376440461387298,0.886229200235939,0.854358285940685
"ZKSCAN4",0.265090614479095,0.641772185581156,0.951250525001201
"ZNF643",0.512473233188615,0.663111106069294,0.894229337738643
"ZNF642",0.690370720650846,0.723448347818912,0.889127201408681
"ZNF490",0.934801456570927,0.993239973053919,0.999722774911219
"ZNF626",0.934435621377681,0.910481806582966,0.956895393770509
"ZNF793",0.056818815460996,0.544655355049766,0.989229628926619
"ZNF383",0.655983625373342,0.918722325019132,0.998150677610484
"ZNF669",0.704225034766798,0.940301499293915,0.99952384682836
"ZNF559",0.988615525913107,0.85003364918227,0.874057459394634
"ZNF177",0.714721244448792,0.957117817093578,0.827949032369839
"ZNF548",0.735470281599668,0.900853174633644,0.987316655203886
"ZNF563",0.820419873428201,0.904971334247767,0.978205384828384
"ZNF567",0.0394384850405777,0.602526539463433,0.999736472159139
"ZNF573",0.537151484929523,0.987390588086563,0.838560792074113
"ZNF527",0.794749821007763,0.994551603254717,0.987885168309321
"ZNF33A",0.912333164383617,0.841617339311629,0.751292661014261
"ZKSCAN3",0.0488296899909424,0.933914792111358,0.397707046936375
"ZNF676",0.726944627575488,0.999983087904386,0.955131192016154
"ZNF699",0.421910948621535,0.69901771425367,0.941453023365655
"ZNF250",0.672495890117519,0.863878414203542,0.979543801606141
"ZNF79",0.98038582584153,0.866569692385345,0.82674756791347
"ZNF681",0.849729412996138,0.734338876493291,0.84616378327631
"ZNF766",0.99166573788998,0.779294283864566,0.747501411959696
"ZNF471",0.433705881008161,0.881097907017585,0.999992353924801
"ZNF836",0.80216608467158,0.866092415027355,0.959570940925894
"ZNF493",0.945243013531417,0.974569350657173,0.937825210237976
"ZNF167",0.388377890830476,0.713998675297702,0.957129620908815
"ZNF565",0.147892078452174,0.766992911662847,0.999030140687052
"ZNF34",0.697885520018502,0.803911567046463,0.943077513929106
"ZNF140",0.643637174566975,0.884209637314726,0.99043715855723
"ZNF658",0.594271813495769,0.999690918161197,0.933461070872919
"ZNF765",0.997221249611611,0.99870591895288,0.996794268177334
"ZNF124",0.855287133515786,0.960216914949176,0.997357355592978
"ZNF569",0.0889356212185198,0.627788536501524,0.995739469906369
"ZNF777",0.742564616201289,0.999722971868597,0.949478574479482
"ZNF605",0.824078234186452,0.853576010887251,0.946830111953511
"ZNF799",0.610815406289434,0.570008857427116,0.784718948301264
"ZNF782",0.972683335584827,0.456167581687302,0.49815316750172
"ZNF846",0.982498587599791,0.754030769988419,0.708305842790132
"ZNF136",0.964311443357183,0.954781476683188,0.979372397146882
"ZKSCAN5",0.957576226615448,0.931858992414018,0.964969547727392
"ZNF33B",0.818846304763809,0.841996347312825,0.706892982584019
"ZNF431",0.995939799295973,0.807161551974533,0.821181985644261
"ZNF418",0.9875325077153,0.887019513633978,0.909835146278849
"ZNF700",0.407774088032939,0.968870194838537,0.964006619060846
"ZFP28",0.276632689629928,0.80310779190272,0.99926071048963
"ZNF585A",0.785994604202887,0.699461568455607,0.839504550303762
"ZNF138",0.826903124601853,0.731476353583613,0.587810700395824
"ZNF429",0.188012680701179,0.38791269352349,0.789035978162074
"ZNF470",0.215160251382654,0.74450591198922,0.996462678213615
"ZNF100",0.999465215021516,0.966992362881195,0.963010616459157
