"gene","N1-N0","N2-N0","N2-N1","N3-N0","N3-N1","N3-N2","N3a-N0","N3a-N1","N3a-N2","N3a-N3","NX-N0","NX-N1","NX-N2","NX-N3","NX-N3a","mean-N0","mean-N1","mean-N2","mean-N3","mean-N3a","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-N3a","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-N3a","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-N3a","Q3-NX"
"ZNF211",0.267999551840346,0.999896510504078,0.600405696277815,0.597815709629651,0.999828625868193,0.7563878127544,0.999985326416707,0.513613843699815,0.999571460498887,0.665407821162441,0.680566572141729,0.999993753672306,0.821424345195651,0.999998376834694,0.734729553983597,187.698753333333,287.844785714286,198.872833333333,308.39315,178.9247,298.37345,19.524875676426,60.8937707179143,24.4796077425363,1.20775,29.7735343513609,127.74665,148.73065,206.8375,169.033525,307.789275,165.140075,234.500125,214.9953,303.07585,247.80965,308.997025,211.437425,362.246775
"ZNF205",0.849767864941827,0.997077000886196,0.749603839948328,0.720708652867381,0.985071440070445,0.621106727420819,0.99999732499036,0.929700296178661,0.999853928546836,0.783677498131372,0.74959304264834,0.989307727962173,0.649812851777926,0.99999998788511,0.806463659432275,279.027633333333,231.4178,298.994516666667,184.2182,284.62155,187.59105,20.5971108218111,29.5907540304078,55.6299728231488,25.8357,31.6316953596257,60.14485,219.51915,194.9401,224.4981,171.30035,244.48635,157.518625,341.63485,265.0303,368.172675,197.13605,321.06375,217.663475
"ZNF45",0.999269622763784,0.904987939994436,0.844074255345936,0.999999999578915,0.99997099972616,0.988197464855061,0.995886746731511,0.999957985124002,0.832103867098368,0.999597468946534,0.999056912316855,0.993935236391058,0.999780256087563,0.999695655069718,0.986831354177607,266.610666666667,285.2695,208.241216666667,268.31835,299.550275,234.26065,40.8164469917396,17.2046150490971,22.8781927579725,25.59995,53.6714364059906,24.29875,191.18555,251.51385,187.026575,255.518375,229.02365,222.111275,264.8677,316.1694,249.07375,281.118325,347.764775,246.410025
"ZNF133",0.986378883392683,0.98696520691304,0.882871223405999,0.0728473053031374,0.0473785605198164,0.237641798102692,0.881212241258838,0.995485037286937,0.709397062475564,0.0342516034567431,0.940429857187514,0.996271064574877,0.824222386043509,0.0766837052557725,0.999999350818849,259.540486666667,217.627542857143,303.33955,566.09735,172.511875,162.22235,25.4235090279166,22.8307805405111,80.7956070296967,349.40065,20.9404521830903,10.64945,189.48225,174.79775,190.9719,391.397025,150.4127,156.897625,292.656,256.63305,284.951025,740.797675,205.210425,167.547075
"ZNF436",0.516032633846946,0.312744315917334,0.998668478778019,0.999999999994543,0.913508002740506,0.807889548502514,0.649034956845199,0.999998412603551,0.999876561180372,0.914105196101346,0.991223161713496,0.997586677104971,0.980025870401682,0.99751391966149,0.996387893183693,469.55116,681.520257142857,739.5514,467.93115,698.2186,586.80415,55.4746258326443,95.6425389748895,172.766271485148,123.43995,103.907846097604,128.41755,353.54205,564.5125,382.394875,406.211175,579.48245,522.595375,576.85155,748.64195,1062.04475,529.651125,743.75405,651.012925
"ZNF484",0.784512028537798,0.999998617396918,0.920071865875322,0.99428726003933,0.999881605587834,0.997831954663873,0.458758639332069,0.980243954980163,0.649480815428012,0.976668161663951,0.694687518320293,0.988244284455854,0.791744751917537,0.981394004918013,0.999999726889882,148.579286666667,177.032114285714,150.837316666667,167.84895,198.131275,201.0564,13.590263514856,11.7883923074965,23.6597335064228,36.60115,20.1141725163036,0.627399999999994,110.91755,157.2096,114.843975,149.548375,194.572725,200.7427,183.3199,194.92495,175.95015,186.149525,217.68015,201.3701
"ZNF780B",0.999982414375478,0.999999995775199,0.999997787756568,0.999585405342275,0.998825291896068,0.999623167730262,0.966283144204789,0.990617642054218,0.983964029278272,0.968076194736505,0.680879293143768,0.785922982365719,0.758825890059916,0.758590755260314,0.970916453896212,389.639373333333,380.424328571429,387.808883333333,418.40535,334.24655,251.9026,39.0044307033438,45.5359155286384,19.1993567770106,53.42875,47.4142795783524,71.016,290.46615,332.0859,365.57935,391.690975,277.9569,216.3946,479.50025,457.25095,407.25925,445.119725,382.6142,287.4106
"ZNF557",0.797915237461709,0.98644546519756,0.601161217230628,0.991113497746773,0.999975361873847,0.937309269227766,0.999734580153774,0.983349322600699,0.976830213638208,0.999441964533879,0.981725558520892,0.999999545905939,0.908346229602847,0.999999576837706,0.998226343494901,256.764666666667,204.169085714286,284.93205,216.77505,242.4419,209.8227,29.0377719523869,22.5551430017469,33.4348707315656,49.92855,22.5287203597245,32.2727,173.9999,175.92265,252.053575,191.810775,206.4341,193.68635,285.4568,239.70765,319.419775,241.739325,269.8094,225.95905
"ZNF337",0.99938443046213,0.986026291820361,0.957591456551869,0.676065732239066,0.614147151031183,0.919221319826363,0.802110607343141,0.946072176405232,0.612921001156758,0.308713045229957,0.990078422873081,0.99894086880821,0.9329083902337,0.622961784758247,0.999653272344691,377.20796,344.475,444.266483333333,616.13415,225.28915,280.3363,42.886861988309,46.6907202376497,164.549934491316,177.45085,28.1604246083193,63.3082,236.149,284.3657,253.2292,527.408725,201.679025,248.6822,527.8533,367.6419,433.6499,704.859575,248.541525,311.9904
"ZNF317",0.975106754127858,0.710250266861028,0.987749354666373,0.999999999995045,0.998256338097373,0.957942690127235,0.974034697892685,0.827677008727317,0.529708873005358,0.996076567333569,0.999954533626316,0.989668189783891,0.905355916560753,0.999986475561626,0.999543050505772,986.099373333333,909.559671428571,830.3014,984.7489,1081.116375,1019.56355,78.8288531622047,56.8367978372358,30.2064986799419,29.3372,55.748315961925,108.21945,776.1364,859.89225,770.9834,970.0803,1005.0648,965.453825,1142.96415,999.548,888.38525,999.4175,1132.885575,1073.673275
"ZNF426",0.997194117904262,0.96945641547995,0.999657981305367,0.999991998031842,0.998673352767278,0.991148536573698,0.999999947704696,0.999695073499841,0.994141474392598,0.999986776197894,0.987685751656692,0.95421224842935,0.899943636046927,0.998985309225425,0.99151518405107,160.0554,179.800128571429,195.3097,150.2401,162.73245,115.3689,25.5812698122465,40.8369418812982,40.3353267219361,15.5276,22.8425702072724,32.4328,84.69655,118.3077,137.72605,142.4763,131.261875,99.1525,205.1988,244.48805,270.622225,158.0039,184.434875,131.5853
"ZNF331",0.889963825990718,0.999990415739345,0.973043237947853,0.985062358355312,0.999999999990503,0.994825711925303,0.97621830120034,0.704368225677371,0.974229095406678,0.897185139442997,0.997853727683773,0.9085470558393,0.996358445079844,0.960957304142565,0.999998503853914,440.68148,632.266742857143,467.899916666667,635.1061,279.17155,312.78225,75.8637154870597,235.162136476913,126.889980617587,455.1492,91.7348751071305,193.85945,244.53235,276.678,277.639525,407.5315,155.3316,215.852525,512.57355,713.60385,541.536425,862.6807,403.7864,409.711975
"ZNF227",0.89570679732015,0.477440448892085,0.176873336347044,0.999999986993353,0.992567724772472,0.876050057497971,0.45792154785018,0.948108399808743,0.0609081181683335,0.851349150521968,0.822059556810011,0.993589228846521,0.269146443855149,0.945465137756227,0.999993972975799,252.915173333333,284.971057142857,194.911816666667,254.83285,321.704675,314.15875,17.5405364956244,13.76407556377,23.8286127817157,13.46285,47.720524419537,87.71215,204.25035,271.54405,162.66285,248.101425,256.915175,270.302675,308.85635,297.43085,236.93115,261.564275,392.08495,358.014825
"ZNF141",0.999887146177562,0.846778586246978,0.827818763745117,0.770489208422356,0.740107096434677,0.994652865247081,0.999944799546526,0.999161807864691,0.980754044643696,0.908720816514239,0.690622262600005,0.662794305314104,0.985589600298915,0.999998079324854,0.862058736899618,77.88398,73.1171714285714,102.785766666667,121.7042,82.954,126.28845,14.0966229607837,11.397788339112,13.0857149154505,32.9164,17.3363542304892,3.55255,32.344,53.31175,83.0896,105.246,68.4173,124.512175,124.93875,79.82745,123.4923,138.1624,91.65425,128.064725
"ZNF304",0.729018815888145,0.979847325327065,0.994177856767863,0.986531876240421,0.999959606866192,0.999973425341416,0.894884150222393,0.99999969463382,0.998674113634694,0.999995082695719,0.464386574409169,0.152433718433063,0.313331187391432,0.444701973944639,0.235843273799481,231.981233333333,311.490485714286,274.375966666667,292.3183,305.871575,60.82155,31.0044459613267,58.1630218296668,31.8876017589874,83.4458,79.1468538278199,21.49835,156.2299,208.13,221.9786,250.5954,239.4805,50.072375,345.7358,419.1504,314.904875,334.0412,361.673825,71.570725
"ZNF132",0.214998268806249,0.217627676218169,0.999998440113396,0.97081596551443,0.989685286300289,0.984539418541111,0.999994945772019,0.613762437584398,0.588667948566895,0.991262546812412,0.998256657274826,0.531027609183187,0.508107039344889,0.945789798317043,0.997623448034823,44.2263266666667,82.6720142857143,84.6780666666667,65.09835,46.795225,32.94505,6.81916363225528,18.2030574363004,21.1109215824522,10.08215,12.0787221650564,6.37815,27.977,44.13075,51.57835,60.057275,41.292725,29.755975,42.74975,101.40945,130.0542,70.139425,57.2581,36.134125
"ZNF20",0.945317819430099,0.941443282886632,0.65289800553559,0.997710692498334,0.999998659193929,0.93202477409671,0.724019041575139,0.414230727092654,0.993714745199642,0.785472725499662,0.999739675348124,0.999862390296255,0.966084636143853,0.999996142425064,0.853434703924733,118.39064,137.615971428571,97.7562166666667,133.9602,81.202125,128.32395,12.1168012532257,26.489641392508,9.20651797729618,28.9524,8.85054162762323,21.79395,93.5494,98.43235,89.199675,119.484,71.718425,117.426975,116.83535,139.54405,113.2814,148.4364,92.95165,139.220925
"ZNF670",0.999998295003587,0.960295843569132,0.965143130820941,0.330255232663394,0.431119261721675,0.189988699200053,0.980789758443375,0.980427711802265,0.999999999985085,0.24535890329577,0.328719746126725,0.429466997628858,0.189018664795935,1,0.244257139113887,88.8196333333333,90.6586857142857,73.0553666666667,150.32885,73.3076,150.4189,9.39283017391795,18.2231760795269,9.12177153933257,63.93935,12.6818614102321,29.5882,63.35925,62.1768,54.8664,118.359175,66.61315,135.6248,117.421,98.47725,92.4861,182.298525,85.9414,165.213
