"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF75A",0.628839891465327,0.524041227627909,0.940264909951139,316.526466666667,212.60515,253.024555555556,28.7795131279227,107.72005,33.6539972590846,248.6714,158.745125,188.5269,358.8758,266.465175,274.1031,277.66724,287.941736363636,276.9912,269.1054,244.877,300.8101,186.373575,354.926225,11.5602993714566,17.6654336982801,1.03700291169976,0.97153050349614,0.0524199449601152,-0.0416688015453496,"KICH"
"ZNF496",0.743171699353206,0.516052875414246,0.449341118471109,172.6872,148.62105,191.336522222222,7.25491268898734,4.22444999999999,19.3137218812801,139.2223,146.508825,157.6728,198.4496,150.733275,235.2697,302.388604,190.439545454545,304.7002,173.68755,258.4201,349.771,145.6906,211.040825,12.8253403456081,10.5855085226972,0.629784135167162,0.570027686230597,-0.6670706797512,-0.810896102245848,"KICH"
"ZNF2",0.998351850453623,0.40656441637455,0.835946688304937,94.8744272727273,95.9297,107.766588888889,3.22687731956987,3.2573,15.7049879405702,83.5334,94.30105,79.5684,109.2027,97.55835,109.1047,113.002444,101.299845454545,111.6476,94.64115,92.43,125.6617,83.8882,110.0241,5.63382052908172,3.84725730437431,0.896439420854875,0.847677424324392,-0.157722002240149,-0.238412729702608,"KICH"
"ZNF589",0.856935844543426,0.417947184477908,0.515474381413799,158.0985,135.28,186.395133333333,8.03395294863321,45.0361,31.3823790701574,138.8986,112.76195,120.027,180.3384,157.79805,200.8299,223.322052,165.365874242424,214.0973,156.32125,152.3245,264.446,125.68935,186.002925,15.1055818803581,7.78882130243857,0.740481617294221,0.730141155446613,-0.43346417431943,-0.453752693118456,"KICH"
"PRDM9",0.999993634685295,0.246871212006946,0.718246833646608,0.180330303030303,0.1796,0,0.0576285324764986,0.1796,0,0,0.0898,0,0.3658,0.2694,0,0.30344,1.85436363636364,0,0,0,0.4128,0,0.261525,0.0999363285630739,1.71017415070568,6.11113774177312,NA,2.61144099896531,NA,"KICH"
"ZNF12",0.603988696413993,0.765329554066854,0.440583391433348,895.621154545454,1027.88675,846.042755555556,33.2905246998617,87.15395,61.5152108974843,801.6917,984.309775,712.7718,1014.0071,1071.463725,927.5803,615.88122,911.579165151515,593.3338,887.37855,548.5818,702.1487,798.36005,1047.680325,21.4503302671917,24.7176512124313,1.48012171105252,1.49558064954331,0.565715814173277,0.580705710229216,"KICH"
"ZNF202",0.206160916706109,0.940531588542973,0.191406680901953,176.516406060606,246.7217,169.5246,9.20835492920607,33.3596,22.1932493596526,141.9394,230.0419,98.9475,206.7989,263.4015,226.4576,189.941196,181.582365151515,184.945,176.6799,168.9363,206.2852,146.91465,218.483125,7.8410747686047,6.61664970029912,0.955992533349717,0.955310497715537,-0.0649287446116754,-0.0659583767034091,"KICH"
"ZNF3",0.137804586026596,0.366037077829444,0.0452612623826555,770.719542424242,1055.5333,667.418255555556,35.3706285631209,230.2675,55.5746692285206,708.6002,940.39955,492.9302,870.1204,1170.66705,767.9467,553.837348,758.023475757576,536.1471,752.6006,504.9084,622.179,678.5724,829.207775,14.6149583226776,23.0224427858003,1.36867525907187,1.40372035958042,0.452780183847712,0.489255559553529,"KICH"
"ZNF606",0.12009559020064,0.624162375917991,0.0628113833085279,257.698645454545,167.80335,279.086744444444,10.8487099222595,3.08385,19.9891132671575,196.2675,166.261425,248.0509,298.7993,169.345275,310.7283,249.838844,261.019083333333,244.8546,264.01535,220.0801,273.3329,201.635825,303.809925,12.2873961385954,9.33388657202104,1.04474980413107,1.07825358396371,0.0631574881849375,0.108696511396387,"KICH"
"ZNF91",0.717677190478951,0.744269731283165,0.531977270011603,915.058736363636,1129.75365,810.501066666667,64.7955312658221,563.49345,105.316855362845,632.1105,848.006925,642.4123,1185.9065,1411.500375,882.1577,457.897872,894.189781818182,461.0778,801.2182,397.7067,513.1693,624.28875,1038.119825,20.2600577176987,48.2883104620506,1.95281488842163,1.73770717219523,0.96555519949951,0.79718498847276,"KICH"
"ZNF226",0.108699317926628,0.769568510198255,0.258964645370283,408.406763636364,218.9541,375.712255555556,22.8665930146228,36.4338,35.8797319259662,349.5821,200.7372,299.6082,476.2764,237.171,445.9228,273.134784,380.562310606061,261.9894,378.9274,235.3656,305.0657,275.79335,453.25745,14.0412928834737,16.0332061569978,1.39331323910052,1.44634630256033,0.478519635322508,0.53241302197804,"KICH"
"ZNF229",0.0558634043251637,0.419848691100678,0.0192240304748441,199.669775757576,71.66645,234.909477777778,13.5986083602721,51.91075,17.6778597308641,132.9873,45.711075,178.0083,246.2406,97.621825,287.0093,181.188892,190.486240909091,188.3246,207.65005,147.7837,212.2596,128.58745,247.46445,8.70537153256141,10.7130125530148,1.05131301817934,1.10261776740798,0.0721922816123181,0.140932754088235,"KICH"
"ZNF180",0.460045922861233,0.986887306359918,0.554270793055197,182.527336363636,138.6407,179.604233333333,9.00976012983662,43.1122,13.9429221769406,155.1247,117.0846,149.0222,214.6078,160.1968,191.5313,155.029348,180.923490909091,155.6864,180.9345,137.4466,180.6491,149.279125,217.434925,6.82115202905423,6.81731223139445,1.16702736122641,1.16217280379018,0.222838385760697,0.216824599410039,"KICH"
"ZNF641",0.712912128216072,0.919696009527385,0.849257738969697,113.114633333333,144.67955,121.192566666667,9.89879820253647,11.41805,16.9019979602183,67.3975,138.970525,82.5959,147.4166,150.388575,139.4669,198.892176,119.648506060606,182.9328,117.63155,159.9276,228.9879,69.766775,155.09645,9.25975005683429,7.00077065383442,0.601574724893181,0.64303148478567,-0.733184141298137,-0.637038716848746,"KICH"
"ZNF610",0.945652831355018,0.315967233108052,0.578801043438325,145.638603030303,133.5261,174.484355555556,8.78291732342953,31.5146,19.8223098396668,116.6273,117.7688,147.7178,172.0374,149.2834,201.8212,105.422964,140.072575757576,101.7964,147.9496,81.139,129.5611,100.761175,175.66315,6.3529756062832,7.53940783070014,1.32867233516196,1.45338734965087,0.40998536441764,0.539419254206692,"KICH"
"ZNF528",0.0640163331408246,0.582046676474532,0.0305247284712049,310.862445454545,129.12985,351.229388888889,19.8261076616197,22.08965,28.3523412684201,242.7311,118.085025,320.3239,390.3893,140.174675,429.9563,281.613116,287.794343939394,273.2635,290.015,250.5326,316.2067,169.435825,380.326025,15.940414173176,15.7045211564283,1.02194936097861,1.06130163743054,0.0313237104878228,0.085834749540493,"KICH"
