"gene","T1a-T1","T1b-T1","T1b-T1a","T2-T1","T2-T1a","T2-T1b","T2b-T1","T2b-T1a","T2b-T1b","T2b-T2","T3-T1","T3-T1a","T3-T1b","T3-T2","T3-T2b","T3a-T1","T3a-T1a","T3a-T1b","T3a-T2","T3a-T2b","T3a-T3","T3b-T1","T3b-T1a","T3b-T1b","T3b-T2","T3b-T2b","T3b-T3","T3b-T3a","T4-T1","T4-T1a","T4-T1b","T4-T2","T4-T2b","T4-T3","T4-T3a","T4-T3b"
"ZNF671",0.99928676497232,0.999999994021853,0.992708424806684,0.999982835775185,0.999972372679401,0.998338213053686,0.999999980588411,0.999879276492629,0.999993010762679,0.999999886293314,0.999997800609651,0.999999999979433,0.999983679752155,0.999999997259248,0.99999985845836,0.999155495767271,0.9999999982395,0.980813771413029,0.999973870953156,0.999894203103938,1,0.99890417332736,0.99999992480471,0.995192419840092,0.999884945907013,0.99968033107884,0.999999923161178,0.999997770701851,0.268827401911964,0.558097794582662,0.142378739050357,0.24646115157295,0.299573998883456,0.885302461997777,0.369256147821113,0.850736060283678
"ZNF416",0.99992968490313,0.999999979497479,0.998403988232369,0.999996731940268,0.991981181091626,0.999999956964594,0.999999292999903,0.999999721513427,0.999908268292447,0.998965248355342,0.999951192390207,0.999999966719956,0.99975175923549,0.999350700871708,0.999997274686405,0.999999565764608,0.999995799343187,0.999803874819841,0.996198034843859,0.999999999992526,0.999992543513786,0.999999968528046,0.999999961608782,0.999997349952486,0.999974793701523,1,0.999998698878015,1,0.247561304462662,0.444373815851518,0.123292801169326,0.0792368746399629,0.312396831481356,0.92129691580657,0.203653602512913,0.578138647966055
"ZNF586",0.991495867517905,0.999999996922399,0.953782125561516,0.995826745309568,0.999995559133522,0.935476454287605,0.999998434088351,0.944623437970206,0.999999896050498,0.941635884949614,0.982503153547956,0.999894862728954,0.966090090375894,0.998788756492594,0.95476260000128,0.999994338231712,0.997315963518261,0.999483480059767,0.998982809678616,0.998381038515284,0.991628560016874,0.999150031626707,1,0.99636286191657,0.999999956408184,0.993124584210791,0.999932821067861,0.999898085876722,0.927278901514664,0.999472429479977,0.848028815870941,0.991538268876363,0.82975622461558,1,0.9517875696892,0.999787838208221
"ZNF446",0.991796927518009,0.999044670012838,0.999979610070882,1,0.970829889543194,0.991965303818908,0.958796645215964,0.471397808542137,0.48000436488275,0.825620788245568,0.988785799595431,0.99996471860542,0.999151483226937,0.984574813738439,0.789377123035124,0.999794061781613,0.999725571580165,0.999999932708878,0.997701080000144,0.528757402620283,0.998049730071692,0.745233035628038,0.982988601385166,0.899833241213857,0.623853304729507,0.205800933259491,0.999997004227801,0.847199774801081,0.0913887175434291,0.0148892859384737,0.0130479035469701,0.0334296944194049,0.428793828494481,0.11414438058647,0.0146461506943153,0.00708261275464284
"ZNF8",0.99477453228791,0.877981282322455,0.999950680977401,0.993207269567709,0.999999950049987,0.993185616904347,0.999999982536294,0.998262729078435,0.916187678219714,0.998027036878673,0.999999799489569,0.999999052918096,0.999860402830143,0.999999921165525,0.999999996438248,0.998490162974029,0.999996265848801,0.983350870887515,0.999999868949541,0.999744711025277,0.999999998042075,0.999999969285369,0.999931459273985,0.995782400508998,0.999978962698519,0.999999999995193,0.999999999947139,0.999997984834913,0.957259216339457,0.999786058756254,0.999998795900029,0.998033707606369,0.973351291101989,0.999484691564719,0.99579008418217,0.994911677564871
"ZNF264",1,0.999693708735889,0.999823461159286,0.999325984423166,0.999599854664207,1,0.964445459868216,0.970588983440406,0.997471573104533,0.996415646933021,0.977889718014312,0.975216274297039,0.892227992186783,0.877682814691344,0.735651129205014,0.999999999598795,0.999999993596956,0.992597635227353,0.978564560213443,0.837704090504483,0.976458638663202,0.991795993092659,0.990114435650271,0.899179143987424,0.874496927026419,0.697117801437813,0.999995483283454,0.990040453415007,0.991838478958089,0.990163636174602,0.899464599889813,0.874833455220714,0.697578258275276,0.999995430665302,0.990095216178568,1
"ZNF213",0.992874115779734,0.764468463317547,0.99937596615145,0.962044656515769,1,0.995210137429569,0.999409927075821,0.828346303315757,0.249242744852823,0.51979249503081,0.807097619590261,0.975319674995245,0.996253234990818,0.967201106795592,0.577371504225685,0.935620502265179,0.999999923411174,0.999616904327313,0.999999733147923,0.465765611907326,0.979903573349056,0.894738122808449,0.998189298791425,0.999992237980835,0.996771309914254,0.622575086307642,0.999930090316145,0.998989117355399,0.947211923240036,0.999739433078008,0.999999978732786,0.999557377337122,0.733774408048298,0.999630196392991,0.999912355403962,0.999999993814013
"ZNF343",0.999666200383724,0.998825254747543,0.908675672807165,0.960332009337014,0.623609791184679,0.99966924509979,0.406513215044356,0.131906476179787,0.600197215176328,0.789161240332153,0.999999365580984,0.999999999953244,0.999417596600774,0.99488699064721,0.848979028611662,0.999999811161038,0.991089345810437,0.999332124664714,0.914416044505335,0.243288692036711,0.99998567153529,0.880068701494628,0.984533692162864,0.523900142623492,0.303683041204475,0.0660890857100841,0.997701862271489,0.721662295913664,0.000188601892103013,3.99854025828761e-05,0.000214233231708438,0.000329072016146292,0.0247853258999121,0.0155636889967705,4.79209748802667e-05,4.86444235477945e-05
"ZNF302",0.999999971950615,0.997464113749389,0.999725261665978,0.999999704839522,1,0.9970759157379,0.993607731291798,0.998708874489532,0.999999710594217,0.993246573727813,0.999999848265071,0.99999999897641,0.999999973999895,0.999999998953621,0.99999890890392,0.999803205629855,0.997843029206193,0.736710608840709,0.968297648010651,0.771001366957572,0.999891780078628,0.895580669031284,0.839730427738289,0.515892813563482,0.728966133262139,0.500465792193379,0.964823802367057,0.95886710547815,0.967732297676966,0.939727827289615,0.707554742561749,0.884036057554629,0.681969161679676,0.988028234024176,0.993361918758886,0.999999769612004
"ZNF268",0.99999999832623,0.999999875024346,0.999999999986374,0.999191765108288,0.996419711056884,0.962269298057932,0.999997867313023,0.99996688803091,0.999664424075349,0.999996921861464,0.999308344895062,0.999705736259466,0.999730051175298,0.984800642381317,0.99609504674564,0.999439364683191,0.997423740991953,0.975461310410531,1,0.999998267997674,0.986041049823666,0.684649748282721,0.741205768495305,0.676227746799618,0.273780947781797,0.509605379442309,0.999095142819768,0.297628623261031,0.483660345612959,0.425301312369929,0.287969927074354,0.599922051970408,0.595661908233666,0.548196034174934,0.617071744676464,0.0458462563264669
