"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE"
"ZNF45",0.924817439539561,0.827847394670887,0.753658800183666
"ZNF133",0.999720135477334,0.999139797123109,0.978319907716794
"ZNF436",0.587164436600288,0.301954372653185,0.20120144569115
"ZNF484",0.673975505041633,0.756932336047665,0.93073006715384
"ZNF780B",0.534020949412699,0.740032637730681,0.595348940983661
"ZNF557",0.986018512639977,0.912790480151993,0.692403487340817
"ZNF337",0.94307815653568,0.876089448106861,0.838776887346562
"ZNF317",0.987723942413408,0.985043407913444,0.99763837385573
"ZNF426",0.370677505105963,0.63219978004518,0.40390780545415
"ZNF331",0.974671104965813,0.990464740008283,0.512399413328237
"ZNF227",0.27433453173411,0.242858941340462,0.919668516013736
"ZNF141",0.984651680586058,0.991546063158815,0.991457312856197
"ZNF304",0.822778186765511,0.61056707360187,0.451312817757804
"ZNF132",0.544427436561707,0.560667193176944,0.999818766686253
"ZNF20",0.942366980460504,0.908596029973651,0.944686575270563
"ZNF670",0.000284209513212508,0.000850718037159415,0.784256380001754
"ZFP37",0.381026987243416,0.700404437951332,0.257760582204191
"ZNF189",0.512928672437404,0.699516540184203,0.663445973492483
"ZNF434",0.780469986041871,0.831630792370233,0.969767150987543
"ZNF287",0.956692888711546,0.87844147237847,0.773602401593705
"ZIM3",NA,NA,NA
"ZFP14",0.251208501400828,0.127615327549033,0.372871729291549
"ZNF473",0.983316788458418,0.483816153221589,0.00595131655410142
"ZNF614",0.475233077166933,0.235433228222468,0.232231999616393
"POGK",0.156488362416023,0.22164862882351,0.900768323619743
"ZNF514",0.207083591866637,0.214605317241154,0.994273445366818
"ZNF300",0.988387715597428,0.692671564522838,0.0785193981993123
"RBAK",0.777657885911505,0.997923432853306,0.137522461140769
"ZNF92",0.648669556823223,0.297217463650949,0.103457933062837
"ZNF157",0.995974509578859,0.872562682337289,0.150709085506029
"ZNF182",0.937292024851962,0.996042915807416,0.701053734922406
"ZNF673",0.974258529772371,0.773232237914402,0.0136581247947022
