"gene","Recurred/Progressed-DiseaseFree"
"ZNF454",0.751206431389638
"ZNF543",0.630236435800067
"ZNF354B",0.258812895241595
"ZNF223",0.220623547362546
"ZNF713",0.269997955210709
"ZNF552",0.0554131905069373
"ZNF154",0.0372270454137965
"ZNF571",0.113215381040187
"ZNF443",0.0340337902846928
"ZNF792",0.754765361934447
"ZFP82",0.957753207778595
"ZNF707",0.389259819517356
"ZNF746",0.13362098036649
"ZNF678",0.686436811804535
"HKR1",0.149846502475937
"ZNF101",0.0211121699897386
"ZNF716",0.203897634806015
"ZNF708",0.833979468859893
"ZNF721",0.965592276601981
"ZNF662",0.894131402575503
"ZNF320",0.604739438273379
"ZNF530",0.00569577981516867
"ZFP1",0.0709884800745604
"KRBA2",0.788126473601409
"ZNF93",0.00431291157332003
"ZFP90",0.0835765445347385
"ZNF479",0.0344400807249711
"ZNF445",0.00330733155373442
"ZNF74",0.161176375549429
"ZNF829",0.312611606034474
"ZNF267",0.550170434767814
"ZNF566",0.5989770455803
"ZNF224",0.381460183485945
"ZNF529",0.432660923416066
"ZNF284",0.0685750852029291
"ZNF749",0.538652036620088
"ZNF17",0.746933059225567
"ZNF555",0.802015268240464
"ZNF75D",0.272453548377039
"ZNF197",0.00827416213340115
"ZNF732",9.53536563275126e-06
"ZNF546",0.701995378987976
"ZNF286A",0.470294549201043
"ZKSCAN4",0.543721515203829
"ZNF643",0.836675921733442
"ZNF642",0.854194683915487
"ZNF490",0.670394767150175
"ZNF626",0.971632917366609
"ZNF793",0.255610376115565
"ZNF383",0.733002661058082
"ZNF669",0.936152157450484
"ZNF559",0.0298523462679742
"ZNF177",0.903839971427052
"ZNF548",0.867745646299327
"ZNF563",0.299260854884235
"ZNF567",0.762758639164328
"ZNF573",0.741368971867219
"ZNF527",0.959469814413193
"ZNF33A",0.541156282992319
"ZKSCAN3",0.422628519104563
"ZNF676",0.138510790107206
"ZNF699",0.759354501052029
"ZNF250",0.974412864768432
"ZNF79",0.452384681465582
"ZNF681",0.0902732634794943
"ZNF766",0.987761850893774
"ZNF471",0.111164784458509
"ZNF836",0.346057071698618
"ZNF493",0.272851678613249
"ZNF167",0.686639717725197
"ZNF565",0.881998940142565
"ZNF34",0.678713206619549
"ZNF140",0.130613813162989
"ZNF658",0.60056551532829
"ZNF765",0.581876323275969
"ZNF124",0.367493512657053
"ZNF569",0.687078610352291
"ZNF777",0.339926394458673
"ZNF605",0.418772732330901
"ZNF799",0.475023542237015
"ZNF782",0.10048371451625
"ZNF846",0.00422394273879845
"ZNF136",0.509782600880528
"ZKSCAN5",0.00902208869818566
"ZNF33B",0.332452210185133
"ZNF431",0.000401928423097941
"ZNF418",0.183431090606546
"ZNF700",0.0156144538250454
"ZFP28",0.10538162887346
"ZNF585A",0.46659815810685
"ZNF138",0.029761019739874
"ZNF429",0.511813582942748
"ZNF470",0.325907567035193
"ZNF100",0.725216237069972
"ZNF398",0.680277937562036
"ZNF498",0.574699914248453
"ZNF441",0.185368549685461
"ZNF420",0.704139306815024
"ZNF763",0.746993917990141
"ZNF679",0.00024844028758364
"ZNF682",0.209727164868242
"ZNF772",0.428071975124532
"ZNF257",0.121280328167792
"ZNF785",0.396929804694178
"ZNF98",0.165010040903807
"ZNF786",0.40934238954825
"ZNF517",0.317024784290299
"ZNF675",0.150919550011399
"ZNF860",0.182971769894675
"ZNF695",0.0188946447958676
"ZNF665",0.461102362260218
"ZNF624",0.774830406821558
"ZNF841",0.968874147539353
"ZNF615",0.104996582135348
"ZNF433",0.61499171818421
"ZNF595",0.312301050929714
"ZNF460",0.473983060800391
"ZNF81",0.374882107012732
"ZNF780A",0.620891447455176
"ZNF461",0.867782356022191
"ZNF181",0.9447728607009
"ZNF44",0.558903012242866
"ZNF790",0.27988856916448
"ZNF677",0.619422559646286
"ZNF823",0.327391826367501
"ZNF311",0.0134266246062487
"ZNF347",0.272865548679888
"ZNF273",2.75653804617804e-05
"ZNF84",0.364611728473478
"ZNF667",0.064823199166494
"ZNF649",0.330052091137863
"ZNF248",0.903430317310796
"ZNF544",0.524007363950625
"ZNF251",0.524435795729789
"ZNF607",0.5290017522849
"ZNF334",0.670284284063182
"ZNF485",0.655021212501192
"ZNF192",0.800552917311341
"ZNF442",0.100652601830407
"ZNF813",0.245752482416261
"ZNF26",0.251411330048833
"ZNF69",0.610509909098646
"ZNF583",0.664558651909168
"ZNF568",0.724853932165402
"ZNF480",0.53790129000562
"ZNF587",0.885314632372491
"ZNF808",0.971185178844101
"ZNF43",0.19051291494334
"ZNF28",0.342576224166253
"ZNF627",0.825490572165143
"ZNF789",0.026410832944523
"ZNF534",0.000661344882491699
"ZNF525",0.207566661953481
"ZNF814",0.897656764221347
"ZNF551",0.831129748037046
"ZNF805",0.266265512396174
"ZNF468",0.427606748604447
"ZNF616",0.716132206178365
"ZFP57",0.601592928185141
"ZNF155",0.27585346245716
"ZNF425",0.809040742244411
"ZNF611",0.450701873875452
"ZNF254",0.824782509698823
"ZNF625",0.00215719348532428
"ZNF845",0.196691457023074
"ZNF90",0.909876407909338
"ZNF788",9.63330226766423e-06
"ZNF880",0.19067604664064
"ZNF630",0.545642929303329
"ZNF844",0.446191339959706
"ZNF717",0.542570238537365
"ZNF492",0.782403818052083
"ZNF688",0.252276257793887
"ZNF879",0.236536356003953
"ZNF737",0.575746713211595
"ZNF709",0.319512485538722
"ZNF585B",0.875495696333199
"ZNF324B",0.380220635706585
"ZNF564",0.588780346326096
"ZNF674",0.764687044019397
"ZNF432",0.381204436405007
"ZNF10",0.0775485779631121
"ZNF486",0.671181479162256
"ZNF225",0.615956791180786
"ZNF350",0.408108539291367
"ZNF253",0.675009343673838
"ZNF878",0.159777630613745
"ZNF727",0.792948861436449
"ZNF578",0.906172848456768
"TRIM28",0.848573733902928
