"gene","N1-N0","N2-N0","N2-N1","NX-N0","NX-N1","NX-N2","mean-N0","mean-N1","mean-N2","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-NX"
"ZNF766",0.826908240595802,0.383995402510507,0.892212129897335,0.57975231365835,0.993584634925495,0.69393647114394,447.72871,396.734666666667,332.16725,412.906305,14.8803617760188,81.8471411495098,82.69285,23.1547836033251,378.938875,351.2083,290.820825,339.74735,519.312025,478.40225,373.513675,459.221225
"ZNF471",0.361595415052295,0.959314188688146,0.902902726338304,0.90261023629365,0.241671016626815,0.880983231887076,148.6751525,72.3915,120.7442,163.197445,11.796910037824,35.1069744280725,106.1682,17.6994270315625,84.7597,48.4911,67.6601,87.455975,185.467425,106.6117,173.8283,226.092975
"ZNF836",0.43290892384008,0.629335001525716,0.219206252813289,0.999874906367923,0.481523957482192,0.630391783741477,114.022745,68.7305666666667,157.3394,113.065925,8.53888928084548,7.93862943761565,62.3149,8.82017642389155,72.790125,64.12315,126.18195,82.85375,128.511575,76.63295,188.49685,141.49175
"ZNF493",0.990483081456799,0.0652357972150269,0.133371473579141,0.698840021862163,0.997531281537055,0.0278546843780997,525.0619225,483.072466666667,953.0451,455.569255,36.7433306256447,254.362405262717,152.4845,45.4323113628416,374.224625,253.88315,876.80285,323.08275,669.764775,693.21485,1029.28735,603.77395
"ZNF167",0.809952242328797,0.994557660335336,0.862805382133163,0.702744877651328,0.980741231753321,0.918036315236112,78.686185,60.6915,84.7653,68.694945,5.3164680097082,26.604118650001,7.6805,7.45244280587342,52.6736,46.16545,80.92505,45.255575,101.34905,87.25685,88.60555,100.742525
"ZNF565",0.999813834673683,0.546773449598396,0.685213277817921,0.703320143130252,0.978135572690388,0.332846310395038,38.68308,39.2438666666667,27.39555,42.14165,1.77917666927063,4.17995014816099,8.89515,2.87871119261728,33.2071,35.8957,22.947975,33.47875,44.532825,43.08505,31.843125,52.6722
"ZNF34",0.754040891827744,0.581559178991192,0.351510413839846,0.73371766260327,0.957554766327978,0.371752781348151,89.73948,110.033366666667,58.1697,99.353495,4.46314806775672,3.27032514200721,7.1536,10.2448490938989,74.41265,107.85075,54.5929,75.505125,101.96385,113.2338,61.7465,98.168975
"ZNF140",0.626771079601744,0.99923671256347,0.809372856131865,0.999413352674019,0.619230173963669,0.999800202885973,446.5822875,349.962,459.0481,450.89665,18.8585271076444,57.1378090837699,71.9423,36.6972914642545,396.917525,320.6161,423.07695,358.81805,510.864625,407.0927,495.01925,525.1599
"ZNF658",0.417212545030428,0.0364634406244677,0.0110732604837336,0.999366159115946,0.416005953490503,0.0477411783372018,42.8115025,28.1939,74.5058,43.33329,2.52579600103912,9.46798868556569,14.9126,3.36160535256829,31.6322,18.94315,67.0495,26.700925,54.538175,34.56565,81.9621,53.301925
"ZNF765",0.643476987223253,0.999914031188456,0.887638865394702,0.948937611983366,0.805196210575614,0.999033686876783,335.794845,246.644233333333,330.1231,317.09273,18.9061115000116,94.8535149213659,103.0733,30.0720835134201,264.41775,161.633,278.58645,206.25545,386.77455,325.5876,381.65975,422.89905
