"gene","1-0","mean-0","mean-1","SEM-0","SEM-1","Q1-0","Q1-1","Q3-0","Q3-1","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF182",0.901398777912812,221.420060869565,223.704131578947,9.41992822460757,17.2626221252453,181.058325,174.4325,240.676575,266.7429,168.353408,222.143472727273,168.0607,209.283,143.2257,186.101,178.583875,245.835425,6.59516113626225,8.16040234042254,1.31950683604381,1.24528221053465,0.399998824935464,0.316472728318347,"KICH"
"ZNF673",0.372612797122993,237.861936956522,225.125684210526,7.34264541508213,13.112511440909,205.3958,188.3541,266.6408,270.1141,212.759424,233.752318181818,200.2753,234.1887,182.3915,233.1839,198.789025,267.374975,9.39730817880362,6.35449228592118,1.09866963252269,1.16933391187031,0.135757636357009,0.225686960846172,"KICH"
"ZNF41",0.07231790871274,432.12857173913,372.010415789474,16.7899773801368,31.1988112711526,350.517925,260.65085,514.1342,471.10875,266.078384,415.158183333333,258.7099,413.3858,229.8216,301.5922,329.1123,491.87705,9.06572322511867,15.0103762734231,1.56028527042367,1.59787391205362,0.64180982434406,0.676153569948069,"KICH"
"ZNF7",0.890898287799797,355.343365217391,359.699052631579,16.5056320977988,28.7841770961532,287.70285,268.41725,405.10305,437.59905,322.311792,357.06761969697,316.8185,346.41705,288.0205,337.7041,280.921175,412.8975,10.827379303962,14.0630204907313,1.1078329386626,1.09342431076468,0.1477403392076,0.128853357319004,"KICH"
"ZNF214",0.185815492239418,26.2713130434783,32.8916368421053,2.52797947068961,4.68936022177897,16.481525,19.305,33.385625,38.62,79.376344,28.123603030303,76.6683,22.39735,61.3549,98.1113,16.998125,38.1973,4.99342145620308,2.23179601924959,0.354307109814771,0.292133124120399,-1.49692767884803,-1.77530214447494,"KICH"
"ZNF215",0.678512572696398,14.0105043478261,16.2013789473684,2.74956897463229,4.77503971802825,2.945025,2.4224,18.105275,19.1012,50.960444,14.4349742424242,41.1039,6.08965,33.9928,58.0921,2.785125,18.3591,5.5566597164666,2.35101498570676,0.28325840807871,0.148152608389958,-1.81980931408103,-2.75484406812829,"KICH"
"ZNF547",0.111996441660906,59.9641804347826,45.5474,4.92623689369268,7.16042732938581,37.865775,26.74495,69.76875,60.4543,49.164176,55.6420727272727,49.155,47.41805,34.2092,55.204,34.289825,65.80655,4.13352244038617,4.05710989534106,1.13176050641574,0.964663818533211,0.178568699546684,-0.0519018383477982,"KICH"
"ZNF773",0.758900615436937,172.39117173913,167.780157894737,5.31007881673236,19.5840772986319,156.70465,97.68745,194.385575,199.56155,96.558612,171.685142424242,95.6548,170.7373,80.0839,114.7206,140.919075,194.68235,5.35848328201591,6.68278931581258,1.77804070365306,1.7849318591435,0.830288351325304,0.835868999547271,"KICH"
"ZNF776",0.040552271463028,464.412680434783,393.678389473684,19.7117783809529,21.9593311017878,371.081175,340.9484,571.226375,451.85955,384.406488,443.403089393939,386.4938,441.2062,339.9495,427.3328,364.165075,525.8674,14.1648731985986,15.5473287732735,1.15347452042469,1.14156087368025,0.205986136085971,0.191007793259522,"KICH"
"ZNF256",0.098615539172237,144.221232608696,120.840184210526,7.75014925869301,10.8751518411105,101.182125,98.1507,174.775975,147.21575,87.276768,137.662190909091,85.8178,141.7447,71.6511,98.6382,99.513225,170.807025,3.63137138155693,6.34035088879863,1.57730624155435,1.65169347151756,0.657462793469531,0.723945969957005,"KICH"
"ZNF599",0.689043577623227,101.57735,97.4288947368421,5.02428008273769,10.5348910370096,74.41955,71.0843,124.030475,129.14705,132.27472,99.5632454545455,131.2355,99.6334,119.2492,145.1658,73.99315,124.256775,4.63379635959185,4.66093941337099,0.752700481653225,0.75919549207341,-0.409852200237911,-0.397456668891149,"KICH"
"ZNF18",0.0655915376357563,112.68047826087,131.299921052632,5.46483278909274,7.98741484383156,93.066,101.30305,122.664575,157.1981,131.384712,118.388193939394,128.2923,111.7797,119.5374,139.1148,94.2722,134.32035,3.9059409279725,4.5445622210723,0.901080438791036,0.871289235597148,-0.150272194769769,-0.198776375496656,"KICH"
"ZKSCAN2",0.0264218653899965,303.375884782609,253.146352631579,10.2599948896961,23.9169295557669,261.194575,169.08595,341.37615,313.85535,150.960004,288.386662121212,155.6886,282.7229,127.8847,173.8646,241.6541,341.37615,8.01042379951789,10.2174809104247,1.91035144726952,1.81595120002364,0.933838075219532,0.860725433669653,"KICH"
"ZNF689",0.334258407623294,155.477073913043,141.344452631579,7.13053476527236,14.6552778038645,128.785425,94.68485,182.512875,178.2573,169.403856,151.621443939394,159.4725,158.00825,140.907,195.3753,123.0721,182.512875,8.2971580852504,6.50825284403206,0.895029472879259,0.990818166141498,-0.159992904491862,-0.0133077749890043,"KICH"
"ZNF19",0.0510743088004015,88.0980239130435,72.5318684210526,4.10971020348748,7.03671078167732,73.42255,43.8034,102.946725,100.1596,99.618268,83.9770515151515,96.3214,84.80965,82.7972,117.9486,63.897525,104.188375,5.91426103805235,3.611173176243,0.842988471905088,0.880486060210919,-0.246415192829234,-0.183627931289453,"KICH"
"ZNF230",0.39794850092893,81.8238913043478,87.4006631578947,3.551821184469,5.47663507394552,64.5558,74.49775,99.84765,109.46075,101.352388,83.9180636363636,98.3389,83.90105,79.1201,110.9806,66.5432,105.586225,5.92875569555513,2.96497390532717,0.827983092380257,0.853182718130872,-0.272326787051899,-0.229073351805455,"KICH"
"ZNF222",0.108456269706856,56.7600391304348,65.4950157894737,2.46411440903743,5.87628808154649,46.58345,47.672,66.611375,78.95885,65.222444,59.5750409090909,63.4702,58.9629,57.1906,75.7475,47.3806,69.816925,2.57567544784587,2.44749146980518,0.913413194223309,0.928985571181436,-0.130660465338542,-0.106271905756985,"KICH"
"ZNF221",0.891794579675154,15.061,15.3708578947368,1.23945092570342,1.85727132064704,9.8574,9.47725,18.8844,19.03825,17.510072,15.5021984848485,15.4852,13.9379,11.5585,23.2117,9.66555,19.25155,1.5905924866594,1.06747000225233,0.885330367850485,0.900078784904296,-0.175712186447347,-0.15187680720497,"KICH"
"ZNF233",0.784589998589825,73.6998108695652,71.0418,5.06244546693618,8.78091284743947,47.10535,48.8087,94.995075,98.4924,27.604036,73.0992227272727,27.7026,71.60995,14.0494,38.2731,48.6426,95.797775,3.13471989196738,4.30884735832253,2.64813532076515,2.58495411982991,1.40497684631758,1.37013867447395,"KICH"
"ZNF235",0.275896614378132,69.1782173913043,75.0846736842105,2.57854924605512,5.59321760565431,56.630475,59.7266,82.18215,81.7151,80.308044,70.8699803030303,75.5141,69.158,66.9856,85.2413,57.3804,82.18215,4.40760445203923,2.41096349529147,0.882476733003612,0.91582896439208,-0.180369853469902,-0.126849901874126,"KICH"
