"gene","Current reformed smoker for < or = 15 years-[Unknown]","Current reformed smoker for > 15 years-[Unknown]","Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-[Unknown]","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","Current smoker-[Unknown]","Current smoker-Current reformed smoker for < or = 15 years","Current smoker-Current reformed smoker for > 15 years","Current smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-[Unknown]","Lifelong Non-smoker-Current reformed smoker for < or = 15 years","Lifelong Non-smoker-Current reformed smoker for > 15 years","Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-Current smoker"
"ZNF671",0.378310187410832,0.99728054413745,0.821076665777065,0.9999999617943,0.662510494017358,0.998618206735557,0.98676534052869,0.18057798459985,0.924502809750743,0.997875258477766,0.965856255684681,0.0341205821669188,0.866284011326475,0.998076612405412,0.999993855868268
"ZNF416",0.81895807463169,0.999999798812985,0.922531830517499,0.999755440493715,0.986057164756291,0.999955162579649,0.999925460850801,0.93857671312898,0.999995698983358,0.999998518152287,0.989287057862966,0.332198875613662,0.994741065442071,0.982638441422772,0.968696469822258
"ZNF586",0.967625970814039,0.878839933620219,0.999278668927579,0.997070201589165,0.905148400521052,0.799054572606455,0.952633504039842,0.655299958605689,0.503181081485995,0.999946281068612,0.989113120778075,0.666532675150803,0.499680938975886,0.999986377868147,0.993279637216828
"ZNF446",0.86104342778098,0.999759353139873,0.822992421407089,0.999993591927997,0.922873119745661,0.999998781972563,0.874542161701979,0.999999997014817,0.836017577803809,0.929986753036774,0.987135595437295,0.949782154453192,0.966442071171247,0.994330881424778,0.958459213437622
"ZNF8",0.139760509951293,0.992938532107142,0.104106740215444,0.991374039217076,0.778264939881765,0.92730247371964,0.20732515557109,0.999973583771954,0.148956517542788,0.851652944597866,0.946420619549693,0.189124457954577,0.772264138392091,0.999994753659019,0.294802459741013
"ZNF264",0.890075154699478,0.991747554267702,0.999091258636259,0.778346434503164,0.997919658993656,0.978794665763566,0.953562871762558,0.999962922291139,0.999964262963129,0.99124503521113,0.997927980126271,0.926623833245204,0.998972820928059,0.825616761224537,0.980328922694456
"ZNF213",0.0057416285148536,0.998011765578494,0.0819671453312832,0.996408887269899,0.206447932499613,0.999998301226415,0.910161617363198,0.151743716974642,0.997268339995216,0.999667058500574,0.993893795602597,0.00146647137227907,0.999997239961858,0.999919595200732,0.965527885719099
"ZNF343",0.999423561104134,0.991486179692276,0.999823069817503,0.999997860024354,0.999989837240942,0.999178029060787,0.99684893226412,0.976272509243558,0.932774598599129,0.997416289094138,0.999999998584073,0.997952694273285,0.979317553477098,0.999992982537945,0.992752950958725
"ZNF302",0.659424053121552,0.336313131391851,0.990149252142882,0.906609001961137,0.999986398150957,0.985989321037424,0.708918021938446,0.999999692563967,0.984115487968291,0.999998760304492,0.729398634131709,0.980333406505928,0.728909663055602,0.999504911704131,0.990021129356494
"ZNF268",0.903527143249681,0.601341568547459,0.990219409951629,0.994883355409382,0.999770833669243,0.971670862635286,0.849374031129447,0.999996138152505,0.996225236622579,0.998980943732731,0.966231521506385,0.989373429980189,0.775031035040196,0.999997162680351,0.969656189654258
