"gene","p-adj-Dead-Alive","mean-Alive","mean-Dead","SEM-Alive","SEM-Dead","Q1-Alive","Q1-Dead","Q3-Alive","Q3-Dead","count-Alive","count-Dead"
"ZNF160",0.00187930506340572,494.709863028169,566.558481018518,14.5166049468572,18.1819829854287,330.504225,410.348025,635.639625,679.59305,284,216
"ZNF415",0.031311116573756,77.5881007042254,94.9698958333333,4.66509529833093,6.89887730585429,17.891625,22.6145,127.634025,136.52875,284,216
"ZNF439",0.247699148942535,79.4516961267606,86.7245069444444,3.97810197587839,4.95666029263351,31.383625,36.432475,104.8558,114.916,284,216
"ZNF440",0.469717742816222,387.650202112676,404.753730555556,13.363710211737,20.6443237559314,233.913725,224.52805,476.342175,485.66305,284,216
"ZNF562",0.687255359630873,550.862404929577,559.608793518518,13.9956869704362,16.7710479259039,415.263575,394.041625,643.975475,643.46485,284,216
"ZNF561",0.601875044299514,700.375277464789,684.376333333333,19.4719950321221,24.0730302664447,501.230475,479.80915,821.329925,781.9346,284,216
"ZNF584",0.416484522922096,211.844394014085,217.955217592593,4.82704106758322,5.82794343247065,155.986425,156.129425,258.575725,273.176225,284,216
"ZNF274",0.790307707265306,440.958583450704,436.193315740741,11.4134093547878,14.0218939997918,301.1988,299.79325,544.1823,545.6229,284,216
"ZIK1",0.479699001285484,74.6627700704225,80.2362662037037,4.68006878425898,6.61681492296945,14.563175,15.11605,117.27965,102.23355,284,216
"ZNF540",0.795932530200887,32.0488841549296,30.8592125,2.87140408747249,3.67995636294326,10.928525,11.576825,33.350325,33.9834,284,216
"ZNF570",0.455319262904118,60.3263954225352,63.2709060185185,2.62792114669006,2.91227548287763,30.4577,37.6551,79.2843,76.756275,284,216
"ZNF57",0.182522037954445,133.005248239437,124.600085648148,4.48355583428222,4.16773662268346,86.50515,80.683,153.6525,155.539025,284,216
"ZNF556",0.324714530153996,19.6462679577465,17.1792375,1.639231674069,1.89457366281589,0.3624,0.359575,30.348825,23.466025,284,216
"ZNF554",0.692595474348626,107.556418309859,109.5902625,3.49261108560785,3.69723769613882,67.197475,72.082825,134.920075,135.7419,284,216
"ZNF738",0.937863577052177,183.696065140845,182.571749074074,9.78550479991588,10.3764303739722,67.2148,76.648475,231.59815,242.788775,284,216
"ZNF596",0.392054892332796,44.9706672535211,42.3425546296296,2.20741613393431,1.98748595724537,23.7142,21.442075,54.757825,52.512375,284,216
"ZNF621",0.953057826957054,468.482413028169,467.433819907407,12.056523629218,12.8631939452018,344.61535,335.58505,532.73445,562.4036,284,216
"ZNF680",0.83507842475969,265.37348028169,268.590795833333,10.690357216298,10.7738735808302,159.377,170.317075,314.732525,327.54815,284,216
"ZNF483",0.947031556948002,10.5766940140845,10.5116791666667,0.667796019066392,0.697811013309015,4.250525,4.376,13.610075,12.348425,284,216
"ZNF417",0.168961514956555,150.934462323944,160.365963425926,4.09411823373343,5.71514064337855,105.007225,102.356625,186.311075,186.332125,284,216
"ZNF791",0.666996894017177,219.795379225352,223.273513888889,5.41166901490934,5.93148884086512,158.97505,158.5572,262.72945,270.07695,284,216
"ZNF519",0.536954822734188,60.2835045774648,62.6211861111111,2.21572146299298,3.21517170331776,34.47885,32.923325,73.8436,79.26335,284,216
