"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF860",0.998922913158026,0.885413916338337,0.848382612036562,0.986972957853754,0.9808354011805,0.99988590404452,0.858860158634451,0.83419035989086,0.978299731919272,0.998230198636085,36.9114748427673,36.1884641221374,41.0173375,42.89148,47.6772,1.40408277937351,2.46515517999384,4.82923669245619,14.0983435663343,4.5847727679061,21.065375,17.7934,19.235,22.7101,44.7352,46.36045,45.42285,48.854425,42.3301,55.308225,318,131,40,5,6
"ZNF695",0.996211789402615,0.998515728248469,0.999997633929597,0.819901918183806,0.864620701671319,0.88956644056186,0.945428692266293,0.967385095329026,0.976198045869361,0.998420300913408,65.7272644654088,63.6064114503817,63.03181,38.62672,48.5115666666667,3.10631642875294,5.29324321689773,7.75966477320446,10.5372169243781,13.7402662555878,22.555275,18.50395,26.0292,29.5685,25.64105,95.2107,82.3582,99.212975,49.3127,54.214575,318,131,40,5,6
"ZNF665",0.99999921310954,0.962511941387134,0.966953866648602,0.759417849282794,0.772261879102609,0.650804590981547,0.989598278093845,0.990934816057631,0.955536311862839,0.98069434997277,13.7091006289308,13.7712374045802,12.14671,21.12646,16.4235,0.768778045677852,1.26009556744749,1.83827939572336,11.7147236026122,4.69258901602658,4.0589,3.66435,2.75075,4.1408,11.495975,19.902275,19.7361,20.2577,23.301,24.004175,318,131,40,5,6
"ZNF624",0.996719024725471,0.914960484243855,0.977051386612395,0.866486997661429,0.902711797268205,0.97087469488844,0.998148713596476,0.9952372901895,0.97330752470304,0.884300315413672,88.1986547169811,86.8590564885496,82.970585,72.07402,92.7902,2.08553241750967,3.34025144381294,3.97775150235746,12.8996973501086,18.4294069621714,62.737825,61.43265,67.102825,50.7192,64.890125,105.90395,103.84985,94.044,91.2621,107.05365,318,131,40,5,6
"ZNF841",0.975382058258898,0.999695874137735,0.98513002219085,0.871341689894875,0.812072655730095,0.915473034775653,0.995888915691697,0.999486896867042,0.993218281264805,0.868233721883487,223.914675786164,232.096483969466,219.66753,166.66548,244.15805,6.97523352898431,13.2691598415032,19.5331314828436,47.293156568751,44.2129062599957,139.125875,139.37485,125.1273,68.323,160.263375,288.070925,282.03025,274.331425,220.9709,342.684625,318,131,40,5,6
"ZNF615",0.993949035410912,0.164370699031678,0.346149113915183,0.984813834508456,0.973012967027184,0.695433202341498,0.76406548249581,0.712788511910082,0.282410283056557,0.994006136320447,136.13718427673,139.255902290076,163.625555,118.88584,100.74045,3.91766555186117,7.12628272330036,11.5308136764225,21.4063790432805,11.1495337603193,87.730925,90.37325,109.613925,102.1008,82.357425,172.80725,174.92115,216.18355,159.7275,112.9575,318,131,40,5,6
"ZNF433",0.997255845229827,0.629791537646706,0.804168338860509,0.994208354953235,0.989209561538899,0.903807547531651,0.999585347848497,0.998484614559277,0.949258589586155,0.999845942806329,60.9273770440252,62.5497893129771,71.8348575,52.38514,56.9449,2.28399078847047,4.79688638488735,9.68724866449076,12.1658239551047,12.731146629978,33.531125,33.48375,34.17585,38.2353,32.727175,80.97165,83.1641,84.32325,70.0227,78.69225,318,131,40,5,6
"ZNF595",0.39149348446867,0.990129037271037,0.593668229180818,0.997583030629924,0.999989709151673,0.989620730594034,0.783555989912403,0.95912254649902,0.718746121941392,0.983589600094926,159.846923899371,129.85503740458,172.65729,135.95426,83.0377833333333,9.3439304451568,14.0449179507812,24.9282772295727,40.3406047963785,8.44207821125488,69.7989,61.9969,70.97175,65.2174,67.46725,185.968,148.41125,222.117625,201.6807,94.657225,318,131,40,5,6
"ZNF460",0.999998938609211,0.323448304362678,0.416744255837599,0.856316882402194,0.865820264303797,0.998665643127847,0.244274160879396,0.251216336523638,0.0626142140232622,0.206014275369579,77.2903229559748,77.4957145038168,90.7914825,96.4293,41.3555166666667,2.36735998515829,3.65637474493585,7.80349221149136,14.5364185113459,12.3952899748094,48.5137,46.5179,50.24625,74.0166,20.777425,99.004825,97.63285,118.12025,111.3445,63.92165,318,131,40,5,6
"ZNF81",0.9329013690082,0.148033578908334,0.449449483638186,0.977122487420775,0.994636252810362,0.999067345951661,0.657874667819213,0.78582277850125,0.994892582443075,0.988743855835358,127.302215408805,122.995730534351,107.1329475,113.4677,98.0941833333333,3.04835838880665,4.22467725606959,7.52260531416765,28.9625754748607,20.121075043271,88.0243,93.21815,76.505225,96.2733,82.894375,152.8942,143.781,129.5533,116.9219,102.334125,318,131,40,5,6
