"gene","p-adj-Cluster 13 (HNSC-LUSC)-BRCA CIMP c7","p-adj-Cluster 14 (HNSC)-BRCA CIMP c7","p-adj-Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 5-BRCA CIMP c7","p-adj-Cluster 5-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 5-Cluster 14 (HNSC)","p-adj-Cluster 6-BRCA CIMP c7","p-adj-Cluster 6-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 6-Cluster 14 (HNSC)","p-adj-Cluster 6-Cluster 5","p-adj-Low purity c2-BRCA CIMP c7","p-adj-Low purity c2-Cluster 13 (HNSC-LUSC)","p-adj-Low purity c2-Cluster 14 (HNSC)","p-adj-Low purity c2-Cluster 5","p-adj-Low purity c2-Cluster 6","p-adj-OV-like c1-BRCA CIMP c7","p-adj-OV-like c1-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-Cluster 14 (HNSC)","p-adj-OV-like c1-Cluster 5","p-adj-OV-like c1-Cluster 6","p-adj-OV-like c1-Low purity c2","mean-BRCA CIMP c7","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-Low purity c2","mean-OV-like c1","SEM-BRCA CIMP c7","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-Low purity c2","SEM-OV-like c1","Q1-BRCA CIMP c7","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-Low purity c2","Q1-OV-like c1","Q3-BRCA CIMP c7","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-Low purity c2","Q3-OV-like c1","count-BRCA CIMP c7","count-Cluster 13 (HNSC-LUSC)","count-Cluster 14 (HNSC)","count-Cluster 5","count-Cluster 6","count-Low purity c2","count-OV-like c1"
"ZNF662",0.992576838190652,0.999999912924754,0.966707320998792,0.068924457499522,1.33571476990113e-07,0.014818465940583,0.999999986896331,0.993436350304986,0.999996518717725,0.0326593025183254,0.0249658210895313,0.000155629336666907,0.00588046566925982,0.886927865233931,0.0123794467269853,0.00463082473617094,0.00343781855567349,0.00247669824090557,0.134458638826826,0.00379075020930886,0.381343045100994,27.86417,42.0312797101449,25.2584615384615,85.4004602649007,29.7635846153846,101.140703703704,178.538733333333,11.6292060358302,4.1664055898969,4.8735778560301,6.14433884105637,6.7063984229361,12.1663732191523,59.3348564631093,11.17275,11.94135,9.6427,32.7705,12.6591,50.47165,141.8386,27.112,48.67865,36.8481,115.0005,43.3282,142.35335,237.2657,10,138,13,151,13,27,3
"ZNF320",0.0171950433012376,0.0899211141640232,0.999985104145577,0.684882221666896,4.7769956434851e-05,0.301075724872617,0.774710142250415,0.652852890638391,0.805693531080185,0.999934227063159,0.885856508146479,0.0432068382881733,0.364208864815985,0.999892055237399,0.999222529888798,0.910516657039891,0.0279279668315277,0.0466395467274738,0.299802581377583,0.333025641900663,0.422330115665759,567.35278,267.40593115942,248.413861538462,423.493541059603,399.161138461538,442.632833333333,777.041666666667,146.15674899434,20.6117638192849,69.33064895596,23.3007969190621,65.9081895997618,54.9120141227943,345.011148026226,318.990725,93.523875,74.8428,215.12655,246.594,278.89045,504.42315,693.9167,370.9604,423.4469,577.16495,532.9324,527.21845,1096.4735,10,138,13,151,13,27,3
"ZNF530",0.811736115008451,0.872947284147793,0.999976364534599,0.999991650225676,0.021805852948674,0.69588557118641,0.991972585164618,0.99839698378342,0.997298909884565,0.985863956164482,0.971039219196524,0.998015453887299,0.99773691112555,0.863495789158124,0.999999827212405,0.996455543313609,0.999999965157423,0.999995420682969,0.997606527433244,0.999998473654088,0.999999864033968,115.98947,92.383297826087,88.5004384615385,112.322846357616,100.408092307692,98.4291444444444,95.0016,13.7118758073111,3.7341467271299,12.2975765659521,4.87314471080181,15.0783962161885,9.4284372185093,36.9599839785319,94.197875,60.75935,62.3216,70.5598,67.2089,56.13335,58.3823,123.4243,113.0694,119.7103,143.3033,99.6117,131.7212,117.6472,10,138,13,151,13,27,3
"ZFP1",0.900792186853206,0.990057325555609,0.999972716913211,0.993262451352187,0.811824599591358,0.999941581805111,0.919091560120451,0.999937822522548,0.99958796302999,0.977301839189753,0.999999202778294,0.692966186539012,0.988332100467011,0.983180559665097,0.875175221256596,0.596669372113979,0.124934708427609,0.265386659731041,0.229279028260541,0.155862451787258,0.442884719340471,253.8844,215.966757971014,223.435638461538,231.902179470199,207.378092307692,248.622840740741,365.449566666667,29.337325230831,7.18745332806025,20.0420406989956,8.45000632105109,14.6171915901802,23.7434148818159,172.518823411025,204.513475,159.5817,175.7051,163.2167,174.586,165.90675,195.2725,250.114925,263.170675,256.0976,273.8764,255.9041,306.0963,475.0714,10,138,13,151,13,27,3
"KRBA2",0.99999922623694,0.681237412342355,0.167802725147238,0.99994901200375,0.999637870519517,0.111500235534531,0.999545480395271,0.986842546392937,0.868644969327436,0.964257624775893,0.999998413232422,0.9999999952026,0.312161442110365,0.99999807869765,0.992077924523087,0.999956806564298,0.999984283549269,0.830711408609743,0.999998718965562,0.997565118159007,0.999993135247265,44.85989,45.9497057971015,29.3232307692308,47.0591178807947,40.7384307692308,46.2493074074074,49.1704,6.4696910922384,2.10830051589721,4.14075203671223,1.78488647433848,6.80980603127865,4.35785676630272,17.4626290203776,27.883725,29.363075,17.9918,30.44085,26.3789,27.5028,32.16695,57.278725,58.095375,32.9196,61.7758,48.5961,55.37035,61.11735,10,138,13,151,13,27,3
"ZNF93",0.999886508734019,0.999998732462372,0.996635563236274,0.981643450580167,0.816339730287322,0.906228020270675,0.999138754135881,0.999926494919397,0.993752127025666,0.999981017690451,0.986103037483282,0.97756559774168,0.939563156720827,0.999999929810894,0.999966962543922,0.941760746822855,0.954513543838981,0.900549367889932,0.991298337550852,0.987842949431986,0.994708552503253,64.74373,76.05305,57.9409846153846,92.7251754966887,85.3567769230769,94.8080481481481,136.0655,22.8692836404741,5.69493239109605,16.2473291250177,9.69474987783309,23.9686311395486,32.9135741727793,63.1430490721663,10.7354,28.9194,20.5444,37.7983,33.4239,34.69395,76.65775,90.0032,99.150425,71.4113,117.69745,94.351,91.3258,184.29835,10,138,13,151,13,27,3
"ZFP90",0.0485532670522075,0.466477717445258,0.997552628177823,0.144434523126651,0.893813101032564,0.999999968459222,0.551811111116483,0.988776715900496,0.999999448331603,0.999968210170866,0.944718417402599,0.0775374468468477,0.870791249649742,0.327023802056134,0.928256648665556,0.978809972710046,0.992165063388491,0.999743712614751,0.999239879523412,0.99993869270556,0.999948840867254,618.53636,445.883111594203,475.251707692308,470.92297615894,484.727553846154,550.4317,518.923933333333,75.7932222889021,13.7773697736715,45.2280980254992,14.8237717428497,52.9320425724375,34.5605893583677,201.404195830527,427.40545,323.50455,362.1326,340.3901,405.3134,448.6019,317.7012,797.5109,506.81255,561.0316,562.2437,600.7919,605.9634,626.93775,10,138,13,151,13,27,3
"ZNF479",0.999999999426533,1,0.999999998814103,0.999999964194793,0.999999756545249,0.999999925674509,0.00767007743352965,1.09411172740659e-05,0.00302103064599701,1.26318354952693e-05,0.999999999999687,0.999999999332381,0.999999999999325,0.999999831969343,0.000264455956422216,0.999999999602946,0.999999999991111,0.999999999532132,1,0.249193325217615,0.999999999807116,0,0.0943086956521739,0,0.187407947019868,9.95010769230769,0.0321518518518518,0.1783,0,0.0414501392095761,0,0.0855067863695757,9.86302000609855,0.0321518518518518,0.1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26745,10,138,13,151,13,27,3
"ZNF445",0.999025309734207,0.841516183122228,0.818369850552065,0.99995341601624,0.997977532382107,0.68351181648082,0.999667886923401,0.999999999823579,0.956877716206341,0.999973899219869,0.996822550181239,0.999942497039015,0.955956801478685,0.996433654966673,0.999998803858904,0.846556718740252,0.581990625315719,0.289910472445067,0.655566770182327,0.674875479035961,0.560873791457503,456.55244,429.897782608696,363.338438461538,440.803629801325,428.166153846154,419.378777777778,601.262866666667,63.791053655955,13.0777187903523,58.4404425373021,12.9780070038681,72.5098466937534,31.160958593111,236.259823239651,335.535675,327.986575,178.5714,339.6818,290.9672,320.1965,372.6084,506.4688,513.393075,480.3022,544.64565,474.9543,510.2287,767.0865,10,138,13,151,13,27,3
"ZNF74",0.904788707389166,0.675096573212464,0.950395378926761,0.995080164828203,0.769924686972389,0.674404785301473,0.590500010056395,0.894103263824846,0.99999944599526,0.550548150449737,0.643401278734987,0.928430372141061,0.999996283117293,0.463686702457393,0.999861469482386,0.998887120551208,0.99999993084633,0.998073080794587,0.999994925706215,0.995756474352063,0.999168020648587,627.17103,449.078035507246,312.266107692308,528.805220529801,287.396223076923,341.715074074074,475.2106,140.011239720716,16.4868224296275,46.7179550620893,54.3759831987519,36.5127500810161,30.8287599603489,72.0468690982705,418.35335,307.1614,218.8209,313.01225,175.1012,228.5737,425.5887,631.890425,540.6389,344.2995,565.10375,400.8793,414.7675,545.25775,10,138,13,151,13,27,3
"ZNF829",0.999682692748214,0.87087170540988,0.260104426975494,0.984661489346678,0.923641896489182,0.092663836819345,0.999999999950063,0.999635846085877,0.812861720452555,0.977505490483828,0.999999999978868,0.997404796513073,0.686591938586171,0.890295568585482,1,0.869652683793741,0.895066560179673,0.343059457675467,0.959485059681009,0.862664607489895,0.828884785792088,15.42571,17.8832637681159,5.49000769230769,20.3484397350993,15.6537,15.5995703703704,31.0104,6.31028120691322,1.59512301077696,1.94947252745854,1.6791125755806,3.29518322623905,2.32401571002663,14.5668575273919,2.75925,4.328875,1.6737,7.9198,9.5923,8.2327,22.31125,22.0242,24.66285,7.9365,25.68045,20.5593,17.87815,45.4787,10,138,13,151,13,27,3
"ZNF267",0.999872776424179,0.983350715457589,0.703572079603446,0.999975760087914,0.999985846768647,0.758433069537125,0.954011577592659,0.526183485337158,0.999995007270651,0.586417829477431,0.99999997565761,0.993944201570125,0.968095337988204,0.998106312649045,0.90987735860773,0.998814104483214,0.999778961293031,0.941383201395276,0.999556968375832,0.90409656806532,0.996999714048341,461.63757,441.46831884058,523.495338461538,446.465075496689,537.459638461538,467.045559259259,401.9562,54.3950801882957,13.8997761773524,53.8002953103378,15.4216650822024,68.6637794086215,33.3165353607022,98.8371246160234,376.69285,344.07745,403.9172,331.7814,357.4198,381.98195,305.85635,478.76245,508.48395,618.9719,535.04095,595.5176,601.6879,470.01105,10,138,13,151,13,27,3
"ZNF566",0.99351721229913,0.519601108198308,0.479916181605469,0.999783779574625,0.978017888919516,0.266552941408348,0.772959218399869,0.835089505876727,0.999575546556948,0.6229243006115,0.998410779423472,0.99999957173379,0.605339372476433,0.99984441904331,0.882620454797086,0.972545434814931,0.803281858313181,0.334668336010288,0.884326486126537,0.496688333221204,0.854270568264951,174.74535,156.236223913043,110.498453846154,164.631855629139,124.146030769231,158.515488888889,223.789166666667,25.6048013655132,6.35433988041268,12.8758312815812,7.86310518124666,13.2316433521215,10.9396253590822,69.8100562066415,114.42415,109.06705,79.4957,110.7404,97.4114,117.92475,154.0844,206.21255,192.278875,143.6731,190.1924,147.9482,190.8777,261.96075,10,138,13,151,13,27,3
"ZNF224",0.647237319256929,0.624747442064181,0.997341337652271,0.997461132177463,0.0447969252177923,0.544740647805748,0.992128577962402,0.980344537667827,0.941387294079887,0.99976493327781,0.999991860079247,0.299762192390929,0.503063601830037,0.998569167350235,0.99517162396208,0.999979885377939,0.995151696417294,0.979101880035231,0.99999999962161,0.999993181294339,0.999999365829689,182.90178,143.509402898551,131.271684615385,169.24162781457,161.269969230769,177.134451851852,170.955833333333,28.9983898974209,5.46097561259431,20.8935351837867,6.23445675708891,22.5670284014612,14.187341255276,73.0807527170762,115.945175,94.576075,57.6474,112.4583,104.5352,127.97555,102.12375,213.7071,181.84135,166.3087,217.5085,190.1521,228.6888,226.637,10,138,13,151,13,27,3
"ZNF529",0.998013861240539,0.446007888655944,0.291803375121329,0.99999909756781,0.454309998705164,0.0439405573801203,0.996190204639232,0.999963604832062,0.784181741564958,0.937039154151355,0.99999999991265,0.970465884726675,0.173719208311073,0.999997528672652,0.984299562740703,0.999894681730689,0.993538795807449,0.667578360562008,0.999950940964088,0.989521980393856,0.999879414025187,291.36752,263.14785942029,162.705384615385,298.936457615894,250.620853846154,293.202088888889,325.419966666667,57.2958489744953,12.5754344418158,25.0934005898651,14.2008192929281,34.8291184810037,22.9918264411987,50.0008171688001,175.227575,176.74285,103.1883,197.0621,150.8097,234.59525,275.64,404.7438,315.15065,236.478,359.1964,331.793,350.60505,354.37535,10,138,13,151,13,27,3
"ZNF284",0.999989104936081,0.740643245154376,0.461357027680669,0.999999357619033,0.950726769154834,0.223121267559103,0.9999851570477,0.996859269947269,0.501629501765625,0.999996382969058,1,0.99989730414606,0.505470529305745,0.999984082164126,0.999929684523526,0.999846072246266,0.999966861454597,0.995901472360733,0.999123357317359,0.998589364314469,0.999782633261205,43.83188,41.9505927536232,27.6488615384615,44.9981953642384,46.3775384615385,43.7186037037037,37.9050333333333,5.55366205887411,2.13798557113882,5.04727194104537,2.26092580505921,7.23605886642738,3.5561402363174,12.0166098772121,29.670325,24.738825,10.7933,27.20785,28.5301,34.5863,25.96695,52.67075,52.216475,43.167,52.46475,56.1024,51.84875,45.06185,10,138,13,151,13,27,3
"ZNF749",0.0402941324180357,0.100615499930984,0.999021241701386,0.515777348541042,0.0165914810339713,0.5191104945414,0.0448824146706551,0.968872850957548,0.999908323156763,0.255645244946488,0.214201589513651,0.997774302705076,0.98781480163922,0.84670018237595,0.914378591448651,0.997910186223189,0.933719835988276,0.892409150273728,0.99963887223643,0.800836945386777,0.980401481245872,113.45541,74.4040594202899,68.8777846153846,89.7794688741722,63.9137615384615,79.0399851851852,99.1156333333333,21.1858981545191,2.94860655692519,8.52657115117995,3.47476862172208,7.41268909277158,6.60006063709671,32.5543693329755,77.159025,50.367925,35.7143,56.43655,45.6288,49.2091,66.69965,114.1544,87.5261,94.1577,114.3437,80.7354,104.5639,117.9204,10,138,13,151,13,27,3
"ZNF17",0.111679737462349,0.466774947577113,0.999991499787129,0.857535280571772,0.00288440713061411,0.830891387145252,0.359851832529516,0.999999999941607,0.999996962557775,0.689042291041264,0.930840039106829,0.285897529836974,0.89381484867469,0.999999976101642,0.795657284528082,0.990590855594349,0.99420125630283,0.998693405688721,0.999999887632693,0.99607413004804,0.999999624958833,159.0289,114.455751449275,117.6585,137.524654304636,114.016338461538,138.387466666667,134.4069,19.220030317533,3.73687867650147,12.7074146319111,4.44792117864256,19.7168319601895,10.0052572382575,39.5200055516612,118.6326,84.291225,74.263,99.2171,83.7875,103.5447,94.89735,196.274475,132.476075,158.0128,171.55945,115.6627,173.36945,154.9489,10,138,13,151,13,27,3
"ZNF555",0.949234774689459,0.98930319635489,0.999999993214537,0.923242771885496,0.9999766994334,0.999997952287384,0.999999994566047,0.876889779637003,0.976636300232638,0.826849182144831,0.99577329188607,0.999109029291434,0.999983365610986,0.995963769546337,0.987609934070131,0.998032735790991,0.999999998996153,0.999999986940752,1,0.996601152387907,0.999992593381667,77.93524,68.1439268115942,68.7002923076923,67.2608695364238,78.7125307692308,71.0915111111111,67.3302,11.1366002058198,2.38487654755962,7.39446998547461,2.479911059479,7.23715431987357,5.77139039378254,12.7043541028263,50.710375,50.884525,50.1889,47.95115,63.587,48.85325,54.6795,97.470125,83.31355,79.9231,80.8775,89.1811,85.5136,74.66565,10,138,13,151,13,27,3
"ZNF75D",0.999999999868254,0.999967246031599,0.999505965838306,0.994626897120201,0.594480484595013,0.915695336362306,0.99996462565081,0.999470971949614,1,0.913975631815313,0.705806619309936,0.101955303045962,0.383968677575591,0.589586527211598,0.381246838946388,0.99939934665324,0.999040414783088,0.995560045899864,0.999999491093652,0.995469958050418,0.999203884187632,212.43227,213.618480434783,200.256130769231,235.418418543046,200.096346153846,274.25902962963,243.799133333333,27.9197822460032,8.29162990938456,25.4980523115766,9.61026183736581,19.8168273153813,19.5493707053743,114.659547593885,171.567725,149.221025,124.956,162.65125,143.81,213.11335,129.2264,229.521725,254.74515,230.4139,276.838,238.0827,327.3694,304.94885,10,138,13,151,13,27,3
"ZNF197",0.810683694565299,0.781188449256618,0.998517244220296,0.892922845094295,0.998687147901981,0.990458065329064,0.966527315374141,0.999993830793723,0.998257860447132,1,0.984190546810814,0.990471743049558,0.97148375363227,0.999370059326003,0.999959308657169,0.996038992759655,0.999999986842283,0.999936345914398,0.999999999934302,0.999999999972976,0.999996774883383,287.80131,252.71460942029,240.967792307692,257.381427152318,257.309615384615,264.66127037037,256.0177,26.6391675133291,6.80610892553907,22.9247834886638,5.74430324857485,24.5045145353161,15.6735349859066,94.2360422539062,253.525125,199.52675,189.6864,208.48935,215.9401,218,166.3213,336.733775,294.634625,290.6436,291.33515,278.1775,290.7367,325.8907,10,138,13,151,13,27,3
"ZNF732",0.94075432779403,0.980509154372531,0.999999999952591,1,0.0515033279002504,0.880993988883229,0.649393939999166,0.0070542666300909,0.108747465405604,0.204945896730506,0.998735367601673,0.989502147052964,0.998973961557567,0.970220684473791,0.124914976234191,0.999685333390525,0.94403647396696,0.961739229484434,0.999404845343306,0.993916187828497,0.989935201641353,5.38402,2.46286739130435,2.39266153846154,5.40810066225166,11.2597923076923,3.7919962962963,7.60543333333333,2.82628256556205,0.436485921682112,0.838252576566464,0.807292779879985,5.63321954888646,0.858897941933494,6.62994347646427,0.89645,0.4269,0.6289,0.70475,1.087,0.92975,0.97755,3.568175,1.742525,2.6983,4.10505,10.7707,3.5563,11.0625,10,138,13,151,13,27,3
"ZNF546",0.999868683379142,0.966762451189686,0.588140740625268,0.999989919513845,0.999878661496231,0.675551006180435,0.957782579264442,0.542045178378202,0.999999998589084,0.630576373541895,0.943520362733502,0.85114649108348,0.242898314749409,0.743986899629995,0.215978639364779,0.999680630179283,0.999975282224496,0.94815092118013,0.999901041669145,0.940407769071493,0.999994226301774,46.59236,50.7064115942029,32.2041615384615,49.2468185430464,31.4813,60.7303333333333,56.2259666666667,5.74740311520874,2.72953335326408,6.23927470841927,3.48138974719013,5.27866650665313,7.27292868410478,8.6494287253231,35.81505,29.30945,19.5793,28.2955,16.3777,38.20945,48.0993,58.5379,69.19495,33.4467,58.15665,46.9601,68.059,62.85395,10,138,13,151,13,27,3
