"gene","p-adj-M1-M0","mean-M0","mean-M1","SEM-M0","SEM-M1","Q1-M0","Q1-M1","Q3-M0","Q3-M1","count-M0","count-M1"
"ZNF434",0.176649247509968,325.023343296703,377.029033333333,3.0940210032615,70.3329819194459,280.86225,336.68415,355.3998,447.094,455,3
"ZNF287",0.593084838704048,157.405773626374,168.422066666667,1.66246930465614,31.2351759910913,131.64165,142.06365,179.3195,196.11515,455,3
"ZIM3",0.121585489227455,0.0270646153846154,0.163866666666667,0.00709932365654933,0.163866666666667,0,0,0,0.2458,455,3
"ZFP14",2.04754377215455e-05,211.057856043956,379.1117,3.01929521113395,177.065739627603,167.9457,205.8357,249.7201,497.30565,455,3
"ZNF473",1.42692893057017e-07,262.990326373626,819.823033333333,7.69553002792476,647.173510070714,181.11485,172.79025,278.09865,1155.0269,455,3
"ZNF614",0.803936292491275,790.667207252747,855.33,21.0857929881441,204.811127347051,487.7668,658.16355,966.4234,1001.92095,455,3
"POGK",0.0751748833460056,914.257508131868,1160.76136666667,11.2099520576834,27.0278675867664,770.72125,1136.4223,1030.8271,1183.10865,455,3
"ZNF514",7.04371116988511e-10,250.122514505495,676.372633333333,5.40680625444841,176.230976261357,173.67255,545.2866,306.997,843.9223,455,3
"ZNF300",0.438477754885062,123.879094065934,155.954933333333,3.32619831786745,81.5693911544915,76.3992,74.4054,152.29465,198.28835,455,3
"RBAK",0.00433903838155691,444.714411208791,668.635966666667,6.29826393538151,127.436462829003,363.1994,542.8357,518.4595,749.16445,455,3
"ZNF92",0.0588126704929163,210.669245494506,300.5477,3.84580088309372,26.2554617101534,154.118,276.7202,257.01125,322.0113,455,3
"ZNF157",0.582577155604638,1.1739367032967,0.760866666666667,0.0608793255053378,0.39121714487538,0.1136,0.49165,1.65985,1.1413,455,3
"ZNF182",0.0551567180831923,151.842182417582,205.272266666667,2.22682510602339,64.9475892261428,118.05825,140.86765,176.75225,244.7324,455,3
"ZNF673",0.272405139263569,224.186542857143,265.218733333333,3.0280782623523,11.7006804437938,180.9998,254.48195,252.1599,274.6146,455,3
"ZNF41",0.700268983982871,222.068304395604,241.591066666667,4.10404959845787,44.0367686697656,172.35745,214.47665,266.27475,285.1988,455,3
"ZNF7",0.554597965993769,469.855281538462,527.3648,7.88132483218647,62.7256691747751,364.6814,469.10135,526.36815,576.6189,455,3
"ZNF214",0.518113340423263,55.3818443956044,46.5009,1.11211632816686,11.2882086578577,39.76235,36.07385,72.8775,55.45945,455,3
