"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","mean-T1","mean-T2","mean-T3","mean-T4","SEM-T1","SEM-T2","SEM-T3","SEM-T4","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q3-T1","Q3-T2","Q3-T3","Q3-T4","count-T1","count-T2","count-T3","count-T4"
"ZNF383",0.78061469058322,0.920050847715523,0.995654978072548,0.149813755495883,0.291763037459893,0.261039322972908,104.858133333333,96.557276,98.7043764705882,57.7059,5.32263197632495,5.49203751122259,9.22395414690631,16.5875,95.6716,81.1411,65.7521,49.41215,121.4589,108.3192,121.6013,65.99965,21,25,17,2
"ZNF669",0.445878199867638,0.983509868148448,0.731098958408772,0.766532873565528,0.981890564676068,0.852949079744639,107.372361904762,84.620064,101.292752941176,70.47615,11.8440074086464,7.83375938797348,15.4235336987048,15.65155,75.0708,63.6081,72.5999,62.650375,125.9734,94.2973,97.4556,78.301925,21,25,17,2
"ZNF559",0.691628901925645,0.973719999419809,0.934144472622958,0.876076561281878,0.630178991197046,0.789357680366081,307.482328571429,343.355472,322.830917647059,246.2206,19.9816973213026,17.8264679872594,35.2918735243434,149.9088,235.3367,287.8471,266.8935,171.2662,371.8795,394.9134,380.9048,321.175,21,25,17,2
"ZNF177",0.366525550153685,0.939110907141916,0.152955448091359,0.253225806130966,0.0639442282146644,0.388229744424189,128.072857142857,151.986088,118.804529411765,59.8671,13.8507158834353,8.03426547578624,10.4011917291141,4.2421,85.2074,134.3485,79.0581,57.74605,151.7861,176.0705,146.7516,61.98815,21,25,17,2
"ZNF548",0.879712336617992,0.488263648240117,0.862612105138148,0.394039007110052,0.567484419657396,0.779234382155615,383.428261904762,354.856264,322.9013,230.7298,33.7017910615851,23.3668554675791,25.9534664097705,149.2044,255.2169,289.0909,240.6504,156.1276,480.7128,372.1562,398.9662,305.332,21,25,17,2
"ZNF563",0.99766251402177,0.993568202249475,0.969620564305241,0.261040269433614,0.289716770354076,0.22050358365154,89.5852095238095,87.876268,92.2364764705882,47.3038,6.03093212027202,5.78520233648089,9.056107071403,17.3892,74.3592,59.4894,64.188,38.6092,101.7225,107.4689,104.8353,55.9984,21,25,17,2
"ZNF567",0.950749364052497,0.20482590333032,0.409649030040085,0.0235645817946702,0.0389183354028545,0.184663123635316,116.116480952381,111.758204,98.2175294117647,56.0622,6.8891867947241,5.39921224816324,5.66066454453817,14.9438,95.3773,94.5455,78.6638,48.5903,123.4712,126.6278,111.9282,63.5341,21,25,17,2
"ZNF573",0.96902316313218,0.992212641734735,0.890100554023234,0.200257330162281,0.269697611301404,0.164759432365473,28.5478428571429,26.599348,29.8814588235294,7.01475,2.99088202017375,2.43698494206892,4.54595222573674,1.53225,17.4806,17.0633,13.0081,6.248625,35.9198,33.2767,44.3129,7.780875,21,25,17,2
"ZNF527",0.378281582412078,0.0214348310374575,0.406397349853421,0.00420746049125365,0.0250426232999376,0.133041190250511,147.759066666667,130.938568,113.629188235294,55.57665,9.95230224109294,5.70126638944577,7.25726793877778,8.56805,125.5202,111.034,89.8374,51.292625,153.7925,148.4962,130.1692,59.860675,21,25,17,2
"ZNF33A",0.98663228974361,0.913196813462526,0.983540229770423,0.965167710270543,0.986540681610534,0.997903726787091,773.464642857143,745.851788,714.348805882353,677.14055,43.3505599494388,62.0047128200904,63.3970589402282,485.25455,582.9678,522.8381,544.7154,434.513275,889.4803,884.9408,850.3275,919.767825,21,25,17,2
