"gene","p-adj-Current reformed smoker for < or = 15 years-[Unknown]","p-adj-Current reformed smoker for > 15 years-[Unknown]","p-adj-Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","p-adj-Current Reformed Smoker, Duration Not Specified-[Unknown]","p-adj-Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","p-adj-Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","p-adj-Current smoker-[Unknown]","p-adj-Current smoker-Current reformed smoker for < or = 15 years","p-adj-Current smoker-Current reformed smoker for > 15 years","p-adj-Current smoker-Current Reformed Smoker, Duration Not Specified","p-adj-Lifelong Non-smoker-[Unknown]","p-adj-Lifelong Non-smoker-Current reformed smoker for < or = 15 years","p-adj-Lifelong Non-smoker-Current reformed smoker for > 15 years","p-adj-Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","p-adj-Lifelong Non-smoker-Current smoker","mean-[Unknown]","mean-Current reformed smoker for < or = 15 years","mean-Current reformed smoker for > 15 years","mean-Current Reformed Smoker, Duration Not Specified","mean-Current smoker","mean-Lifelong Non-smoker","SEM-[Unknown]","SEM-Current reformed smoker for < or = 15 years","SEM-Current reformed smoker for > 15 years","SEM-Current Reformed Smoker, Duration Not Specified","SEM-Current smoker","SEM-Lifelong Non-smoker","Q1-[Unknown]","Q1-Current reformed smoker for < or = 15 years","Q1-Current reformed smoker for > 15 years","Q1-Current Reformed Smoker, Duration Not Specified","Q1-Current smoker","Q1-Lifelong Non-smoker","Q3-[Unknown]","Q3-Current reformed smoker for < or = 15 years","Q3-Current reformed smoker for > 15 years","Q3-Current Reformed Smoker, Duration Not Specified","Q3-Current smoker","Q3-Lifelong Non-smoker","count-[Unknown]","count-Current reformed smoker for < or = 15 years","count-Current reformed smoker for > 15 years","count-Current Reformed Smoker, Duration Not Specified","count-Current smoker","count-Lifelong Non-smoker"
"ZNF181",0.346631833066976,0.699786726795786,0.999108760085178,0.999998332247366,0.603002259912597,0.829888580355142,0.655024211865924,0.997445728097081,0.999999919727386,0.821857951308499,0.443337575998251,0.930007822319073,0.999075331867429,0.822002505590542,0.99938002851839,314.289866666667,198.302625,223.1662,321.7476,226.965575,242.712630434783,53.5856397351484,16.5407119166808,31.1305410531737,39.9622,27.6607152366967,13.2191386660797,233.397,172.4202,201.41595,301.7665,185.8016,189.819225,388.7042,225.403675,253.32935,341.7287,257.471325,294.491175,6,4,3,2,4,46
"ZNF44",0.999709715359349,0.999333245940403,0.99299749973594,0.975424280715978,0.996506282747777,0.936599961883014,0.999009037105109,0.999999625927829,0.987998055839086,0.998175188903387,0.999801512965127,0.991831413727333,0.999937141120863,0.915296871693876,0.982909989992366,418.689783333333,445.162175,384.3038,504.63795,452.7537,402.21572173913,57.9634769066891,51.8605763370786,50.651151127722,126.20975,48.4299145543674,21.668914254901,324.99675,381.429,335.8798,441.533075,407.0899,313.6587,539.507675,514.234675,421.38015,567.742825,481.4792,474.45455,6,4,3,2,4,46
"ZNF790",0.98500021160999,0.752851519581893,0.462706279228307,0.935781666869224,0.998843004403001,0.42070372735873,0.996488316363286,0.999982607344699,0.559401776791841,0.995213252800653,0.999999999996112,0.960579062901835,0.599963453300507,0.894509332607633,0.990034239167653,127.871,109.65855,168.492966666667,95.51825,114.573425,128.011934782609,19.8120827927303,5.77930225149773,15.4979162130842,13.26255,18.7359584220368,6.51269361111908,97.8415,106.864825,154.87125,88.886975,105.086425,101.091925,168.4835,115.190175,181.70505,102.149525,133.10685,150.13055,6,4,3,2,4,46
"ZNF677",0.999989235250825,0.863075373174545,0.937529099866591,0.157917594681276,0.256042500469373,0.78134060767851,0.999935680698266,0.999446932964234,0.817982006605725,0.151732965613642,0.975891907931575,0.99798202488889,0.964257660049308,0.203192619251374,0.949529799590353,86.94305,83.773625,60.3892666666667,21.1199,91.487375,76.3384456521739,17.3404802260635,15.7163688478698,28.3148845554968,1.005,10.8278867006582,4.71117124026895,76.198625,72.91565,41.7467,20.6174,78.9662,55.768875,112.2218,104.509025,88.167,21.6224,108.644075,95.9714,6,4,3,2,4,46
"ZNF823",0.981987192134817,0.999129295868164,0.939170314221214,0.999987140555707,0.985327621725638,0.999991097499203,0.999999999971205,0.987122686918684,0.99948017659054,0.999992889921975,0.995033302586059,0.786823248926005,0.999999954030935,0.999992083619762,0.998215807277736,147.833083333333,170.63005,134.753766666667,141.41645,147.458025,136.267484782609,22.2352180235082,18.5214036886382,28.0383301752163,4.05765,23.4319170807816,7.69908532932652,110.3799,154.80545,120.4086,139.387625,120.16265,101.394125,188.87265,177.75425,162.78955,143.445275,158.312075,161.34045,6,4,3,2,4,46
"ZNF311",0.998021960866133,0.559128151223041,0.845255610030365,0.999999976231205,0.999140349998566,0.767464468795197,0.999999999938323,0.998521858674062,0.631510124525454,0.999999995516131,0.999999837109577,0.996694048349701,0.394487640854589,0.999999215750832,0.999999750982021,28.4262833333333,33.4321,49.6363666666667,27.78365,28.271875,28.928452173913,7.30051814199589,11.198966590494,22.3387476994074,25.01805,6.68631880526385,2.32983736777434,22.056925,25.109375,28.8352,15.274625,21.45995,16.284275,35.1025,45.558275,67.0902,40.292675,31.473925,39.416875,6,4,3,2,4,46
"ZNF347",0.597298693519138,0.983488473155435,0.361492917744754,0.941816696749169,0.99938994204043,0.760001233736789,0.793390235801777,0.999676349488315,0.528672521381429,0.999998821681265,0.938478999031755,0.825520259231184,0.677532433788673,0.996834351708987,0.96315198793269,162.371816666667,106.664825,188.198966666667,122.36445,117.9221,140.809458695652,24.5601654577409,7.76738944083693,28.540247660823,23.10965,25.7473232555995,8.14782471420776,120.8655,96.860175,159.7909,110.809625,91.31335,107.9388,212.43965,112.68495,204.77905,133.919275,135.7425,175.352075,6,4,3,2,4,46
"ZNF273",0.999998936562253,0.344080484155447,0.47967488092826,0.999636286386455,0.999210341464931,0.451452486053408,0.999999977510586,0.999999969507736,0.453140612643807,0.999540648069641,0.999977485740909,0.999999997451035,0.22261779785791,0.99763969934267,0.99999910967948,104.954066666667,107.640025,168.4477,93.9307,106.195125,108.288352173913,14.873709572658,17.9231885029504,52.7915060254015,68.4256,21.8236195077862,5.99404929724105,83.448475,102.837475,115.81355,59.7179,74.95975,82.87275,121.54195,125.9159,198.2921,128.1435,143.108475,129.3312,6,4,3,2,4,46
"ZNF84",0.761005806254587,0.0551193668798909,0.629182365517035,0.642947908376551,0.997605494078922,0.950390388928138,0.115924291844416,0.862600058700583,0.995911201061405,0.996610822911614,0.208730837482134,0.999836082349853,0.492298889417669,0.999259513394592,0.790201713384652,758.02195,610.871,408.684566666667,544.8708,473.85645,588.003067391304,62.1105423323435,82.6002355407457,86.0181015030041,61.8102,69.6748164716456,25.9760556575894,662.143175,526.9673,328.14315,513.9657,426.11225,505.225825,794.628825,734.9227,475.11145,575.7759,570.26325,637.9862,6,4,3,2,4,46
"ZNF667",0.156120202401257,0.998325098581106,0.546432067586539,0.702493170459118,0.997052696826039,0.926768641934284,0.885093156706204,0.812479398173545,0.994608986517168,0.993801700957674,0.480360107463858,0.63748753844603,0.96463751099793,0.993573856970587,0.999990458735905,92.33135,34.727175,81.6175333333333,49.4997,66.805625,64.0464586956522,20.6263860549661,11.6196144194042,22.6210874112581,49.1405,11.0391839288037,5.13132301364032,76.984,22.4723,65.83715,24.92945,50.9335,32.593225,131.050425,52.804725,103.5441,74.06995,79.256925,83.5639,6,4,3,2,4,46
