"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","count-DiseaseFree","count-Recurred/Progressed"
"ZNF212",0.0939581274795871,298.149649295775,263.429966197183,16.353173483029,12.5089178853764,201.83615,192.41085,370.5262,307.6146,71,71
"ZNF282",0.454761061799262,1017.08611267606,965.486398591549,43.3649636274466,53.4610282410443,793.4289,678.4226,1190.9844,1189.6646,71,71
"ZNF160",0.464240188469352,444.868242253521,482.572057746479,35.0258156697707,37.5842956094138,227.9168,278.60845,527.4428,639.5182,71,71
"ZNF415",0.295110763958398,52.9530507042254,39.9804957746479,11.0722582620341,5.45732847821317,9.21535,11.59815,56.51135,54.9466,71,71
"ZNF439",0.250932201581509,45.0796464788732,54.647314084507,4.73233722991602,6.81758744075876,13.70925,15.12295,63.08615,73.36095,71,71
"ZNF440",0.599563964346598,430.507688732394,448.497769014084,23.9190417721151,24.4260146396311,292.00675,309.309,566.62935,561.6512,71,71
"ZNF562",0.63687759506699,686.462974647887,709.534176056338,36.2177216077542,32.65556748552,524.8233,517.92815,757.216,876.2887,71,71
"ZNF561",0.487702529638211,566.799929577465,594.583691549296,27.7839053987394,28.6788518608197,451.3732,447.4745,651.36905,681.8149,71,71
"ZNF584",0.629710134365456,202.875549295775,213.180563380282,13.3849306542371,16.603367596001,155.1661,132.02605,226.02765,230.34425,71,71
"ZNF274",0.468276802088328,348.131628169014,373.122625352113,20.6162550160977,27.4914205915316,250.2548,236.22745,400.10195,433.26535,71,71
"ZIK1",0.671037835072074,26.9413352112676,23.8210225352113,5.11082631210329,5.25604683974968,7.72295,7.0497,25.1668,24.14605,71,71
"ZNF540",0.5466579396349,23.1664014084507,20.9078154929577,2.7801995603355,2.49841290688596,6.1542,8.4189,33.3899,26.841,71,71
"ZNF570",0.983533744466519,35.5046281690141,35.3929126760563,3.38862177412487,4.20855469301138,12.97975,10.5046,54.0842,48.852,71,71
"ZNF57",0.792501867351995,163.11821971831,166.674122535211,10.521139089921,8.44549405440765,104.1081,123.65665,188.3443,207.1873,71,71
"ZNF556",0.2881209295165,21.0894042253521,26.4844647887324,3.23633015312995,3.88915622262985,1.32035,2.271,28.94385,39.12955,71,71
"ZNF554",0.708799430405826,94.2546056338028,97.4007788732394,6.04814042834435,5.83940352704983,59.228,65.30885,118.46705,113.29525,71,71
"ZNF738",0.0500989515389892,128.782229577465,171.657884507042,13.3686052115908,17.0880840136376,47.8793,68.3403,165.0674,242.23225,71,71
"ZNF596",0.380105961709212,50.1355591549296,55.6549070422535,3.96529221886258,4.85499769454254,23.89395,27.65715,62.89365,77.65405,71,71
"ZNF621",0.0159851063543629,586.590009859155,701.870204225352,25.6286780870971,39.7167435569781,446.73585,491.91205,748.88155,839.0442,71,71
"ZNF680",0.0425615008041192,255.795322535211,319.333150704225,17.2423247592255,25.8159478695298,143.12395,183.79385,321.42855,397.37605,71,71
"ZNF483",0.579214684017105,41.1549098591549,35.8967957746479,8.26462875841518,4.60287108658849,11.24835,13.3309,47.43435,41.5918,71,71
"ZNF417",0.0606756185274865,219.227230985915,274.199495774648,16.0484485773573,24.2371842878379,130.0145,140.90735,263.08525,342.3723,71,71
"ZNF791",0.909927941292752,355.263535211268,357.863628169014,17.0134173225794,15.3905995803274,269.99065,252.08695,421.0068,432.4091,71,71
"ZNF519",0.19546375737866,62.528038028169,73.2249338028169,5.69072595181294,5.93621052884112,36.0062,36.33495,75.1104,104.0753,71,71
"ZNF25",0.947636494541761,203.726625352113,204.978245070423,12.1154100015162,14.6667749538736,127.58675,116.8446,272.8894,263.96585,71,71
"ZNF77",0.544218388239977,85.4319323943662,89.6743253521127,5.3844549333083,4.43913645086239,57.3187,67.95325,103.29355,104.6403,71,71
"ZNF169",0.861480815065703,107.74854084507,106.088835211268,7.31525943796684,6.05215635685059,65.4246,70.85145,126.8044,135.273,71,71
"ZNF613",0.0737214133919234,72.4396873239437,89.7441253521127,6.40266941932022,7.15803240057384,34.67295,52.1617,95.1964,116.3823,71,71
"ZNF404",0.301913688562497,33.6558704225352,39.3849366197183,3.85265490085213,3.96589603269549,15.10095,15.4419,38.5682,52.15245,71,71
"ZNF135",0.318709795607646,33.2474070422535,45.3503971830986,5.22586877309476,10.9075548354453,9.1617,6.9973,39.14255,35.0224,71,71
"ZNF620",0.0450075049746209,53.2386577464789,71.6260788732394,5.78154406478033,7.01505362975922,16.5481,28.27095,68.73355,99.1072,71,71
"ZNF619",0.0593104682446477,70.8490802816901,83.6713098591549,4.00389231122188,5.42649272145209,49.47145,55.34785,83.62885,105.6998,71,71
"ZNF354C",0.180619193101992,38.4701253521127,51.4524281690141,5.3800259438368,8.00898871940334,10.97375,10.1516,47.1797,65.105,71,71
"ZNF114",0.177096950394922,48.7721169014085,71.0713464788732,6.62960466570558,15.0415737960344,3.4469,4.3446,81.70695,83.40745,71,71
"ZNF454",0.309111518955452,10.1000042253521,8.27417464788732,1.36786849018772,1.1524497001497,2.3932,2.07305,12.32845,11.5582,71,71
"ZNF543",0.613794045133856,197.847002816901,205.860526760563,8.86682533273977,13.1297614351642,144.43405,136.5316,250.3359,252.70175,71,71
"ZNF354B",0.702290815460833,127.074118309859,133.30424084507,14.4526463826016,7.46365465245229,71.9191,89.6909,136.78285,167.86175,71,71
"ZNF223",0.734451822685421,63.3007549295775,65.6660436619718,4.51109464483546,5.29892720154358,38.23035,36.08135,77.93,86.8646,71,71
"ZNF713",0.765438588759854,76.6452704225352,80.2995478873239,8.43214127769021,8.85101493713914,38.2241,40.3621,88.93035,88.3713,71,71
"ZNF552",0.152955876142099,174.643194366197,203.333861971831,14.3275195409797,13.9055163432079,104.26145,116.3543,197.9377,275.3438,71,71
"ZNF154",0.058227305920259,57.3876957746479,72.8396591549296,4.53737599282574,6.69975194329134,29.622,30.23515,75.741,102.6427,71,71
"ZNF571",0.104874153527653,54.2143718309859,66.8496267605634,4.62966545119588,6.20398025948701,23.8226,31.10155,72.2987,84.43995,71,71
"ZNF443",0.058490321827205,50.5617985915493,61.4250436619718,3.56997018692132,4.43677929136492,28.2781,31.3259,70.41065,80.8804,71,71
"ZNF792",0.379407370606147,148.748998591549,163.78331971831,11.8250649205215,12.2828933464675,73.34885,73.33615,216.303,212.84775,71,71
"ZFP82",0.410833914447115,52.5525070422535,41.3834943661972,12.1319465384068,6.01205978796251,10.5961,10.87695,56.0337,53.6882,71,71
"ZNF707",0.150401898235634,197.516991549296,217.261367605634,8.58989282854462,10.6136264475843,144.7421,155.0474,236.80275,263.42715,71,71
"ZNF746",0.744759315296612,644.968746478873,627.114118309859,38.6522683355795,38.7546914623362,451.31545,440.16055,750.00745,702.9072,71,71
"ZNF678",0.0534980337360721,72.6950253521127,87.0050408450704,4.43723124140234,5.85768979294573,45.79435,53.1725,91.1891,113.31645,71,71
"HKR1",0.113581811261242,428.174564788732,493.896083098592,23.5569988423677,33.8931522319574,282.26585,328.74305,546.4671,580.96115,71,71
